"","x"
"black","Medtr7g093170"
"blue","Medtr4g130770"
"brown","Medtr3g086910"
"cyan","Medtr5g005840"
"darkgreen","Medtr4g076970"
"darkred","Medtr1g082680"
"green","Medtr1g090703"
"greenyellow","Medtr6g471240"
"grey60","Medtr2g102730"
"lightcyan","Medtr7g116360"
"lightgreen","Medtr4g064480"
"lightyellow","Medtr6g077500"
"magenta","Medtr7g067460"
"midnightblue","Medtr4g007190"
"pink","Medtr0181s0020"
"purple","Medtr0005s0230"
"red","Medtr6g008640"
"royalblue","Medtr3g072105"
"salmon","Medtr0009s0100"
"tan","Medtr3g085280"
"turquoise","Medtr7g056183"
"yellow","Medtr6g082450"
