"","x"
"1","Medtr0001s0160"
"2","Medtr0002s0090"
"3","Medtr0002s0820"
"4","Medtr0002s0900"
"5","Medtr0002s1160"
"6","Medtr0003s0060"
"7","Medtr0003s0090"
"8","Medtr0003s0610"
"9","Medtr0016s0050"
"10","Medtr0017s0200"
"11","Medtr0019s0190"
"12","Medtr0021s0120"
"13","Medtr0027s0230"
"14","Medtr0036s0040"
"15","Medtr0036s0320"
"16","Medtr0041s0140"
"17","Medtr0042s0170"
"18","Medtr0045s0070"
"19","Medtr0047s0090"
"20","Medtr0048s0140"
"21","Medtr0052s0070"
"22","Medtr0052s0080"
"23","Medtr0055s0030"
"24","Medtr0055s0050"
"25","Medtr0058s0010"
"26","Medtr0066s0050"
"27","Medtr0068s0080"
"28","Medtr0069s0020"
"29","Medtr0071s0030"
"30","Medtr0077s0010"
"31","Medtr0078s0010"
"32","Medtr0079s0070"
"33","Medtr0097s0070"
"34","Medtr0101s0030"
"35","Medtr0102s0060"
"36","Medtr0103s0010"
"37","Medtr0117s0040"
"38","Medtr0144s0020"
"39","Medtr0144s0030"
"40","Medtr0153s0020"
"41","Medtr0153s0030"
"42","Medtr0190s0020"
"43","Medtr0194s0020"
"44","Medtr0197s0040"
"45","Medtr0219s0040"
"46","Medtr0248s0010"
"47","Medtr0263s0020"
"48","Medtr0271s0030"
"49","Medtr0276s0020"
"50","Medtr0287s0060"
"51","Medtr0291s0010"
"52","Medtr0312s0020"
"53","Medtr0325s0020"
"54","Medtr0363s0030"
"55","Medtr0393s0030"
"56","Medtr0415s0060"
"57","Medtr0419s0050"
"58","Medtr0433s0040"
"59","Medtr0443s0040"
"60","Medtr0531s0010"
"61","Medtr0549s0010"
"62","Medtr0568s0010"
"63","Medtr0583s0010"
"64","Medtr0654s0010"
"65","Medtr0685s0030"
"66","Medtr0879s0010"
"67","Medtr0886s0010"
"68","Medtr0911s0020"
"69","Medtr1157s0010"
"70","Medtr1240s0010"
"71","Medtr1246s0010"
"72","Medtr1g006605"
"73","Medtr1g007190"
"74","Medtr1g007540"
"75","Medtr1g007580"
"76","Medtr1g008740"
"77","Medtr1g009260"
"78","Medtr1g009315"
"79","Medtr1g009650"
"80","Medtr1g009980"
"81","Medtr1g010190"
"82","Medtr1g011630"
"83","Medtr1g012160"
"84","Medtr1g013400"
"85","Medtr1g013680"
"86","Medtr1g015480"
"87","Medtr1g015750"
"88","Medtr1g015810"
"89","Medtr1g016390"
"90","Medtr1g016630"
"91","Medtr1g017080"
"92","Medtr1g017270"
"93","Medtr1g017500"
"94","Medtr1g017570"
"95","Medtr1g018140"
"96","Medtr1g018200"
"97","Medtr1g018470"
"98","Medtr1g018515"
"99","Medtr1g018590"
"100","Medtr1g018620"
"101","Medtr1g019610"
"102","Medtr1g022050"
"103","Medtr1g022245"
"104","Medtr1g023035"
"105","Medtr1g023140"
"106","Medtr1g023770"
"107","Medtr1g023880"
"108","Medtr1g023910"
"109","Medtr1g024165"
"110","Medtr1g025290"
"111","Medtr1g025490"
"112","Medtr1g026035"
"113","Medtr1g026075"
"114","Medtr1g026190"
"115","Medtr1g026310"
"116","Medtr1g027580"
"117","Medtr1g027820"
"118","Medtr1g027960"
"119","Medtr1g028170"
"120","Medtr1g028320"
"121","Medtr1g028380"
"122","Medtr1g028920"
"123","Medtr1g028960"
"124","Medtr1g029380"
"125","Medtr1g029480"
"126","Medtr1g029750"
"127","Medtr1g030250"
"128","Medtr1g030262"
"129","Medtr1g030290"
"130","Medtr1g030630"
"131","Medtr1g030660"
"132","Medtr1g030850"
"133","Medtr1g032560"
"134","Medtr1g032610"
"135","Medtr1g033390"
"136","Medtr1g033540"
"137","Medtr1g034120"
"138","Medtr1g034250"
"139","Medtr1g034360"
"140","Medtr1g034390"
"141","Medtr1g034960"
"142","Medtr1g035360"
"143","Medtr1g035650"
"144","Medtr1g036580"
"145","Medtr1g036710"
"146","Medtr1g037250"
"147","Medtr1g037580"
"148","Medtr1g037820"
"149","Medtr1g038260"
"150","Medtr1g038290"
"151","Medtr1g040360"
"152","Medtr1g041390"
"153","Medtr1g042160"
"154","Medtr1g043200"
"155","Medtr1g043240"
"156","Medtr1g044340"
"157","Medtr1g044550"
"158","Medtr1g044580"
"159","Medtr1g044785"
"160","Medtr1g046740"
"161","Medtr1g047670"
"162","Medtr1g047740"
"163","Medtr1g048360"
"164","Medtr1g048470"
"165","Medtr1g048860"
"166","Medtr1g050140"
"167","Medtr1g050220"
"168","Medtr1g050230"
"169","Medtr1g050402"
"170","Medtr1g050538"
"171","Medtr1g051025"
"172","Medtr1g051105"
"173","Medtr1g051625"
"174","Medtr1g052165"
"175","Medtr1g052715"
"176","Medtr1g052885"
"177","Medtr1g053705"
"178","Medtr1g053780"
"179","Medtr1g053835"
"180","Medtr1g053860"
"181","Medtr1g054260"
"182","Medtr1g054550"
"183","Medtr1g054670"
"184","Medtr1g054965"
"185","Medtr1g054980"
"186","Medtr1g056560"
"187","Medtr1g057250"
"188","Medtr1g057600"
"189","Medtr1g060060"
"190","Medtr1g060460"
"191","Medtr1g060750"
"192","Medtr1g060890"
"193","Medtr1g062500"
"194","Medtr1g062620"
"195","Medtr1g062660"
"196","Medtr1g063110"
"197","Medtr1g063970"
"198","Medtr1g064690"
"199","Medtr1g067150"
"200","Medtr1g068920"
"201","Medtr1g068955"
"202","Medtr1g068970"
"203","Medtr1g069605"
"204","Medtr1g069675"
"205","Medtr1g069870"
"206","Medtr1g070100"
"207","Medtr1g070295"
"208","Medtr1g070395"
"209","Medtr1g071720"
"210","Medtr1g072300"
"211","Medtr1g072450"
"212","Medtr1g072510"
"213","Medtr1g073180"
"214","Medtr1g073360"
"215","Medtr1g073890"
"216","Medtr1g075100"
"217","Medtr1g075153"
"218","Medtr1g075170"
"219","Medtr1g075190"
"220","Medtr1g075200"
"221","Medtr1g075260"
"222","Medtr1g075340"
"223","Medtr1g075380"
"224","Medtr1g076210"
"225","Medtr1g076270"
"226","Medtr1g076400"
"227","Medtr1g076500"
"228","Medtr1g076650"
"229","Medtr1g076800"
"230","Medtr1g076930"
"231","Medtr1g077520"
"232","Medtr1g077930"
"233","Medtr1g078190"
"234","Medtr1g078470"
"235","Medtr1g079140"
"236","Medtr1g080300"
"237","Medtr1g080330"
"238","Medtr1g080590"
"239","Medtr1g080690"
"240","Medtr1g080950"
"241","Medtr1g081000"
"242","Medtr1g081550"
"243","Medtr1g082270"
"244","Medtr1g082400"
"245","Medtr1g082750"
"246","Medtr1g082770"
"247","Medtr1g082810"
"248","Medtr1g082880"
"249","Medtr1g082940"
"250","Medtr1g083180"
"251","Medtr1g083240"
"252","Medtr1g083710"
"253","Medtr1g083720"
"254","Medtr1g083950"
"255","Medtr1g084040"
"256","Medtr1g084080"
"257","Medtr1g084240"
"258","Medtr1g084660"
"259","Medtr1g084780"
"260","Medtr1g085230"
"261","Medtr1g086095"
"262","Medtr1g086170"
"263","Medtr1g086310"
"264","Medtr1g086600"
"265","Medtr1g087140"
"266","Medtr1g087150"
"267","Medtr1g087320"
"268","Medtr1g087440"
"269","Medtr1g087510"
"270","Medtr1g087760"
"271","Medtr1g088430"
"272","Medtr1g088620"
"273","Medtr1g088660"
"274","Medtr1g088825"
"275","Medtr1g088885"
"276","Medtr1g089740"
"277","Medtr1g089980"
"278","Medtr1g090060"
"279","Medtr1g090190"
"280","Medtr1g090350"
"281","Medtr1g090380"
"282","Medtr1g090667"
"283","Medtr1g090670"
"284","Medtr1g090707"
"285","Medtr1g090807"
"286","Medtr1g090960"
"287","Medtr1g092690"
"288","Medtr1g093010"
"289","Medtr1g093350"
"290","Medtr1g093600"
"291","Medtr1g094085"
"292","Medtr1g094255"
"293","Medtr1g094615"
"294","Medtr1g094680"
"295","Medtr1g095360"
