"","x"
"1","Medtr0006s0300"
"2","Medtr0009s0020"
"3","Medtr0013s0100"
"4","Medtr0017s0100"
"5","Medtr0024s0320"
"6","Medtr0054s0140"
"7","Medtr0062s0020"
"8","Medtr0072s0050"
"9","Medtr0087s0020"
"10","Medtr0115s0020"
"11","Medtr0140s0050"
"12","Medtr0242s0020"
"13","Medtr0275s0010"
"14","Medtr0388s0020"
"15","Medtr0429s0020"
"16","Medtr0473s0030"
"17","Medtr0474s0020"
"18","Medtr0590s0010"
"19","Medtr0624s0020"
"20","Medtr0658s0020"
"21","Medtr0903s0010"
"22","Medtr0915s0010"
"23","Medtr1034s0010"
"24","Medtr1g007420"
"25","Medtr1g007490"
"26","Medtr1g008700"
"27","Medtr1g009155"
"28","Medtr1g010000"
"29","Medtr1g012710"
"30","Medtr1g013640"
"31","Medtr1g014330"
"32","Medtr1g017530"
"33","Medtr1g017770"
"34","Medtr1g019490"
"35","Medtr1g019590"
"36","Medtr1g021440"
"37","Medtr1g022135"
"38","Medtr1g022305"
"39","Medtr1g023340"
"40","Medtr1g024175"
"41","Medtr1g026078"
"42","Medtr1g027930"
"43","Medtr1g027990"
"44","Medtr1g029150"
"45","Medtr1g030320"
"46","Medtr1g032140"
"47","Medtr1g036460"
"48","Medtr1g037750"
"49","Medtr1g038803"
"50","Medtr1g040155"
"51","Medtr1g041275"
"52","Medtr1g043450"
"53","Medtr1g049140"
"54","Medtr1g049240"
"55","Medtr1g050528"
"56","Medtr1g051085"
"57","Medtr1g051165"
"58","Medtr1g052500"
"59","Medtr1g054450"
"60","Medtr1g059810"
"61","Medtr1g060740"
"62","Medtr1g061640"
"63","Medtr1g062110"
"64","Medtr1g066870"
"65","Medtr1g067010"
"66","Medtr1g067220"
"67","Medtr1g069340"
"68","Medtr1g069620"
"69","Medtr1g069650"
"70","Medtr1g070220"
"71","Medtr1g071710"
"72","Medtr1g073310"
"73","Medtr1g081750"
"74","Medtr1g082690"
"75","Medtr1g085350"
"76","Medtr1g086330"
"77","Medtr1g086670"
"78","Medtr1g088550"
"79","Medtr1g089280"
"80","Medtr1g089810"
"81","Medtr1g090420"
"82","Medtr1g090820"
"83","Medtr1g093840"
"84","Medtr1g094250"
"85","Medtr1g095000"
"86","Medtr1g100355"
"87","Medtr1g100385"
"88","Medtr1g100593"
"89","Medtr1g101880"
"90","Medtr1g101985"
"91","Medtr1g102630"
"92","Medtr1g103590"
"93","Medtr1g107455"
"94","Medtr1g107535"
"95","Medtr1g108785"
"96","Medtr1g109600"
"97","Medtr1g111860"
"98","Medtr1g112610"
"99","Medtr1g113010"
"100","Medtr1g115290"
"101","Medtr1g492830"
"102","Medtr1g495705"
"103","Medtr2g005410"
"104","Medtr2g007020"
"105","Medtr2g007210"
"106","Medtr2g007855"
"107","Medtr2g010300"
"108","Medtr2g011730"
"109","Medtr2g012440"
"110","Medtr2g012480"
"111","Medtr2g013535"
"112","Medtr2g013580"
"113","Medtr2g014720"
"114","Medtr2g014770"
"115","Medtr2g015380"
"116","Medtr2g018135"
"117","Medtr2g019720"
"118","Medtr2g020920"
"119","Medtr2g021200"
"120","Medtr2g021300"
"121","Medtr2g021310"
"122","Medtr2g021600"
"123","Medtr2g022560"
"124","Medtr2g023710"
"125","Medtr2g024290"
"126","Medtr2g028350"
"127","Medtr2g029120"
"128","Medtr2g030450"
"129","Medtr2g034610"
"130","Medtr2g037790"
"131","Medtr2g040850"
"132","Medtr2g041710"
"133","Medtr2g042580"
"134","Medtr2g044630"
"135","Medtr2g047872"
"136","Medtr2g048470"
"137","Medtr2g060350"
"138","Medtr2g062300"
"139","Medtr2g062560"
"140","Medtr2g062700"
"141","Medtr2g062820"
"142","Medtr2g065360"
"143","Medtr2g067440"
"144","Medtr2g071890"
"145","Medtr2g071980"
"146","Medtr2g072170"
"147","Medtr2g076460"
"148","Medtr2g081980"
"149","Medtr2g086290"
"150","Medtr2g087110"
"151","Medtr2g088103"
"152","Medtr2g088190"
"153","Medtr2g090255"
"154","Medtr2g090755"
"155","Medtr2g093010"
"156","Medtr2g093430"
"157","Medtr2g094980"
"158","Medtr2g096550"
"159","Medtr2g096740"
"160","Medtr2g097615"
"161","Medtr2g098510"
"162","Medtr2g098960"
"163","Medtr2g099550"
"164","Medtr2g100160"
"165","Medtr2g102730"
"166","Medtr2g104380"
"167","Medtr2g105230"
"168","Medtr2g437210"
"169","Medtr2g460780"
"170","Medtr2g461970"
"171","Medtr3g005720"
"172","Medtr3g005740"
"173","Medtr3g005790"
"174","Medtr3g005810"
"175","Medtr3g007900"
"176","Medtr3g011470"
"177","Medtr3g011820"
"178","Medtr3g012060"
"179","Medtr3g012360"
"180","Medtr3g012410"
"181","Medtr3g014200"
"182","Medtr3g014650"
"183","Medtr3g014870"
"184","Medtr3g022740"
"185","Medtr3g030620"
"186","Medtr3g031360"
"187","Medtr3g032750"
"188","Medtr3g037510"
"189","Medtr3g040410"
"190","Medtr3g045450"
"191","Medtr3g045730"
"192","Medtr3g051690"
"193","Medtr3g052580"
"194","Medtr3g056410"
"195","Medtr3g058560"
"196","Medtr3g060670"
"197","Medtr3g062400"
"198","Medtr3g062840"
"199","Medtr3g063990"
"200","Medtr3g064687"
"201","Medtr3g065370"
"202","Medtr3g065960"
"203","Medtr3g071300"
"204","Medtr3g072820"
"205","Medtr3g075260"
"206","Medtr3g075390"
"207","Medtr3g077870"
"208","Medtr3g080390"
"209","Medtr3g080810"
"210","Medtr3g080890"
"211","Medtr3g082100"
"212","Medtr3g084190"
"213","Medtr3g085015"
"214","Medtr3g086450"
"215","Medtr3g086740"
"216","Medtr3g086750"
"217","Medtr3g087960"
"218","Medtr3g089005"
"219","Medtr3g091650"
"220","Medtr3g092175"
"221","Medtr3g092320"
"222","Medtr3g093360"
"223","Medtr3g093430"
"224","Medtr3g093750"
"225","Medtr3g095490"
"226","Medtr3g097310"
"227","Medtr3g098450"
"228","Medtr3g099670"
"229","Medtr3g099780"
"230","Medtr3g100055"
"231","Medtr3g100300"
"232","Medtr3g100680"
"233","Medtr3g102680"
"234","Medtr3g103120"
"235","Medtr3g104630"
"236","Medtr3g104660"
"237","Medtr3g105900"
"238","Medtr3g106660"
"239","Medtr3g107630"
"240","Medtr3g107870"
"241","Medtr3g108460"
"242","Medtr3g108770"
"243","Medtr3g108790"
"244","Medtr3g109870"
"245","Medtr3g110058"
"246","Medtr3g111560"
"247","Medtr3g112060"
"248","Medtr3g112270"
"249","Medtr3g113080"
"250","Medtr3g114180"
"251","Medtr3g116070"
"252","Medtr3g117710"
"253","Medtr3g118110"
"254","Medtr3g435430"
"255","Medtr3g437420"
"256","Medtr3g461490"
"257","Medtr3g463110"
"258","Medtr3g465060"
"259","Medtr3g465100"
"260","Medtr3g465770"
"261","Medtr3g466630"
"262","Medtr4g005130"
"263","Medtr4g005260"
"264","Medtr4g006550"
"265","Medtr4g007880"
"266","Medtr4g010750"
"267","Medtr4g013315"
"268","Medtr4g015290"
"269","Medtr4g019860"
"270","Medtr4g020720"
"271","Medtr4g022340"
"272","Medtr4g022510"
"273","Medtr4g023440"
"274","Medtr4g024370"
"275","Medtr4g024550"
"276","Medtr4g024860"
"277","Medtr4g027390"
"278","Medtr4g028610"
"279","Medtr4g029430"
"280","Medtr4g035040"
"281","Medtr4g036525"
"282","Medtr4g037375"
"283","Medtr4g045710"
"284","Medtr4g045853"
"285","Medtr4g046047"
"286","Medtr4g047800"
"287","Medtr4g050330"
"288","Medtr4g050760"
"289","Medtr4g051655"
"290","Medtr4g052040"
"291","Medtr4g053675"
"292","Medtr4g055580"
"293","Medtr4g055990"
"294","Medtr4g057235"
"295","Medtr4g057950"
"296","Medtr4g068790"
"297","Medtr4g068880"
"298","Medtr4g069050"
"299","Medtr4g069770"
"300","Medtr4g072220"
"301","Medtr4g074370"
"302","Medtr4g074480"
"303","Medtr4g077703"
"304","Medtr4g078810"
"305","Medtr4g080130"
"306","Medtr4g080590"
"307","Medtr4g080895"
"308","Medtr4g081200"
"309","Medtr4g081520"
"310","Medtr4g082230"
"311","Medtr4g082470"
"312","Medtr4g083440"
"313","Medtr4g084470"
"314","Medtr4g084680"
"315","Medtr4g085790"
"316","Medtr4g086780"
"317","Medtr4g087975"
"318","Medtr4g088055"
"319","Medtr4g088210"
"320","Medtr4g088505"
"321","Medtr4g088765"
"322","Medtr4g089115"
"323","Medtr4g090465"
"324","Medtr4g091170"
"325","Medtr4g092020"
"326","Medtr4g092510"
"327","Medtr4g093820"
"328","Medtr4g094732"
"329","Medtr4g094982"
"330","Medtr4g095700"
"331","Medtr4g095730"
"332","Medtr4g097530"
"333","Medtr4g099120"
"334","Medtr4g099220"
"335","Medtr4g099430"
"336","Medtr4g102250"
"337","Medtr4g102310"
"338","Medtr4g104700"
"339","Medtr4g104730"
"340","Medtr4g104800"
"341","Medtr4g104890"
"342","Medtr4g105690"
"343","Medtr4g107360"
"344","Medtr4g107790"
"345","Medtr4g107840"
"346","Medtr4g108040"
"347","Medtr4g108310"
"348","Medtr4g108650"
"349","Medtr4g108820"
"350","Medtr4g113750"
"351","Medtr4g116465"
"352","Medtr4g117220"
"353","Medtr4g117480"
"354","Medtr4g121140"
"355","Medtr4g121560"
"356","Medtr4g123500"
"357","Medtr4g124170"
"358","Medtr4g125090"
"359","Medtr4g127190"
"360","Medtr4g127900"
"361","Medtr4g130180"
"362","Medtr4g133735"
"363","Medtr5g005040"
"364","Medtr5g005430"
"365","Medtr5g007330"
"366","Medtr5g009410"
"367","Medtr5g012290"
"368","Medtr5g013530"
"369","Medtr5g016090"
"370","Medtr5g016620"
"371","Medtr5g017025"
"372","Medtr5g017190"
"373","Medtr5g019760"
"374","Medtr5g021770"
"375","Medtr5g023460"
"376","Medtr5g023640"
"377","Medtr5g025350"
"378","Medtr5g025360"
"379","Medtr5g026720"
"380","Medtr5g028190"
"381","Medtr5g029400"
"382","Medtr5g029950"
"383","Medtr5g030470"
"384","Medtr5g030935"
"385","Medtr5g031180"
"386","Medtr5g031840"
"387","Medtr5g033800"
"388","Medtr5g033930"
"389","Medtr5g034090"
"390","Medtr5g034180"
"391","Medtr5g035050"
"392","Medtr5g035360"
"393","Medtr5g036790"
"394","Medtr5g037950"
"395","Medtr5g040920"
"396","Medtr5g042160"
"397","Medtr5g042370"
"398","Medtr5g044200"
"399","Medtr5g045600"
"400","Medtr5g045940"
"401","Medtr5g045970"
"402","Medtr5g048290"
"403","Medtr5g049780"
"404","Medtr5g059080"
"405","Medtr5g063720"
"406","Medtr5g064550"
"407","Medtr5g065440"
"408","Medtr5g068100"
"409","Medtr5g068210"
"410","Medtr5g069590"
"411","Medtr5g070400"
"412","Medtr5g071400"
"413","Medtr5g071480"
"414","Medtr5g071780"
"415","Medtr5g073840"
"416","Medtr5g074150"
"417","Medtr5g075710"
"418","Medtr5g076150"
"419","Medtr5g076270"
"420","Medtr5g077270"
"421","Medtr5g078930"
"422","Medtr5g082290"
"423","Medtr5g083360"
"424","Medtr5g083810"
"425","Medtr5g085490"
"426","Medtr5g086940"
"427","Medtr5g087490"
"428","Medtr5g087870"
"429","Medtr5g089180"
"430","Medtr5g089450"
