Feature ID,NRNS - NRNSA - Expression values,NRNS - NRNSB - Expression values,NRNS - NRNSC - Expression values,NRS - NRSA - Expression values,NRS - NRSB - Expression values,NRS - NRSC - Expression values
Medtr0001s0010,0,0,0,0,0,0
Medtr0001s0070,0,0,0,0,0,0
Medtr0001s0100,0,0,0,0,0,0
Medtr0001s0120,2,1,0,1,0,3
Medtr0001s0160,0,0,0,1,0,0
Medtr0001s0190,0,0,0,0,0,0
Medtr0001s0200,0,0,0,0,0,0
Medtr0001s0260,0,0,0,0,0,0
Medtr0001s0360,1,0,0,0,0,0
Medtr0001s0380,0,0,0,0,0,0
Medtr0001s0430,289,355,297,385,325,329
Medtr0001s0480,0,0,0,0,0,0
Medtr0001s0490,347,349,362,293,465,343
Medtr0001s0500,0,0,0,0,0,0
Medtr0001s0510,0,0,0,0,0,0
Medtr0001s0560,16,27,11,14,16,12
Medtr0001s0570,540,632,535,610,582,583
Medtr0001s0580,0,0,0,0,0,0
Medtr0001s0660,1651,1970,1670,1674,1223,740
Medtr0001s0700,0,0,0,0,0,0
Medtr0002s0020,245,363,226,387,330,301
Medtr0002s0030,0,0,0,0,0,0
Medtr0002s0040,0,0,0,0,0,0
Medtr0002s0050,0,0,0,0,0,0
Medtr0002s0070,0,0,0,0,0,0
Medtr0002s0090,0,0,0,1,0,0
Medtr0002s0100,0,0,0,0,0,0
Medtr0002s0110,0,0,0,0,0,0
Medtr0002s0120,0,0,0,0,0,0
Medtr0002s0140,0,0,0,0,0,0
Medtr0002s0150,0,0,0,0,0,0
Medtr0002s0160,0,0,0,0,0,0
Medtr0002s0170,0,0,0,0,0,0
Medtr0002s0180,0,0,0,0,0,0
Medtr0002s0200,0,0,0,0,0,0
Medtr0002s0210,0,0,0,0,0,0
Medtr0002s0250,0,0,0,0,0,0
Medtr0002s0260,0,0,0,0,0,0
Medtr0002s0270,0,0,0,1,1,0
Medtr0002s0280,0,0,0,0,0,0
Medtr0002s0300,0,0,0,0,0,0
Medtr0002s0310,0,0,0,0,0,0
Medtr0002s0330,0,0,0,0,0,0
Medtr0002s0350,0,0,0,0,0,0
Medtr0002s0360,0,0,0,0,0,0
Medtr0002s0380,0,0,0,0,0,0
Medtr0002s0390,0,0,0,0,0,0
Medtr0002s0420,0,0,0,0,0,0
Medtr0002s0440,0,0,0,0,0,0
Medtr0002s0510,0,0,0,0,0,0
Medtr0002s0530,0,0,0,0,0,0
Medtr0002s0540,0,0,0,0,0,0
Medtr0002s0550,0,0,0,0,0,0
Medtr0002s0580,0,0,0,0,0,0
Medtr0002s0590,0,0,0,0,0,0
Medtr0002s0630,0,0,0,0,0,0
Medtr0002s0650,0,0,0,0,0,0
Medtr0002s0660,0,0,0,0,0,0
Medtr0002s0670,0,0,0,0,0,0
Medtr0002s0680,0,0,0,0,0,0
Medtr0002s0690,0,0,0,0,0,0
Medtr0002s0700,0,0,0,0,0,0
Medtr0002s0730,0,0,0,0,0,0
Medtr0002s0740,0,0,0,0,0,0
Medtr0002s0750,0,0,0,0,0,0
Medtr0002s0760,0,0,0,0,0,0
Medtr0002s0770,0,0,0,0,0,0
Medtr0002s0780,0,0,0,0,0,0
Medtr0002s0790,0,0,0,0,0,0
Medtr0002s0800,0,0,0,0,0,0
Medtr0002s0820,0,0,0,2,0,0
Medtr0002s0860,0,0,0,0,0,0
Medtr0002s0870,0,0,0,0,0,0
Medtr0002s0880,0,0,0,0,0,0
Medtr0002s0890,2,1,0,0,2,0
Medtr0002s0900,206,213,178,246,201,200
Medtr0002s0930,0,0,0,0,0,1
Medtr0002s0960,0,0,0,0,0,0
Medtr0002s0990,0,0,0,0,0,0
Medtr0002s1060,6644,6589,6263,9106,15494,6860
Medtr0002s1160,0,0,0,1,0,0
Medtr0002s1180,0,0,0,0,0,0
Medtr0002s1200,2,5,11,0,6,2
Medtr0002s1220,0,0,0,0,0,0
Medtr0002s1240,0,0,0,0,0,0
Medtr0002s1250,8,7,8,4,1,4
Medtr0002s1260,0,0,0,0,0,0
Medtr0002s1270,18,16,16,15,16,16
Medtr0002s1280,0,0,0,0,0,0
Medtr0003s0010,0,0,0,0,0,0
Medtr0003s0060,0,0,0,1,0,0
Medtr0003s0070,0,0,0,0,0,0
Medtr0003s0080,0,0,0,0,0,0
Medtr0003s0090,0,0,0,1,0,0
Medtr0003s0130,0,0,0,0,0,0
Medtr0003s0160,0,0,0,0,0,0
Medtr0003s0170,2,4,1,4,1,1
Medtr0003s0180,0,0,0,0,0,0
Medtr0003s0190,0,0,0,0,0,0
Medtr0003s0210,0,0,0,0,0,0
Medtr0003s0250,0,0,0,0,0,0
Medtr0003s0260,0,0,0,0,0,0
Medtr0003s0280,0,0,0,0,0,0
Medtr0003s0290,0,0,0,0,0,0
Medtr0003s0350,0,0,0,0,0,0
Medtr0003s0390,0,0,0,0,0,0
Medtr0003s0410,0,0,0,0,0,0
Medtr0003s0430,0,0,0,0,0,0
Medtr0003s0460,0,0,0,0,0,0
Medtr0003s0470,1188,1418,1236,1093,1170,1062
Medtr0003s0480,57,50,50,34,59,37
Medtr0003s0500,165,217,214,133,247,222
Medtr0003s0530,0,0,0,0,0,0
Medtr0003s0540,551,632,659,587,688,579
Medtr0003s0560,1468,1625,1761,1197,1988,1375
Medtr0003s0580,451,517,321,538,290,248
Medtr0003s0590,12,6,16,9,19,12
Medtr0003s0610,0,0,0,2,0,0
Medtr0003s0620,152,136,119,121,170,136
Medtr0003s0630,0,0,1,0,1,1
Medtr0003s0650,0,0,0,0,0,0
Medtr0003s0660,421,482,420,434,541,511
Medtr0003s0690,75,61,46,49,57,51
Medtr0004s0130,1129,1288,1170,1250,1232,1216
Medtr0004s0190,0,0,0,0,0,0
Medtr0004s0210,272,273,254,542,393,529
Medtr0004s0220,158,177,163,175,198,196
Medtr0004s0230,238,235,203,229,289,266
Medtr0004s0240,407,443,376,458,472,432
Medtr0004s0250,0,1,1,3,2,0
Medtr0004s0260,0,0,0,0,0,0
Medtr0004s0300,0,0,0,0,0,0
Medtr0004s0330,566,661,694,539,676,666
Medtr0004s0350,0,0,0,0,0,0
Medtr0004s0360,0,0,0,0,0,0
Medtr0004s0440,1,0,0,0,0,1
Medtr0004s0450,0,0,0,0,0,0
Medtr0004s0480,584,543,563,574,736,643
Medtr0004s0490,1882,2009,2112,1710,2762,1823
Medtr0004s0510,247,193,204,206,243,288
Medtr0004s0530,0,0,0,0,0,0
Medtr0004s0600,311,312,311,316,356,318
Medtr0004s0610,16,25,17,22,26,18
Medtr0004s0650,632,780,676,656,707,866
Medtr0005s0070,0,0,0,0,0,0
Medtr0005s0110,1,0,0,0,0,0
Medtr0005s0130,0,1,1,2,1,2
Medtr0005s0140,0,0,0,0,0,0
Medtr0005s0150,0,0,0,0,0,0
Medtr0005s0160,2,1,0,0,0,0
Medtr0005s0200,88,150,114,95,102,77
Medtr0005s0210,2,2,2,3,2,7
Medtr0005s0220,0,0,0,1,1,0
Medtr0005s0230,0,1,0,0,0,0
Medtr0005s0240,0,0,0,0,0,0
Medtr0005s0250,0,0,0,0,0,0
Medtr0005s0260,0,0,0,0,0,0
Medtr0006s0020,0,0,0,0,0,0
Medtr0006s0080,13,11,8,7,5,11
Medtr0006s0110,2,0,3,2,0,5
Medtr0006s0140,8,7,11,5,4,5
Medtr0006s0160,39,72,56,39,50,22
Medtr0006s0180,0,0,0,0,0,0
Medtr0006s0190,5,6,2,4,6,2
Medtr0006s0210,0,0,0,0,0,0
Medtr0006s0230,26,26,41,31,16,10
Medtr0006s0240,125,130,93,111,148,132
Medtr0006s0250,2,2,3,2,4,3
Medtr0006s0260,0,0,0,0,0,0
Medtr0006s0290,0,0,0,0,0,0
Medtr0006s0300,1,0,0,0,1,0
Medtr0007s0010,0,0,0,0,0,0
Medtr0007s0020,0,0,0,0,0,0
Medtr0007s0030,0,0,0,0,0,0
Medtr0007s0040,0,0,0,0,0,0
Medtr0007s0060,20,19,12,20,6,9
Medtr0007s0070,0,0,0,0,0,0
Medtr0007s0080,0,1,0,0,0,0
Medtr0007s0090,5,4,7,2,7,2
Medtr0007s0140,22,33,34,28,59,40
Medtr0007s0150,0,0,0,0,0,0
Medtr0007s0160,0,0,0,0,0,0
Medtr0007s0220,1,0,0,0,0,1
Medtr0007s0250,0,0,0,0,0,0
Medtr0007s0290,0,0,0,0,0,0
Medtr0007s0310,0,0,0,0,0,0
Medtr0007s0320,0,0,0,0,0,0
Medtr0007s0330,448,610,511,367,479,311
