"","x"
"1","Medtr0006s0230"
"2","Medtr0009s0120"
"3","Medtr0012s0100"
"4","Medtr0015s0110"
"5","Medtr0016s0040"
"6","Medtr0019s0160"
"7","Medtr0020s0020"
"8","Medtr0021s0370"
"9","Medtr0036s0150"
"10","Medtr0070s0020"
"11","Medtr0160s0040"
"12","Medtr0168s0080"
"13","Medtr0177s0060"
"14","Medtr0177s0080"
"15","Medtr0197s0070"
"16","Medtr0212s0040"
"17","Medtr0238s0050"
"18","Medtr0275s0040"
"19","Medtr0334s0010"
"20","Medtr0405s0060"
"21","Medtr0425s0030"
"22","Medtr0549s0020"
"23","Medtr1099s0010"
"24","Medtr1142s0010"
"25","Medtr1g007610"
"26","Medtr1g007700"
"27","Medtr1g007880"
"28","Medtr1g008050"
"29","Medtr1g008370"
"30","Medtr1g008380"
"31","Medtr1g009170"
"32","Medtr1g011400"
"33","Medtr1g011470"
"34","Medtr1g013440"
"35","Medtr1g016360"
"36","Medtr1g016950"
"37","Medtr1g018300"
"38","Medtr1g018810"
"39","Medtr1g018910"
"40","Medtr1g022125"
"41","Medtr1g022290"
"42","Medtr1g023505"
"43","Medtr1g023600"
"44","Medtr1g024840"
"45","Medtr1g025370"
"46","Medtr1g026070"
"47","Medtr1g026510"
"48","Medtr1g027160"
"49","Medtr1g027170"
"50","Medtr1g028310"
"51","Medtr1g028470"
"52","Medtr1g028580"
"53","Medtr1g029630"
"54","Medtr1g029690"
"55","Medtr1g030600"
"56","Medtr1g031180"
"57","Medtr1g031220"
"58","Medtr1g031580"
"59","Medtr1g031620"
"60","Medtr1g032620"
"61","Medtr1g034340"
"62","Medtr1g036490"
"63","Medtr1g036570"
"64","Medtr1g040195"
"65","Medtr1g040905"
"66","Medtr1g040925"
"67","Medtr1g041320"
"68","Medtr1g041695"
"69","Medtr1g046680"
"70","Medtr1g049370"
"71","Medtr1g050445"
"72","Medtr1g051895"
"73","Medtr1g052700"
"74","Medtr1g052850"
"75","Medtr1g053160"
"76","Medtr1g053715"
"77","Medtr1g054455"
"78","Medtr1g054525"
"79","Medtr1g054620"
"80","Medtr1g056490"
"81","Medtr1g058380"
"82","Medtr1g059090"
"83","Medtr1g059890"
"84","Medtr1g060550"
"85","Medtr1g060590"
"86","Medtr1g060720"
"87","Medtr1g061160"
"88","Medtr1g061760"
"89","Medtr1g062770"
"90","Medtr1g063080"
"91","Medtr1g063350"
"92","Medtr1g063900"
"93","Medtr1g064170"
"94","Medtr1g064710"
"95","Medtr1g066890"
"96","Medtr1g066970"
"97","Medtr1g069235"
"98","Medtr1g069320"
"99","Medtr1g070470"
"100","Medtr1g071920"
"101","Medtr1g072140"
"102","Medtr1g072260"
"103","Medtr1g072305"
"104","Medtr1g072420"
"105","Medtr1g073720"
"106","Medtr1g074990"
"107","Medtr1g075460"
"108","Medtr1g075540"
"109","Medtr1g076840"
"110","Medtr1g077000"
"111","Medtr1g077300"
"112","Medtr1g078000"
"113","Medtr1g079520"
"114","Medtr1g079570"
"115","Medtr1g079763"
"116","Medtr1g079850"
"117","Medtr1g080250"
"118","Medtr1g081420"
"119","Medtr1g081610"
"120","Medtr1g081660"
"121","Medtr1g082660"
"122","Medtr1g085460"
"123","Medtr1g085560"
"124","Medtr1g085620"
"125","Medtr1g085750"
"126","Medtr1g086430"
"127","Medtr1g086870"
"128","Medtr1g087310"
"129","Medtr1g087710"
"130","Medtr1g088460"
"131","Medtr1g088870"
"132","Medtr1g088980"
"133","Medtr1g089820"
"134","Medtr1g089910"
"135","Medtr1g089940"
"136","Medtr1g090290"
"137","Medtr1g090817"
"138","Medtr1g090867"
"139","Medtr1g091003"
"140","Medtr1g092540"
"141","Medtr1g093280"
"142","Medtr1g093680"
"143","Medtr1g094130"
"144","Medtr1g094810"
"145","Medtr1g095910"
"146","Medtr1g096270"
"147","Medtr1g097955"
"148","Medtr1g098590"
"149","Medtr1g099020"
"150","Medtr1g099150"
"151","Medtr1g099270"
"152","Medtr1g099380"
"153","Medtr1g099590"
"154","Medtr1g099620"
"155","Medtr1g100190"
"156","Medtr1g100345"
"157","Medtr1g100747"
"158","Medtr1g101240"
"159","Medtr1g101540"
"160","Medtr1g101710"
"161","Medtr1g101740"
"162","Medtr1g102010"
"163","Medtr1g102730"
"164","Medtr1g102900"
"165","Medtr1g103060"
"166","Medtr1g103540"
"167","Medtr1g105090"
"168","Medtr1g105700"
"169","Medtr1g106630"
"170","Medtr1g107215"
"171","Medtr1g107565"
"172","Medtr1g108910"
"173","Medtr1g109350"
"174","Medtr1g110290"
"175","Medtr1g110750"
"176","Medtr1g111630"
"177","Medtr1g112220"
"178","Medtr1g112630"
"179","Medtr1g114050"
"180","Medtr1g114150"
"181","Medtr1g114370"
"182","Medtr1g114560"
"183","Medtr1g115140"
"184","Medtr1g115185"
"185","Medtr1g115190"
"186","Medtr1g115210"
"187","Medtr1g115500"
"188","Medtr1g116280"
"189","Medtr1g116590"
"190","Medtr1g116660"
"191","Medtr1g116900"
"192","Medtr1g418545"
"193","Medtr1g442830"
"194","Medtr2g006740"
"195","Medtr2g007130"
"196","Medtr2g007800"
"197","Medtr2g008030"
"198","Medtr2g008410"
"199","Medtr2g008750"
"200","Medtr2g008980"
"201","Medtr2g010450"
"202","Medtr2g011720"
"203","Medtr2g012290"
"204","Medtr2g014870"
"205","Medtr2g015390"
"206","Medtr2g015790"
"207","Medtr2g015980"
"208","Medtr2g016020"
"209","Medtr2g016870"
"210","Medtr2g017915"
"211","Medtr2g017935"
"212","Medtr2g018310"
"213","Medtr2g018590"
"214","Medtr2g019320"
"215","Medtr2g020990"
"216","Medtr2g021150"
"217","Medtr2g021190"
"218","Medtr2g021220"
"219","Medtr2g021260"
"220","Medtr2g022100"
"221","Medtr2g022530"
"222","Medtr2g023500"
"223","Medtr2g023760"
"224","Medtr2g024440"
"225","Medtr2g025160"
"226","Medtr2g025420"
"227","Medtr2g025620"
