"","x"
"1","Medtr0001s0120"
"2","Medtr0003s0690"
"3","Medtr0006s0080"
"4","Medtr0009s0230"
"5","Medtr0016s0060"
"6","Medtr0027s0250"
"7","Medtr0028s0090"
"8","Medtr0047s0090"
"9","Medtr0049s0070"
"10","Medtr0052s0030"
"11","Medtr0053s0020"
"12","Medtr0054s0140"
"13","Medtr0057s0200"
"14","Medtr0065s0110"
"15","Medtr0069s0020"
"16","Medtr0072s0050"
"17","Medtr0082s0030"
"18","Medtr0092s0070"
"19","Medtr0140s0050"
"20","Medtr0160s0040"
"21","Medtr0177s0080"
"22","Medtr0274s0020"
"23","Medtr0291s0010"
"24","Medtr0308s0020"
"25","Medtr0360s0010"
"26","Medtr0406s0030"
"27","Medtr0484s0010"
"28","Medtr0590s0020"
"29","Medtr0691s0020"
"30","Medtr0922s0020"
"31","Medtr0929s0020"
"32","Medtr1543s0010"
"33","Medtr1g008710"
"34","Medtr1g009740"
"35","Medtr1g010000"
"36","Medtr1g010140"
"37","Medtr1g010230"
"38","Medtr1g012760"
"39","Medtr1g013030"
"40","Medtr1g013090"
"41","Medtr1g013650"
"42","Medtr1g014450"
"43","Medtr1g014730"
"44","Medtr1g015410"
"45","Medtr1g016330"
"46","Medtr1g017770"
"47","Medtr1g017940"
"48","Medtr1g018640"
"49","Medtr1g019240"
"50","Medtr1g019285"
"51","Medtr1g019610"
"52","Medtr1g019870"
"53","Medtr1g021150"
"54","Medtr1g021280"
"55","Medtr1g021435"
"56","Medtr1g022010"
"57","Medtr1g023600"
"58","Medtr1g024175"
"59","Medtr1g025140"
"60","Medtr1g025720"
"61","Medtr1g027050"
"62","Medtr1g027380"
"63","Medtr1g027440"
"64","Medtr1g027540"
"65","Medtr1g027960"
"66","Medtr1g027990"
"67","Medtr1g028320"
"68","Medtr1g028330"
"69","Medtr1g029540"
"70","Medtr1g029550"
"71","Medtr1g029720"
"72","Medtr1g030430"
"73","Medtr1g031320"
"74","Medtr1g031700"
"75","Medtr1g031740"
"76","Medtr1g032610"
"77","Medtr1g032630"
"78","Medtr1g033390"
"79","Medtr1g034180"
"80","Medtr1g035350"
"81","Medtr1g036710"
"82","Medtr1g038290"
"83","Medtr1g038300"
"84","Medtr1g041245"
"85","Medtr1g041380"
"86","Medtr1g041545"
"87","Medtr1g041695"
"88","Medtr1g041795"
"89","Medtr1g043450"
"90","Medtr1g049180"
"91","Medtr1g050140"
"92","Medtr1g050428"
"93","Medtr1g050445"
"94","Medtr1g050495"
"95","Medtr1g051165"
"96","Medtr1g052500"
"97","Medtr1g054450"
"98","Medtr1g054540"
"99","Medtr1g055135"
"100","Medtr1g055300"
"101","Medtr1g055435"
"102","Medtr1g056490"
"103","Medtr1g056890"
"104","Medtr1g057220"
"105","Medtr1g057650"
"106","Medtr1g057810"
"107","Medtr1g060280"
"108","Medtr1g060310"
"109","Medtr1g060610"
"110","Medtr1g060830"
"111","Medtr1g060860"
"112","Medtr1g061570"
"113","Medtr1g062130"
"114","Medtr1g062650"
"115","Medtr1g062760"
"116","Medtr1g067010"
"117","Medtr1g067220"
"118","Medtr1g069225"
"119","Medtr1g069855"
"120","Medtr1g070015"
"121","Medtr1g070020"
"122","Medtr1g070145"
"123","Medtr1g070480"
"124","Medtr1g072305"
"125","Medtr1g072545"
"126","Medtr1g072630"
"127","Medtr1g072640"
"128","Medtr1g073130"
"129","Medtr1g073660"
"130","Medtr1g073720"
"131","Medtr1g076710"
"132","Medtr1g077160"
"133","Medtr1g077560"
"134","Medtr1g077640"
"135","Medtr1g079140"
"136","Medtr1g079370"
"137","Medtr1g080300"
"138","Medtr1g082670"
"139","Medtr1g082940"
"140","Medtr1g083130"
"141","Medtr1g083740"
"142","Medtr1g084230"
"143","Medtr1g084750"
"144","Medtr1g084820"
"145","Medtr1g085280"
"146","Medtr1g088550"
"147","Medtr1g088710"
"148","Medtr1g088875"
"149","Medtr1g088970"
"150","Medtr1g089280"
"151","Medtr1g089900"
"152","Medtr1g090050"
"153","Medtr1g090770"
"154","Medtr1g090943"
"155","Medtr1g092670"
"156","Medtr1g094145"
"157","Medtr1g095085"
"158","Medtr1g095650"
"159","Medtr1g095880"
"160","Medtr1g095890"
"161","Medtr1g098320"
"162","Medtr1g098580"
"163","Medtr1g098760"
"164","Medtr1g099630"
"165","Medtr1g100355"
"166","Medtr1g100593"
"167","Medtr1g100597"
"168","Medtr1g100910"
"169","Medtr1g102070"
"170","Medtr1g102220"
"171","Medtr1g102450"
"172","Medtr1g102820"
"173","Medtr1g102870"
"174","Medtr1g103090"
"175","Medtr1g104800"
"176","Medtr1g105430"
"177","Medtr1g105585"
"178","Medtr1g107475"
"179","Medtr1g107500"
"180","Medtr1g107525"
"181","Medtr1g108785"
"182","Medtr1g108800"
"183","Medtr1g109630"
"184","Medtr1g111210"
"185","Medtr1g111980"
"186","Medtr1g112900"
"187","Medtr1g112980"
"188","Medtr1g114330"
"189","Medtr1g114650"
"190","Medtr1g114700"
"191","Medtr1g114750"
"192","Medtr1g115285"
"193","Medtr1g115295"
"194","Medtr1g115380"
