"","x"
"1","Medtr0003s0630"
"2","Medtr0006s0110"
"3","Medtr0006s0190"
"4","Medtr0006s0230"
"5","Medtr0007s0090"
"6","Medtr0015s0090"
"7","Medtr0018s0220"
"8","Medtr0019s0070"
"9","Medtr0019s0090"
"10","Medtr0024s0310"
"11","Medtr0029s0060"
"12","Medtr0034s0170"
"13","Medtr0043s0110"
"14","Medtr0057s0170"
"15","Medtr0065s0080"
"16","Medtr0078s0190"
"17","Medtr0085s0030"
"18","Medtr0087s0030"
"19","Medtr0087s0070"
"20","Medtr0088s0100"
"21","Medtr0091s0090"
"22","Medtr0094s0120"
"23","Medtr0103s0090"
"24","Medtr0137s0070"
"25","Medtr0146s0070"
"26","Medtr0152s0090"
"27","Medtr0154s0040"
"28","Medtr0184s0010"
"29","Medtr0214s0030"
"30","Medtr0221s0030"
"31","Medtr0237s0070"
"32","Medtr0252s0030"
"33","Medtr0257s0040"
"34","Medtr0318s0020"
"35","Medtr0339s0030"
"36","Medtr0365s0010"
"37","Medtr0393s0050"
"38","Medtr0415s0010"
"39","Medtr0419s0060"
"40","Medtr0504s0040"
"41","Medtr0618s0020"
"42","Medtr1099s0010"
"43","Medtr1113s0010"
"44","Medtr1319s0010"
"45","Medtr1325s0020"
"46","Medtr1454s0010"
"47","Medtr1g007180"
"48","Medtr1g007190"
"49","Medtr1g007380"
"50","Medtr1g007385"
"51","Medtr1g007690"
"52","Medtr1g008170"
"53","Medtr1g008500"
"54","Medtr1g009260"
"55","Medtr1g009850"
"56","Medtr1g011600"
"57","Medtr1g012190"
"58","Medtr1g012610"
"59","Medtr1g014190"
"60","Medtr1g014510"
"61","Medtr1g015300"
"62","Medtr1g015920"
"63","Medtr1g016480"
"64","Medtr1g017120"
"65","Medtr1g018750"
"66","Medtr1g019130"
"67","Medtr1g021330"
"68","Medtr1g021610"
"69","Medtr1g022040"
"70","Medtr1g022070"
"71","Medtr1g023140"
"72","Medtr1g023160"
"73","Medtr1g024145"
"74","Medtr1g025340"
"75","Medtr1g025780"
"76","Medtr1g026160"
"77","Medtr1g026940"
"78","Medtr1g027030"
"79","Medtr1g027970"
"80","Medtr1g028720"
"81","Medtr1g028960"
"82","Medtr1g029660"
"83","Medtr1g032570"
"84","Medtr1g033180"
"85","Medtr1g034040"
"86","Medtr1g034060"
"87","Medtr1g035760"
"88","Medtr1g037730"
"89","Medtr1g037820"
"90","Medtr1g038260"
"91","Medtr1g038560"
"92","Medtr1g041310"
"93","Medtr1g041395"
"94","Medtr1g041615"
"95","Medtr1g043030"
"96","Medtr1g043775"
"97","Medtr1g046450"
"98","Medtr1g046620"
"99","Medtr1g046790"
"100","Medtr1g047610"
"101","Medtr1g048710"
"102","Medtr1g050322"
"103","Medtr1g050518"
"104","Medtr1g050528"
"105","Medtr1g051120"
"106","Medtr1g051365"
"107","Medtr1g051645"
"108","Medtr1g051685"
"109","Medtr1g052260"
"110","Medtr1g053175"
"111","Medtr1g053800"
"112","Medtr1g054050"
"113","Medtr1g054855"
"114","Medtr1g055185"
"115","Medtr1g055415"
"116","Medtr1g057420"
"117","Medtr1g058230"
"118","Medtr1g058280"
"119","Medtr1g060050"
"120","Medtr1g060680"
"121","Medtr1g062190"
"122","Medtr1g062370"
"123","Medtr1g063870"
"124","Medtr1g066530"
"125","Medtr1g066930"
"126","Medtr1g069495"
"127","Medtr1g069915"
"128","Medtr1g070140"
"129","Medtr1g070400"
"130","Medtr1g070860"
"131","Medtr1g070970"
"132","Medtr1g071010"
"133","Medtr1g071130"
"134","Medtr1g071150"
"135","Medtr1g071530"
"136","Medtr1g073160"
"137","Medtr1g073400"
"138","Medtr1g073730"
"139","Medtr1g073990"
"140","Medtr1g074250"
"141","Medtr1g075153"
"142","Medtr1g075780"
"143","Medtr1g075865"
"144","Medtr1g076730"
"145","Medtr1g076890"
"146","Medtr1g077000"
"147","Medtr1g078160"
"148","Medtr1g078370"
"149","Medtr1g078420"
"150","Medtr1g079270"
"151","Medtr1g080210"
"152","Medtr1g081570"
"153","Medtr1g081665"
"154","Medtr1g081840"
"155","Medtr1g082750"
"156","Medtr1g083380"
"157","Medtr1g083620"
"158","Medtr1g084050"
"159","Medtr1g084080"
"160","Medtr1g085050"
"161","Medtr1g085460"
"162","Medtr1g085700"
"163","Medtr1g086070"
"164","Medtr1g086320"
"165","Medtr1g087030"
"166","Medtr1g087390"
"167","Medtr1g087935"
"168","Medtr1g088845"
"169","Medtr1g089160"
"170","Medtr1g090060"
"171","Medtr1g090150"
"172","Medtr1g090250"
"173","Medtr1g090530"
"174","Medtr1g092465"
"175","Medtr1g092630"
"176","Medtr1g092870"
"177","Medtr1g094810"
"178","Medtr1g094860"
"179","Medtr1g095080"
"180","Medtr1g097450"
"181","Medtr1g097910"
"182","Medtr1g097935"
"183","Medtr1g098140"
"184","Medtr1g100220"
"185","Medtr1g100763"
"186","Medtr1g100800"
"187","Medtr1g102550"
"188","Medtr1g103450"
"189","Medtr1g103650"
"190","Medtr1g105020"
"191","Medtr1g105150"
"192","Medtr1g105360"
"193","Medtr1g106035"
"194","Medtr1g106945"
"195","Medtr1g107055"
"196","Medtr1g107365"
"197","Medtr1g108790"
"198","Medtr1g109240"
"199","Medtr1g109430"
"200","Medtr1g110370"
"201","Medtr1g110710"
"202","Medtr1g112630"
"203","Medtr1g112950"
"204","Medtr1g112990"
"205","Medtr1g113020"
"206","Medtr1g115410"
"207","Medtr1g115820"
"208","Medtr1g115860"
"209","Medtr1g116010"
"210","Medtr1g492700"
"211","Medtr2177s0010"
"212","Medtr2g005350"
"213","Medtr2g007360"
