"","x"
"1","Medtr0002s0900"
"2","Medtr0006s0250"
"3","Medtr0009s0100"
"4","Medtr0020s0130"
"5","Medtr0058s0010"
"6","Medtr0144s0010"
"7","Medtr0147s0010"
"8","Medtr0170s0020"
"9","Medtr0180s0050"
"10","Medtr0189s0030"
"11","Medtr0197s0010"
"12","Medtr0287s0050"
"13","Medtr0475s0020"
"14","Medtr0493s0030"
"15","Medtr0551s0020"
"16","Medtr0591s0010"
"17","Medtr0929s0010"
"18","Medtr1396s0010"
"19","Medtr1g004990"
"20","Medtr1g007170"
"21","Medtr1g008670"
"22","Medtr1g012590"
"23","Medtr1g015040"
"24","Medtr1g015860"
"25","Medtr1g018140"
"26","Medtr1g018320"
"27","Medtr1g018810"
"28","Medtr1g019110"
"29","Medtr1g019360"
"30","Medtr1g021380"
"31","Medtr1g021895"
"32","Medtr1g021950"
"33","Medtr1g022300"
"34","Medtr1g022395"
"35","Medtr1g024850"
"36","Medtr1g025550"
"37","Medtr1g026750"
"38","Medtr1g026790"
"39","Medtr1g026810"
"40","Medtr1g027320"
"41","Medtr1g028890"
"42","Medtr1g029280"
"43","Medtr1g030480"
"44","Medtr1g030600"
"45","Medtr1g030760"
"46","Medtr1g031060"
"47","Medtr1g031080"
"48","Medtr1g031150"
"49","Medtr1g031930"
"50","Medtr1g032220"
"51","Medtr1g033440"
"52","Medtr1g033600"
"53","Medtr1g033620"
"54","Medtr1g033670"
"55","Medtr1g034120"
"56","Medtr1g034330"
"57","Medtr1g034390"
"58","Medtr1g036420"
"59","Medtr1g036840"
"60","Medtr1g040430"
"61","Medtr1g040635"
"62","Medtr1g040925"
"63","Medtr1g041390"
"64","Medtr1g041525"
"65","Medtr1g043610"
"66","Medtr1g044340"
"67","Medtr1g044670"
"68","Medtr1g045660"
"69","Medtr1g046200"
"70","Medtr1g047800"
"71","Medtr1g050448"
"72","Medtr1g050520"
"73","Medtr1g052470"
"74","Medtr1g052770"
"75","Medtr1g054550"
"76","Medtr1g060190"
"77","Medtr1g061710"
"78","Medtr1g061870"
"79","Medtr1g062980"
"80","Medtr1g063240"
"81","Medtr1g066980"
"82","Medtr1g067050"
"83","Medtr1g069530"
"84","Medtr1g070365"
"85","Medtr1g071780"
"86","Medtr1g072690"
"87","Medtr1g073860"
"88","Medtr1g074030"
"89","Medtr1g074880"
"90","Medtr1g075280"
"91","Medtr1g075870"
"92","Medtr1g078190"
"93","Medtr1g078280"
"94","Medtr1g078470"
"95","Medtr1g081620"
"96","Medtr1g081625"
"97","Medtr1g081910"
"98","Medtr1g082270"
"99","Medtr1g082730"
"100","Medtr1g083230"
"101","Medtr1g083310"
"102","Medtr1g085500"
"103","Medtr1g086840"
"104","Medtr1g087200"
"105","Medtr1g088170"
"106","Medtr1g088660"
"107","Medtr1g089130"
"108","Medtr1g090035"
"109","Medtr1g090683"
"110","Medtr1g092490"
"111","Medtr1g093670"
"112","Medtr1g093800"
"113","Medtr1g095510"
"114","Medtr1g095550"
"115","Medtr1g096290"
"116","Medtr1g096910"
"117","Medtr1g097560"
"118","Medtr1g097880"
"119","Medtr1g098250"
"120","Medtr1g098310"
"121","Medtr1g098350"
"122","Medtr1g098740"
"123","Medtr1g098790"
"124","Medtr1g099010"
"125","Medtr1g101630"
"126","Medtr1g105075"
"127","Medtr1g105555"
"128","Medtr1g107325"
"129","Medtr1g107555"
"130","Medtr1g108650"
"131","Medtr1g110690"
"132","Medtr1g110760"
"133","Medtr1g112060"
"134","Medtr1g112240"
"135","Medtr1g112510"
"136","Medtr1g114410"
"137","Medtr1g114510"
"138","Medtr1g114610"
"139","Medtr1g115420"
"140","Medtr1g115440"
"141","Medtr1g115560"
"142","Medtr1g115980"
"143","Medtr1g116080"
"144","Medtr1g484940"
"145","Medtr1g485000"
"146","Medtr2g006730"
"147","Medtr2g007970"
"148","Medtr2g008620"
"149","Medtr2g008970"
"150","Medtr2g010800"
"151","Medtr2g010870"
"152","Medtr2g010970"
"153","Medtr2g011230"
"154","Medtr2g012420"
"155","Medtr2g013230"
"156","Medtr2g013500"
"157","Medtr2g014240"
"158","Medtr2g014830"
"159","Medtr2g015750"
"160","Medtr2g015970"
"161","Medtr2g016470"
"162","Medtr2g016530"
"163","Medtr2g016630"
"164","Medtr2g017925"
"165","Medtr2g018090"
"166","Medtr2g018780"
"167","Medtr2g019190"
"168","Medtr2g020520"
"169","Medtr2g021400"
"170","Medtr2g021660"
"171","Medtr2g021720"
"172","Medtr2g021790"
"173","Medtr2g022060"
"174","Medtr2g024310"
"175","Medtr2g025580"
"176","Medtr2g025730"
"177","Medtr2g026040"
"178","Medtr2g026140"
"179","Medtr2g026160"
"180","Medtr2g029800"
"181","Medtr2g029990"
"182","Medtr2g031520"
"183","Medtr2g033630"
"184","Medtr2g034140"
"185","Medtr2g034880"
"186","Medtr2g035310"
"187","Medtr2g035630"
"188","Medtr2g037565"
"189","Medtr2g037855"
"190","Medtr2g039480"
"191","Medtr2g040570"
"192","Medtr2g041400"
"193","Medtr2g045140"
"194","Medtr2g049410"
"195","Medtr2g060050"
"196","Medtr2g061790"
"197","Medtr2g062220"
"198","Medtr2g063110"
"199","Medtr2g067360"
"200","Medtr2g068840"
"201","Medtr2g068950"
"202","Medtr2g070580"
"203","Medtr2g072520"
"204","Medtr2g073190"
"205","Medtr2g073560"
"206","Medtr2g078970"
"207","Medtr2g079280"
"208","Medtr2g079670"
"209","Medtr2g080010"
"210","Medtr2g080080"
"211","Medtr2g082570"
"212","Medtr2g082580"
"213","Medtr2g082590"
"214","Medtr2g083210"
"215","Medtr2g083920"
"216","Medtr2g084715"
"217","Medtr2g085370"
"218","Medtr2g086440"
"219","Medtr2g087120"
"220","Medtr2g087610"
"221","Medtr2g088240"
"222","Medtr2g089990"
"223","Medtr2g090060"
"224","Medtr2g090775"
"225","Medtr2g093130"
"226","Medtr2g093760"
"227","Medtr2g094130"
"228","Medtr2g094520"
"229","Medtr2g095920"
"230","Medtr2g095980"
"231","Medtr2g096950"
"232","Medtr2g097710"
"233","Medtr2g099490"
"234","Medtr2g100710"
"235","Medtr2g100780"
"236","Medtr2g101120"
"237","Medtr2g101190"
"238","Medtr2g101340"
"239","Medtr2g101560"
"240","Medtr2g101870"
"241","Medtr2g101950"
"242","Medtr2g103480"
"243","Medtr2g103490"
