"","x"
"black","Medtr1g029720"
"blue","Medtr3g106250"
"brown","Medtr8g432480"
"cyan","Medtr1g042160"
"darkred","Medtr0050s0130"
"green","Medtr2g100600"
"greenyellow","Medtr2g078210"
"grey60","Medtr0010s0050"
"lightcyan","Medtr0257s0060"
"lightgreen","Medtr5g080020"
"lightyellow","Medtr5g008705"
"magenta","Medtr6g015675"
"midnightblue","Medtr5g027950"
"pink","Medtr0024s0120"
"purple","Medtr4g035200"
"red","Medtr0005s0230"
"royalblue","Medtr3g061480"
"salmon","Medtr6g022140"
"tan","Medtr0334s0010"
"turquoise","Medtr5g023520"
"yellow","Medtr0003s0090"
