"","x"
"black","Medtr5g056735"
"blue","Medtr4g077660"
"brown","Medtr7g012020"
"cyan","Medtr6g042030"
"green","Medtr0009s0100"
"greenyellow","Medtr8g092930"
"grey60","Medtr7g080530"
"lightcyan","Medtr7g076885"
"lightgreen","Medtr2g007300"
"lightyellow","Medtr2g034410"
"magenta","Medtr6g041980"
"midnightblue","Medtr4g036080"
"pink","Medtr0019s0320"
"purple","Medtr1g089980"
"red","Medtr1g084060"
"royalblue","Medtr4g133800"
"salmon","Medtr4g050410"
"tan","Medtr5g071060"
"turquoise","Medtr8g098410"
"yellow","Medtr1g032140"
