"","x"
"1","Medtr0004s0650"
"2","Medtr0009s0500"
"3","Medtr0015s0060"
"4","Medtr0109s0050"
"5","Medtr0268s0020"
"6","Medtr0291s0010"
"7","Medtr0308s0020"
"8","Medtr0370s0010"
"9","Medtr0380s0030"
"10","Medtr0400s0010"
"11","Medtr0419s0010"
"12","Medtr0425s0010"
"13","Medtr0530s0020"
"14","Medtr0623s0010"
"15","Medtr1g009210"
"16","Medtr1g015020"
"17","Medtr1g016120"
"18","Medtr1g018420"
"19","Medtr1g018515"
"20","Medtr1g025960"
"21","Medtr1g026710"
"22","Medtr1g030630"
"23","Medtr1g030770"
"24","Medtr1g034480"
"25","Medtr1g037560"
"26","Medtr1g040730"
"27","Medtr1g041605"
"28","Medtr1g043110"
"29","Medtr1g043840"
"30","Medtr1g046480"
"31","Medtr1g048610"
"32","Medtr1g051310"
"33","Medtr1g056560"
"34","Medtr1g058490"
"35","Medtr1g059630"
"36","Medtr1g062740"
"37","Medtr1g070080"
"38","Medtr1g070250"
"39","Medtr1g072530"
"40","Medtr1g074950"
"41","Medtr1g076650"
"42","Medtr1g076730"
"43","Medtr1g076910"
"44","Medtr1g077760"
"45","Medtr1g081750"
"46","Medtr1g081760"
"47","Medtr1g087720"
"48","Medtr1g089310"
"49","Medtr1g089940"
"50","Medtr1g090220"
"51","Medtr1g090280"
"52","Medtr1g099040"
"53","Medtr1g100150"
"54","Medtr1g101330"
"55","Medtr1g101850"
"56","Medtr1g102160"
"57","Medtr1g102810"
"58","Medtr1g103870"
"59","Medtr1g104513"
"60","Medtr1g106995"
"61","Medtr1g110810"
"62","Medtr1g112090"
"63","Medtr1g112610"
"64","Medtr1g112780"
"65","Medtr1g113700"
"66","Medtr2177s0010"
"67","Medtr2g007060"
"68","Medtr2g008470"
"69","Medtr2g009200"
"70","Medtr2g010200"
"71","Medtr2g011080"
"72","Medtr2g012260"
"73","Medtr2g013470"
"74","Medtr2g013480"
"75","Medtr2g016640"
"76","Medtr2g017660"
"77","Medtr2g021580"
"78","Medtr2g021800"
"79","Medtr2g025200"
"80","Medtr2g026420"
"81","Medtr2g028950"
"82","Medtr2g031780"
"83","Medtr2g032610"
"84","Medtr2g036900"
"85","Medtr2g039320"
"86","Medtr2g039760"
"87","Medtr2g039770"
"88","Medtr2g044020"
"89","Medtr2g045080"
"90","Medtr2g045420"
"91","Medtr2g066123"
"92","Medtr2g066790"
"93","Medtr2g067980"
"94","Medtr2g078850"
"95","Medtr2g080230"
"96","Medtr2g086420"
"97","Medtr2g086690"
"98","Medtr2g087985"
"99","Medtr2g091180"
"100","Medtr2g091260"
"101","Medtr2g097580"
"102","Medtr2g097620"
"103","Medtr2g099520"
"104","Medtr2g100150"
"105","Medtr2g100550"
"106","Medtr2g104230"
"107","Medtr2g435590"
"108","Medtr3g005060"
"109","Medtr3g005330"
"110","Medtr3g011820"
"111","Medtr3g013530"
"112","Medtr3g015260"
"113","Medtr3g019050"
"114","Medtr3g020560"
