"","x"
"1","Medtr0011s0310"
"2","Medtr0067s0070"
"3","Medtr0078s0060"
"4","Medtr0458s0010"
"5","Medtr1g008675"
"6","Medtr1g016620"
"7","Medtr1g018090"
"8","Medtr1g022150"
"9","Medtr1g023125"
"10","Medtr1g037650"
"11","Medtr1g040315"
"12","Medtr1g054340"
"13","Medtr1g055255"
"14","Medtr1g060440"
"15","Medtr1g061640"
"16","Medtr1g061850"
"17","Medtr1g066400"
"18","Medtr1g069325"
"19","Medtr1g072570"
"20","Medtr1g079180"
"21","Medtr1g079925"
"22","Medtr1g083520"
"23","Medtr1g086080"
"24","Medtr1g088110"
"25","Medtr1g096980"
"26","Medtr1g099500"
"27","Medtr1g100200"
"28","Medtr1g102335"
"29","Medtr1g106215"
"30","Medtr1g116953"
"31","Medtr1g442790"
"32","Medtr2g010960"
"33","Medtr2g013000"
"34","Medtr2g013120"
"35","Medtr2g015050"
"36","Medtr2g019750"
"37","Medtr2g020730"
"38","Medtr2g026530"
"39","Medtr2g028530"
"40","Medtr2g031390"
"41","Medtr2g035120"
"42","Medtr2g043250"
"43","Medtr2g058990"
"44","Medtr2g062850"
"45","Medtr2g065730"
"46","Medtr2g070060"
"47","Medtr2g072100"
"48","Medtr2g073020"
"49","Medtr2g082190"
"50","Medtr2g084340"
"51","Medtr2g086480"
"52","Medtr2g087980"
"53","Medtr2g090695"
"54","Medtr2g096850"
"55","Medtr2g098060"
"56","Medtr2g100250"
"57","Medtr2g101460"
"58","Medtr2g101830"
"59","Medtr2g101980"
"60","Medtr2g426060"
"61","Medtr2g437600"
"62","Medtr2g437770"
"63","Medtr2g450160"
"64","Medtr3g010780"
"65","Medtr3g011270"
"66","Medtr3g015560"
"67","Medtr3g020620"
"68","Medtr3g022210"
"69","Medtr3g022930"
"70","Medtr3g023270"
"71","Medtr3g023870"
"72","Medtr3g025470"
"73","Medtr3g026220"
"74","Medtr3g026780"
"75","Medtr3g032210"
"76","Medtr3g034990"
"77","Medtr3g055610"
"78","Medtr3g069500"
"79","Medtr3g069800"
"80","Medtr3g071470"
"81","Medtr3g071670"
"82","Medtr3g071980"
"83","Medtr3g076530"
"84","Medtr3g078340"
"85","Medtr3g080780"
