"","x"
"1","Medtr0002s0890"
"2","Medtr0004s0480"
"3","Medtr0009s0190"
"4","Medtr0009s0380"
"5","Medtr0009s0500"
"6","Medtr0024s0120"
"7","Medtr0024s0320"
"8","Medtr0027s0010"
"9","Medtr0036s0220"
"10","Medtr0092s0090"
"11","Medtr0100s0150"
"12","Medtr0100s0160"
"13","Medtr0100s0190"
"14","Medtr0115s0020"
"15","Medtr0121s0060"
"16","Medtr0151s0030"
"17","Medtr0188s0020"
"18","Medtr0191s0030"
"19","Medtr0242s0020"
"20","Medtr0242s0030"
"21","Medtr0320s0040"
"22","Medtr0384s0020"
"23","Medtr0416s0030"
"24","Medtr0419s0020"
"25","Medtr0493s0020"
"26","Medtr0512s0030"
"27","Medtr0551s0020"
"28","Medtr0572s0010"
"29","Medtr0608s0010"
"30","Medtr0624s0020"
"31","Medtr1454s0010"
"32","Medtr1g007030"
"33","Medtr1g007220"
"34","Medtr1g007230"
"35","Medtr1g008670"
"36","Medtr1g008900"
"37","Medtr1g009270"
"38","Medtr1g010040"
"39","Medtr1g010280"
"40","Medtr1g011720"
"41","Medtr1g012010"
"42","Medtr1g014130"
"43","Medtr1g015050"
"44","Medtr1g015710"
"45","Medtr1g016170"
"46","Medtr1g016235"
"47","Medtr1g017910"
"48","Medtr1g017940"
"49","Medtr1g019040"
"50","Medtr1g019715"
"51","Medtr1g021280"
"52","Medtr1g021350"
"53","Medtr1g021845"
"54","Medtr1g022060"
"55","Medtr1g022215"
"56","Medtr1g023040"
"57","Medtr1g025600"
"58","Medtr1g025870"
"59","Medtr1g025910"
"60","Medtr1g026860"
"61","Medtr1g027170"
"62","Medtr1g027310"
"63","Medtr1g027500"
"64","Medtr1g027890"
"65","Medtr1g028280"
"66","Medtr1g028360"
"67","Medtr1g031150"
"68","Medtr1g031700"
"69","Medtr1g032480"
"70","Medtr1g032710"
"71","Medtr1g033660"
"72","Medtr1g033750"
"73","Medtr1g034340"
"74","Medtr1g035890"
"75","Medtr1g036860"
"76","Medtr1g037560"
"77","Medtr1g037750"
"78","Medtr1g039030"
"79","Medtr1g039990"
"80","Medtr1g040083"
"81","Medtr1g041895"
"82","Medtr1g043180"
"83","Medtr1g043290"
"84","Medtr1g043400"
"85","Medtr1g044450"
"86","Medtr1g045100"
"87","Medtr1g045370"
"88","Medtr1g045850"
"89","Medtr1g046600"
"90","Medtr1g046660"
"91","Medtr1g046690"
"92","Medtr1g046820"
"93","Medtr1g047150"
"94","Medtr1g048370"
"95","Medtr1g049060"
"96","Medtr1g050385"
"97","Medtr1g050495"
"98","Medtr1g051165"
"99","Medtr1g052685"
"100","Medtr1g053480"
"101","Medtr1g053525"
"102","Medtr1g053560"
"103","Medtr1g054100"
"104","Medtr1g054285"
"105","Medtr1g054525"
"106","Medtr1g054600"
"107","Medtr1g054730"
"108","Medtr1g054735"
"109","Medtr1g055085"
"110","Medtr1g055315"
"111","Medtr1g055325"
"112","Medtr1g056280"
"113","Medtr1g057890"
"114","Medtr1g057940"
"115","Medtr1g059630"
"116","Medtr1g059700"
"117","Medtr1g060990"
"118","Medtr1g062530"
"119","Medtr1g063230"
"120","Medtr1g063920"
"121","Medtr1g064390"
"122","Medtr1g069300"
"123","Medtr1g069420"
"124","Medtr1g069720"
"125","Medtr1g069805"
"126","Medtr1g070220"
"127","Medtr1g070280"
"128","Medtr1g070860"
"129","Medtr1g071390"
