"","x"
"1","Medtr0025s0060"
"2","Medtr0051s0090"
"3","Medtr0067s0010"
"4","Medtr0082s0230"
"5","Medtr0116s0130"
"6","Medtr0238s0050"
"7","Medtr0288s0020"
"8","Medtr0421s0010"
"9","Medtr0421s0020"
"10","Medtr0458s0010"
"11","Medtr0623s0020"
"12","Medtr1g007810"
"13","Medtr1g008620"
"14","Medtr1g008980"
"15","Medtr1g010250"
"16","Medtr1g012740"
"17","Medtr1g015620"
"18","Medtr1g018620"
"19","Medtr1g022125"
"20","Medtr1g022200"
"21","Medtr1g022290"
"22","Medtr1g023880"
"23","Medtr1g031220"
"24","Medtr1g032590"
"25","Medtr1g034350"
"26","Medtr1g047210"
"27","Medtr1g050502"
"28","Medtr1g054365"
"29","Medtr1g054370"
"30","Medtr1g054880"
"31","Medtr1g060460"
"32","Medtr1g060570"
"33","Medtr1g060620"
"34","Medtr1g062650"
"35","Medtr1g064630"
"36","Medtr1g066390"
"37","Medtr1g066930"
"38","Medtr1g072500"
"39","Medtr1g079440"
"40","Medtr1g085640"
"41","Medtr1g085700"
"42","Medtr1g088040"
"43","Medtr1g088110"
"44","Medtr1g090070"
"45","Medtr1g090937"
"46","Medtr1g094810"
"47","Medtr1g096260"
"48","Medtr1g097270"
"49","Medtr1g097560"
"50","Medtr1g099610"
"51","Medtr1g099840"
"52","Medtr1g100200"
"53","Medtr1g100880"
"54","Medtr1g101880"
"55","Medtr1g102430"
"56","Medtr1g103060"
"57","Medtr1g104810"
"58","Medtr1g107545"
"59","Medtr1g109590"
"60","Medtr1g111010"
"61","Medtr1g113020"
"62","Medtr1g115890"
"63","Medtr1g116970"
"64","Medtr2g007020"
"65","Medtr2g007360"
"66","Medtr2g008130"
"67","Medtr2g010600"
"68","Medtr2g010960"
"69","Medtr2g011600"
"70","Medtr2g014740"
"71","Medtr2g017420"
"72","Medtr2g017470"
"73","Medtr2g018125"
"74","Medtr2g020020"
"75","Medtr2g022760"
"76","Medtr2g023980"
"77","Medtr2g023990"
"78","Medtr2g028380"
"79","Medtr2g029800"
"80","Medtr2g030540"
"81","Medtr2g033980"
"82","Medtr2g040470"
"83","Medtr2g041670"
"84","Medtr2g048860"
"85","Medtr2g049340"
"86","Medtr2g062340"
"87","Medtr2g064620"
"88","Medtr2g072020"
"89","Medtr2g073540"
"90","Medtr2g079300"
"91","Medtr2g082450"
"92","Medtr2g084140"
"93","Medtr2g084340"
"94","Medtr2g084475"
"95","Medtr2g087980"
"96","Medtr2g094940"
"97","Medtr2g095130"
"98","Medtr2g096110"
"99","Medtr2g097020"
"100","Medtr2g097710"
"101","Medtr2g098060"
"102","Medtr2g098400"
"103","Medtr2g099530"
"104","Medtr2g104050"
"105","Medtr2g104465"
"106","Medtr2g104500"
"107","Medtr2g435560"
"108","Medtr2g436410"
"109","Medtr2g436870"
"110","Medtr2g437440"
"111","Medtr2g437770"
"112","Medtr2g438230"
"113","Medtr2g461310"
"114","Medtr3g005170"
"115","Medtr3g007920"
"116","Medtr3g009520"
"117","Medtr3g010780"
"118","Medtr3g015560"
"119","Medtr3g019260"
"120","Medtr3g020420"
"121","Medtr3g020490"
"122","Medtr3g022732"
"123","Medtr3g022930"
"124","Medtr3g027200"
"125","Medtr3g030970"
"126","Medtr3g033020"
"127","Medtr3g034100"
"128","Medtr3g035970"
"129","Medtr3g045840"
"130","Medtr3g053180"
"131","Medtr3g053330"
"132","Medtr3g055260"
"133","Medtr3g055610"
"134","Medtr3g056360"
"135","Medtr3g056675"
"136","Medtr3g072800"
"137","Medtr3g076560"
"138","Medtr3g076770"
"139","Medtr3g077110"
"140","Medtr3g077280"
"141","Medtr3g078633"
"142","Medtr3g080050"
"143","Medtr3g082700"
"144","Medtr3g083160"
"145","Medtr3g083660"
"146","Medtr3g084960"
"147","Medtr3g085885"
"148","Medtr3g088625"
"149","Medtr3g088750"
"150","Medtr3g090655"
"151","Medtr3g092170"
"152","Medtr3g092260"
"153","Medtr3g093730"
"154","Medtr3g093940"
"155","Medtr3g098560"
"156","Medtr3g098720"
"157","Medtr3g098800"
"158","Medtr3g098840"
"159","Medtr3g103030"
"160","Medtr3g104740"
"161","Medtr3g111020"
"162","Medtr3g111190"
"163","Medtr3g111990"
"164","Medtr3g117090"
"165","Medtr3g117420"
"166","Medtr3g408360"
"167","Medtr3g452600"
"168","Medtr3g466220"
"169","Medtr3g466350"
"170","Medtr4g005390"
"171","Medtr4g008780"
"172","Medtr4g010200"
"173","Medtr4g012060"
"174","Medtr4g020640"
"175","Medtr4g020660"
"176","Medtr4g020850"
"177","Medtr4g021790"
"178","Medtr4g022760"
"179","Medtr4g025730"
"180","Medtr4g027195"
"181","Medtr4g028140"
"182","Medtr4g033390"
"183","Medtr4g036505"
"184","Medtr4g037615"
"185","Medtr4g051210"
"186","Medtr4g051652"
"187","Medtr4g052780"
"188","Medtr4g055040"
"189","Medtr4g056070"
"190","Medtr4g058700"
"191","Medtr4g058730"
"192","Medtr4g060510"
"193","Medtr4g060580"
"194","Medtr4g064550"
"195","Medtr4g066250"
"196","Medtr4g068290"
"197","Medtr4g068990"
"198","Medtr4g072370"
"199","Medtr4g074960"
"200","Medtr4g075540"
"201","Medtr4g078505"
"202","Medtr4g085480"
"203","Medtr4g085590"
"204","Medtr4g085800"
"205","Medtr4g086330"
"206","Medtr4g086410"
"207","Medtr4g087100"
"208","Medtr4g091900"
"209","Medtr4g092070"
"210","Medtr4g093510"
"211","Medtr4g094208"
"212","Medtr4g094245"
"213","Medtr4g094570"
"214","Medtr4g098700"
"215","Medtr4g100640"
"216","Medtr4g102450"
"217","Medtr4g102620"
"218","Medtr4g109810"
"219","Medtr4g115300"
"220","Medtr4g119990"
"221","Medtr4g120750"
"222","Medtr4g132540"
"223","Medtr4g133550"
"224","Medtr4g133800"
"225","Medtr4g133870"
"226","Medtr5g006345"
"227","Medtr5g006810"
"228","Medtr5g010370"
"229","Medtr5g011060"
"230","Medtr5g012490"
"231","Medtr5g015855"
"232","Medtr5g016470"
"233","Medtr5g018350"
"234","Medtr5g020090"
"235","Medtr5g020740"
"236","Medtr5g024420"
"237","Medtr5g029750"
"238","Medtr5g030570"
"239","Medtr5g038490"
"240","Medtr5g041610"
"241","Medtr5g043685"
"242","Medtr5g044100"
"243","Medtr5g044250"
"244","Medtr5g044910"
"245","Medtr5g048470"
"246","Medtr5g058810"
"247","Medtr5g059930"
"248","Medtr5g063200"
"249","Medtr5g065200"
"250","Medtr5g066840"
"251","Medtr5g069340"
"252","Medtr5g070082"
"253","Medtr5g074970"
"254","Medtr5g076330"
"255","Medtr5g078080"
"256","Medtr5g078500"
"257","Medtr5g078510"
"258","Medtr5g081290"
"259","Medtr5g082920"
"260","Medtr5g083910"
"261","Medtr5g086040"
"262","Medtr5g087360"
"263","Medtr5g089835"
"264","Medtr5g090940"
