"","x"
"1","Medtr0002s0900"
"2","Medtr0002s1200"
"3","Medtr0005s0200"
"4","Medtr0008s0470"
"5","Medtr0015s0120"
"6","Medtr0018s0170"
"7","Medtr0021s0370"
"8","Medtr0027s0090"
"9","Medtr0031s0060"
"10","Medtr0036s0280"
"11","Medtr0078s0010"
"12","Medtr0082s0190"
"13","Medtr0087s0040"
"14","Medtr0094s0120"
"15","Medtr0202s0070"
"16","Medtr0286s0050"
"17","Medtr0460s0010"
"18","Medtr0690s0010"
"19","Medtr1194s0010"
"20","Medtr1g010300"
"21","Medtr1g011400"
"22","Medtr1g012590"
"23","Medtr1g013630"
"24","Medtr1g014450"
"25","Medtr1g015970"
"26","Medtr1g018020"
"27","Medtr1g018650"
"28","Medtr1g019240"
"29","Medtr1g019270"
"30","Medtr1g019550"
"31","Medtr1g019600"
"32","Medtr1g021390"
"33","Medtr1g021915"
"34","Medtr1g022970"
"35","Medtr1g023690"
"36","Medtr1g025655"
"37","Medtr1g026850"
"38","Medtr1g027200"
"39","Medtr1g027640"
"40","Medtr1g029600"
"41","Medtr1g029610"
"42","Medtr1g029810"
"43","Medtr1g030630"
"44","Medtr1g031510"
"45","Medtr1g032430"
"46","Medtr1g032460"
"47","Medtr1g034300"
"48","Medtr1g040175"
"49","Medtr1g040195"
"50","Medtr1g040575"
"51","Medtr1g041290"
"52","Medtr1g048610"
"53","Medtr1g050465"
"54","Medtr1g051115"
"55","Medtr1g052855"
"56","Medtr1g052885"
"57","Medtr1g053575"
"58","Medtr1g054340"
"59","Medtr1g054965"
"60","Medtr1g056560"
"61","Medtr1g060430"
"62","Medtr1g061870"
"63","Medtr1g062880"
"64","Medtr1g063910"
"65","Medtr1g069200"
"66","Medtr1g069370"
"67","Medtr1g069745"
"68","Medtr1g069945"
"69","Medtr1g072530"
"70","Medtr1g074030"
"71","Medtr1g076400"
"72","Medtr1g076650"
"73","Medtr1g081290"
"74","Medtr1g081720"
"75","Medtr1g082550"
"76","Medtr1g083520"
"77","Medtr1g085300"
"78","Medtr1g087935"
"79","Medtr1g088150"
"80","Medtr1g088940"
"81","Medtr1g090320"
"82","Medtr1g090520"
"83","Medtr1g092570"
"84","Medtr1g093210"
"85","Medtr1g094185"
"86","Medtr1g096270"
"87","Medtr1g096980"
"88","Medtr1g098370"
"89","Medtr1g098890"
"90","Medtr1g099150"
"91","Medtr1g099280"
"92","Medtr1g102190"
"93","Medtr1g102240"
"94","Medtr1g102360"
"95","Medtr1g104850"
"96","Medtr1g105885"
"97","Medtr1g107375"
"98","Medtr1g110270"
"99","Medtr1g110290"
"100","Medtr1g110370"
"101","Medtr1g110670"
"102","Medtr1g115165"
"103","Medtr1g115575"
"104","Medtr1g115940"
"105","Medtr1g115950"
"106","Medtr2g005070"
"107","Medtr2g005910"
"108","Medtr2g010180"
"109","Medtr2g011170"
"110","Medtr2g011335"
"111","Medtr2g012630"
"112","Medtr2g014120"
"113","Medtr2g016680"
"114","Medtr2g017740"
"115","Medtr2g018010"
"116","Medtr2g019000"
"117","Medtr2g021190"
"118","Medtr2g021580"
"119","Medtr2g026010"
"120","Medtr2g026080"
"121","Medtr2g028170"
"122","Medtr2g028830"
"123","Medtr2g031490"
"124","Medtr2g033820"
"125","Medtr2g035430"
"126","Medtr2g035850"
"127","Medtr2g036460"
"128","Medtr2g037690"
"129","Medtr2g038510"
"130","Medtr2g039770"
"131","Medtr2g040370"
"132","Medtr2g042900"
"133","Medtr2g043250"
"134","Medtr2g044850"
"135","Medtr2g045080"
"136","Medtr2g045360"
"137","Medtr2g056140"
"138","Medtr2g060555"
"139","Medtr2g063777"
"140","Medtr2g067980"
"141","Medtr2g069320"
"142","Medtr2g075590"
"143","Medtr2g078160"
"144","Medtr2g079490"
"145","Medtr2g080030"
"146","Medtr2g080230"
"147","Medtr2g081580"
"148","Medtr2g082990"
"149","Medtr2g084230"
"150","Medtr2g084875"
"151","Medtr2g087390"
"152","Medtr2g089210"
"153","Medtr2g089440"
"154","Medtr2g089490"
"155","Medtr2g090270"
"156","Medtr2g090410"
"157","Medtr2g091165"
"158","Medtr2g096540"
"159","Medtr2g096630"
"160","Medtr2g097467"
"161","Medtr2g097473"
"162","Medtr2g097620"
"163","Medtr2g098540"
"164","Medtr2g098630"
"165","Medtr2g098910"
"166","Medtr2g101090"
"167","Medtr2g101340"
"168","Medtr2g101440"
"169","Medtr2g102740"
"170","Medtr2g103400"
"171","Medtr2g104340"
"172","Medtr2g105060"
"173","Medtr2g105930"
"174","Medtr2g436100"
"175","Medtr2g436900"
"176","Medtr2g437230"
"177","Medtr2g438240"
"178","Medtr2g450530"
"179","Medtr2g461800"
"180","Medtr3g006050"
"181","Medtr3g007240"
"182","Medtr3g008500"
"183","Medtr3g011300"
"184","Medtr3g011660"
"185","Medtr3g014020"
"186","Medtr3g018930"
"187","Medtr3g019360"
"188","Medtr3g021340"
"189","Medtr3g022810"
"190","Medtr3g023280"
"191","Medtr3g023690"
"192","Medtr3g023720"
"193","Medtr3g026290"
"194","Medtr3g027140"
"195","Medtr3g027940"
"196","Medtr3g030240"
"197","Medtr3g032150"
"198","Medtr3g034380"
"199","Medtr3g034430"
"200","Medtr3g040800"
"201","Medtr3g045790"
"202","Medtr3g049755"
"203","Medtr3g051770"
"204","Medtr3g052285"
"205","Medtr3g053390"
"206","Medtr3g056110"
"207","Medtr3g056185"
"208","Medtr3g056590"
"209","Medtr3g058840"
"210","Medtr3g061320"
"211","Medtr3g063950"
"212","Medtr3g065080"
"213","Medtr3g068005"
"214","Medtr3g070230"
"215","Medtr3g070880"
"216","Medtr3g072710"
"217","Medtr3g073330"
"218","Medtr3g073780"
"219","Medtr3g074230"
"220","Medtr3g074860"
"221","Medtr3g075440"
"222","Medtr3g077410"
"223","Medtr3g079340"
"224","Medtr3g079590"
"225","Medtr3g079820"
"226","Medtr3g081090"
"227","Medtr3g083570"
"228","Medtr3g083630"
"229","Medtr3g084930"
"230","Medtr3g086010"
"231","Medtr3g086540"
"232","Medtr3g086730"
"233","Medtr3g088805"
"234","Medtr3g088870"
"235","Medtr3g089070"
"236","Medtr3g089090"
"237","Medtr3g090440"
"238","Medtr3g092060"
"239","Medtr3g092640"
"240","Medtr3g093160"
"241","Medtr3g093240"
"242","Medtr3g093830"
"243","Medtr3g095190"
"244","Medtr3g095330"
"245","Medtr3g096270"
"246","Medtr3g097010"
"247","Medtr3g098240"
"248","Medtr3g098930"
"249","Medtr3g100950"
"250","Medtr3g101290"
"251","Medtr3g101320"
"252","Medtr3g102980"
"253","Medtr3g104560"
"254","Medtr3g104880"
"255","Medtr3g106700"
"256","Medtr3g106930"
"257","Medtr3g107070"
"258","Medtr3g110460"
"259","Medtr3g111510"
"260","Medtr3g111780"
"261","Medtr3g115490"
"262","Medtr3g115560"
"263","Medtr3g115900"
"264","Medtr3g117630"
"265","Medtr3g117720"
"266","Medtr3g435740"
"267","Medtr3g448620"
"268","Medtr3g450310"
"269","Medtr3g452060"
"270","Medtr3g455910"
"271","Medtr3g456030"
"272","Medtr3g462390"
"273","Medtr3g463300"
"274","Medtr4g009055"
"275","Medtr4g013265"
"276","Medtr4g013365"
"277","Medtr4g014060"
"278","Medtr4g014130"
"279","Medtr4g015950"
"280","Medtr4g017640"
"281","Medtr4g018880"
"282","Medtr4g021023"
"283","Medtr4g027185"
"284","Medtr4g029430"
"285","Medtr4g032420"
"286","Medtr4g037145"
"287","Medtr4g039890"
"288","Medtr4g046147"
"289","Medtr4g052540"
"290","Medtr4g053440"
"291","Medtr4g054970"
"292","Medtr4g056430"
"293","Medtr4g058570"
"294","Medtr4g058820"
"295","Medtr4g060990"
"296","Medtr4g061130"
"297","Medtr4g062330"
"298","Medtr4g065093"
"299","Medtr4g065150"
"300","Medtr4g068850"
"301","Medtr4g072090"
"302","Medtr4g075250"
"303","Medtr4g075690"
"304","Medtr4g075750"
"305","Medtr4g075980"
"306","Medtr4g076620"
"307","Medtr4g078290"
"308","Medtr4g080750"
"309","Medtr4g082355"
"310","Medtr4g082810"
"311","Medtr4g083590"
"312","Medtr4g084130"
"313","Medtr4g085100"
"314","Medtr4g086255"
"315","Medtr4g087400"
"316","Medtr4g088385"
"317","Medtr4g088500"
"318","Medtr4g089005"
"319","Medtr4g090580"
"320","Medtr4g090970"
"321","Medtr4g091190"
"322","Medtr4g092360"
"323","Medtr4g093790"
"324","Medtr4g094275"
"325","Medtr4g094322"
"326","Medtr4g094495"
"327","Medtr4g094932"
"328","Medtr4g094990"
"329","Medtr4g095420"
"330","Medtr4g096980"
"331","Medtr4g096990"
"332","Medtr4g098570"
"333","Medtr4g099200"
"334","Medtr4g100380"
"335","Medtr4g101730"
"336","Medtr4g102280"
"337","Medtr4g102470"
"338","Medtr4g105090"
"339","Medtr4g105630"
"340","Medtr4g107440"
"341","Medtr4g110170"
"342","Medtr4g112430"
"343","Medtr4g112730"
"344","Medtr4g114100"
"345","Medtr4g114870"
"346","Medtr4g116070"
"347","Medtr4g116480"
"348","Medtr4g116530"
"349","Medtr4g117140"
"350","Medtr4g117960"
"351","Medtr4g118480"
"352","Medtr4g119650"
"353","Medtr4g120200"
"354","Medtr4g121570"
"355","Medtr4g122110"
"356","Medtr4g122260"
"357","Medtr4g123480"
"358","Medtr4g125060"
"359","Medtr4g125260"
"360","Medtr4g125440"
"361","Medtr4g125460"
"362","Medtr4g126020"
"363","Medtr4g126780"
"364","Medtr4g128470"
"365","Medtr4g128570"
"366","Medtr4g132870"
"367","Medtr4g133620"
"368","Medtr4g133790"
"369","Medtr4g134900"
"370","Medtr5g004690"
"371","Medtr5g004980"
"372","Medtr5g005560"
"373","Medtr5g005590"
"374","Medtr5g006040"
"375","Medtr5g008590"
"376","Medtr5g008860"
"377","Medtr5g009140"
"378","Medtr5g009600"
"379","Medtr5g009780"
"380","Medtr5g010150"
"381","Medtr5g012870"
"382","Medtr5g013285"
"383","Medtr5g013420"
"384","Medtr5g013610"
"385","Medtr5g015190"
