"","x"
"black","Medtr0002s0890"
"blue","Medtr4g057585"
"brown","Medtr3g099580"
"cyan","Medtr1g037590"
"darkgreen","Medtr7g011820"
"darkgrey","Medtr1g066530"
"darkred","Medtr2g061380"
"darkturquoise","Medtr7g090630"
"green","Medtr7g088180"
"greenyellow","Medtr1g025680"
"grey60","Medtr7g076665"
"lightcyan","Medtr1g063410"
"lightgreen","Medtr0116s0130"
"lightyellow","Medtr1g021855"
"magenta","Medtr0003s0190"
"midnightblue","Medtr7g005400"
"orange","Medtr0007s0220"
"pink","Medtr5g084260"
"purple","Medtr0003s0350"
"red","Medtr3g118040"
"royalblue","Medtr5g043680"
"salmon","Medtr2g005070"
"tan","Medtr2g011720"
"turquoise","Medtr3g107920"
"yellow","Medtr1g038810"
