Feature ID,salt,salt,salt,salt,salt,salt
Medtr0001s0010,0,0,0,0,0,0
Medtr0001s0070,0,0,0,0,0,0
Medtr0001s0100,0,0,0,0,0,0
Medtr0001s0120,1,0,3,0,0,2
Medtr0001s0160,1,0,0,0,0,0
Medtr0001s0190,0,0,0,0,0,0
Medtr0001s0200,0,0,0,0,0,0
Medtr0001s0260,0,0,0,0,0,0
Medtr0001s0360,0,0,0,0,0,0
Medtr0001s0380,0,0,0,0,0,0
Medtr0001s0430,385,325,329,294,313,390
Medtr0001s0480,0,0,0,0,0,0
Medtr0001s0490,293,465,343,313,509,366
Medtr0001s0500,0,0,0,0,0,0
Medtr0001s0510,0,0,0,0,0,0
Medtr0001s0560,14,16,12,35,11,20
Medtr0001s0570,610,582,583,485,560,591
Medtr0001s0580,0,0,0,0,0,0
Medtr0001s0660,1674,1223,740,2129,659,708
Medtr0001s0700,0,0,0,0,0,0
Medtr0002s0020,387,330,301,268,292,303
Medtr0002s0030,0,0,0,0,0,0
Medtr0002s0040,0,0,0,0,0,0
Medtr0002s0050,0,0,0,0,0,0
Medtr0002s0070,0,0,0,0,0,0
Medtr0002s0090,1,0,0,0,0,0
Medtr0002s0100,0,0,0,0,0,0
Medtr0002s0110,0,0,0,0,0,0
Medtr0002s0120,0,0,0,0,0,0
Medtr0002s0140,0,0,0,0,0,0
Medtr0002s0150,0,0,0,0,0,0
Medtr0002s0160,0,0,0,0,0,0
Medtr0002s0170,0,0,0,0,0,0
Medtr0002s0180,0,0,0,0,0,0
Medtr0002s0200,0,0,0,0,0,0
Medtr0002s0210,0,0,0,0,0,0
Medtr0002s0250,0,0,0,0,0,0
Medtr0002s0260,0,0,0,0,0,0
Medtr0002s0270,1,1,0,0,0,0
Medtr0002s0280,0,0,0,0,0,0
Medtr0002s0300,0,0,0,0,0,0
Medtr0002s0310,0,0,0,0,0,0
Medtr0002s0330,0,0,0,0,0,0
Medtr0002s0350,0,0,0,0,0,0
Medtr0002s0360,0,0,0,0,0,0
Medtr0002s0380,0,0,0,0,0,0
Medtr0002s0390,0,0,0,0,0,0
Medtr0002s0420,0,0,0,0,0,0
Medtr0002s0440,0,0,0,0,0,0
Medtr0002s0510,0,0,0,0,0,0
Medtr0002s0530,0,0,0,0,0,0
Medtr0002s0540,0,0,0,0,0,0
Medtr0002s0550,0,0,0,0,0,0
Medtr0002s0580,0,0,0,0,0,0
Medtr0002s0590,0,0,0,0,0,0
Medtr0002s0630,0,0,0,0,0,0
Medtr0002s0650,0,0,0,0,0,0
Medtr0002s0660,0,0,0,0,0,0
Medtr0002s0670,0,0,0,0,0,0
Medtr0002s0680,0,0,0,0,0,0
Medtr0002s0690,0,0,0,0,0,0
Medtr0002s0700,0,0,0,0,0,0
Medtr0002s0730,0,0,0,0,0,0
Medtr0002s0740,0,0,0,0,0,0
Medtr0002s0750,0,0,0,0,0,0
Medtr0002s0760,0,0,0,0,0,0
Medtr0002s0770,0,0,0,0,0,0
Medtr0002s0780,0,0,0,0,0,0
Medtr0002s0790,0,0,0,0,0,0
Medtr0002s0800,0,0,0,0,0,0
Medtr0002s0820,2,0,0,0,0,0
Medtr0002s0860,0,0,0,0,0,0
Medtr0002s0870,0,0,0,0,0,0
Medtr0002s0880,0,0,0,0,0,0
Medtr0002s0890,0,2,0,0,0,0
Medtr0002s0900,246,201,200,161,190,151
Medtr0002s0930,0,0,1,0,0,0
Medtr0002s0960,0,0,0,0,0,0
Medtr0002s0990,0,0,0,0,0,0
Medtr0002s1060,9106,15494,6860,12836,9532,8096
Medtr0002s1160,1,0,0,0,0,0
Medtr0002s1180,0,0,0,0,0,0
Medtr0002s1200,0,6,2,8,7,12
Medtr0002s1220,0,0,0,0,0,0
Medtr0002s1240,0,0,0,0,0,0
Medtr0002s1250,4,1,4,1,2,3
Medtr0002s1260,0,0,0,0,0,0
Medtr0002s1270,15,16,16,10,14,16
Medtr0002s1280,0,0,0,0,0,0
Medtr0003s0010,0,0,0,0,0,0
Medtr0003s0060,1,0,0,0,0,0
Medtr0003s0070,0,0,0,0,0,0
Medtr0003s0080,0,0,0,0,0,0
Medtr0003s0090,1,0,0,0,0,0
Medtr0003s0130,0,0,0,0,0,0
Medtr0003s0160,0,0,0,0,0,0
Medtr0003s0170,4,1,1,0,2,0
Medtr0003s0180,0,0,0,0,0,0
Medtr0003s0190,0,0,0,0,1,0
Medtr0003s0210,0,0,0,0,0,0
Medtr0003s0250,0,0,0,0,0,0
Medtr0003s0260,0,0,0,0,0,0
Medtr0003s0280,0,0,0,0,0,0
Medtr0003s0290,0,0,0,0,0,0
Medtr0003s0350,0,0,0,0,0,1
Medtr0003s0390,0,0,0,0,0,0
Medtr0003s0410,0,0,0,0,0,0
Medtr0003s0430,0,0,0,0,0,0
Medtr0003s0460,0,0,0,0,0,0
Medtr0003s0470,1093,1170,1062,1014,1082,1158
Medtr0003s0480,34,59,37,40,45,44
Medtr0003s0500,133,247,222,287,220,209
Medtr0003s0530,0,0,0,0,0,0
Medtr0003s0540,587,688,579,571,631,650
Medtr0003s0560,1197,1988,1375,1754,2020,1702
Medtr0003s0580,538,290,248,523,342,380
Medtr0003s0590,9,19,12,13,21,12
Medtr0003s0610,2,0,0,0,0,0
Medtr0003s0620,121,170,136,123,180,139
Medtr0003s0630,0,1,1,0,0,0
Medtr0003s0650,0,0,0,0,0,0
Medtr0003s0660,434,541,511,436,456,512
Medtr0003s0690,49,57,51,37,62,63
Medtr0004s0130,1250,1232,1216,1090,1131,1179
Medtr0004s0190,0,0,0,0,0,0
Medtr0004s0210,542,393,529,420,339,476
Medtr0004s0220,175,198,196,183,208,187
Medtr0004s0230,229,289,266,233,311,317
Medtr0004s0240,458,472,432,387,458,428
Medtr0004s0250,3,2,0,0,2,1
Medtr0004s0260,0,0,0,0,0,0
Medtr0004s0300,0,0,0,0,0,0
Medtr0004s0330,539,676,666,563,611,650
Medtr0004s0350,0,0,0,0,0,0
Medtr0004s0360,0,0,0,0,0,0
Medtr0004s0440,0,0,1,2,0,0
Medtr0004s0450,0,0,0,0,0,0
Medtr0004s0480,574,736,643,617,627,674
Medtr0004s0490,1710,2762,1823,2247,2838,2165
Medtr0004s0510,206,243,288,224,265,366
Medtr0004s0530,0,0,0,0,0,0
Medtr0004s0600,316,356,318,281,314,305
Medtr0004s0610,22,26,18,22,20,34
Medtr0004s0650,656,707,866,574,466,809
Medtr0005s0070,0,0,0,0,0,0
Medtr0005s0110,0,0,0,0,0,0
Medtr0005s0130,2,1,2,0,0,3
Medtr0005s0140,0,0,0,0,0,0
Medtr0005s0150,0,0,0,0,0,0
Medtr0005s0160,0,0,0,0,0,0
Medtr0005s0200,95,102,77,143,105,154
Medtr0005s0210,3,2,7,4,2,2
Medtr0005s0220,1,1,0,0,0,0
Medtr0005s0230,0,0,0,0,0,0
Medtr0005s0240,0,0,0,0,0,0
Medtr0005s0250,0,0,0,0,0,0
Medtr0005s0260,0,0,0,0,0,0
Medtr0006s0020,0,0,0,0,0,0
Medtr0006s0080,7,5,11,5,3,10
Medtr0006s0110,2,0,5,0,2,0
Medtr0006s0140,5,4,5,8,3,8
Medtr0006s0160,39,50,22,77,43,42
Medtr0006s0180,0,0,0,0,0,0
Medtr0006s0190,4,6,2,7,5,8
Medtr0006s0210,0,0,0,0,0,0
Medtr0006s0230,31,16,10,18,29,32
Medtr0006s0240,111,148,132,103,69,163
Medtr0006s0250,2,4,3,3,3,2
Medtr0006s0260,0,0,0,0,0,0
Medtr0006s0290,0,0,0,0,0,0
Medtr0006s0300,0,1,0,1,0,0
Medtr0007s0010,0,0,0,0,0,0
Medtr0007s0020,0,0,0,0,0,0
Medtr0007s0030,0,0,0,0,0,0
Medtr0007s0040,0,0,0,0,0,0
Medtr0007s0060,20,6,9,16,9,10
Medtr0007s0070,0,0,0,0,0,0
Medtr0007s0080,0,0,0,0,0,0
Medtr0007s0090,2,7,2,6,0,0
Medtr0007s0140,28,59,40,184,75,67
Medtr0007s0150,0,0,0,0,0,0
Medtr0007s0160,0,0,0,0,0,0
Medtr0007s0220,0,0,1,0,1,1
Medtr0007s0250,0,0,0,0,0,0
Medtr0007s0290,0,0,0,0,0,0
Medtr0007s0310,0,0,0,0,0,0
Medtr0007s0320,0,0,0,0,0,0
Medtr0007s0330,367,479,311,472,411,347
Medtr0007s0380,371,333,261,307,311,261
Medtr0007s0390,298,303,273,363,251,293
Medtr0007s0410,0,0,0,0,0,0
