"","x"
"1","Medtr0090s0020"
"2","Medtr0568s0020"
"3","Medtr0623s0020"
"4","Medtr0795s0020"
"5","Medtr1g010270"
"6","Medtr1g017820"
"7","Medtr1g021460"
"8","Medtr1g031510"
"9","Medtr1g035240"
"10","Medtr1g042310"
"11","Medtr1g061260"
"12","Medtr1g068960"
"13","Medtr1g090460"
"14","Medtr1g105725"
"15","Medtr2g005905"
"16","Medtr2g014450"
"17","Medtr2g040180"
"18","Medtr2g040760"
"19","Medtr2g078870"
"20","Medtr2g090270"
"21","Medtr2g097020"
"22","Medtr2g098425"
"23","Medtr2g101420"
"24","Medtr2g437800"
"25","Medtr3g006170"
"26","Medtr3g019580"
"27","Medtr3g058890"
"28","Medtr3g060670"
"29","Medtr3g067870"
"30","Medtr3g071800"
"31","Medtr3g077340"
"32","Medtr3g080580"
"33","Medtr3g087320"
"34","Medtr3g096580"
"35","Medtr3g435700"
"36","Medtr3g451730"
"37","Medtr4g014640"
"38","Medtr4g015360"
"39","Medtr4g035690"
"40","Medtr4g035870"
"41","Medtr4g044687"
"42","Medtr4g067160"
"43","Medtr4g070335"
"44","Medtr4g081620"
"45","Medtr4g099520"
"46","Medtr4g103780"
"47","Medtr4g117530"
"48","Medtr4g120950"
"49","Medtr4g126280"
"50","Medtr4g132910"
"51","Medtr5g008350"
"52","Medtr5g008840"
"53","Medtr5g025180"
"54","Medtr5g030470"
"55","Medtr5g044695"
"56","Medtr5g045940"
"57","Medtr5g064035"
"58","Medtr5g078930"
"59","Medtr5g096720"
"60","Medtr6g034725"
"61","Medtr6g046930"
"62","Medtr6g048480"
"63","Medtr6g079440"
"64","Medtr6g091910"
"65","Medtr6g470960"
"66","Medtr7g010820"
"67","Medtr7g029070"
"68","Medtr7g050325"
"69","Medtr7g052670"
"70","Medtr7g062300"
"71","Medtr7g081160"
"72","Medtr7g083140"
"73","Medtr7g102590"
"74","Medtr7g112380"
"75","Medtr7g115020"
"76","Medtr7g446190"
"77","Medtr8g023060"
"78","Medtr8g028040"
"79","Medtr8g031430"
"80","Medtr8g045750"
"81","Medtr8g052370"
"82","Medtr8g091920"
"83","Medtr8g102590"
"84","Medtr8g103930"
