"","x"
"1","Medtr0002s1200"
"2","Medtr0003s0500"
"3","Medtr0005s0200"
"4","Medtr0021s0360"
"5","Medtr0036s0010"
"6","Medtr0083s0100"
"7","Medtr0126s0070"
"8","Medtr0148s0050"
"9","Medtr0216s0030"
"10","Medtr0775s0020"
"11","Medtr0807s0020"
"12","Medtr0857s0010"
"13","Medtr1091s0010"
"14","Medtr1918s0010"
"15","Medtr1g008980"
"16","Medtr1g010050"
"17","Medtr1g010300"
"18","Medtr1g013620"
"19","Medtr1g013820"
"20","Medtr1g015620"
"21","Medtr1g015970"
"22","Medtr1g016330"
"23","Medtr1g017020"
"24","Medtr1g017830"
"25","Medtr1g019270"
"26","Medtr1g022445"
"27","Medtr1g024125"
"28","Medtr1g027020"
"29","Medtr1g027640"
"30","Medtr1g029800"
"31","Medtr1g029810"
"32","Medtr1g032930"
"33","Medtr1g033090"
"34","Medtr1g033100"
"35","Medtr1g033130"
"36","Medtr1g033340"
"37","Medtr1g033810"
"38","Medtr1g037020"
"39","Medtr1g041285"
"40","Medtr1g043770"
"41","Medtr1g044020"
"42","Medtr1g045065"
"43","Medtr1g046580"
"44","Medtr1g047210"
"45","Medtr1g050502"
"46","Medtr1g056180"
"47","Medtr1g057290"
"48","Medtr1g059620"
"49","Medtr1g061270"
"50","Medtr1g061570"
"51","Medtr1g069190"
"52","Medtr1g069430"
"53","Medtr1g069940"
"54","Medtr1g072490"
"55","Medtr1g075990"
"56","Medtr1g081960"
"57","Medtr1g082360"
"58","Medtr1g082550"
"59","Medtr1g088020"
"60","Medtr1g088640"
"61","Medtr1g088940"
"62","Medtr1g090320"
"63","Medtr1g093630"
"64","Medtr1g094660"
"65","Medtr1g095600"
"66","Medtr1g096200"
"67","Medtr1g097110"
"68","Medtr1g097300"
"69","Medtr1g099320"
"70","Medtr1g102430"
"71","Medtr1g104850"
"72","Medtr1g104890"
"73","Medtr1g105480"
"74","Medtr1g107545"
"75","Medtr1g110090"
"76","Medtr1g110370"
"77","Medtr1g114290"
"78","Medtr1g115175"
"79","Medtr1g116270"
"80","Medtr1g442750"
"81","Medtr2g005330"
"82","Medtr2g007250"
"83","Medtr2g008360"
"84","Medtr2g008850"
"85","Medtr2g009670"
"86","Medtr2g009890"
"87","Medtr2g010180"
"88","Medtr2g012830"
"89","Medtr2g013210"
"90","Medtr2g017760"
"91","Medtr2g017785"
"92","Medtr2g018010"
"93","Medtr2g018090"
"94","Medtr2g020750"
"95","Medtr2g022350"
"96","Medtr2g022380"
"97","Medtr2g022480"
"98","Medtr2g022760"
"99","Medtr2g023930"
"100","Medtr2g026390"
"101","Medtr2g028580"
"102","Medtr2g029800"
"103","Medtr2g031350"
"104","Medtr2g031880"
"105","Medtr2g032030"
"106","Medtr2g036350"
"107","Medtr2g040230"
"108","Medtr2g040470"
"109","Medtr2g046710"
"110","Medtr2g054870"
"111","Medtr2g069320"
"112","Medtr2g069990"
"113","Medtr2g070570"
"114","Medtr2g072080"
"115","Medtr2g072530"
"116","Medtr2g075610"
"117","Medtr2g078350"
"118","Medtr2g080260"
"119","Medtr2g081490"
"120","Medtr2g084550"
"121","Medtr2g084620"
"122","Medtr2g086920"
"123","Medtr2g090640"
"124","Medtr2g095180"
"125","Medtr2g095880"
"126","Medtr2g096000"
"127","Medtr2g096970"
"128","Medtr2g099450"
"129","Medtr2g100200"
"130","Medtr2g101090"
"131","Medtr2g101340"
"132","Medtr2g102670"
"133","Medtr2g103730"
"134","Medtr2g105110"
"135","Medtr2g435560"
"136","Medtr2g436530"
"137","Medtr2g437600"
"138","Medtr2g451540"
"139","Medtr2g461180"
"140","Medtr2g461800"
"141","Medtr3g008280"
"142","Medtr3g009945"
"143","Medtr3g010290"
"144","Medtr3g011360"
"145","Medtr3g012060"
"146","Medtr3g013770"
"147","Medtr3g014660"
"148","Medtr3g015550"
"149","Medtr3g019030"
"150","Medtr3g019340"
"151","Medtr3g019360"
"152","Medtr3g020650"
"153","Medtr3g021340"
"154","Medtr3g023720"
"155","Medtr3g023830"
"156","Medtr3g031220"
"157","Medtr3g031470"
"158","Medtr3g032960"
"159","Medtr3g037480"
"160","Medtr3g051190"
"161","Medtr3g051610"
"162","Medtr3g051770"
"163","Medtr3g052760"
"164","Medtr3g053450"
"165","Medtr3g058880"
"166","Medtr3g062590"
"167","Medtr3g069050"
"168","Medtr3g070010"
"169","Medtr3g070220"
"170","Medtr3g071480"
"171","Medtr3g071610"
"172","Medtr3g073330"
"173","Medtr3g073370"
"174","Medtr3g073780"
"175","Medtr3g074410"
"176","Medtr3g075440"
"177","Medtr3g078633"
"178","Medtr3g079570"
"179","Medtr3g084190"
"180","Medtr3g088625"
"181","Medtr3g088645"
"182","Medtr3g088805"
"183","Medtr3g090440"
"184","Medtr3g090950"
"185","Medtr3g091760"
"186","Medtr3g092060"
"187","Medtr3g092230"
"188","Medtr3g092840"
"189","Medtr3g096830"
"190","Medtr3g100960"
"191","Medtr3g101320"
"192","Medtr3g102010"
"193","Medtr3g104260"
"194","Medtr3g104940"
"195","Medtr3g106250"
"196","Medtr3g107360"
"197","Medtr3g107610"
"198","Medtr3g108010"
"199","Medtr3g110430"
"200","Medtr3g110460"
"201","Medtr3g110530"
"202","Medtr3g111610"
"203","Medtr3g113090"
"204","Medtr3g113160"
"205","Medtr3g116640"
"206","Medtr3g461520"
"207","Medtr3g464040"
"208","Medtr3g464650"
"209","Medtr3g465910"
"210","Medtr4g005290"
"211","Medtr4g006210"
"212","Medtr4g009877"
"213","Medtr4g011190"
"214","Medtr4g013165"
"215","Medtr4g014130"
"216","Medtr4g014300"
"217","Medtr4g017640"
"218","Medtr4g018880"
"219","Medtr4g020850"
"220","Medtr4g023730"
"221","Medtr4g024630"
"222","Medtr4g027195"
"223","Medtr4g029410"
"224","Medtr4g033790"
"225","Medtr4g038400"
"226","Medtr4g050130"
"227","Medtr4g052040"
"228","Medtr4g058700"
"229","Medtr4g063905"
"230","Medtr4g065150"
"231","Medtr4g068280"
"232","Medtr4g068340"
"233","Medtr4g071390"
"234","Medtr4g071850"
"235","Medtr4g074030"
"236","Medtr4g074070"
"237","Medtr4g075750"
"238","Medtr4g076990"
"239","Medtr4g077250"
"240","Medtr4g077777"
"241","Medtr4g078840"
"242","Medtr4g079430"
"243","Medtr4g080700"
"244","Medtr4g081290"
"245","Medtr4g081410"
"246","Medtr4g081655"
"247","Medtr4g082355"
"248","Medtr4g082580"
"249","Medtr4g083440"
"250","Medtr4g083590"
"251","Medtr4g086410"
"252","Medtr4g086480"
"253","Medtr4g087410"
"254","Medtr4g088400"
"255","Medtr4g090580"
"256","Medtr4g091190"
"257","Medtr4g091900"
"258","Medtr4g093825"
"259","Medtr4g093830"
"260","Medtr4g094440"
"261","Medtr4g094472"
"262","Medtr4g094562"
"263","Medtr4g094790"
"264","Medtr4g094805"
"265","Medtr4g094990"
"266","Medtr4g095018"
"267","Medtr4g095420"
"268","Medtr4g098800"
"269","Medtr4g100640"
"270","Medtr4g105740"
"271","Medtr4g106500"
"272","Medtr4g106810"
"273","Medtr4g112045"
"274","Medtr4g112430"
"275","Medtr4g117390"
"276","Medtr4g118580"
"277","Medtr4g121570"
"278","Medtr4g122260"
"279","Medtr4g123110"
"280","Medtr4g123850"
"281","Medtr4g124160"
"282","Medtr4g124590"
"283","Medtr4g124595"
"284","Medtr4g124760"
"285","Medtr4g125080"
"286","Medtr4g125520"
"287","Medtr4g127710"
"288","Medtr4g128020"
"289","Medtr4g131020"
"290","Medtr4g132460"
"291","Medtr4g133300"
"292","Medtr4g133620"
"293","Medtr5g005540"
"294","Medtr5g006780"
"295","Medtr5g007380"
"296","Medtr5g009600"
"297","Medtr5g011210"
"298","Medtr5g011840"
"299","Medtr5g012040"
"300","Medtr5g012780"
"301","Medtr5g013780"
"302","Medtr5g015190"
"303","Medtr5g017680"
"304","Medtr5g020640"
"305","Medtr5g020725"
"306","Medtr5g020740"
"307","Medtr5g021770"
"308","Medtr5g022030"
"309","Medtr5g022240"
"310","Medtr5g022380"
"311","Medtr5g023030"
"312","Medtr5g023360"
"313","Medtr5g024640"
"314","Medtr5g028070"
"315","Medtr5g028290"
"316","Medtr5g029190"
"317","Medtr5g034230"
"318","Medtr5g034440"
"319","Medtr5g037340"
"320","Medtr5g037700"
"321","Medtr5g040320"
"322","Medtr5g046830"
"323","Medtr5g048670"
"324","Medtr5g054570"
"325","Medtr5g055480"
"326","Medtr5g056720"
"327","Medtr5g059930"
"328","Medtr5g063650"
"329","Medtr5g063950"
"330","Medtr5g066800"
"331","Medtr5g066835"
"332","Medtr5g068510"
"333","Medtr5g073450"
"334","Medtr5g074400"
"335","Medtr5g074600"
"336","Medtr5g074760"
"337","Medtr5g074970"
"338","Medtr5g075190"
"339","Medtr5g075860"
"340","Medtr5g077710"
"341","Medtr5g079575"
"342","Medtr5g085790"
"343","Medtr5g086040"
"344","Medtr5g087360"
"345","Medtr5g087760"
"346","Medtr5g089895"
"347","Medtr5g090095"
"348","Medtr5g091370"
"349","Medtr5g092140"
"350","Medtr5g094280"
"351","Medtr5g095290"
"352","Medtr5g099070"
"353","Medtr5g099130"
"354","Medtr5g459350"
"355","Medtr5g459450"
"356","Medtr6g004990"
"357","Medtr6g007763"
"358","Medtr6g008210"
"359","Medtr6g009200"
"360","Medtr6g011440"
"361","Medtr6g013170"
"362","Medtr6g013425"
"363","Medtr6g015190"
"364","Medtr6g015510"
"365","Medtr6g015560"
"366","Medtr6g016040"
"367","Medtr6g016420"
"368","Medtr6g016425"
"369","Medtr6g016790"
"370","Medtr6g016795"
"371","Medtr6g016800"
"372","Medtr6g016810"
"373","Medtr6g029180"
"374","Medtr6g034795"
"375","Medtr6g042235"
"376","Medtr6g043510"
"377","Medtr6g044970"
"378","Medtr6g071680"
"379","Medtr6g074660"
"380","Medtr6g082950"
"381","Medtr6g083240"
"382","Medtr6g083750"
"383","Medtr6g083980"
"384","Medtr6g084400"
"385","Medtr6g086600"
"386","Medtr6g088835"
"387","Medtr6g091690"
"388","Medtr6g463340"
"389","Medtr6g471080"
"390","Medtr7g005390"
"391","Medtr7g005440"
"392","Medtr7g005720"
"393","Medtr7g005940"
"394","Medtr7g010340"
"395","Medtr7g015130"
"396","Medtr7g015520"
"397","Medtr7g016930"
"398","Medtr7g023740"
"399","Medtr7g024770"
"400","Medtr7g028432"
"401","Medtr7g032900"
"402","Medtr7g033100"
"403","Medtr7g051040"
"404","Medtr7g052620"
"405","Medtr7g053580"
"406","Medtr7g056073"
"407","Medtr7g056450"
"408","Medtr7g058530"
"409","Medtr7g061550"
"410","Medtr7g065890"
"411","Medtr7g066880"
"412","Medtr7g068320"
"413","Medtr7g068770"
"414","Medtr7g069180"
"415","Medtr7g069480"
"416","Medtr7g069740"
"417","Medtr7g073530"
"418","Medtr7g074010"
"419","Medtr7g075910"
"420","Medtr7g078090"
"421","Medtr7g079510"
"422","Medtr7g080370"
"423","Medtr7g080810"
"424","Medtr7g082530"
"425","Medtr7g083080"
"426","Medtr7g083235"
"427","Medtr7g083570"
"428","Medtr7g084690"
"429","Medtr7g085260"
"430","Medtr7g088350"
"431","Medtr7g088570"
"432","Medtr7g091790"
"433","Medtr7g092780"
"434","Medtr7g092880"
"435","Medtr7g096620"
"436","Medtr7g096680"
"437","Medtr7g100370"
"438","Medtr7g102750"
"439","Medtr7g105670"
"440","Medtr7g107520"
"441","Medtr7g107710"
"442","Medtr7g109860"
"443","Medtr7g110720"
"444","Medtr7g111230"
"445","Medtr7g111880"
"446","Medtr7g115070"
"447","Medtr7g117890"
"448","Medtr7g118270"
"449","Medtr7g481600"
"450","Medtr7g498290"
"451","Medtr8g008680"
"452","Medtr8g009980"
"453","Medtr8g010360"
"454","Medtr8g012390"
"455","Medtr8g013600"
"456","Medtr8g014030"
"457","Medtr8g014360"
"458","Medtr8g014677"
"459","Medtr8g014980"
"460","Medtr8g016160"
"461","Medtr8g017280"
"462","Medtr8g017410"
"463","Medtr8g017800"
"464","Medtr8g020640"
"465","Medtr8g022040"
"466","Medtr8g022810"
"467","Medtr8g023080"
"468","Medtr8g027160"
"469","Medtr8g027345"
"470","Medtr8g028545"
"471","Medtr8g028720"
"472","Medtr8g032690"
"473","Medtr8g033150"
"474","Medtr8g037235"
"475","Medtr8g037290"
"476","Medtr8g041820"
"477","Medtr8g042660"
"478","Medtr8g062150"
"479","Medtr8g062830"
"480","Medtr8g063280"
"481","Medtr8g064080"
"482","Medtr8g064810"
"483","Medtr8g066250"
"484","Medtr8g067590"
"485","Medtr8g068110"
"486","Medtr8g068690"
"487","Medtr8g071920"
"488","Medtr8g072330"
"489","Medtr8g072610"
"490","Medtr8g077145"
"491","Medtr8g077205"
"492","Medtr8g078730"
"493","Medtr8g079350"
"494","Medtr8g081570"
"495","Medtr8g088740"
"496","Medtr8g089000"
"497","Medtr8g089665"
"498","Medtr8g089940"
"499","Medtr8g090060"
"500","Medtr8g090120"
"501","Medtr8g090305"
"502","Medtr8g092460"
"503","Medtr8g095170"
"504","Medtr8g098275"
"505","Medtr8g098495"
"506","Medtr8g099030"
"507","Medtr8g099270"
"508","Medtr8g099515"
"509","Medtr8g102190"
"510","Medtr8g107320"
"511","Medtr8g442400"
"512","Medtr8g442410"
"513","Medtr8g445990"
"514","Medtr8g461120"
"515","Medtr8g466030"
"516","Medtr8g468030"
"517","Medtr8g469710"
