"","x"
"1","Medtr0026s0210"
"2","Medtr0308s0010"
"3","Medtr0392s0020"
"4","Medtr0425s0010"
"5","Medtr0590s0010"
"6","Medtr0650s0010"
"7","Medtr1034s0010"
"8","Medtr1g009760"
"9","Medtr1g016335"
"10","Medtr1g028250"
"11","Medtr1g040735"
"12","Medtr1g045060"
"13","Medtr1g049140"
"14","Medtr1g051025"
"15","Medtr1g053510"
"16","Medtr1g053835"
"17","Medtr1g054100"
"18","Medtr1g055175"
"19","Medtr1g058610"
"20","Medtr1g064690"
"21","Medtr1g080890"
"22","Medtr1g090170"
"23","Medtr1g090820"
"24","Medtr1g095070"
"25","Medtr1g100150"
"26","Medtr1g100260"
"27","Medtr1g106420"
"28","Medtr1g109360"
"29","Medtr1g112050"
"30","Medtr1g113700"
"31","Medtr1g114650"
"32","Medtr2g007610"
"33","Medtr2g008470"
"34","Medtr2g021255"
"35","Medtr2g022500"
"36","Medtr2g022730"
"37","Medtr2g030200"
"38","Medtr2g030480"
"39","Medtr2g038010"
"40","Medtr2g040220"
"41","Medtr2g066123"
"42","Medtr2g071890"
"43","Medtr2g071980"
"44","Medtr2g086290"
"45","Medtr2g086480"
"46","Medtr2g087985"
"47","Medtr2g089040"
"48","Medtr2g089490"
"49","Medtr2g091120"
"50","Medtr2g091125"
"51","Medtr2g092930"
"52","Medtr2g094980"
"53","Medtr2g097580"
"54","Medtr2g103550"
"55","Medtr2g105710"
"56","Medtr2g450710"
"57","Medtr3g005790"
"58","Medtr3g008720"
"59","Medtr3g018920"
"60","Medtr3g020420"
"61","Medtr3g022220"
"62","Medtr3g023270"
"63","Medtr3g026775"
"64","Medtr3g026780"
"65","Medtr3g029970"
"66","Medtr3g032500"
"67","Medtr3g045650"
"68","Medtr3g062420"
"69","Medtr3g062890"
"70","Medtr3g065330"
"71","Medtr3g071300"
"72","Medtr3g071420"
"73","Medtr3g073180"
"74","Medtr3g086740"
"75","Medtr3g087275"
"76","Medtr3g100100"
"77","Medtr3g106230"
"78","Medtr3g117500"
"79","Medtr3g462790"
"80","Medtr3g465690"
"81","Medtr3g465810"
"82","Medtr4g007090"
"83","Medtr4g011090"
"84","Medtr4g019080"
"85","Medtr4g020550"
"86","Medtr4g021020"
"87","Medtr4g028830"
"88","Medtr4g036375"
"89","Medtr4g037375"
"90","Medtr4g045710"
"91","Medtr4g063040"
"92","Medtr4g068060"
"93","Medtr4g068240"
"94","Medtr4g068860"
"95","Medtr4g068870"
"96","Medtr4g069300"
"97","Medtr4g077720"
"98","Medtr4g082230"
"99","Medtr4g082290"
"100","Medtr4g084840"
"101","Medtr4g086020"
"102","Medtr4g087520"
"103","Medtr4g092440"
"104","Medtr4g094290"
"105","Medtr4g094720"
"106","Medtr4g096780"
"107","Medtr4g101070"
"108","Medtr4g104140"
"109","Medtr4g104700"
"110","Medtr4g104730"
"111","Medtr4g107120"
"112","Medtr4g107630"
"113","Medtr4g113505"
"114","Medtr4g114600"
"115","Medtr4g116210"
"116","Medtr4g118770"
"117","Medtr4g121560"
"118","Medtr4g124660"
"119","Medtr4g125320"
"120","Medtr4g129310"
"121","Medtr4g132185"
"122","Medtr5g012290"
"123","Medtr5g017710"
"124","Medtr5g020430"
"125","Medtr5g020465"
"126","Medtr5g022390"
"127","Medtr5g023540"
"128","Medtr5g030890"
"129","Medtr5g031830"
"130","Medtr5g032150"
"131","Medtr5g032520"
"132","Medtr5g034090"
"133","Medtr5g035610"
"134","Medtr5g040190"
"135","Medtr5g056735"
"136","Medtr5g058530"
"137","Medtr5g058860"
"138","Medtr5g059820"
"139","Medtr5g059910"
"140","Medtr5g062890"
"141","Medtr5g063310"
"142","Medtr5g064345"
"143","Medtr5g067680"
"144","Medtr5g068100"
"145","Medtr5g079715"
"146","Medtr5g081030"
"147","Medtr5g082940"
"148","Medtr5g084260"
"149","Medtr5g086690"
"150","Medtr5g087490"
"151","Medtr5g088350"
"152","Medtr5g089180"
"153","Medtr5g089390"
"154","Medtr5g096100"
