"","x"
"1","Medtr0001s0430"
"2","Medtr0001s0570"
"3","Medtr0004s0130"
"4","Medtr0009s0370"
"5","Medtr0011s0290"
"6","Medtr0014s0180"
"7","Medtr0018s0320"
"8","Medtr0019s0100"
"9","Medtr0036s0140"
"10","Medtr0036s0260"
"11","Medtr0057s0130"
"12","Medtr0057s0200"
"13","Medtr0058s0010"
"14","Medtr0067s0100"
"15","Medtr0170s0020"
"16","Medtr0180s0050"
"17","Medtr0194s0030"
"18","Medtr0221s0020"
"19","Medtr0246s0040"
"20","Medtr0271s0030"
"21","Medtr0331s0010"
"22","Medtr0340s0030"
"23","Medtr0466s0010"
"24","Medtr1g007150"
"25","Medtr1g007840"
"26","Medtr1g007905"
"27","Medtr1g009790"
"28","Medtr1g010080"
"29","Medtr1g010090"
"30","Medtr1g010130"
"31","Medtr1g010150"
"32","Medtr1g010170"
"33","Medtr1g011380"
"34","Medtr1g012480"
"35","Medtr1g012600"
"36","Medtr1g012620"
"37","Medtr1g012850"
"38","Medtr1g012890"
"39","Medtr1g014260"
"40","Medtr1g015450"
"41","Medtr1g016120"
"42","Medtr1g016440"
"43","Medtr1g016760"
"44","Medtr1g016800"
"45","Medtr1g017870"
"46","Medtr1g018180"
"47","Medtr1g018510"
"48","Medtr1g018840"
"49","Medtr1g019360"
"50","Medtr1g020070"
"51","Medtr1g021110"
"52","Medtr1g021380"
"53","Medtr1g021740"
"54","Medtr1g021825"
"55","Medtr1g022190"
"56","Medtr1g022300"
"57","Medtr1g022305"
"58","Medtr1g022415"
"59","Medtr1g022485"
"60","Medtr1g022940"
"61","Medtr1g022980"
"62","Medtr1g026400"
"63","Medtr1g026550"
"64","Medtr1g026790"
"65","Medtr1g026810"
"66","Medtr1g029400"
"67","Medtr1g030060"
"68","Medtr1g030420"
"69","Medtr1g030760"
"70","Medtr1g030820"
"71","Medtr1g032160"
"72","Medtr1g032190"
"73","Medtr1g032440"
"74","Medtr1g032570"
"75","Medtr1g032730"
"76","Medtr1g033450"
"77","Medtr1g033620"
"78","Medtr1g034030"
"79","Medtr1g035140"
"80","Medtr1g036420"
"81","Medtr1g036850"
"82","Medtr1g038840"
"83","Medtr1g041515"
"84","Medtr1g043170"
"85","Medtr1g045660"
"86","Medtr1g045663"
"87","Medtr1g045930"
"88","Medtr1g046200"
"89","Medtr1g046360"
"90","Medtr1g047800"
"91","Medtr1g048080"
"92","Medtr1g050510"
"93","Medtr1g050670"
"94","Medtr1g050720"
"95","Medtr1g051670"
"96","Medtr1g052125"
"97","Medtr1g052425"
"98","Medtr1g054835"
"99","Medtr1g059580"
"100","Medtr1g060430"
"101","Medtr1g061590"
"102","Medtr1g061600"
"103","Medtr1g061690"
"104","Medtr1g061730"
"105","Medtr1g062250"
"106","Medtr1g063100"
"107","Medtr1g063950"
"108","Medtr1g064590"
"109","Medtr1g066760"
"110","Medtr1g067110"
"111","Medtr1g067200"
"112","Medtr1g067720"
"113","Medtr1g069020"
"114","Medtr1g069185"
"115","Medtr1g069250"
"116","Medtr1g069355"
"117","Medtr1g070180"
"118","Medtr1g070195"
"119","Medtr1g070390"
"120","Medtr1g070435"
"121","Medtr1g070440"
"122","Medtr1g070455"
"123","Medtr1g070870"
"124","Medtr1g070940"
"125","Medtr1g071380"
"126","Medtr1g072360"
"127","Medtr1g072560"
"128","Medtr1g073260"
"129","Medtr1g073380"
"130","Medtr1g073790"
"131","Medtr1g073860"
"132","Medtr1g076190"
"133","Medtr1g076330"
"134","Medtr1g076550"
"135","Medtr1g076990"
"136","Medtr1g077420"
"137","Medtr1g078380"
"138","Medtr1g078470"
"139","Medtr1g079130"
"140","Medtr1g079470"
"141","Medtr1g079870"
"142","Medtr1g079925"
"143","Medtr1g080410"
"144","Medtr1g080860"
"145","Medtr1g081950"
"146","Medtr1g083230"
"147","Medtr1g083720"
"148","Medtr1g083780"
"149","Medtr1g083910"
"150","Medtr1g084740"
"151","Medtr1g085730"
"152","Medtr1g086050"
"153","Medtr1g086590"
"154","Medtr1g086980"
"155","Medtr1g087200"
"156","Medtr1g087440"
"157","Medtr1g088120"
"158","Medtr1g088180"
"159","Medtr1g088250"
"160","Medtr1g088610"
"161","Medtr1g089290"
"162","Medtr1g089500"
"163","Medtr1g090720"
"164","Medtr1g091043"
"165","Medtr1g092420"
"166","Medtr1g093670"
"167","Medtr1g093730"
"168","Medtr1g093770"
"169","Medtr1g094220"
"170","Medtr1g095000"
"171","Medtr1g095580"
"172","Medtr1g096780"
"173","Medtr1g097240"
"174","Medtr1g097280"
"175","Medtr1g097880"
"176","Medtr1g098160"
"177","Medtr1g098790"
"178","Medtr1g098925"
"179","Medtr1g100090"
"180","Medtr1g100643"
"181","Medtr1g100647"
"182","Medtr1g100697"
"183","Medtr1g100777"
"184","Medtr1g100797"
"185","Medtr1g100820"
"186","Medtr1g101680"
"187","Medtr1g101830"
"188","Medtr1g103550"
"189","Medtr1g103710"
"190","Medtr1g103900"
"191","Medtr1g105655"
"192","Medtr1g105970"
"193","Medtr1g106065"
"194","Medtr1g106590"
"195","Medtr1g106905"
"196","Medtr1g108610"
"197","Medtr1g108700"
"198","Medtr1g108810"
"199","Medtr1g109470"
"200","Medtr1g110690"
"201","Medtr1g111390"
"202","Medtr1g111400"
"203","Medtr1g111900"
"204","Medtr1g111960"
"205","Medtr1g112060"
"206","Medtr1g112330"
"207","Medtr1g112860"
"208","Medtr1g114010"
"209","Medtr1g114270"
"210","Medtr1g114300"
"211","Medtr1g114620"
"212","Medtr1g115370"
"213","Medtr1g115400"
"214","Medtr1g115510"
"215","Medtr1g115610"
"216","Medtr1g116170"
"217","Medtr1g116380"
"218","Medtr1g116540"
"219","Medtr1g116780"
"220","Medtr1g476030"
"221","Medtr1g484920"
"222","Medtr1g484940"
"223","Medtr2g005240"
"224","Medtr2g005600"
"225","Medtr2g006040"
"226","Medtr2g006100"
"227","Medtr2g006520"
"228","Medtr2g006770"
"229","Medtr2g007150"
"230","Medtr2g007210"
"231","Medtr2g007330"
"232","Medtr2g008120"
"233","Medtr2g008400"
"234","Medtr2g009040"
"235","Medtr2g009360"
"236","Medtr2g009580"
"237","Medtr2g009660"
"238","Medtr2g010510"
"239","Medtr2g010800"
"240","Medtr2g010870"
"241","Medtr2g012670"
"242","Medtr2g012850"
"243","Medtr2g013080"
"244","Medtr2g013535"
"245","Medtr2g013980"
"246","Medtr2g014240"
"247","Medtr2g014470"
"248","Medtr2g014480"
"249","Medtr2g014920"
"250","Medtr2g014970"
"251","Medtr2g015970"
"252","Medtr2g016640"
"253","Medtr2g016690"
"254","Medtr2g018860"
"255","Medtr2g019190"
"256","Medtr2g020040"
"257","Medtr2g021030"
"258","Medtr2g021720"
"259","Medtr2g022060"
"260","Medtr2g022140"
"261","Medtr2g022210"
"262","Medtr2g022490"
"263","Medtr2g022950"
"264","Medtr2g023120"
"265","Medtr2g023430"
"266","Medtr2g024310"
"267","Medtr2g024420"
"268","Medtr2g025050"
"269","Medtr2g025690"
"270","Medtr2g026130"
"271","Medtr2g028770"
"272","Medtr2g030450"
"273","Medtr2g031450"
"274","Medtr2g033410"
"275","Medtr2g035460"
"276","Medtr2g035810"
"277","Medtr2g035840"
"278","Medtr2g037970"
"279","Medtr2g038040"
"280","Medtr2g038310"
"281","Medtr2g039480"
"282","Medtr2g041090"
"283","Medtr2g041470"
"284","Medtr2g042330"
"285","Medtr2g042740"
"286","Medtr2g045420"
"287","Medtr2g047872"
"288","Medtr2g049640"
"289","Medtr2g056000"
"290","Medtr2g061440"
"291","Medtr2g067970"
"292","Medtr2g069500"
"293","Medtr2g069530"
"294","Medtr2g069560"
"295","Medtr2g070410"
"296","Medtr2g070870"
"297","Medtr2g071640"
"298","Medtr2g071725"
"299","Medtr2g071790"
"300","Medtr2g075340"
"301","Medtr2g079110"
"302","Medtr2g080080"
"303","Medtr2g081140"
"304","Medtr2g081300"
"305","Medtr2g082650"
"306","Medtr2g082930"
"307","Medtr2g083520"
"308","Medtr2g083840"
"309","Medtr2g084315"
"310","Medtr2g086160"
"311","Medtr2g086273"
"312","Medtr2g086790"
"313","Medtr2g087120"
"314","Medtr2g088230"
"315","Medtr2g088350"
"316","Medtr2g089030"
"317","Medtr2g089815"
"318","Medtr2g090020"
"319","Medtr2g090285"
"320","Medtr2g090295"
"321","Medtr2g090800"
"322","Medtr2g093100"
"323","Medtr2g093760"
"324","Medtr2g094410"
"325","Medtr2g096380"
"326","Medtr2g096690"
"327","Medtr2g097780"
"328","Medtr2g098160"
"329","Medtr2g098440"
"330","Medtr2g098580"
"331","Medtr2g100270"
"332","Medtr2g100420"
"333","Medtr2g100570"
"334","Medtr2g100690"
"335","Medtr2g100740"
"336","Medtr2g100825"
"337","Medtr2g100930"
"338","Medtr2g101190"
"339","Medtr2g102510"
"340","Medtr2g103380"
"341","Medtr2g103590"
"342","Medtr2g103840"
"343","Medtr2g104140"
"344","Medtr2g104470"
"345","Medtr2g104910"
"346","Medtr2g105090"
"347","Medtr2g105190"
"348","Medtr2g105240"
"349","Medtr2g105810"
"350","Medtr2g436470"
"351","Medtr2g436550"
"352","Medtr2g437370"
"353","Medtr2g437530"
"354","Medtr2g437540"
"355","Medtr2g438740"
"356","Medtr2g450070"
"357","Medtr2g461260"
"358","Medtr2g461560"
"359","Medtr3g005330"
"360","Medtr3g006190"
"361","Medtr3g006690"
"362","Medtr3g007710"
"363","Medtr3g009150"
"364","Medtr3g009540"
"365","Medtr3g009940"
"366","Medtr3g010010"
"367","Medtr3g010110"
"368","Medtr3g010220"
"369","Medtr3g010320"
"370","Medtr3g012320"
"371","Medtr3g013790"
"372","Medtr3g014030"
"373","Medtr3g014680"
"374","Medtr3g015377"
"375","Medtr3g015440"
"376","Medtr3g017610"
"377","Medtr3g018770"
"378","Medtr3g021100"
"379","Medtr3g023930"
"380","Medtr3g028010"
"381","Medtr3g028190"
"382","Medtr3g028520"
"383","Medtr3g029990"
"384","Medtr3g030930"
"385","Medtr3g032980"
"386","Medtr3g033530"
"387","Medtr3g033730"
"388","Medtr3g034210"
"389","Medtr3g035600"
"390","Medtr3g035940"
"391","Medtr3g037380"
"392","Medtr3g040410"
"393","Medtr3g040540"
"394","Medtr3g045460"
"395","Medtr3g047930"
"396","Medtr3g048940"
"397","Medtr3g049330"
"398","Medtr3g052285"
"399","Medtr3g052530"
"400","Medtr3g053340"
"401","Medtr3g053350"
"402","Medtr3g054360"
"403","Medtr3g056610"
"404","Medtr3g056620"
"405","Medtr3g058980"
"406","Medtr3g060660"
"407","Medtr3g061510"
"408","Medtr3g063220"
"409","Medtr3g064210"
"410","Medtr3g067430"
"411","Medtr3g067445"
"412","Medtr3g067475"
"413","Medtr3g067510"
"414","Medtr3g067585"
"415","Medtr3g067685"
"416","Medtr3g067765"
"417","Medtr3g068025"
"418","Medtr3g070165"
"419","Medtr3g070720"
"420","Medtr3g071650"
"421","Medtr3g071970"
"422","Medtr3g072350"
"423","Medtr3g072980"
"424","Medtr3g073000"
"425","Medtr3g073080"
"426","Medtr3g074050"
"427","Medtr3g075400"
"428","Medtr3g077500"
"429","Medtr3g077540"
"430","Medtr3g078020"
"431","Medtr3g078260"
"432","Medtr3g078770"
"433","Medtr3g079670"
"434","Medtr3g080140"
"435","Medtr3g080220"
"436","Medtr3g081150"
"437","Medtr3g082510"
"438","Medtr3g083310"
"439","Medtr3g083480"
"440","Medtr3g083720"
"441","Medtr3g084250"
"442","Medtr3g084260"
"443","Medtr3g085060"
"444","Medtr3g085300"
"445","Medtr3g085370"
