"","x"
"1","Medtr0003s0540"
"2","Medtr0003s0660"
"3","Medtr0005s0130"
"4","Medtr0006s0240"
"5","Medtr0013s0150"
"6","Medtr0014s0300"
"7","Medtr0015s0140"
"8","Medtr0016s0020"
"9","Medtr0018s0090"
"10","Medtr0020s0020"
"11","Medtr0022s0280"
"12","Medtr0024s0070"
"13","Medtr0026s0200"
"14","Medtr0028s0090"
"15","Medtr0036s0150"
"16","Medtr0059s0060"
"17","Medtr0082s0260"
"18","Medtr0082s0280"
"19","Medtr0095s0070"
"20","Medtr0116s0090"
"21","Medtr0136s0010"
"22","Medtr0153s0070"
"23","Medtr0168s0080"
"24","Medtr0180s0070"
"25","Medtr0197s0090"
"26","Medtr0200s0050"
"27","Medtr0209s0040"
"28","Medtr0232s0030"
"29","Medtr0275s0040"
"30","Medtr0276s0050"
"31","Medtr0287s0050"
"32","Medtr0332s0020"
"33","Medtr0370s0010"
"34","Medtr0493s0010"
"35","Medtr0493s0030"
"36","Medtr0623s0010"
"37","Medtr0903s0010"
"38","Medtr1160s0010"
"39","Medtr1514s0010"
"40","Medtr1g006660"
"41","Medtr1g007157"
"42","Medtr1g007325"
"43","Medtr1g007370"
"44","Medtr1g007590"
"45","Medtr1g007610"
"46","Medtr1g007630"
"47","Medtr1g007700"
"48","Medtr1g008380"
"49","Medtr1g009680"
"50","Medtr1g010040"
"51","Medtr1g010070"
"52","Medtr1g011280"
"53","Medtr1g011610"
"54","Medtr1g011690"
"55","Medtr1g012370"
"56","Medtr1g012550"
"57","Medtr1g012910"
"58","Medtr1g012950"
"59","Medtr1g013700"
"60","Medtr1g014690"
"61","Medtr1g014710"
"62","Medtr1g014730"
"63","Medtr1g015050"
"64","Medtr1g015110"
"65","Medtr1g016010"
"66","Medtr1g016110"
"67","Medtr1g016360"
"68","Medtr1g016920"
"69","Medtr1g017290"
"70","Medtr1g017520"
"71","Medtr1g017900"
"72","Medtr1g017910"
"73","Medtr1g018790"
"74","Medtr1g019050"
"75","Medtr1g019120"
"76","Medtr1g019290"
"77","Medtr1g019760"
"78","Medtr1g021955"
"79","Medtr1g021970"
"80","Medtr1g022290"
"81","Medtr1g022295"
"82","Medtr1g022370"
"83","Medtr1g022505"
"84","Medtr1g023180"
"85","Medtr1g023340"
"86","Medtr1g023600"
"87","Medtr1g023660"
"88","Medtr1g023760"
"89","Medtr1g023910"
"90","Medtr1g024095"
"91","Medtr1g024830"
"92","Medtr1g025960"
"93","Medtr1g026290"
"94","Medtr1g027840"
"95","Medtr1g028310"
"96","Medtr1g028440"
"97","Medtr1g029550"
"98","Medtr1g030430"
"99","Medtr1g031110"
"100","Medtr1g031620"
"101","Medtr1g031750"
"102","Medtr1g032100"
"103","Medtr1g032110"
"104","Medtr1g035010"
"105","Medtr1g035200"
"106","Medtr1g036280"
"107","Medtr1g037580"
"108","Medtr1g038850"
"109","Medtr1g040120"
"110","Medtr1g041735"
"111","Medtr1g041805"
"112","Medtr1g043810"
"113","Medtr1g044450"
"114","Medtr1g045520"
"115","Medtr1g046210"
"116","Medtr1g049120"
"117","Medtr1g050340"
"118","Medtr1g050428"
"119","Medtr1g050538"
"120","Medtr1g050545"
"121","Medtr1g050765"
"122","Medtr1g051115"
"123","Medtr1g051825"
"124","Medtr1g052530"
"125","Medtr1g053130"
"126","Medtr1g053160"
"127","Medtr1g053175"
"128","Medtr1g053955"
"129","Medtr1g053960"
"130","Medtr1g054455"
"131","Medtr1g054675"
"132","Medtr1g055365"
"133","Medtr1g056160"
"134","Medtr1g056460"
"135","Medtr1g057020"
"136","Medtr1g059090"
"137","Medtr1g059280"
"138","Medtr1g059610"
"139","Medtr1g059790"
"140","Medtr1g060580"
"141","Medtr1g061130"
"142","Medtr1g063350"
"143","Medtr1g064160"
"144","Medtr1g064430"
"145","Medtr1g066770"
"146","Medtr1g066890"
"147","Medtr1g067380"
"148","Medtr1g067450"
"149","Medtr1g069055"
"150","Medtr1g069065"
"151","Medtr1g069195"
"152","Medtr1g069420"
"153","Medtr1g069440"
"154","Medtr1g069720"
"155","Medtr1g069755"
"156","Medtr1g069765"
"157","Medtr1g069910"
"158","Medtr1g070505"
"159","Medtr1g071300"
"160","Medtr1g071370"
"161","Medtr1g071540"
"162","Medtr1g072160"
"163","Medtr1g072270"
"164","Medtr1g072300"
"165","Medtr1g073390"
"166","Medtr1g073720"
"167","Medtr1g075330"
"168","Medtr1g075440"
"169","Medtr1g076640"
"170","Medtr1g077090"
"171","Medtr1g077470"
"172","Medtr1g077580"
"173","Medtr1g077640"
"174","Medtr1g077940"
"175","Medtr1g078070"
"176","Medtr1g078240"
"177","Medtr1g078400"
"178","Medtr1g079180"
"179","Medtr1g079510"
"180","Medtr1g079730"
"181","Medtr1g079830"
"182","Medtr1g080360"
"183","Medtr1g081660"
"184","Medtr1g081790"
"185","Medtr1g083120"
"186","Medtr1g083540"
"187","Medtr1g083990"
"188","Medtr1g084180"
"189","Medtr1g085140"
"190","Medtr1g085560"
"191","Medtr1g085620"
"192","Medtr1g086030"
"193","Medtr1g086230"
"194","Medtr1g086250"
"195","Medtr1g086370"
"196","Medtr1g086940"
"197","Medtr1g087120"
"198","Medtr1g087230"
"199","Medtr1g087300"
"200","Medtr1g087310"
"201","Medtr1g087750"
"202","Medtr1g087840"
"203","Medtr1g088965"
"204","Medtr1g089110"
"205","Medtr1g090340"
"206","Medtr1g090490"
"207","Medtr1g090663"
"208","Medtr1g090693"
"209","Medtr1g090723"
"210","Medtr1g090867"
"211","Medtr1g090960"
"212","Medtr1g091040"
"213","Medtr1g092440"
"214","Medtr1g092910"
"215","Medtr1g092920"
"216","Medtr1g093090"
"217","Medtr1g093650"
"218","Medtr1g094000"
"219","Medtr1g094010"
"220","Medtr1g094215"
"221","Medtr1g094730"
"222","Medtr1g095165"
"223","Medtr1g095480"
"224","Medtr1g095570"
"225","Medtr1g095620"
"226","Medtr1g095810"
"227","Medtr1g095880"
"228","Medtr1g096230"
"229","Medtr1g096340"
"230","Medtr1g096410"
"231","Medtr1g096580"
"232","Medtr1g097270"
"233","Medtr1g097400"
"234","Medtr1g097430"
"235","Medtr1g097610"
"236","Medtr1g098280"
"237","Medtr1g098920"
"238","Medtr1g099110"
"239","Medtr1g099220"
"240","Medtr1g099480"
"241","Medtr1g099610"
"242","Medtr1g099620"
"243","Medtr1g100210"
"244","Medtr1g100753"
"245","Medtr1g100950"
"246","Medtr1g101310"
"247","Medtr1g101520"
"248","Medtr1g101790"
"249","Medtr1g101870"
"250","Medtr1g102010"
"251","Medtr1g102230"
"252","Medtr1g102425"
"253","Medtr1g102640"
"254","Medtr1g102710"
"255","Medtr1g102810"
"256","Medtr1g102880"
"257","Medtr1g102890"
"258","Medtr1g102900"
"259","Medtr1g103820"
"260","Medtr1g104710"
"261","Medtr1g105075"
"262","Medtr1g105785"
"263","Medtr1g106025"
"264","Medtr1g106105"
"265","Medtr1g106550"
"266","Medtr1g106730"
"267","Medtr1g106765"
"268","Medtr1g106815"
"269","Medtr1g106855"
"270","Medtr1g106860"
"271","Medtr1g106940"
"272","Medtr1g107350"
"273","Medtr1g107355"
"274","Medtr1g107510"
"275","Medtr1g107575"
"276","Medtr1g108690"
"277","Medtr1g109120"
"278","Medtr1g109230"
"279","Medtr1g109370"
"280","Medtr1g110070"
"281","Medtr1g110300"
"282","Medtr1g110760"
"283","Medtr1g110980"
"284","Medtr1g111180"
"285","Medtr1g111380"
"286","Medtr1g111550"
"287","Medtr1g112170"
"288","Medtr1g112350"
"289","Medtr1g112640"
"290","Medtr1g113850"
"291","Medtr1g114410"
"292","Medtr1g114490"
"293","Medtr1g114560"
"294","Medtr1g114570"
"295","Medtr1g114600"
"296","Medtr1g115215"
"297","Medtr1g115500"
"298","Medtr1g116140"
"299","Medtr1g116280"
"300","Medtr1g116330"
"301","Medtr1g116520"
"302","Medtr1g116590"
"303","Medtr1g116875"
"304","Medtr1g116947"
"305","Medtr1g484970"
"306","Medtr1g492840"
"307","Medtr1g492940"
"308","Medtr1g492950"
"309","Medtr2g005590"
"310","Medtr2g005620"
"311","Medtr2g005730"
"312","Medtr2g005820"
"313","Medtr2g005920"
"314","Medtr2g006870"
"315","Medtr2g007000"
"316","Medtr2g007190"
"317","Medtr2g007350"
"318","Medtr2g007550"
"319","Medtr2g007690"
"320","Medtr2g008170"
"321","Medtr2g008220"
"322","Medtr2g008410"
"323","Medtr2g008590"
"324","Medtr2g008810"
"325","Medtr2g008840"
"326","Medtr2g008880"
"327","Medtr2g009110"
"328","Medtr2g009500"
"329","Medtr2g010210"
"330","Medtr2g010450"
"331","Medtr2g010480"
"332","Medtr2g010880"
"333","Medtr2g011630"
"334","Medtr2g012440"
"335","Medtr2g012570"
"336","Medtr2g012900"
"337","Medtr2g013250"
"338","Medtr2g013330"
"339","Medtr2g013440"
"340","Medtr2g014260"
"341","Medtr2g014340"
"342","Medtr2g014490"
"343","Medtr2g014890"
"344","Medtr2g015320"
"345","Medtr2g015510"
"346","Medtr2g015590"
"347","Medtr2g015690"
"348","Medtr2g015980"
"349","Medtr2g016280"
"350","Medtr2g016490"
"351","Medtr2g017750"
"352","Medtr2g017975"
"353","Medtr2g018175"
"354","Medtr2g018270"
"355","Medtr2g018310"
"356","Medtr2g018570"
"357","Medtr2g019020"
"358","Medtr2g019260"
"359","Medtr2g019450"
"360","Medtr2g019620"
"361","Medtr2g019790"
"362","Medtr2g019990"
