"","x"
"1","Medtr0015s0060"
"2","Medtr0024s0010"
"3","Medtr0026s0210"
"4","Medtr0032s0030"
"5","Medtr0047s0140"
"6","Medtr0082s0050"
"7","Medtr0280s0030"
"8","Medtr0939s0010"
"9","Medtr1g009760"
"10","Medtr1g013630"
"11","Medtr1g015000"
"12","Medtr1g017400"
"13","Medtr1g022260"
"14","Medtr1g022495"
"15","Medtr1g026700"
"16","Medtr1g028350"
"17","Medtr1g028580"
"18","Medtr1g029380"
"19","Medtr1g033850"
"20","Medtr1g034140"
"21","Medtr1g035260"
"22","Medtr1g035770"
"23","Medtr1g036750"
"24","Medtr1g040455"
"25","Medtr1g041585"
"26","Medtr1g044785"
"27","Medtr1g045065"
"28","Medtr1g056810"
"29","Medtr1g059620"
"30","Medtr1g063900"
"31","Medtr1g067040"
"32","Medtr1g079375"
"33","Medtr1g084150"
"34","Medtr1g086340"
"35","Medtr1g086600"
"36","Medtr1g087380"
"37","Medtr1g088860"
"38","Medtr1g090010"
"39","Medtr1g094255"
"40","Medtr1g097220"
"41","Medtr1g101330"
"42","Medtr1g107145"
"43","Medtr1g111020"
"44","Medtr1g115225"
"45","Medtr1g115605"
"46","Medtr2g005760"
"47","Medtr2g008710"
"48","Medtr2g008930"
"49","Medtr2g009770"
"50","Medtr2g015380"
"51","Medtr2g015670"
"52","Medtr2g017495"
"53","Medtr2g018640"
"54","Medtr2g020510"
"55","Medtr2g022600"
"56","Medtr2g022820"
"57","Medtr2g023970"
"58","Medtr2g028220"
"59","Medtr2g035850"
"60","Medtr2g036490"
"61","Medtr2g039760"
"62","Medtr2g041140"
"63","Medtr2g044210"
"64","Medtr2g044810"
"65","Medtr2g045090"
"66","Medtr2g046090"
"67","Medtr2g064090"
"68","Medtr2g069020"
"69","Medtr2g069273"
"70","Medtr2g071700"
"71","Medtr2g073350"
"72","Medtr2g073380"
"73","Medtr2g087950"
"74","Medtr2g088900"
"75","Medtr2g092930"
"76","Medtr2g095730"
"77","Medtr2g097860"
"78","Medtr2g099820"
"79","Medtr2g105390"
"80","Medtr2g437710"
"81","Medtr3g005210"
"82","Medtr3g007870"
"83","Medtr3g008820"
"84","Medtr3g012310"
"85","Medtr3g017620"
"86","Medtr3g019070"
"87","Medtr3g022220"
"88","Medtr3g025470"
"89","Medtr3g027420"
"90","Medtr3g027870"
"91","Medtr3g032370"
