"","x"
"1","Medtr0004s0230"
"2","Medtr0052s0130"
"3","Medtr0082s0120"
"4","Medtr0094s0110"
"5","Medtr0219s0040"
"6","Medtr0271s0050"
"7","Medtr1g006990"
"8","Medtr1g016480"
"9","Medtr1g017090"
"10","Medtr1g022010"
"11","Medtr1g026072"
"12","Medtr1g029680"
"13","Medtr1g029750"
"14","Medtr1g031730"
"15","Medtr1g032490"
"16","Medtr1g034190"
"17","Medtr1g051365"
"18","Medtr1g055175"
"19","Medtr1g066620"
"20","Medtr1g072540"
"21","Medtr1g075180"
"22","Medtr1g083350"
"23","Medtr1g083570"
"24","Medtr1g086190"
"25","Medtr1g086310"
"26","Medtr1g089570"
"27","Medtr1g090707"
"28","Medtr1g093010"
"29","Medtr1g093390"
"30","Medtr1g094845"
"31","Medtr1g100603"
"32","Medtr1g102140"
"33","Medtr1g102780"
"34","Medtr1g105595"
"35","Medtr1g106945"
"36","Medtr1g111310"
"37","Medtr1g112740"
"38","Medtr1g116085"
"39","Medtr2g007190"
"40","Medtr2g007520"
"41","Medtr2g008970"
"42","Medtr2g010350"
"43","Medtr2g011730"
"44","Medtr2g013330"
"45","Medtr2g014430"
"46","Medtr2g016020"
"47","Medtr2g017890"
"48","Medtr2g022460"
"49","Medtr2g031810"
"50","Medtr2g034410"
"51","Medtr2g038550"
"52","Medtr2g040260"
"53","Medtr2g041280"
"54","Medtr2g042580"
"55","Medtr2g064160"
"56","Medtr2g067240"
"57","Medtr2g069400"
"58","Medtr2g070140"
"59","Medtr2g076710"
"60","Medtr2g078520"
"61","Medtr2g079300"
"62","Medtr2g082010"
"63","Medtr2g082880"
"64","Medtr2g084195"
"65","Medtr2g088190"
"66","Medtr2g089985"
"67","Medtr2g090210"
"68","Medtr2g091205"
"69","Medtr2g099630"
"70","Medtr2g099710"
"71","Medtr2g101120"
"72","Medtr2g105330"
"73","Medtr2g105670"
"74","Medtr2g436400"
"75","Medtr2g451350"
"76","Medtr3g010430"
"77","Medtr3g012090"
"78","Medtr3g012470"
"79","Medtr3g019150"
"80","Medtr3g031660"
"81","Medtr3g035815"
"82","Medtr3g037440"
"83","Medtr3g037450"
"84","Medtr3g045040"
"85","Medtr3g051060"
"86","Medtr3g053220"
"87","Medtr3g056190"
"88","Medtr3g058440"
"89","Medtr3g067565"
"90","Medtr3g067580"
"91","Medtr3g069150"
"92","Medtr3g072380"
"93","Medtr3g073420"
"94","Medtr3g078800"
"95","Medtr3g080190"
"96","Medtr3g080530"
"97","Medtr3g083370"
"98","Medtr3g086820"
"99","Medtr3g092050"
"100","Medtr3g094130"
"101","Medtr3g097150"
"102","Medtr3g101280"
