"","x"
"1","Medtr0031s0130"
"2","Medtr0087s0020"
"3","Medtr1g010030"
"4","Medtr1g022375"
"5","Medtr1g022990"
"6","Medtr1g024065"
"7","Medtr1g025680"
"8","Medtr1g031540"
"9","Medtr1g040210"
"10","Medtr1g070085"
"11","Medtr1g080680"
"12","Medtr1g082400"
"13","Medtr1g103700"
"14","Medtr2g012520"
"15","Medtr2g018350"
"16","Medtr2g023340"
"17","Medtr2g033370"
"18","Medtr2g037420"
"19","Medtr2g058330"
"20","Medtr2g064730"
"21","Medtr2g078130"
"22","Medtr2g079420"
"23","Medtr2g081950"
"24","Medtr2g085340"
"25","Medtr2g096960"
"26","Medtr2g099850"
"27","Medtr2g102500"
"28","Medtr2g102560"
"29","Medtr2g449830"
"30","Medtr3g005140"
"31","Medtr3g052480"
"32","Medtr3g064300"
"33","Medtr3g064810"
"34","Medtr3g073140"
"35","Medtr3g086970"
"36","Medtr3g094650"
"37","Medtr3g096568"
"38","Medtr3g098980"
"39","Medtr3g099980"
"40","Medtr3g101720"
"41","Medtr3g103360"
"42","Medtr3g104900"
"43","Medtr3g105550"
"44","Medtr3g106820"
"45","Medtr3g108730"
"46","Medtr3g110550"
"47","Medtr3g435080"
"48","Medtr3g463480"
"49","Medtr3g463730"
"50","Medtr4g005430"
"51","Medtr4g019240"
"52","Medtr4g027800"
"53","Medtr4g027840"
"54","Medtr4g033200"
"55","Medtr4g033275"
"56","Medtr4g035895"
"57","Medtr4g076940"
"58","Medtr4g081610"
"59","Medtr4g081685"
"60","Medtr4g095330"
"61","Medtr4g101830"
"62","Medtr4g108050"
"63","Medtr4g109300"
"64","Medtr4g127090"
"65","Medtr4g132115"
"66","Medtr4g428370"
"67","Medtr5g010510"
"68","Medtr5g017210"
"69","Medtr5g020810"
"70","Medtr5g024977"
"71","Medtr5g031360"
"72","Medtr5g043480"
"73","Medtr5g044930"
"74","Medtr5g054780"
"75","Medtr5g083340"
"76","Medtr5g083500"
"77","Medtr5g084460"
"78","Medtr5g085360"
"79","Medtr5g091565"
"80","Medtr5g091645"
"81","Medtr5g091660"
"82","Medtr5g094010"
"83","Medtr5g098560"
"84","Medtr6g008950"
"85","Medtr6g018270"
"86","Medtr6g027160"
"87","Medtr6g028120"
"88","Medtr6g060650"
"89","Medtr6g061110"
"90","Medtr6g061720"
"91","Medtr6g065120"
"92","Medtr6g088415"
"93","Medtr6g091800"
"94","Medtr6g462100"
"95","Medtr6g463260"
"96","Medtr6g472380"
"97","Medtr7g006210"
"98","Medtr7g028740"
"99","Medtr7g033960"
"100","Medtr7g047440"
"101","Medtr7g051880"
"102","Medtr7g056577"
"103","Medtr7g057390"
"104","Medtr7g062290"
"105","Medtr7g075850"
"106","Medtr7g080030"
"107","Medtr7g084730"
"108","Medtr7g090070"
"109","Medtr7g100890"
"110","Medtr7g101120"
"111","Medtr7g101130"
"112","Medtr7g103510"
"113","Medtr7g113640"
"114","Medtr7g116365"
"115","Medtr7g118000"
"116","Medtr7g445250"
"117","Medtr8g010370"
"118","Medtr8g016400"
"119","Medtr8g017850"
"120","Medtr8g022470"
"121","Medtr8g028480"
"122","Medtr8g031000"
"123","Medtr8g031360"
"124","Medtr8g036225"
"125","Medtr8g039910"
"126","Medtr8g041770"
"127","Medtr8g043660"
"128","Medtr8g045400"
"129","Medtr8g080860"
"130","Medtr8g081600"
"131","Medtr8g094540"
"132","Medtr8g099215"
"133","Medtr8g104460"
"134","Medtr8g104645"
"135","Medtr8g442360"
