"","x"
"1","Medtr0005s0230"
"2","Medtr0007s0080"
"3","Medtr0046s0180"
"4","Medtr0049s0080"
"5","Medtr0060s0100"
"6","Medtr0064s0160"
"7","Medtr0082s0120"
"8","Medtr0082s0270"
"9","Medtr0116s0130"
"10","Medtr0127s0040"
"11","Medtr0204s0040"
"12","Medtr0212s0050"
"13","Medtr0248s0030"
"14","Medtr0283s0050"
"15","Medtr0321s0030"
"16","Medtr0368s0040"
"17","Medtr0783s0010"
"18","Medtr0955s0020"
"19","Medtr0989s0020"
"20","Medtr1194s0010"
"21","Medtr1527s0010"
"22","Medtr1g007620"
"23","Medtr1g012380"
"24","Medtr1g016000"
"25","Medtr1g016280"
"26","Medtr1g016480"
"27","Medtr1g017890"
"28","Medtr1g019550"
"29","Medtr1g022325"
"30","Medtr1g023870"
"31","Medtr1g029330"
"32","Medtr1g032040"
"33","Medtr1g033110"
"34","Medtr1g040915"
"35","Medtr1g050925"
"36","Medtr1g051185"
"37","Medtr1g062750"
"38","Medtr1g064005"
"39","Medtr1g067190"
"40","Medtr1g067350"
"41","Medtr1g067690"
"42","Medtr1g073420"
"43","Medtr1g085180"
"44","Medtr1g088935"
"45","Medtr1g089085"
"46","Medtr1g093170"
"47","Medtr1g095970"
"48","Medtr1g098733"
"49","Medtr1g103760"
"50","Medtr1g104507"
"51","Medtr1g105715"
"52","Medtr1g108305"
"53","Medtr1g110460"
"54","Medtr1g111540"
"55","Medtr1g111870"
"56","Medtr1g112010"
"57","Medtr1g113050"
"58","Medtr1g114210"
"59","Medtr1g116180"
"60","Medtr1g485000"
"61","Medtr1g492750"
"62","Medtr2g008290"
"63","Medtr2g011160"
"64","Medtr2g014235"
"65","Medtr2g015260"
"66","Medtr2g017670"
"67","Medtr2g017730"
"68","Medtr2g019390"
"69","Medtr2g021340"
"70","Medtr2g022160"
"71","Medtr2g022700"
"72","Medtr2g023660"
"73","Medtr2g024140"
"74","Medtr2g024390"
"75","Medtr2g025130"
"76","Medtr2g026565"
"77","Medtr2g026590"
"78","Medtr2g032690"
"79","Medtr2g033050"
"80","Medtr2g034280"
"81","Medtr2g036820"
"82","Medtr2g038905"
"83","Medtr2g040360"
"84","Medtr2g041220"
"85","Medtr2g043850"
"86","Medtr2g045360"
"87","Medtr2g048690"
"88","Medtr2g049630"
"89","Medtr2g058410"
"90","Medtr2g061450"
"91","Medtr2g063160"
"92","Medtr2g072240"
"93","Medtr2g073440"
"94","Medtr2g075730"
"95","Medtr2g076650"
"96","Medtr2g078070"
"97","Medtr2g078700"
"98","Medtr2g082860"
"99","Medtr2g082920"
"100","Medtr2g083000"
"101","Medtr2g083890"
"102","Medtr2g084615"
"103","Medtr2g086850"
"104","Medtr2g087850"
"105","Medtr2g090300"
"106","Medtr2g090500"
"107","Medtr2g093020"
"108","Medtr2g093750"
"109","Medtr2g094890"
"110","Medtr2g095040"
"111","Medtr2g095750"
"112","Medtr2g099570"
"113","Medtr2g100540"
"114","Medtr2g104190"
"115","Medtr2g435370"
"116","Medtr2g437990"
"117","Medtr2g438010"
"118","Medtr2g451360"
"119","Medtr3g013440"
"120","Medtr3g019290"
"121","Medtr3g021380"
"122","Medtr3g022950"
"123","Medtr3g028650"
"124","Medtr3g028680"
"125","Medtr3g030990"
"126","Medtr3g031500"
"127","Medtr3g034180"
"128","Medtr3g035590"
"129","Medtr3g037190"
"130","Medtr3g040800"
"131","Medtr3g050860"
"132","Medtr3g055310"
"133","Medtr3g057880"
"134","Medtr3g061350"
"135","Medtr3g064490"
"136","Medtr3g070033"
"137","Medtr3g070620"
"138","Medtr3g071990"
"139","Medtr3g072810"
"140","Medtr3g074840"
"141","Medtr3g075520"
"142","Medtr3g077520"
"143","Medtr3g081100"
"144","Medtr3g083050"
"145","Medtr3g084870"
"146","Medtr3g086470"
"147","Medtr3g086630"
"148","Medtr3g087020"
"149","Medtr3g090955"
"150","Medtr3g095490"
"151","Medtr3g098790"
"152","Medtr3g100650"
"153","Medtr3g101600"
"154","Medtr3g103190"
"155","Medtr3g106930"
"156","Medtr3g108150"
"157","Medtr3g108320"
"158","Medtr3g111660"
"159","Medtr3g116275"
"160","Medtr3g116530"
"161","Medtr3g118240"
"162","Medtr3g437660"
"163","Medtr3g449970"
"164","Medtr3g452530"
"165","Medtr3g463920"
"166","Medtr3g464560"
"167","Medtr3g465950"
"168","Medtr3g465990"
"169","Medtr4g006790"
"170","Medtr4g008780"
"171","Medtr4g010110"
"172","Medtr4g011030"
"173","Medtr4g011620"
"174","Medtr4g014670"
"175","Medtr4g015220"
"176","Medtr4g019580"
"177","Medtr4g021095"
"178","Medtr4g023260"
"179","Medtr4g024865"
"180","Medtr4g025400"
"181","Medtr4g026400"
"182","Medtr4g030830"
"183","Medtr4g031010"
"184","Medtr4g035353"
"185","Medtr4g036080"
"186","Medtr4g040310"
"187","Medtr4g040560"
"188","Medtr4g043630"
"189","Medtr4g044667"
"190","Medtr4g045913"
"191","Medtr4g046020"
"192","Medtr4g046743"
"193","Medtr4g051103"
"194","Medtr4g051390"
"195","Medtr4g058025"
"196","Medtr4g061330"
"197","Medtr4g067270"
"198","Medtr4g068330"
"199","Medtr4g070320"
"200","Medtr4g072240"
"201","Medtr4g072310"
"202","Medtr4g076750"
"203","Medtr4g079340"
"204","Medtr4g081280"
"205","Medtr4g081730"
"206","Medtr4g085760"
"207","Medtr4g085800"
"208","Medtr4g087370"
"209","Medtr4g089145"
"210","Medtr4g089175"
"211","Medtr4g093030"
"212","Medtr4g095022"
"213","Medtr4g097670"
"214","Medtr4g102610"
"215","Medtr4g105580"
"216","Medtr4g117500"
"217","Medtr4g118855"
"218","Medtr4g122030"
"219","Medtr4g124740"
"220","Medtr4g124850"
"221","Medtr4g127770"
"222","Medtr4g128410"
"223","Medtr4g129550"
"224","Medtr4g131780"
"225","Medtr4g133280"
"226","Medtr4g133750"
"227","Medtr4g435288"
"228","Medtr5g004830"
"229","Medtr5g006050"
"230","Medtr5g008790"
"231","Medtr5g013595"
"232","Medtr5g017830"
"233","Medtr5g018070"
"234","Medtr5g021070"
"235","Medtr5g021930"
"236","Medtr5g022460"
"237","Medtr5g023850"
"238","Medtr5g026160"
"239","Medtr5g026640"
"240","Medtr5g029775"
"241","Medtr5g031530"
"242","Medtr5g032600"
"243","Medtr5g033680"
"244","Medtr5g037040"
"245","Medtr5g037590"
"246","Medtr5g037975"
"247","Medtr5g039980"
"248","Medtr5g040855"
"249","Medtr5g041400"
"250","Medtr5g043610"
"251","Medtr5g054710"
"252","Medtr5g054970"
"253","Medtr5g055070"
"254","Medtr5g056030"
"255","Medtr5g061940"
"256","Medtr5g065540"
"257","Medtr5g065920"
"258","Medtr5g066150"
"259","Medtr5g067140"
"260","Medtr5g068190"
"261","Medtr5g069000"
"262","Medtr5g070840"
"263","Medtr5g071210"
"264","Medtr5g071220"
"265","Medtr5g072130"
"266","Medtr5g076820"
"267","Medtr5g077920"
"268","Medtr5g081360"
"269","Medtr5g081620"
"270","Medtr5g082520"
"271","Medtr5g083330"
"272","Medtr5g084970"
"273","Medtr5g087635"
"274","Medtr5g088790"
"275","Medtr5g089080"
"276","Medtr5g090040"
"277","Medtr5g090810"
"278","Medtr5g091640"
"279","Medtr5g092450"
"280","Medtr6g005390"
"281","Medtr6g009190"
"282","Medtr6g011250"
"283","Medtr6g011890"
"284","Medtr6g015385"
"285","Medtr6g017140"
"286","Medtr6g018600"
"287","Medtr6g033985"
"288","Medtr6g034675"
"289","Medtr6g035275"
"290","Medtr6g038740"
"291","Medtr6g045050"
"292","Medtr6g069200"
"293","Medtr6g072640"
"294","Medtr6g072867"
"295","Medtr6g075320"
"296","Medtr6g076220"
"297","Medtr6g078080"
"298","Medtr6g078200"
"299","Medtr6g078620"
"300","Medtr6g083260"
"301","Medtr6g084370"
"302","Medtr6g084540"
"303","Medtr6g086060"
"304","Medtr6g088020"
"305","Medtr6g088800"
"306","Medtr6g088845"
"307","Medtr6g089800"
"308","Medtr6g091900"
"309","Medtr6g471170"
"310","Medtr6g471820"
"311","Medtr7g005780"
"312","Medtr7g007210"
"313","Medtr7g007510"
"314","Medtr7g007550"
"315","Medtr7g008040"
"316","Medtr7g009640"
"317","Medtr7g011130"
"318","Medtr7g011590"
"319","Medtr7g013560"
"320","Medtr7g013760"
"321","Medtr7g015810"
"322","Medtr7g017780"
"323","Medtr7g023310"
"324","Medtr7g026550"
"325","Medtr7g029525"
"326","Medtr7g033125"
"327","Medtr7g033475"
"328","Medtr7g059440"
"329","Medtr7g062700"
"330","Medtr7g068040"
"331","Medtr7g070220"
"332","Medtr7g071830"
"333","Medtr7g072720"
"334","Medtr7g073620"
"335","Medtr7g074380"
"336","Medtr7g077310"
"337","Medtr7g078840"
"338","Medtr7g079600"
"339","Medtr7g081150"
"340","Medtr7g083120"
