"","x"
"1","Medtr1g008900"
"2","Medtr1g033660"
"3","Medtr1g041830"
"4","Medtr1g045850"
"5","Medtr1g051540"
"6","Medtr1g104490"
"7","Medtr1g112880"
"8","Medtr2g008930"
"9","Medtr2g012400"
"10","Medtr2g013160"
"11","Medtr2g018135"
"12","Medtr2g030600"
"13","Medtr2g039140"
"14","Medtr2g055970"
"15","Medtr2g063920"
"16","Medtr2g068770"
"17","Medtr2g094990"
"18","Medtr3g055750"
"19","Medtr3g088485"
"20","Medtr3g091700"
"21","Medtr3g093060"
"22","Medtr3g106960"
"23","Medtr4g005160"
"24","Medtr4g065200"
"25","Medtr4g072620"
"26","Medtr4g076470"
"27","Medtr4g109380"
"28","Medtr5g014420"
"29","Medtr5g089915"
"30","Medtr5g093700"
"31","Medtr5g098100"
"32","Medtr6g009510"
"33","Medtr6g015940"
"34","Medtr6g477820"
"35","Medtr7g007830"
"36","Medtr7g009760"
"37","Medtr7g021825"
"38","Medtr7g099380"
"39","Medtr7g105920"
"40","Medtr7g108835"
"41","Medtr8g009850"
"42","Medtr8g038090"
"43","Medtr8g075980"
"44","Medtr8g087480"
"45","Medtr8g087970"
"46","Medtr8g446520"
