"","x"
"1","Medtr0001s0560"
"2","Medtr0005s0200"
"3","Medtr0005s0230"
"4","Medtr0007s0080"
"5","Medtr0009s0050"
"6","Medtr0009s0250"
"7","Medtr0011s0260"
"8","Medtr0018s0310"
"9","Medtr0022s0430"
"10","Medtr0026s0200"
"11","Medtr0036s0280"
"12","Medtr0046s0180"
"13","Medtr0060s0100"
"14","Medtr0069s0090"
"15","Medtr0082s0250"
"16","Medtr0095s0040"
"17","Medtr0101s0020"
"18","Medtr0116s0090"
"19","Medtr0127s0040"
"20","Medtr0147s0030"
"21","Medtr0154s0020"
"22","Medtr0178s0030"
"23","Medtr0180s0050"
"24","Medtr0194s0040"
"25","Medtr0197s0010"
"26","Medtr0204s0040"
"27","Medtr0212s0050"
"28","Medtr0248s0030"
"29","Medtr0267s0070"
"30","Medtr0283s0050"
"31","Medtr0321s0030"
"32","Medtr0340s0020"
"33","Medtr0340s0030"
"34","Medtr0368s0010"
"35","Medtr0368s0040"
"36","Medtr0783s0010"
"37","Medtr0955s0020"
"38","Medtr0989s0020"
"39","Medtr1g007340"
"40","Medtr1g007620"
"41","Medtr1g009570"
"42","Medtr1g011670"
"43","Medtr1g012380"
"44","Medtr1g012520"
"45","Medtr1g012610"
"46","Medtr1g012820"
"47","Medtr1g012860"
"48","Medtr1g012870"
"49","Medtr1g014130"
"50","Medtr1g014340"
"51","Medtr1g014640"
"52","Medtr1g015140"
"53","Medtr1g015820"
"54","Medtr1g016000"
"55","Medtr1g016540"
"56","Medtr1g016790"
"57","Medtr1g016840"
"58","Medtr1g017020"
"59","Medtr1g018020"
"60","Medtr1g019550"
"61","Medtr1g021835"
"62","Medtr1g021925"
"63","Medtr1g022255"
"64","Medtr1g022415"
"65","Medtr1g022445"
"66","Medtr1g022940"
"67","Medtr1g023270"
"68","Medtr1g023870"
"69","Medtr1g025180"
"70","Medtr1g028010"
"71","Medtr1g029330"
"72","Medtr1g029400"
"73","Medtr1g029710"
"74","Medtr1g030760"
"75","Medtr1g031520"
"76","Medtr1g032040"
"77","Medtr1g032160"
"78","Medtr1g032190"
"79","Medtr1g032570"
"80","Medtr1g033960"
"81","Medtr1g034210"
"82","Medtr1g035140"
"83","Medtr1g035300"
"84","Medtr1g035750"
"85","Medtr1g037310"
"86","Medtr1g037550"
"87","Medtr1g038793"
"88","Medtr1g038840"
"89","Medtr1g039480"
"90","Medtr1g040915"
"91","Medtr1g041385"
"92","Medtr1g041550"
"93","Medtr1g041595"
"94","Medtr1g043840"
"95","Medtr1g044520"
"96","Medtr1g046210"
"97","Medtr1g047640"
"98","Medtr1g050130"
"99","Medtr1g050925"
"100","Medtr1g051185"
"101","Medtr1g051310"
"102","Medtr1g051760"
"103","Medtr1g052475"
"104","Medtr1g053485"
"105","Medtr1g054035"
"106","Medtr1g054150"
"107","Medtr1g054210"
"108","Medtr1g055165"
"109","Medtr1g059280"
"110","Medtr1g059590"
"111","Medtr1g061895"
"112","Medtr1g062750"
"113","Medtr1g064005"
"114","Medtr1g066710"
"115","Medtr1g066930"
"116","Medtr1g067190"
"117","Medtr1g067690"
"118","Medtr1g068945"
"119","Medtr1g069020"
"120","Medtr1g069665"
"121","Medtr1g069925"
"122","Medtr1g070185"
"123","Medtr1g070440"
"124","Medtr1g071460"
"125","Medtr1g073420"
"126","Medtr1g073860"
"127","Medtr1g074370"
"128","Medtr1g075440"
"129","Medtr1g075730"
"130","Medtr1g076180"
"131","Medtr1g077020"
"132","Medtr1g077190"
"133","Medtr1g077460"
"134","Medtr1g077600"
"135","Medtr1g078380"
"136","Medtr1g079925"
"137","Medtr1g081890"
"138","Medtr1g082450"
"139","Medtr1g083040"
"140","Medtr1g083690"
"141","Medtr1g085090"
"142","Medtr1g085160"
"143","Medtr1g085180"
"144","Medtr1g085600"
"145","Medtr1g086050"
"146","Medtr1g086980"
"147","Medtr1g089290"
"148","Medtr1g089745"
"149","Medtr1g089760"
"150","Medtr1g093170"
"151","Medtr1g093920"
"152","Medtr1g095145"
"153","Medtr1g095260"
"154","Medtr1g095580"
"155","Medtr1g095780"
"156","Medtr1g095900"
"157","Medtr1g098925"
"158","Medtr1g099040"
"159","Medtr1g099800"
"160","Medtr1g099810"
"161","Medtr1g100300"
"162","Medtr1g100315"
"163","Medtr1g100647"
"164","Medtr1g101360"
"165","Medtr1g103740"
"166","Medtr1g103760"
"167","Medtr1g104507"
"168","Medtr1g105530"
"169","Medtr1g105655"
"170","Medtr1g105715"
"171","Medtr1g106000"
"172","Medtr1g107065"
"173","Medtr1g108305"
"174","Medtr1g108610"
"175","Medtr1g108810"
"176","Medtr1g109340"
"177","Medtr1g110460"
"178","Medtr1g111540"
"179","Medtr1g111550"
"180","Medtr1g111870"
"181","Medtr1g112010"
"182","Medtr1g112170"
"183","Medtr1g113050"
"184","Medtr1g114210"
"185","Medtr1g114320"
"186","Medtr1g115250"
"187","Medtr1g115345"
"188","Medtr1g115420"
"189","Medtr1g115485"
"190","Medtr1g115510"
"191","Medtr1g115970"
"192","Medtr1g442750"
"193","Medtr1g492750"
"194","Medtr1g492940"
"195","Medtr2g005210"
"196","Medtr2g005920"
"197","Medtr2g006880"
"198","Medtr2g006910"
"199","Medtr2g007060"
"200","Medtr2g007150"
"201","Medtr2g008290"
"202","Medtr2g009360"
"203","Medtr2g009480"
"204","Medtr2g010350"
"205","Medtr2g010980"
"206","Medtr2g011160"
"207","Medtr2g011400"
"208","Medtr2g011450"
"209","Medtr2g012300"
"210","Medtr2g012350"
"211","Medtr2g012900"
"212","Medtr2g013160"
"213","Medtr2g013980"
"214","Medtr2g014235"
"215","Medtr2g014250"
"216","Medtr2g014440"
"217","Medtr2g014920"
"218","Medtr2g015260"
"219","Medtr2g015900"
"220","Medtr2g016590"
"221","Medtr2g016770"
"222","Medtr2g017670"
"223","Medtr2g017730"
"224","Medtr2g017795"
"225","Medtr2g017920"
"226","Medtr2g020820"
"227","Medtr2g021040"
"228","Medtr2g021340"
"229","Medtr2g021540"
"230","Medtr2g022160"
"231","Medtr2g022430"
"232","Medtr2g022700"
"233","Medtr2g023620"
"234","Medtr2g023650"
"235","Medtr2g023660"
"236","Medtr2g024980"
"237","Medtr2g025130"
"238","Medtr2g025200"
"239","Medtr2g025410"
"240","Medtr2g025520"
"241","Medtr2g026565"
"242","Medtr2g026590"
"243","Medtr2g028030"
"244","Medtr2g028950"
"245","Medtr2g031560"
"246","Medtr2g031780"
"247","Medtr2g031980"
"248","Medtr2g033050"
"249","Medtr2g033080"
"250","Medtr2g033410"
"251","Medtr2g034020"
"252","Medtr2g034040"
"253","Medtr2g034650"
"254","Medtr2g035900"
"255","Medtr2g036740"
"256","Medtr2g036820"
"257","Medtr2g036960"
"258","Medtr2g038030"
"259","Medtr2g038040"
"260","Medtr2g038905"
"261","Medtr2g039340"
"262","Medtr2g039480"
"263","Medtr2g039950"
"264","Medtr2g040360"
"265","Medtr2g040900"
"266","Medtr2g041220"
"267","Medtr2g041470"
"268","Medtr2g042370"
"269","Medtr2g042740"
"270","Medtr2g043850"
"271","Medtr2g045360"
"272","Medtr2g045470"
"273","Medtr2g046550"
"274","Medtr2g048690"
"275","Medtr2g049630"
"276","Medtr2g054770"
"277","Medtr2g055940"
"278","Medtr2g056130"
"279","Medtr2g059620"
"280","Medtr2g060030"
"281","Medtr2g060555"
"282","Medtr2g060910"
"283","Medtr2g061360"
"284","Medtr2g061380"
"285","Medtr2g061450"
"286","Medtr2g062210"
"287","Medtr2g062430"
"288","Medtr2g063160"
"289","Medtr2g066850"
"290","Medtr2g067640"
"291","Medtr2g068650"
"292","Medtr2g069560"
"293","Medtr2g070020"
"294","Medtr2g071950"
"295","Medtr2g071960"
"296","Medtr2g072090"
"297","Medtr2g072240"
"298","Medtr2g072310"
"299","Medtr2g073440"
"300","Medtr2g073650"
"301","Medtr2g073700"
"302","Medtr2g075730"
"303","Medtr2g076320"
"304","Medtr2g076650"
"305","Medtr2g078340"
"306","Medtr2g078700"
"307","Medtr2g079000"
"308","Medtr2g079120"
"309","Medtr2g081350"
"310","Medtr2g082010"
"311","Medtr2g082860"
"312","Medtr2g082920"
"313","Medtr2g083000"
"314","Medtr2g083260"
"315","Medtr2g083817"
"316","Medtr2g083870"
"317","Medtr2g083890"
"318","Medtr2g084315"
"319","Medtr2g084390"
"320","Medtr2g084615"
"321","Medtr2g086160"
"322","Medtr2g086300"
"323","Medtr2g086970"
"324","Medtr2g087850"
"325","Medtr2g088760"
"326","Medtr2g089970"
"327","Medtr2g090050"
