"","x"
"1","Medtr0014s0250"
"2","Medtr0024s0110"
"3","Medtr0024s0260"
"4","Medtr0082s0100"
"5","Medtr0083s0100"
"6","Medtr0113s0040"
"7","Medtr0154s0020"
"8","Medtr0258s0040"
"9","Medtr0271s0070"
"10","Medtr0294s0010"
"11","Medtr0325s0020"
"12","Medtr0334s0040"
"13","Medtr0391s0020"
"14","Medtr0623s0010"
"15","Medtr0650s0010"
"16","Medtr1236s0010"
"17","Medtr1g007920"
"18","Medtr1g007990"
"19","Medtr1g009210"
"20","Medtr1g011660"
"21","Medtr1g014210"
"22","Medtr1g016335"
"23","Medtr1g017090"
"24","Medtr1g021290"
"25","Medtr1g025490"
"26","Medtr1g026125"
"27","Medtr1g027360"
"28","Medtr1g027470"
"29","Medtr1g027730"
"30","Medtr1g028380"
"31","Medtr1g030265"
"32","Medtr1g030290"
"33","Medtr1g030710"
"34","Medtr1g033090"
"35","Medtr1g034350"
"36","Medtr1g034500"
"37","Medtr1g034960"
"38","Medtr1g037010"
"39","Medtr1g040615"
"40","Medtr1g041895"
"41","Medtr1g043110"
"42","Medtr1g044580"
"43","Medtr1g045060"
"44","Medtr1g046480"
"45","Medtr1g050525"
"46","Medtr1g052165"
"47","Medtr1g053525"
"48","Medtr1g053970"
"49","Medtr1g054270"
"50","Medtr1g058260"
"51","Medtr1g058610"
"52","Medtr1g060470"
"53","Medtr1g060590"
"54","Medtr1g060850"
"55","Medtr1g062860"
"56","Medtr1g062880"
"57","Medtr1g064620"
"58","Medtr1g066620"
"59","Medtr1g069150"
"60","Medtr1g069155"
"61","Medtr1g069665"
"62","Medtr1g069945"
"63","Medtr1g070495"
"64","Medtr1g071620"
"65","Medtr1g071630"
"66","Medtr1g072320"
"67","Medtr1g075520"
"68","Medtr1g076590"
"69","Medtr1g077020"
"70","Medtr1g077620"
"71","Medtr1g080690"
"72","Medtr1g080720"
"73","Medtr1g080890"
"74","Medtr1g081890"
"75","Medtr1g082900"
"76","Medtr1g083600"
"77","Medtr1g083860"
"78","Medtr1g086190"
"79","Medtr1g088640"
"80","Medtr1g090280"
"81","Medtr1g090673"
"82","Medtr1g095950"
"83","Medtr1g099280"
"84","Medtr1g099470"
"85","Medtr1g099490"
"86","Medtr1g099825"
"87","Medtr1g100150"
"88","Medtr1g100260"
"89","Medtr1g101400"
"90","Medtr1g101680"
"91","Medtr1g102730"
"92","Medtr1g103640"
"93","Medtr1g103840"
"94","Medtr1g104520"
"95","Medtr1g104937"
"96","Medtr1g105545"
"97","Medtr1g105595"
"98","Medtr1g106608"
"99","Medtr1g106630"
"100","Medtr1g107065"
"101","Medtr1g108820"
"102","Medtr1g109080"
"103","Medtr1g109190"
"104","Medtr1g109310"
"105","Medtr1g109360"
"106","Medtr1g110260"
"107","Medtr1g111550"
"108","Medtr1g112050"
"109","Medtr1g112210"
"110","Medtr1g112740"
