"","x"
"1","Medtr0002s1270"
"2","Medtr0003s0090"
"3","Medtr0003s0350"
"4","Medtr0006s0140"
"5","Medtr0007s0020"
"6","Medtr0014s0310"
"7","Medtr0018s0170"
"8","Medtr0026s0210"
"9","Medtr0036s0050"
"10","Medtr0036s0250"
"11","Medtr0047s0140"
"12","Medtr0064s0050"
"13","Medtr0067s0010"
"14","Medtr0079s0070"
"15","Medtr0082s0050"
"16","Medtr0082s0130"
"17","Medtr0084s0030"
"18","Medtr0086s0070"
"19","Medtr0144s0030"
"20","Medtr0173s0020"
"21","Medtr0191s0030"
"22","Medtr0242s0050"
"23","Medtr0286s0040"
"24","Medtr0312s0020"
"25","Medtr0328s0030"
"26","Medtr0381s0030"
"27","Medtr0421s0010"
"28","Medtr0443s0040"
"29","Medtr0491s0030"
"30","Medtr0536s0010"
"31","Medtr0650s0010"
"32","Medtr0685s0020"
"33","Medtr0783s0010"
"34","Medtr0795s0020"
"35","Medtr0891s0010"
"36","Medtr0939s0010"
"37","Medtr0991s0010"
"38","Medtr1034s0010"
"39","Medtr1g006590"
"40","Medtr1g006605"
"41","Medtr1g008620"
"42","Medtr1g008700"
"43","Medtr1g008900"
"44","Medtr1g009570"
"45","Medtr1g009760"
"46","Medtr1g013280"
"47","Medtr1g013630"
"48","Medtr1g014110"
"49","Medtr1g014450"
"50","Medtr1g014930"
"51","Medtr1g015073"
"52","Medtr1g015350"
"53","Medtr1g015520"
"54","Medtr1g015730"
"55","Medtr1g016210"
"56","Medtr1g016335"
"57","Medtr1g016830"
"58","Medtr1g017890"
"59","Medtr1g018970"
"60","Medtr1g019530"
"61","Medtr1g021845"
"62","Medtr1g022060"
"63","Medtr1g023605"
"64","Medtr1g024840"
"65","Medtr1g025560"
"66","Medtr1g027460"
"67","Medtr1g027820"
"68","Medtr1g027950"
"69","Medtr1g028020"
"70","Medtr1g028250"
"71","Medtr1g029140"
"72","Medtr1g030660"
"73","Medtr1g033540"
"74","Medtr1g033660"
"75","Medtr1g034040"
"76","Medtr1g036680"
"77","Medtr1g037500"
"78","Medtr1g037680"
"79","Medtr1g037700"
"80","Medtr1g040083"
"81","Medtr1g040455"
"82","Medtr1g041020"
"83","Medtr1g041225"
"84","Medtr1g041385"
"85","Medtr1g041585"
"86","Medtr1g041895"
"87","Medtr1g044550"
"88","Medtr1g045060"
"89","Medtr1g045120"
"90","Medtr1g046340"
"91","Medtr1g046690"
"92","Medtr1g051110"
"93","Medtr1g051540"
"94","Medtr1g052610"
"95","Medtr1g052700"
"96","Medtr1g052840"
"97","Medtr1g052880"
"98","Medtr1g053525"
"99","Medtr1g054045"
"100","Medtr1g054100"
"101","Medtr1g054185"
"102","Medtr1g054600"
"103","Medtr1g054730"
"104","Medtr1g054750"
"105","Medtr1g054880"
"106","Medtr1g055145"
"107","Medtr1g056370"
"108","Medtr1g056810"
"109","Medtr1g058610"
"110","Medtr1g059990"
"111","Medtr1g061260"
"112","Medtr1g063920"
"113","Medtr1g063960"
"114","Medtr1g064690"
"115","Medtr1g069085"
"116","Medtr1g069175"
"117","Medtr1g069370"
"118","Medtr1g069675"
"119","Medtr1g069825"
"120","Medtr1g071870"
"121","Medtr1g072320"
"122","Medtr1g072550"
"123","Medtr1g073350"
"124","Medtr1g073630"
"125","Medtr1g075690"
"126","Medtr1g077620"
"127","Medtr1g077860"
"128","Medtr1g078390"
"129","Medtr1g078410"
"130","Medtr1g079820"
"131","Medtr1g081890"
"132","Medtr1g082390"
"133","Medtr1g082690"
"134","Medtr1g083470"
"135","Medtr1g083490"
"136","Medtr1g084150"
"137","Medtr1g085320"
"138","Medtr1g085570"
"139","Medtr1g088230"
"140","Medtr1g088700"
"141","Medtr1g088795"
"142","Medtr1g088840"
"143","Medtr1g088920"
"144","Medtr1g090370"
"145","Medtr1g090430"
"146","Medtr1g090683"
"147","Medtr1g090703"
"148","Medtr1g090820"
"149","Medtr1g092680"
"150","Medtr1g092990"
"151","Medtr1g093960"
"152","Medtr1g095740"
"153","Medtr1g096600"
"154","Medtr1g097290"
"155","Medtr1g098200"
"156","Medtr1g098300"
"157","Medtr1g099350"
"158","Medtr1g100663"
"159","Medtr1g101120"
"160","Medtr1g101690"
"161","Medtr1g102600"
"162","Medtr1g103190"
"163","Medtr1g103510"
"164","Medtr1g104490"
"165","Medtr1g104690"
"166","Medtr1g105530"
"167","Medtr1g105535"
"168","Medtr1g105910"
"169","Medtr1g106045"
"170","Medtr1g106420"
"171","Medtr1g106608"
"172","Medtr1g107395"
