"","x"
"1","Medtr0001s0490"
"2","Medtr0003s0190"
"3","Medtr0003s0590"
"4","Medtr0004s0220"
"5","Medtr0004s0250"
"6","Medtr0006s0160"
"7","Medtr0009s0330"
"8","Medtr0010s0210"
"9","Medtr0010s0220"
"10","Medtr0010s0400"
"11","Medtr0011s0020"
"12","Medtr0011s0300"
"13","Medtr0011s0330"
"14","Medtr0012s0090"
"15","Medtr0014s0210"
"16","Medtr0014s0250"
"17","Medtr0018s0290"
"18","Medtr0019s0110"
"19","Medtr0019s0160"
"20","Medtr0024s0070"
"21","Medtr0024s0220"
"22","Medtr0024s0310"
"23","Medtr0024s0330"
"24","Medtr0026s0160"
"25","Medtr0027s0220"
"26","Medtr0027s0250"
"27","Medtr0034s0170"
"28","Medtr0036s0040"
"29","Medtr0036s0310"
"30","Medtr0037s0060"
"31","Medtr0038s0060"
"32","Medtr0043s0080"
"33","Medtr0044s0180"
"34","Medtr0045s0110"
"35","Medtr0051s0090"
"36","Medtr0052s0170"
"37","Medtr0054s0080"
"38","Medtr0054s0140"
"39","Medtr0059s0170"
"40","Medtr0060s0100"
"41","Medtr0065s0100"
"42","Medtr0065s0110"
"43","Medtr0071s0100"
"44","Medtr0072s0050"
"45","Medtr0076s0010"
"46","Medtr0076s0020"
"47","Medtr0082s0070"
"48","Medtr0082s0270"
"49","Medtr0085s0020"
"50","Medtr0091s0080"
"51","Medtr0091s0090"
"52","Medtr0092s0100"
"53","Medtr0097s0060"
"54","Medtr0110s0010"
"55","Medtr0110s0050"
"56","Medtr0126s0070"
"57","Medtr0147s0070"
"58","Medtr0150s0010"
"59","Medtr0154s0010"
"60","Medtr0167s0060"
"61","Medtr0168s0120"
"62","Medtr0172s0020"
"63","Medtr0176s0050"
"64","Medtr0181s0030"
"65","Medtr0187s0080"
"66","Medtr0196s0020"
"67","Medtr0197s0010"
"68","Medtr0197s0100"
"69","Medtr0199s0040"
"70","Medtr0204s0010"
"71","Medtr0212s0060"
"72","Medtr0219s0020"
"73","Medtr0223s0010"
"74","Medtr0227s0010"
"75","Medtr0227s0020"
"76","Medtr0227s0030"
"77","Medtr0236s0050"
"78","Medtr0252s0030"
"79","Medtr0268s0040"
"80","Medtr0268s0080"
"81","Medtr0274s0020"
"82","Medtr0288s0040"
"83","Medtr0294s0010"
"84","Medtr0295s0020"
"85","Medtr0305s0020"
"86","Medtr0316s0010"
"87","Medtr0349s0030"
"88","Medtr0361s0010"
"89","Medtr0365s0010"
