"","x"
"1","Medtr0034s0170"
"2","Medtr0038s0060"
"3","Medtr0052s0170"
"4","Medtr0091s0090"
"5","Medtr0236s0050"
"6","Medtr0294s0010"
"7","Medtr1g020000"
"8","Medtr1g050478"
"9","Medtr1g069575"
"10","Medtr1g084590"
"11","Medtr1g091840"
"12","Medtr1g111470"
"13","Medtr2g005455"
"14","Medtr2g050170"
"15","Medtr2g068655"
"16","Medtr2g078120"
"17","Medtr2g445400"
"18","Medtr2g450880"
"19","Medtr3g007660"
"20","Medtr3g022060"
"21","Medtr3g025830"
"22","Medtr3g048760"
"23","Medtr3g053370"
"24","Medtr3g065410"
"25","Medtr4g011570"
"26","Medtr4g017700"
"27","Medtr4g023390"
"28","Medtr4g033265"
"29","Medtr4g037585"
"30","Medtr4g054150"
"31","Medtr4g072380"
"32","Medtr4g074660"
"33","Medtr4g088445"
"34","Medtr4g088485"
"35","Medtr4g124950"
"36","Medtr4g127240"
"37","Medtr5g014810"
"38","Medtr5g037970"
"39","Medtr5g064550"
"40","Medtr5g079290"
"41","Medtr5g095000"
"42","Medtr5g096230"
"43","Medtr5g413325"
"44","Medtr6g004000"
"45","Medtr6g012560"
"46","Medtr6g015760"
"47","Medtr7g006540"
"48","Medtr7g050830"
"49","Medtr7g062880"
"50","Medtr7g114220"
"51","Medtr8g013050"
"52","Medtr8g035970"
"53","Medtr8g051840"
"54","Medtr8g054270"
"55","Medtr8g069985"
