"","x"
"1","Medtr0006s0140"
"2","Medtr0016s0020"
"3","Medtr0027s0220"
"4","Medtr0131s0030"
"5","Medtr0152s0100"
"6","Medtr0187s0030"
"7","Medtr0428s0010"
"8","Medtr1g008675"
"9","Medtr1g009613"
"10","Medtr1g012380"
"11","Medtr1g016760"
"12","Medtr1g022340"
"13","Medtr1g024870"
"14","Medtr1g026560"
"15","Medtr1g027150"
"16","Medtr1g027410"
"17","Medtr1g032550"
"18","Medtr1g034450"
"19","Medtr1g036490"
"20","Medtr1g037500"
"21","Medtr1g040500"
"22","Medtr1g040615"
"23","Medtr1g047610"
"24","Medtr1g048710"
"25","Medtr1g048720"
"26","Medtr1g054540"
"27","Medtr1g059290"
"28","Medtr1g060740"
"29","Medtr1g061600"
"30","Medtr1g064710"
"31","Medtr1g066920"
"32","Medtr1g067710"
"33","Medtr1g068970"
"34","Medtr1g069195"
"35","Medtr1g071870"
"36","Medtr1g072855"
"37","Medtr1g075100"
"38","Medtr1g077160"
"39","Medtr1g081800"
"40","Medtr1g083310"
"41","Medtr1g094130"
"42","Medtr1g094135"
"43","Medtr1g094635"
"44","Medtr1g097170"
"45","Medtr1g098733"
"46","Medtr1g100663"
"47","Medtr1g102650"
"48","Medtr1g106020"
"49","Medtr1g107550"
"50","Medtr1g108460"
"51","Medtr1g112660"
"52","Medtr1g492590"
"53","Medtr2g009670"
"54","Medtr2g010250"
"55","Medtr2g012550"
"56","Medtr2g015530"
"57","Medtr2g015670"
"58","Medtr2g018600"
"59","Medtr2g019400"
"60","Medtr2g021310"
"61","Medtr2g021590"
"62","Medtr2g023790"
"63","Medtr2g028330"
"64","Medtr2g031390"
"65","Medtr2g032870"
"66","Medtr2g034250"
"67","Medtr2g038260"
"68","Medtr2g039120"
"69","Medtr2g044570"
"70","Medtr2g049410"
"71","Medtr2g049420"
"72","Medtr2g062430"
"73","Medtr2g064840"
"74","Medtr2g069210"
"75","Medtr2g073560"
"76","Medtr2g083510"
"77","Medtr2g084550"
