"","x"
"1","Medtr0003s0350"
"2","Medtr0009s0250"
"3","Medtr0009s0370"
"4","Medtr0012s0100"
"5","Medtr0014s0200"
"6","Medtr0019s0110"
"7","Medtr0019s0320"
"8","Medtr0047s0090"
"9","Medtr0052s0060"
"10","Medtr0052s0110"
"11","Medtr0069s0040"
"12","Medtr0083s0110"
"13","Medtr0087s0010"
"14","Medtr0095s0070"
"15","Medtr0096s0020"
"16","Medtr0129s0120"
"17","Medtr0177s0070"
"18","Medtr0182s0060"
"19","Medtr0189s0030"
"20","Medtr0197s0020"
"21","Medtr0202s0060"
"22","Medtr0263s0020"
"23","Medtr0308s0020"
"24","Medtr0360s0010"
"25","Medtr0380s0030"
"26","Medtr0419s0060"
"27","Medtr0444s0010"
"28","Medtr0927s0010"
"29","Medtr1995s0010"
"30","Medtr1g007340"
"31","Medtr1g007690"
"32","Medtr1g007700"
"33","Medtr1g008195"
"34","Medtr1g009720"
"35","Medtr1g013030"
"36","Medtr1g013620"
"37","Medtr1g015740"
"38","Medtr1g016540"
"39","Medtr1g017000"
"40","Medtr1g017820"
"41","Medtr1g018280"
"42","Medtr1g018420"
"43","Medtr1g018440"
"44","Medtr1g019720"
"45","Medtr1g022105"
"46","Medtr1g022445"
"47","Medtr1g023700"
"48","Medtr1g025720"
"49","Medtr1g025810"
"50","Medtr1g026110"
"51","Medtr1g027570"
"52","Medtr1g027920"
"53","Medtr1g028980"
"54","Medtr1g029660"
"55","Medtr1g029710"
"56","Medtr1g029990"
"57","Medtr1g031750"
"58","Medtr1g033110"
"59","Medtr1g034210"
"60","Medtr1g036770"
"61","Medtr1g038530"
"62","Medtr1g040810"
"63","Medtr1g040965"
"64","Medtr1g041105"
"65","Medtr1g042700"
"66","Medtr1g043030"
"67","Medtr1g043840"
"68","Medtr1g046810"
"69","Medtr1g047190"
"70","Medtr1g047940"
"71","Medtr1g049180"
"72","Medtr1g050395"
"73","Medtr1g050488"
"74","Medtr1g050875"
"75","Medtr1g051700"
"76","Medtr1g052130"
"77","Medtr1g052185"
"78","Medtr1g053175"
"79","Medtr1g053790"
"80","Medtr1g054210"
"81","Medtr1g054635"
"82","Medtr1g054865"
"83","Medtr1g055135"
"84","Medtr1g057130"
"85","Medtr1g059080"
"86","Medtr1g059930"
"87","Medtr1g064580"
"88","Medtr1g067450"
"89","Medtr1g069680"
"90","Medtr1g070175"
"91","Medtr1g070355"
"92","Medtr1g070400"
"93","Medtr1g071430"
"94","Medtr1g072440"
