"","x"
"1","Medtr0008s0470"
"2","Medtr0012s0290"
"3","Medtr0018s0170"
"4","Medtr0018s0230"
"5","Medtr0019s0020"
"6","Medtr0022s0280"
"7","Medtr0036s0240"
"8","Medtr0040s0140"
"9","Medtr0209s0040"
"10","Medtr0392s0020"
"11","Medtr0504s0040"
"12","Medtr0542s0020"
"13","Medtr0565s0010"
"14","Medtr1g004990"
"15","Medtr1g007380"
"16","Medtr1g012890"
"17","Medtr1g013110"
"18","Medtr1g015830"
"19","Medtr1g018440"
"20","Medtr1g018750"
"21","Medtr1g019510"
"22","Medtr1g019600"
"23","Medtr1g022365"
"24","Medtr1g023310"
"25","Medtr1g023605"
"26","Medtr1g025550"
"27","Medtr1g026920"
"28","Medtr1g027420"
"29","Medtr1g028460"
"30","Medtr1g033310"
"31","Medtr1g033840"
"32","Medtr1g037500"
"33","Medtr1g041085"
"34","Medtr1g041890"
"35","Medtr1g045060"
"36","Medtr1g050448"
"37","Medtr1g050458"
"38","Medtr1g051210"
"39","Medtr1g052535"
"40","Medtr1g052560"
"41","Medtr1g054540"
"42","Medtr1g057560"
"43","Medtr1g057650"
"44","Medtr1g061260"
"45","Medtr1g062540"
"46","Medtr1g066390"
"47","Medtr1g067450"
"48","Medtr1g068950"
"49","Medtr1g068960"
"50","Medtr1g069495"
"51","Medtr1g069935"
"52","Medtr1g069945"
"53","Medtr1g070400"
"54","Medtr1g071360"
"55","Medtr1g072110"
"56","Medtr1g072310"
"57","Medtr1g072380"
"58","Medtr1g072530"
"59","Medtr1g074410"
"60","Medtr1g075480"
"61","Medtr1g076830"
"62","Medtr1g076920"
"63","Medtr1g077560"
"64","Medtr1g079380"
"65","Medtr1g079760"
"66","Medtr1g080910"
"67","Medtr1g081257"
"68","Medtr1g081290"
"69","Medtr1g081665"
"70","Medtr1g082420"
"71","Medtr1g083340"
"72","Medtr1g086150"
"73","Medtr1g089630"
"74","Medtr1g090180"
"75","Medtr1g090250"
"76","Medtr1g094115"
"77","Medtr1g096170"
"78","Medtr1g096460"
"79","Medtr1g098300"
"80","Medtr1g098370"
"81","Medtr1g098680"
"82","Medtr1g099210"
"83","Medtr1g099440"
"84","Medtr1g099520"
"85","Medtr1g100667"
"86","Medtr1g100800"
"87","Medtr1g101120"
"88","Medtr1g102380"
"89","Medtr1g102500"
"90","Medtr1g102650"
"91","Medtr1g102870"
"92","Medtr1g103240"
"93","Medtr1g104540"
"94","Medtr1g106420"
"95","Medtr1g106995"
"96","Medtr1g107355"
"97","Medtr1g107580"
"98","Medtr1g109310"
"99","Medtr1g109430"
"100","Medtr1g110670"
"101","Medtr1g110710"
"102","Medtr1g111990"
"103","Medtr1g112200"
"104","Medtr1g112460"
"105","Medtr1g115195"
"106","Medtr1g115315"
"107","Medtr2g008160"
"108","Medtr2g008230"
"109","Medtr2g009660"
"110","Medtr2g010330"
"111","Medtr2g011500"
"112","Medtr2g012470"
"113","Medtr2g013230"
"114","Medtr2g016190"
"115","Medtr2g017965"
"116","Medtr2g017975"
"117","Medtr2g018690"
"118","Medtr2g020770"
"119","Medtr2g021242"
"120","Medtr2g022250"
"121","Medtr2g022450"
"122","Medtr2g024420"
"123","Medtr2g025080"
"124","Medtr2g025495"
"125","Medtr2g026030"
"126","Medtr2g028910"
"127","Medtr2g031390"
"128","Medtr2g033490"
"129","Medtr2g034250"
"130","Medtr2g040180"
"131","Medtr2g044600"
"132","Medtr2g046150"
"133","Medtr2g047110"
"134","Medtr2g047838"
"135","Medtr2g049670"
"136","Medtr2g054380"
"137","Medtr2g055250"
"138","Medtr2g058410"
"139","Medtr2g058430"
"140","Medtr2g061030"
"141","Medtr2g062280"
"142","Medtr2g067420"
"143","Medtr2g067870"
"144","Medtr2g073510"
"145","Medtr2g075400"
"146","Medtr2g078080"
"147","Medtr2g079300"
"148","Medtr2g079380"
"149","Medtr2g081000"
"150","Medtr2g082570"
"151","Medtr2g087230"
"152","Medtr2g089360"
"153","Medtr2g089490"
"154","Medtr2g090270"
"155","Medtr2g090660"
"156","Medtr2g091125"
"157","Medtr2g091260"
"158","Medtr2g093020"
"159","Medtr2g093180"
"160","Medtr2g093660"
"161","Medtr2g094720"
"162","Medtr2g095520"
"163","Medtr2g096640"
"164","Medtr2g096950"
"165","Medtr2g097030"
"166","Medtr2g097210"
"167","Medtr2g097473"
"168","Medtr2g102670"
"169","Medtr2g102675"
"170","Medtr2g105570"
"171","Medtr2g436310"
"172","Medtr2g436680"
"173","Medtr2g437840"
"174","Medtr2g450160"
"175","Medtr2g461670"
"176","Medtr3g008500"
"177","Medtr3g009500"
"178","Medtr3g011300"
"179","Medtr3g012160"
"180","Medtr3g015260"
"181","Medtr3g018930"
"182","Medtr3g020470"
"183","Medtr3g021000"
"184","Medtr3g022230"
"185","Medtr3g026290"
"186","Medtr3g027990"
"187","Medtr3g028210"
"188","Medtr3g033810"
"189","Medtr3g034380"
"190","Medtr3g040440"
"191","Medtr3g043750"
"192","Medtr3g053540"
"193","Medtr3g058790"
"194","Medtr3g060740"
"195","Medtr3g061130"
"196","Medtr3g061390"
"197","Medtr3g061510"
"198","Medtr3g064420"
"199","Medtr3g064740"
"200","Medtr3g067280"
"201","Medtr3g067535"
"202","Medtr3g070080"
"203","Medtr3g072710"
"204","Medtr3g073000"
"205","Medtr3g073640"
"206","Medtr3g078623"
"207","Medtr3g083310"
"208","Medtr3g083540"
"209","Medtr3g083620"
"210","Medtr3g085570"
"211","Medtr3g087030"
"212","Medtr3g087640"
"213","Medtr3g088635"
"214","Medtr3g088920"
"215","Medtr3g091090"
"216","Medtr3g091440"
"217","Medtr3g091570"
"218","Medtr3g091820"
"219","Medtr3g091850"
"220","Medtr3g092110"
"221","Medtr3g092900"
"222","Medtr3g093710"
"223","Medtr3g096970"
"224","Medtr3g097500"
"225","Medtr3g100620"
"226","Medtr3g100950"
"227","Medtr3g101010"
"228","Medtr3g102400"
"229","Medtr3g103460"
"230","Medtr3g106000"
"231","Medtr3g106230"
"232","Medtr3g107280"
"233","Medtr3g107393"
"234","Medtr3g107450"
"235","Medtr3g110250"
"236","Medtr3g111320"
"237","Medtr3g111650"
"238","Medtr3g113890"
"239","Medtr3g113920"
"240","Medtr3g114120"
"241","Medtr3g114970"
"242","Medtr3g115400"
"243","Medtr3g115620"
"244","Medtr3g116410"
"245","Medtr3g435540"
"246","Medtr3g448650"
"247","Medtr3g449390"
"248","Medtr3g449750"
"249","Medtr3g450710"
"250","Medtr3g451730"
"251","Medtr3g452900"
"252","Medtr3g462790"
"253","Medtr3g462960"
"254","Medtr3g463310"
"255","Medtr3g464840"
"256","Medtr3g491830"
"257","Medtr3g491900"
"258","Medtr4g006900"
"259","Medtr4g007190"
"260","Medtr4g007520"
"261","Medtr4g010530"
"262","Medtr4g011880"
"263","Medtr4g014810"
"264","Medtr4g014850"
"265","Medtr4g015030"
"266","Medtr4g015930"
"267","Medtr4g019520"
"268","Medtr4g020630"
"269","Medtr4g021800"
"270","Medtr4g021870"
"271","Medtr4g023070"
"272","Medtr4g026950"
"273","Medtr4g028830"
"274","Medtr4g029020"
"275","Medtr4g029130"
"276","Medtr4g029390"
"277","Medtr4g029620"
"278","Medtr4g032660"
"279","Medtr4g033395"
"280","Medtr4g036090"
"281","Medtr4g036375"
"282","Medtr4g036575"
"283","Medtr4g040330"
"284","Medtr4g054440"
"285","Medtr4g055260"
"286","Medtr4g058000"
"287","Medtr4g060460"
"288","Medtr4g060950"
"289","Medtr4g061610"
"290","Medtr4g063557"
"291","Medtr4g063570"
"292","Medtr4g063885"
"293","Medtr4g064997"
"294","Medtr4g067330"
"295","Medtr4g068870"
"296","Medtr4g070190"
"297","Medtr4g071860"
"298","Medtr4g072910"
"299","Medtr4g073230"
"300","Medtr4g073235"
"301","Medtr4g073540"
"302","Medtr4g073950"
"303","Medtr4g077210"
"304","Medtr4g077930"
"305","Medtr4g079210"
"306","Medtr4g079780"
"307","Medtr4g079860"
"308","Medtr4g080750"
