"","x"
"1","Medtr0006s0250"
"2","Medtr0006s0300"
"3","Medtr0009s0190"
"4","Medtr0009s0380"
"5","Medtr0009s0500"
"6","Medtr0021s0130"
"7","Medtr0024s0120"
"8","Medtr0027s0010"
"9","Medtr0036s0220"
"10","Medtr0082s0080"
"11","Medtr0100s0190"
"12","Medtr0115s0020"
"13","Medtr0121s0060"
"14","Medtr0147s0050"
"15","Medtr0188s0020"
"16","Medtr0314s0030"
"17","Medtr0416s0030"
"18","Medtr0512s0030"
"19","Medtr0598s0020"
"20","Medtr0624s0020"
"21","Medtr0915s0010"
"22","Medtr1g007030"
"23","Medtr1g010280"
"24","Medtr1g016170"
"25","Medtr1g021280"
"26","Medtr1g022060"
"27","Medtr1g023040"
"28","Medtr1g025600"
"29","Medtr1g026090"
"30","Medtr1g027310"
"31","Medtr1g028360"
"32","Medtr1g030440"
"33","Medtr1g031460"
"34","Medtr1g031700"
"35","Medtr1g032480"
"36","Medtr1g032850"
"37","Medtr1g034190"
"38","Medtr1g035890"
"39","Medtr1g036570"
"40","Medtr1g036860"
"41","Medtr1g037750"
"42","Medtr1g041020"
"43","Medtr1g041605"
"44","Medtr1g043290"
"45","Medtr1g045100"
"46","Medtr1g046600"
"47","Medtr1g046660"
"48","Medtr1g046690"
"49","Medtr1g046820"
"50","Medtr1g047150"
"51","Medtr1g049060"
"52","Medtr1g057890"
"53","Medtr1g059700"
"54","Medtr1g070220"
"55","Medtr1g071390"
"56","Medtr1g071850"
"57","Medtr1g072260"
"58","Medtr1g072470"
"59","Medtr1g072610"
"60","Medtr1g075095"
"61","Medtr1g075865"
"62","Medtr1g079120"
"63","Medtr1g081840"
"64","Medtr1g082410"
"65","Medtr1g082690"
"66","Medtr1g082820"
"67","Medtr1g083480"
"68","Medtr1g089520"
"69","Medtr1g090420"
"70","Medtr1g090710"
"71","Medtr1g093150"
"72","Medtr1g094125"
"73","Medtr1g097755"
"74","Medtr1g098000"
"75","Medtr1g099600"
"76","Medtr1g100713"
"77","Medtr1g101690"
"78","Medtr1g102580"
"79","Medtr1g103050"
"80","Medtr1g105465"
"81","Medtr1g105770"
"82","Medtr1g106810"
"83","Medtr1g115180"
"84","Medtr1g115205"
"85","Medtr1g115290"
"86","Medtr1g115825"
"87","Medtr1g116930"
"88","Medtr2g005760"
"89","Medtr2g007880"
"90","Medtr2g008110"
"91","Medtr2g011560"
"92","Medtr2g014050"
"93","Medtr2g014590"
"94","Medtr2g016730"
"95","Medtr2g017630"
"96","Medtr2g018750"
"97","Medtr2g018790"
"98","Medtr2g020690"
"99","Medtr2g021780"
"100","Medtr2g021920"
"101","Medtr2g022330"
"102","Medtr2g025140"
"103","Medtr2g026760"
"104","Medtr2g028130"
"105","Medtr2g028340"
"106","Medtr2g028360"
"107","Medtr2g028900"
"108","Medtr2g028980"
"109","Medtr2g030510"
"110","Medtr2g031250"
"111","Medtr2g035240"
"112","Medtr2g037085"
"113","Medtr2g039870"
"114","Medtr2g041020"
"115","Medtr2g049030"
"116","Medtr2g054650"
"117","Medtr2g055460"
"118","Medtr2g058870"
"119","Medtr2g058990"
"120","Medtr2g063150"
"121","Medtr2g076460"
"122","Medtr2g076670"
"123","Medtr2g080100"
"124","Medtr2g081240"
"125","Medtr2g083460"
"126","Medtr2g083615"
"127","Medtr2g086680"
"128","Medtr2g089450"
"129","Medtr2g089755"
"130","Medtr2g089915"
"131","Medtr2g090755"
"132","Medtr2g093620"
"133","Medtr2g097615"
"134","Medtr2g100160"
"135","Medtr2g100550"
"136","Medtr2g101400"
"137","Medtr2g102470"
"138","Medtr2g102490"
"139","Medtr2g103290"
"140","Medtr2g103530"
"141","Medtr2g103620"
"142","Medtr2g104590"
"143","Medtr2g105150"
"144","Medtr2g105290"
"145","Medtr2g437210"
"146","Medtr2g460790"
"147","Medtr3g005980"
"148","Medtr3g007870"
"149","Medtr3g010120"
"150","Medtr3g010440"
"151","Medtr3g012560"
"152","Medtr3g013780"
"153","Medtr3g014220"
"154","Medtr3g014820"
"155","Medtr3g014870"
"156","Medtr3g020620"
"157","Medtr3g023020"
"158","Medtr3g026790"
"159","Medtr3g028350"
"160","Medtr3g030620"
"161","Medtr3g031610"
"162","Medtr3g033240"
"163","Medtr3g033510"
"164","Medtr3g033860"
"165","Medtr3g034540"
"166","Medtr3g040700"
"167","Medtr3g045430"
"168","Medtr3g052290"
"169","Medtr3g056160"
"170","Medtr3g058090"
"171","Medtr3g062900"
"172","Medtr3g065850"
"173","Medtr3g065890"
"174","Medtr3g069230"
"175","Medtr3g069290"
"176","Medtr3g071320"
"177","Medtr3g071780"
"178","Medtr3g072000"
"179","Medtr3g072020"
"180","Medtr3g072820"
"181","Medtr3g072840"
"182","Medtr3g073460"
"183","Medtr3g077010"
"184","Medtr3g078540"
"185","Medtr3g080780"
"186","Medtr3g080890"
"187","Medtr3g082350"
"188","Medtr3g083820"
"189","Medtr3g085015"
"190","Medtr3g086080"
"191","Medtr3g087310"
"192","Medtr3g091360"
"193","Medtr3g092830"
"194","Medtr3g092960"
"195","Medtr3g094190"
"196","Medtr3g098450"
"197","Medtr3g099180"
"198","Medtr3g103120"
"199","Medtr3g104370"
"200","Medtr3g104525"
"201","Medtr3g106030"
"202","Medtr3g107380"
"203","Medtr3g108680"
"204","Medtr3g109370"
"205","Medtr3g110182"
"206","Medtr3g110900"
"207","Medtr3g111160"
"208","Medtr3g111350"
