"","x"
"1","Medtr0014s0310"
"2","Medtr0109s0050"
"3","Medtr0571s0030"
"4","Medtr1g021330"
"5","Medtr1g027700"
"6","Medtr1g033040"
"7","Medtr1g037590"
"8","Medtr1g040925"
"9","Medtr1g041310"
"10","Medtr1g068875"
"11","Medtr1g095030"
"12","Medtr1g099825"
"13","Medtr1g109410"
"14","Medtr1g442780"
"15","Medtr2g015290"
"16","Medtr2g021950"
"17","Medtr2g024260"
"18","Medtr2g032860"
"19","Medtr2g037620"
"20","Medtr2g041280"
"21","Medtr2g043890"
"22","Medtr2g058470"
"23","Medtr2g060475"
"24","Medtr2g076140"
"25","Medtr2g076210"
"26","Medtr2g093040"
"27","Medtr3g011890"
"28","Medtr3g016215"
"29","Medtr3g027150"
"30","Medtr3g045700"
"31","Medtr3g058470"
"32","Medtr3g090850"
"33","Medtr3g095940"
"34","Medtr3g105650"
"35","Medtr3g460770"
"36","Medtr3g463430"
"37","Medtr3g466530"
"38","Medtr3g467560"
"39","Medtr4g007150"
"40","Medtr4g014970"
"41","Medtr4g026610"
"42","Medtr4g026730"
"43","Medtr4g073660"
"44","Medtr4g080895"
"45","Medtr4g083080"
"46","Medtr4g090960"
"47","Medtr4g093980"
"48","Medtr4g100470"
"49","Medtr4g113430"
"50","Medtr4g116060"
"51","Medtr5g012790"
"52","Medtr5g018190"
"53","Medtr5g022860"
"54","Medtr5g068910"
"55","Medtr5g074620"
"56","Medtr5g080295"
"57","Medtr5g096250"
"58","Medtr6g009600"
"59","Medtr6g011770"
"60","Medtr6g022000"
"61","Medtr6g075640"
"62","Medtr6g078875"
"63","Medtr6g471220"
"64","Medtr7g050590"
"65","Medtr7g058710"
"66","Medtr7g062540"
"67","Medtr7g068600"
"68","Medtr7g081650"
"69","Medtr7g086090"
"70","Medtr7g094230"
"71","Medtr8g006640"
"72","Medtr8g008830"
"73","Medtr8g015340"
"74","Medtr8g027970"
"75","Medtr8g038180"
"76","Medtr8g039930"
"77","Medtr8g040130"
"78","Medtr8g058625"
"79","Medtr8g072150"
"80","Medtr8g073570"
"81","Medtr8g077300"
"82","Medtr8g086010"
"83","Medtr8g099370"
"84","Medtr8g099530"
"85","Medtr8g446780"
"86","Medtr8g466990"
