"","x"
"1","Medtr0003s0580"
"2","Medtr0016s0020"
"3","Medtr0020s0120"
"4","Medtr0026s0010"
"5","Medtr0027s0230"
"6","Medtr0040s0140"
"7","Medtr0047s0100"
"8","Medtr0048s0220"
"9","Medtr0055s0140"
"10","Medtr0078s0060"
"11","Medtr0097s0070"
"12","Medtr0147s0050"
"13","Medtr0184s0030"
"14","Medtr0191s0020"
"15","Medtr0219s0070"
"16","Medtr0320s0040"
"17","Medtr0374s0050"
"18","Medtr0392s0020"
"19","Medtr0393s0040"
"20","Medtr0466s0010"
"21","Medtr0654s0010"
"22","Medtr1g007650"
"23","Medtr1g008600"
"24","Medtr1g009230"
"25","Medtr1g009660"
"26","Medtr1g010260"
"27","Medtr1g011540"
"28","Medtr1g012430"
"29","Medtr1g013130"
"30","Medtr1g014180"
"31","Medtr1g015940"
"32","Medtr1g017080"
"33","Medtr1g018200"
"34","Medtr1g018910"
"35","Medtr1g021295"
"36","Medtr1g022380"
"37","Medtr1g026200"
"38","Medtr1g026760"
"39","Medtr1g026910"
"40","Medtr1g027880"
"41","Medtr1g029600"
"42","Medtr1g030262"
"43","Medtr1g030580"
"44","Medtr1g031580"
"45","Medtr1g033960"
"46","Medtr1g034360"
"47","Medtr1g035360"
"48","Medtr1g036520"
"49","Medtr1g037020"
"50","Medtr1g037300"
"51","Medtr1g037590"
"52","Medtr1g038680"
"53","Medtr1g039400"
"54","Medtr1g041285"
"55","Medtr1g041830"
"56","Medtr1g042820"
"57","Medtr1g043410"
"58","Medtr1g050458"
"59","Medtr1g051170"
"60","Medtr1g052560"
"61","Medtr1g052855"
"62","Medtr1g053510"
"63","Medtr1g053705"
"64","Medtr1g053835"
"65","Medtr1g054265"
"66","Medtr1g054730"
"67","Medtr1g054735"
"68","Medtr1g060240"
"69","Medtr1g060550"
"70","Medtr1g061850"
"71","Medtr1g061940"
"72","Medtr1g062110"
"73","Medtr1g066630"
"74","Medtr1g066850"
"75","Medtr1g069405"
"76","Medtr1g069600"
"77","Medtr1g069650"
"78","Medtr1g069825"
"79","Medtr1g071720"
"80","Medtr1g071730"
"81","Medtr1g072500"
"82","Medtr1g074410"
"83","Medtr1g075260"
"84","Medtr1g075890"
"85","Medtr1g076280"
"86","Medtr1g077140"
"87","Medtr1g079430"
"88","Medtr1g079520"
"89","Medtr1g080020"
"90","Medtr1g080330"
"91","Medtr1g080680"
"92","Medtr1g081850"
"93","Medtr1g083520"
"94","Medtr1g083950"
"95","Medtr1g084060"
"96","Medtr1g086310"
"97","Medtr1g086820"
"98","Medtr1g087150"
"99","Medtr1g088840"
"100","Medtr1g089890"
"101","Medtr1g089980"
"102","Medtr1g090090"
"103","Medtr1g090100"
"104","Medtr1g090190"
"105","Medtr1g090710"
"106","Medtr1g091023"
"107","Medtr1g092650"
"108","Medtr1g094085"
"109","Medtr1g094185"
"110","Medtr1g095500"
"111","Medtr1g095530"
"112","Medtr1g095540"
"113","Medtr1g097440"
"114","Medtr1g098160"
"115","Medtr1g098550"
"116","Medtr1g098733"
"117","Medtr1g100060"
"118","Medtr1g100603"
"119","Medtr1g100613"
"120","Medtr1g100733"
"121","Medtr1g101120"
"122","Medtr1g101750"
"123","Medtr1g102500"
"124","Medtr1g102860"
"125","Medtr1g105630"
"126","Medtr1g105710"
"127","Medtr1g105835"
"128","Medtr1g105850"
"129","Medtr1g105860"
"130","Medtr1g106030"
"131","Medtr1g106085"
"132","Medtr1g107580"
"133","Medtr1g108330"
"134","Medtr1g108770"
"135","Medtr1g111060"
"136","Medtr1g111590"
"137","Medtr1g112430"
"138","Medtr1g115180"
"139","Medtr1g115195"
"140","Medtr1g115315"
"141","Medtr1g116180"
"142","Medtr1g116270"
"143","Medtr1g116790"
"144","Medtr2g009450"
"145","Medtr2g010920"
"146","Medtr2g011570"
"147","Medtr2g012790"
"148","Medtr2g013655"
"149","Medtr2g013880"
"150","Medtr2g014020"
"151","Medtr2g015080"
"152","Medtr2g017670"
"153","Medtr2g017950"
"154","Medtr2g017960"
"155","Medtr2g017970"
"156","Medtr2g018820"
"157","Medtr2g020030"
"158","Medtr2g020860"
"159","Medtr2g021150"
"160","Medtr2g022520"
"161","Medtr2g022900"
"162","Medtr2g023540"
"163","Medtr2g024300"
"164","Medtr2g024390"
"165","Medtr2g025140"
"166","Medtr2g025760"
"167","Medtr2g027310"
"168","Medtr2g028160"
"169","Medtr2g028170"
"170","Medtr2g030335"
"171","Medtr2g030420"
"172","Medtr2g031920"
"173","Medtr2g033930"
