"","x"
"1","Medtr0002s0900"
"2","Medtr0006s0190"
"3","Medtr0008s0390"
"4","Medtr0008s0470"
"5","Medtr0009s0240"
"6","Medtr0011s0280"
"7","Medtr0012s0290"
"8","Medtr0015s0120"
"9","Medtr0032s0050"
"10","Medtr0036s0110"
"11","Medtr0038s0080"
"12","Medtr0045s0070"
"13","Medtr0078s0010"
"14","Medtr0082s0190"
"15","Medtr0087s0040"
"16","Medtr0118s0070"
"17","Medtr0137s0010"
"18","Medtr0187s0030"
"19","Medtr0267s0070"
"20","Medtr0286s0050"
"21","Medtr0349s0020"
"22","Medtr0652s0010"
"23","Medtr1173s0010"
"24","Medtr1g007450"
"25","Medtr1g008170"
"26","Medtr1g008710"
"27","Medtr1g010220"
"28","Medtr1g018650"
"29","Medtr1g021630"
"30","Medtr1g021638"
"31","Medtr1g021915"
"32","Medtr1g026110"
"33","Medtr1g026850"
"34","Medtr1g027570"
"35","Medtr1g028080"
"36","Medtr1g029600"
"37","Medtr1g029610"
"38","Medtr1g030275"
"39","Medtr1g030810"
"40","Medtr1g032290"
"41","Medtr1g032460"
"42","Medtr1g034300"
"43","Medtr1g036410"
"44","Medtr1g036580"
"45","Medtr1g036720"
"46","Medtr1g037560"
"47","Medtr1g040175"
"48","Medtr1g040435"
"49","Medtr1g040575"
"50","Medtr1g041290"
"51","Medtr1g043080"
"52","Medtr1g048610"
"53","Medtr1g048710"
"54","Medtr1g052610"
"55","Medtr1g052720"
"56","Medtr1g052885"
"57","Medtr1g056530"
"58","Medtr1g056560"
"59","Medtr1g059930"
"60","Medtr1g060740"
"61","Medtr1g061870"
"62","Medtr1g062710"
"63","Medtr1g062880"
"64","Medtr1g063330"
"65","Medtr1g064040"
"66","Medtr1g069070"
"67","Medtr1g069155"
"68","Medtr1g069200"
"69","Medtr1g069370"
"70","Medtr1g069725"
"71","Medtr1g069745"
"72","Medtr1g070135"
"73","Medtr1g074040"
"74","Medtr1g074120"
"75","Medtr1g075520"
"76","Medtr1g075730"
"77","Medtr1g076400"
"78","Medtr1g076830"
"79","Medtr1g080510"
"80","Medtr1g081290"
"81","Medtr1g081720"
"82","Medtr1g082680"
"83","Medtr1g083620"
"84","Medtr1g086320"
"85","Medtr1g086490"
"86","Medtr1g087935"
"87","Medtr1g088930"
"88","Medtr1g090520"
"89","Medtr1g090737"
"90","Medtr1g090807"
"91","Medtr1g095540"
"92","Medtr1g095730"
"93","Medtr1g096270"
"94","Medtr1g096310"
"95","Medtr1g098360"
"96","Medtr1g098700"
"97","Medtr1g099280"
"98","Medtr1g099290"
"99","Medtr1g099800"
"100","Medtr1g099810"
"101","Medtr1g099840"
"102","Medtr1g100667"
"103","Medtr1g102240"
"104","Medtr1g102360"
"105","Medtr1g103680"
"106","Medtr1g104630"
"107","Medtr1g105020"
"108","Medtr1g105885"
"109","Medtr1g105930"
"110","Medtr1g106095"
"111","Medtr1g107375"
"112","Medtr1g108440"
"113","Medtr1g108640"
"114","Medtr1g110270"
"115","Medtr1g110670"
"116","Medtr1g111100"
"117","Medtr1g111450"
"118","Medtr1g115270"
"119","Medtr1g471050"
"120","Medtr2g006810"
"121","Medtr2g009733"
"122","Medtr2g010810"
"123","Medtr2g011210"
"124","Medtr2g011580"
"125","Medtr2g014760"
"126","Medtr2g016800"
"127","Medtr2g017795"
"128","Medtr2g018030"
"129","Medtr2g019000"
"130","Medtr2g019780"
"131","Medtr2g020190"
"132","Medtr2g021810"
"133","Medtr2g023150"
"134","Medtr2g023790"
"135","Medtr2g023860"
"136","Medtr2g029880"
"137","Medtr2g030420"
"138","Medtr2g031490"
"139","Medtr2g034890"
"140","Medtr2g034950"
"141","Medtr2g035850"
"142","Medtr2g036460"
"143","Medtr2g036490"
"144","Medtr2g037140"
"145","Medtr2g037690"
