"","x"
"1","Medtr0004s0250"
"2","Medtr0005s0200"
"3","Medtr0007s0140"
"4","Medtr0012s0290"
"5","Medtr0019s0020"
"6","Medtr0019s0120"
"7","Medtr0021s0370"
"8","Medtr0082s0270"
"9","Medtr0083s0110"
"10","Medtr0090s0020"
"11","Medtr0110s0030"
"12","Medtr0216s0030"
"13","Medtr0280s0040"
"14","Medtr0334s0010"
"15","Medtr0428s0030"
"16","Medtr0451s0010"
"17","Medtr0568s0020"
"18","Medtr0623s0020"
"19","Medtr0795s0020"
"20","Medtr1527s0010"
"21","Medtr1g010270"
"22","Medtr1g012470"
"23","Medtr1g012860"
"24","Medtr1g013790"
"25","Medtr1g017820"
"26","Medtr1g018700"
"27","Medtr1g019650"
"28","Medtr1g020090"
"29","Medtr1g021230"
"30","Medtr1g021460"
"31","Medtr1g021635"
"32","Medtr1g021642"
"33","Medtr1g022115"
"34","Medtr1g022245"
"35","Medtr1g022265"
"36","Medtr1g022340"
"37","Medtr1g024840"
"38","Medtr1g026140"
"39","Medtr1g026800"
"40","Medtr1g027040"
"41","Medtr1g027060"
"42","Medtr1g027070"
"43","Medtr1g027150"
"44","Medtr1g027600"
"45","Medtr1g027640"
"46","Medtr1g028090"
"47","Medtr1g031510"
"48","Medtr1g031710"
"49","Medtr1g032120"
"50","Medtr1g032930"
"51","Medtr1g033110"
"52","Medtr1g033810"
"53","Medtr1g035240"
"54","Medtr1g037030"
"55","Medtr1g037520"
"56","Medtr1g042310"
"57","Medtr1g052100"
"58","Medtr1g052610"
"59","Medtr1g056470"
"60","Medtr1g056550"
"61","Medtr1g057290"
"62","Medtr1g059810"
"63","Medtr1g062630"
"64","Medtr1g062660"
"65","Medtr1g062770"
"66","Medtr1g064090"
"67","Medtr1g067320"
"68","Medtr1g067480"
"69","Medtr1g068580"
"70","Medtr1g069745"
"71","Medtr1g069960"
"72","Medtr1g072380"
"73","Medtr1g075990"
"74","Medtr1g077030"
"75","Medtr1g079540"
"76","Medtr1g081960"
"77","Medtr1g082550"
"78","Medtr1g082760"
"79","Medtr1g083190"
"80","Medtr1g085350"
"81","Medtr1g086450"
"82","Medtr1g088935"
"83","Medtr1g088940"
"84","Medtr1g090320"
"85","Medtr1g090520"
"86","Medtr1g090667"
"87","Medtr1g090937"
"88","Medtr1g092460"
"89","Medtr1g096250"
"90","Medtr1g100395"
"91","Medtr1g100587"
"92","Medtr1g101880"
"93","Medtr1g102830"
"94","Medtr1g105755"
"95","Medtr1g105820"
"96","Medtr1g107535"
"97","Medtr1g109380"
"98","Medtr1g110090"
"99","Medtr1g110270"
"100","Medtr1g110570"
"101","Medtr1g111510"
"102","Medtr1g112750"
"103","Medtr1g114290"
"104","Medtr1g115140"
"105","Medtr1g116085"
"106","Medtr1g116580"
"107","Medtr1g492930"
"108","Medtr2g006210"
"109","Medtr2g006750"
"110","Medtr2g007170"
"111","Medtr2g007570"
"112","Medtr2g008730"
"113","Medtr2g009670"
"114","Medtr2g010710"
"115","Medtr2g011170"
"116","Medtr2g011270"
"117","Medtr2g012290"
"118","Medtr2g013490"
"119","Medtr2g014650"
"120","Medtr2g014960"
"121","Medtr2g015760"
"122","Medtr2g016580"
"123","Medtr2g016710"
"124","Medtr2g019600"
"125","Medtr2g021590"
"126","Medtr2g021690"
"127","Medtr2g022710"
"128","Medtr2g022940"
"129","Medtr2g023660"
"130","Medtr2g023710"
"131","Medtr2g025420"
"132","Medtr2g026510"
"133","Medtr2g028580"
"134","Medtr2g029560"
"135","Medtr2g029880"
"136","Medtr2g031590"
"137","Medtr2g031880"
"138","Medtr2g035130"
"139","Medtr2g035170"
"140","Medtr2g036320"
"141","Medtr2g037200"
"142","Medtr2g038010"
"143","Medtr2g040760"
"144","Medtr2g048855"
"145","Medtr2g048860"
"146","Medtr2g055690"
"147","Medtr2g059890"
"148","Medtr2g062360"
"149","Medtr2g064425"
"150","Medtr2g064940"
"151","Medtr2g066050"
"152","Medtr2g072020"
"153","Medtr2g072080"
"154","Medtr2g073220"
"155","Medtr2g078090"
"156","Medtr2g079710"
"157","Medtr2g080130"
"158","Medtr2g081225"
"159","Medtr2g081610"
"160","Medtr2g086850"
"161","Medtr2g090270"
"162","Medtr2g090520"
"163","Medtr2g090525"
"164","Medtr2g090555"
"165","Medtr2g091260"
"166","Medtr2g096030"
"167","Medtr2g096870"
"168","Medtr2g096900"
"169","Medtr2g097020"
"170","Medtr2g097540"
"171","Medtr2g098425"
"172","Medtr2g100200"
"173","Medtr2g101420"
"174","Medtr2g101660"
"175","Medtr2g102660"
"176","Medtr2g102670"
"177","Medtr2g102730"
"178","Medtr2g103400"
"179","Medtr2g104230"
"180","Medtr2g105830"
"181","Medtr2g437050"
"182","Medtr2g437180"
"183","Medtr2g437720"
"184","Medtr2g437910"
"185","Medtr2g438140"
"186","Medtr2g449880"
"187","Medtr2g450420"
"188","Medtr3g006170"
"189","Medtr3g007240"
"190","Medtr3g007630"
"191","Medtr3g008180"
"192","Medtr3g009020"
"193","Medtr3g011910"
"194","Medtr3g012240"
"195","Medtr3g013440"
"196","Medtr3g013960"
"197","Medtr3g019360"
"198","Medtr3g019580"
"199","Medtr3g022738"
"200","Medtr3g025880"
"201","Medtr3g030240"
"202","Medtr3g050180"
"203","Medtr3g051060"
"204","Medtr3g051190"
"205","Medtr3g053330"
"206","Medtr3g054060"
"207","Medtr3g055870"
"208","Medtr3g056160"
"209","Medtr3g056310"
"210","Medtr3g056410"
"211","Medtr3g062590"
"212","Medtr3g062610"
"213","Medtr3g062920"
"214","Medtr3g063230"
"215","Medtr3g063310"
"216","Medtr3g065300"
"217","Medtr3g067870"
"218","Medtr3g068030"
"219","Medtr3g070100"
"220","Medtr3g071800"
"221","Medtr3g075520"
"222","Medtr3g076660"
"223","Medtr3g077250"
"224","Medtr3g080450"
"225","Medtr3g080580"
"226","Medtr3g080800"
"227","Medtr3g080840"
"228","Medtr3g082050"
"229","Medtr3g082700"
"230","Medtr3g087220"
"231","Medtr3g087320"
"232","Medtr3g088250"
"233","Medtr3g088800"
"234","Medtr3g090150"
"235","Medtr3g090640"
"236","Medtr3g090760"
"237","Medtr3g091460"
"238","Medtr3g092420"
"239","Medtr3g093430"
"240","Medtr3g094790"
"241","Medtr3g095190"
"242","Medtr3g096420"
"243","Medtr3g096580"
"244","Medtr3g096760"
"245","Medtr3g096860"
"246","Medtr3g098120"
"247","Medtr3g099030"
"248","Medtr3g099120"
"249","Medtr3g101420"
"250","Medtr3g101730"
"251","Medtr3g102270"
"252","Medtr3g104730"
"253","Medtr3g105090"
"254","Medtr3g105730"
"255","Medtr3g105820"
"256","Medtr3g106420"
"257","Medtr3g106550"
"258","Medtr3g107610"
"259","Medtr3g108410"
"260","Medtr3g109430"
"261","Medtr3g111840"
"262","Medtr3g111940"
"263","Medtr3g113160"
"264","Medtr3g434850"
"265","Medtr3g435700"
"266","Medtr3g437870"
"267","Medtr3g437990"
"268","Medtr3g448380"
"269","Medtr3g452530"
"270","Medtr3g461470"
"271","Medtr3g462110"
"272","Medtr3g466530"
"273","Medtr3g466590"
"274","Medtr3g466740"
"275","Medtr3g498785"
"276","Medtr4g006550"
"277","Medtr4g008050"
"278","Medtr4g008780"
"279","Medtr4g011190"
"280","Medtr4g011450"
"281","Medtr4g013770"
"282","Medtr4g015360"
"283","Medtr4g015590"
"284","Medtr4g016610"
"285","Medtr4g019165"
"286","Medtr4g020640"
"287","Medtr4g021020"
"288","Medtr4g021755"
"289","Medtr4g022510"
"290","Medtr4g023730"
"291","Medtr4g026400"
"292","Medtr4g026620"
"293","Medtr4g026730"
"294","Medtr4g029430"
"295","Medtr4g030070"
"296","Medtr4g031010"
"297","Medtr4g037225"
"298","Medtr4g038440"
"299","Medtr4g040310"
"300","Medtr4g044687"
"301","Medtr4g045993"
"302","Medtr4g046677"
"303","Medtr4g048580"
"304","Medtr4g050765"
"305","Medtr4g051220"
"306","Medtr4g055310"
"307","Medtr4g056020"
"308","Medtr4g056420"
"309","Medtr4g065600"
"310","Medtr4g066340"
"311","Medtr4g069070"
"312","Medtr4g070340"
"313","Medtr4g070630"
"314","Medtr4g073730"
"315","Medtr4g076810"
"316","Medtr4g077250"
"317","Medtr4g079600"
"318","Medtr4g080340"
"319","Medtr4g081280"
"320","Medtr4g081290"
"321","Medtr4g081360"
"322","Medtr4g081620"
"323","Medtr4g083070"
"324","Medtr4g083680"
"325","Medtr4g085100"
"326","Medtr4g085110"
"327","Medtr4g087780"
"328","Medtr4g087830"
"329","Medtr4g087975"
"330","Medtr4g088030"
"331","Medtr4g088170"
"332","Medtr4g088195"
"333","Medtr4g088915"
"334","Medtr4g092020"
"335","Medtr4g093070"
"336","Medtr4g094288"
"337","Medtr4g094495"
"338","Medtr4g094560"
"339","Medtr4g094562"
"340","Medtr4g094565"
"341","Medtr4g094775"
"342","Medtr4g095018"
"343","Medtr4g096770"
"344","Medtr4g097880"
"345","Medtr4g101070"
"346","Medtr4g103330"
"347","Medtr4g104540"
"348","Medtr4g104800"
"349","Medtr4g105250"
"350","Medtr4g111840"
"351","Medtr4g111935"
"352","Medtr4g113530"
"353","Medtr4g115810"
"354","Medtr4g116880"
"355","Medtr4g116980"
"356","Medtr4g117020"
"357","Medtr4g117500"
"358","Medtr4g119650"
"359","Medtr4g120950"
"360","Medtr4g121090"
"361","Medtr4g122000"
"362","Medtr4g122070"
"363","Medtr4g123990"
"364","Medtr4g124000"
"365","Medtr4g124160"
"366","Medtr4g124740"
"367","Medtr4g124760"
"368","Medtr4g125740"
"369","Medtr4g125750"
"370","Medtr4g127370"
"371","Medtr4g131840"
"372","Medtr4g132910"
"373","Medtr4g133160"
"374","Medtr4g134120"
"375","Medtr5g004770"
"376","Medtr5g005480"
"377","Medtr5g006180"
"378","Medtr5g006420"
"379","Medtr5g007250"
"380","Medtr5g007450"
"381","Medtr5g007550"
"382","Medtr5g007640"
"383","Medtr5g008350"
"384","Medtr5g009080"
"385","Medtr5g009620"
"386","Medtr5g010400"
"387","Medtr5g010940"
"388","Medtr5g011050"
"389","Medtr5g012040"
"390","Medtr5g013130"
"391","Medtr5g015840"
"392","Medtr5g017040"
"393","Medtr5g018250"
"394","Medtr5g018550"
"395","Medtr5g019010"
"396","Medtr5g019580"
"397","Medtr5g020860"
"398","Medtr5g022390"
"399","Medtr5g023290"
"400","Medtr5g025180"
"401","Medtr5g025350"
"402","Medtr5g025980"
"403","Medtr5g026205"
"404","Medtr5g026620"
"405","Medtr5g028290"
"406","Medtr5g030470"
"407","Medtr5g032870"
"408","Medtr5g033080"
"409","Medtr5g035560"
"410","Medtr5g035580"
"411","Medtr5g037340"
"412","Medtr5g039690"
"413","Medtr5g041400"
"414","Medtr5g043605"
"415","Medtr5g043880"
"416","Medtr5g044220"
"417","Medtr5g045940"
"418","Medtr5g048470"
"419","Medtr5g049170"
"420","Medtr5g055100"
"421","Medtr5g055940"
"422","Medtr5g056200"
"423","Medtr5g063650"
"424","Medtr5g063950"
"425","Medtr5g064035"
"426","Medtr5g064590"
"427","Medtr5g067140"
"428","Medtr5g071070"
"429","Medtr5g071350"
"430","Medtr5g071790"
"431","Medtr5g073200"
"432","Medtr5g073590"
"433","Medtr5g073650"
"434","Medtr5g073810"
"435","Medtr5g074400"
"436","Medtr5g075020"
"437","Medtr5g075650"
"438","Medtr5g076270"
"439","Medtr5g078930"
"440","Medtr5g079550"
"441","Medtr5g082910"
"442","Medtr5g083810"
"443","Medtr5g084700"
"444","Medtr5g085550"
"445","Medtr5g086250"
"446","Medtr5g086300"
"447","Medtr5g090970"
"448","Medtr5g091070"
"449","Medtr5g091200"
"450","Medtr5g092530"
"451","Medtr5g092820"
"452","Medtr5g094700"
"453","Medtr5g095120"
"454","Medtr5g095130"
"455","Medtr5g095955"
"456","Medtr5g096720"
"457","Medtr5g099190"
"458","Medtr5g430730"
"459","Medtr6g007030"
"460","Medtr6g008015"
"461","Medtr6g009720"
"462","Medtr6g014720"
"463","Medtr6g015435"
"464","Medtr6g018690"
"465","Medtr6g021900"
"466","Medtr6g022000"
"467","Medtr6g022260"
"468","Medtr6g022790"
"469","Medtr6g023875"
"470","Medtr6g023975"
"471","Medtr6g027730"
"472","Medtr6g028100"
"473","Medtr6g032915"
"474","Medtr6g033330"
"475","Medtr6g034725"
"476","Medtr6g036750"
"477","Medtr6g038200"
"478","Medtr6g038790"
"479","Medtr6g038820"
"480","Medtr6g042230"
"481","Medtr6g043280"
"482","Medtr6g045077"
"483","Medtr6g048480"
"484","Medtr6g055180"
"485","Medtr6g055960"
"486","Medtr6g060170"
"487","Medtr6g068820"
"488","Medtr6g069400"
"489","Medtr6g078100"
"490","Medtr6g078290"
"491","Medtr6g079120"
"492","Medtr6g079440"
"493","Medtr6g082180"
"494","Medtr6g083000"
"495","Medtr6g083240"
