"","x"
"1","Medtr0001s0490"
"2","Medtr0001s0660"
"3","Medtr0003s0480"
"4","Medtr0003s0540"
"5","Medtr0003s0560"
"6","Medtr0003s0580"
"7","Medtr0003s0590"
"8","Medtr0003s0620"
"9","Medtr0003s0690"
"10","Medtr0004s0210"
"11","Medtr0004s0220"
"12","Medtr0004s0230"
"13","Medtr0004s0330"
"14","Medtr0004s0490"
"15","Medtr0004s0510"
"16","Medtr0007s0060"
"17","Medtr0009s0050"
"18","Medtr0009s0330"
"19","Medtr0009s0390"
"20","Medtr0009s0400"
"21","Medtr0009s0410"
"22","Medtr0010s0210"
"23","Medtr0010s0220"
"24","Medtr0010s0400"
"25","Medtr0011s0020"
"26","Medtr0011s0300"
"27","Medtr0011s0310"
"28","Medtr0011s0330"
"29","Medtr0012s0090"
"30","Medtr0012s0150"
"31","Medtr0013s0120"
"32","Medtr0013s0230"
"33","Medtr0014s0180"
"34","Medtr0014s0210"
"35","Medtr0015s0110"
"36","Medtr0015s0130"
"37","Medtr0015s0140"
"38","Medtr0017s0100"
"39","Medtr0018s0290"
"40","Medtr0019s0020"
"41","Medtr0019s0160"
"42","Medtr0020s0120"
"43","Medtr0021s0140"
"44","Medtr0021s0360"
"45","Medtr0022s0300"
"46","Medtr0024s0020"
"47","Medtr0024s0070"
"48","Medtr0024s0220"
"49","Medtr0024s0330"
"50","Medtr0026s0160"
"51","Medtr0027s0180"
"52","Medtr0027s0200"
"53","Medtr0027s0250"
"54","Medtr0028s0090"
"55","Medtr0032s0040"
"56","Medtr0034s0060"
"57","Medtr0034s0190"
"58","Medtr0036s0040"
"59","Medtr0036s0150"
"60","Medtr0036s0210"
"61","Medtr0037s0060"
"62","Medtr0041s0030"
"63","Medtr0044s0180"
"64","Medtr0045s0110"
"65","Medtr0051s0110"
"66","Medtr0052s0030"
"67","Medtr0053s0020"
"68","Medtr0054s0080"
"69","Medtr0057s0080"
"70","Medtr0059s0170"
"71","Medtr0060s0100"
"72","Medtr0065s0100"
"73","Medtr0068s0080"
"74","Medtr0069s0020"
"75","Medtr0070s0080"
"76","Medtr0071s0100"
"77","Medtr0072s0040"
"78","Medtr0072s0050"
"79","Medtr0076s0010"
"80","Medtr0076s0020"
"81","Medtr0082s0040"
"82","Medtr0082s0080"
"83","Medtr0083s0120"
"84","Medtr0085s0020"
"85","Medtr0086s0010"
"86","Medtr0086s0070"
"87","Medtr0092s0100"
"88","Medtr0097s0060"
"89","Medtr0097s0070"
"90","Medtr0101s0020"
"91","Medtr0110s0050"
"92","Medtr0110s0060"
"93","Medtr0129s0050"
"94","Medtr0135s0080"
"95","Medtr0136s0060"
"96","Medtr0137s0040"
"97","Medtr0137s0060"
"98","Medtr0140s0050"
"99","Medtr0147s0070"
"100","Medtr0147s0080"
"101","Medtr0150s0010"
"102","Medtr0154s0010"
"103","Medtr0161s0050"
"104","Medtr0167s0040"
"105","Medtr0167s0060"
"106","Medtr0168s0080"
"107","Medtr0168s0110"
"108","Medtr0168s0120"
"109","Medtr0172s0010"
"110","Medtr0172s0020"
"111","Medtr0172s0050"
"112","Medtr0175s0030"
"113","Medtr0176s0050"
