"","x"
"1","Medtr0009s0250"
"2","Medtr0014s0200"
"3","Medtr0035s0150"
"4","Medtr0040s0140"
"5","Medtr0042s0130"
"6","Medtr0048s0110"
"7","Medtr0054s0090"
"8","Medtr0077s0010"
"9","Medtr0083s0110"
"10","Medtr0085s0010"
"11","Medtr0141s0020"
"12","Medtr0212s0080"
"13","Medtr0263s0020"
"14","Medtr0320s0040"
"15","Medtr0428s0040"
"16","Medtr0444s0010"
"17","Medtr0468s0010"
"18","Medtr0794s0020"
"19","Medtr1g011400"
"20","Medtr1g012330"
"21","Medtr1g012920"
"22","Medtr1g015740"
"23","Medtr1g018470"
"24","Medtr1g018750"
"25","Medtr1g019510"
"26","Medtr1g019660"
"27","Medtr1g021990"
"28","Medtr1g023700"
"29","Medtr1g026125"
"30","Medtr1g031060"
"31","Medtr1g032190"
"32","Medtr1g033900"
"33","Medtr1g034260"
"34","Medtr1g036410"
"35","Medtr1g040105"
"36","Medtr1g041805"
"37","Medtr1g050475"
"38","Medtr1g051120"
"39","Medtr1g051125"
"40","Medtr1g053575"
"41","Medtr1g059660"
"42","Medtr1g061710"
"43","Medtr1g069695"
"44","Medtr1g070015"
"45","Medtr1g070175"
"46","Medtr1g070330"
"47","Medtr1g070495"
"48","Medtr1g071120"
"49","Medtr1g073640"
"50","Medtr1g076280"
"51","Medtr1g079860"
"52","Medtr1g082220"
"53","Medtr1g083950"
"54","Medtr1g084780"
"55","Medtr1g084830"
"56","Medtr1g088910"
"57","Medtr1g090020"
"58","Medtr1g095250"
"59","Medtr1g097190"
"60","Medtr1g100130"
"61","Medtr1g102860"
"62","Medtr1g105480"
"63","Medtr1g105835"
"64","Medtr1g105950"
"65","Medtr1g108910"
"66","Medtr1g109420"
"67","Medtr1g110190"
"68","Medtr1g110860"
"69","Medtr1g113740"
"70","Medtr1g115250"
"71","Medtr1g115470"
"72","Medtr1g117030"
"73","Medtr1g475250"
"74","Medtr2g008370"
"75","Medtr2g008610"
"76","Medtr2g013370"
"77","Medtr2g014450"
"78","Medtr2g017570"
"79","Medtr2g017800"
"80","Medtr2g020990"
"81","Medtr2g021950"
"82","Medtr2g022080"
"83","Medtr2g023010"
"84","Medtr2g027550"
"85","Medtr2g027870"
"86","Medtr2g036740"
"87","Medtr2g038710"
"88","Medtr2g040320"
"89","Medtr2g040850"
"90","Medtr2g041260"
"91","Medtr2g042640"
"92","Medtr2g046710"
"93","Medtr2g047968"
"94","Medtr2g049400"
"95","Medtr2g054850"
"96","Medtr2g062560"
"97","Medtr2g064400"
"98","Medtr2g066830"
"99","Medtr2g067360"
"100","Medtr2g069070"
"101","Medtr2g071940"
"102","Medtr2g075610"
"103","Medtr2g078070"
"104","Medtr2g084020"
"105","Medtr2g087460"
"106","Medtr2g091080"
"107","Medtr2g091170"
"108","Medtr2g093750"
"109","Medtr2g095340"
"110","Medtr2g095720"
"111","Medtr2g099400"
"112","Medtr2g100930"
"113","Medtr2g101380"
"114","Medtr2g103140"
"115","Medtr2g103810"
"116","Medtr2g105740"
"117","Medtr2g435780"
"118","Medtr2g437490"
"119","Medtr2g461720"
"120","Medtr3g007850"
"121","Medtr3g011480"
"122","Medtr3g028040"
"123","Medtr3g028240"
"124","Medtr3g028450"
"125","Medtr3g030560"
"126","Medtr3g030975"
"127","Medtr3g033420"
"128","Medtr3g034110"
"129","Medtr3g035130"
"130","Medtr3g045760"
"131","Medtr3g048283"
"132","Medtr3g058550"
"133","Medtr3g060750"
"134","Medtr3g063320"
"135","Medtr3g064490"
"136","Medtr3g067270"
"137","Medtr3g067935"
"138","Medtr3g071120"
"139","Medtr3g072160"
"140","Medtr3g074060"
"141","Medtr3g075260"
"142","Medtr3g075530"
"143","Medtr3g077200"
"144","Medtr3g077460"
"145","Medtr3g078330"
"146","Medtr3g078740"
"147","Medtr3g079620"
"148","Medtr3g082210"
"149","Medtr3g083800"
