"","x"
"1","Medtr0003s0660"
"2","Medtr0004s0610"
"3","Medtr0009s0500"
"4","Medtr0019s0210"
"5","Medtr0031s0060"
"6","Medtr0034s0190"
"7","Medtr0037s0060"
"8","Medtr0045s0080"
"9","Medtr0050s0160"
"10","Medtr0069s0050"
"11","Medtr0082s0050"
"12","Medtr0082s0060"
"13","Medtr0082s0180"
"14","Medtr0083s0120"
"15","Medtr0089s0100"
"16","Medtr0110s0010"
"17","Medtr0136s0010"
"18","Medtr0148s0050"
"19","Medtr0167s0040"
"20","Medtr0175s0030"
"21","Medtr0180s0080"
"22","Medtr0276s0010"
"23","Medtr0384s0020"
"24","Medtr0392s0010"
"25","Medtr0608s0010"
"26","Medtr0658s0030"
"27","Medtr0690s0010"
"28","Medtr1439s0010"
"29","Medtr1g007150"
"30","Medtr1g007740"
"31","Medtr1g008900"
"32","Medtr1g008980"
"33","Medtr1g009690"
"34","Medtr1g009710"
"35","Medtr1g009780"
"36","Medtr1g009790"
"37","Medtr1g009830"
"38","Medtr1g010040"
"39","Medtr1g010230"
"40","Medtr1g011280"
"41","Medtr1g011610"
"42","Medtr1g011720"
"43","Medtr1g012180"
"44","Medtr1g014260"
"45","Medtr1g015050"
"46","Medtr1g015980"
"47","Medtr1g016310"
"48","Medtr1g016800"
"49","Medtr1g017520"
"50","Medtr1g017840"
"51","Medtr1g018790"
"52","Medtr1g019040"
"53","Medtr1g019120"
"54","Medtr1g019290"
"55","Medtr1g019760"
"56","Medtr1g019800"
"57","Medtr1g021635"
"58","Medtr1g021845"
"59","Medtr1g022010"
"60","Medtr1g022200"
"61","Medtr1g022480"
"62","Medtr1g023120"
"63","Medtr1g023510"
"64","Medtr1g023570"
"65","Medtr1g023660"
"66","Medtr1g023760"
"67","Medtr1g024095"
"68","Medtr1g025450"
"69","Medtr1g025910"
"70","Medtr1g026110"
"71","Medtr1g026480"
"72","Medtr1g026950"
"73","Medtr1g027060"
"74","Medtr1g027150"
"75","Medtr1g027450"
"76","Medtr1g028100"
"77","Medtr1g028440"
"78","Medtr1g029650"
"79","Medtr1g030275"
"80","Medtr1g030720"
"81","Medtr1g031840"
"82","Medtr1g032110"
"83","Medtr1g033610"
"84","Medtr1g034140"
"85","Medtr1g034190"
"86","Medtr1g035010"
"87","Medtr1g035330"
"88","Medtr1g035420"
"89","Medtr1g036720"
"90","Medtr1g037260"
"91","Medtr1g037370"
"92","Medtr1g037470"
"93","Medtr1g037740"
"94","Medtr1g038340"
"95","Medtr1g038850"
"96","Medtr1g041300"
"97","Medtr1g042800"
"98","Medtr1g043290"
"99","Medtr1g044135"
"100","Medtr1g044225"
"101","Medtr1g044450"
"102","Medtr1g050690"
"103","Medtr1g050855"
"104","Medtr1g053955"
"105","Medtr1g053960"
"106","Medtr1g054600"
"107","Medtr1g055145"
"108","Medtr1g055315"
"109","Medtr1g055365"
"110","Medtr1g056280"
"111","Medtr1g056800"
"112","Medtr1g056840"
"113","Medtr1g056880"
"114","Medtr1g057110"
"115","Medtr1g058540"
"116","Medtr1g059610"
"117","Medtr1g060430"
"118","Medtr1g060580"
"119","Medtr1g063120"
"120","Medtr1g064090"
"121","Medtr1g064150"
"122","Medtr1g064390"
"123","Medtr1g067550"
"124","Medtr1g067720"
"125","Medtr1g068825"
"126","Medtr1g069005"
"127","Medtr1g069070"
"128","Medtr1g069250"
"129","Medtr1g069345"
"130","Medtr1g069420"
"131","Medtr1g069720"
"132","Medtr1g069790"
"133","Medtr1g069910"
"134","Medtr1g070280"
"135","Medtr1g070960"
"136","Medtr1g072280"
"137","Medtr1g072550"
"138","Medtr1g073130"
"139","Medtr1g073300"
"140","Medtr1g073480"
"141","Medtr1g075250"
"142","Medtr1g075330"
"143","Medtr1g075880"
"144","Medtr1g078070"
"145","Medtr1g078400"
"146","Medtr1g079525"
"147","Medtr1g079790"
"148","Medtr1g079810"
"149","Medtr1g080472"
"150","Medtr1g080620"
"151","Medtr1g081560"
"152","Medtr1g081870"
"153","Medtr1g083120"
"154","Medtr1g083250"
"155","Medtr1g083910"
"156","Medtr1g084570"
"157","Medtr1g084760"
"158","Medtr1g086350"
"159","Medtr1g086370"
"160","Medtr1g086490"
"161","Medtr1g086540"
"162","Medtr1g087120"
"163","Medtr1g087230"
"164","Medtr1g087775"
"165","Medtr1g087880"
"166","Medtr1g088535"
"167","Medtr1g088930"
"168","Medtr1g088945"
"169","Medtr1g089090"
"170","Medtr1g089370"
"171","Medtr1g090340"
"172","Medtr1g092440"
"173","Medtr1g092460"
"174","Medtr1g092910"
"175","Medtr1g092920"
"176","Medtr1g093720"
"177","Medtr1g093750"
"178","Medtr1g093770"
"179","Medtr1g094215"
"180","Medtr1g094630"
"181","Medtr1g094635"
"182","Medtr1g095570"
"183","Medtr1g095620"
"184","Medtr1g096410"
"185","Medtr1g097110"
"186","Medtr1g097945"
"187","Medtr1g098530"
"188","Medtr1g099190"
"189","Medtr1g099480"
"190","Medtr1g099550"
"191","Medtr1g099610"
"192","Medtr1g100250"
"193","Medtr1g100773"
"194","Medtr1g100797"
"195","Medtr1g100950"
"196","Medtr1g101100"
"197","Medtr1g101520"
"198","Medtr1g101900"
"199","Medtr1g102230"
"200","Medtr1g102425"
"201","Medtr1g102580"
"202","Medtr1g102710"
"203","Medtr1g103660"
"204","Medtr1g103830"
"205","Medtr1g104500"
"206","Medtr1g104710"
"207","Medtr1g105050"
"208","Medtr1g105605"
"209","Medtr1g105640"
"210","Medtr1g105650"
"211","Medtr1g105785"
"212","Medtr1g106050"
"213","Medtr1g106765"
"214","Medtr1g106815"
"215","Medtr1g106855"
"216","Medtr1g107185"
"217","Medtr1g107360"
"218","Medtr1g107375"
"219","Medtr1g107440"
"220","Medtr1g107540"
"221","Medtr1g109170"
"222","Medtr1g109500"
"223","Medtr1g110070"
"224","Medtr1g110220"
"225","Medtr1g111100"
"226","Medtr1g111380"
"227","Medtr1g111560"
"228","Medtr1g111960"
"229","Medtr1g112270"
"230","Medtr1g115535"
"231","Medtr1g115575"
"232","Medtr1g115610"
"233","Medtr1g116070"
"234","Medtr1g116330"
"235","Medtr1g116380"
"236","Medtr1g116520"
"237","Medtr1g116890"
"238","Medtr1g117090"
"239","Medtr1g471050"
"240","Medtr1g492660"
"241","Medtr1g492950"
"242","Medtr2g005450"
"243","Medtr2g005730"
"244","Medtr2g005820"
"245","Medtr2g005960"
"246","Medtr2g007000"
"247","Medtr2g007250"
"248","Medtr2g007550"
"249","Medtr2g008370"
"250","Medtr2g008440"
"251","Medtr2g008820"
"252","Medtr2g008840"
"253","Medtr2g008880"
"254","Medtr2g009110"
"255","Medtr2g009290"
"256","Medtr2g009580"
"257","Medtr2g009630"
"258","Medtr2g009810"
"259","Medtr2g010210"
"260","Medtr2g010480"
"261","Medtr2g011480"
"262","Medtr2g012560"
"263","Medtr2g012570"
"264","Medtr2g013130"
"265","Medtr2g014490"
"266","Medtr2g014970"
"267","Medtr2g016280"
"268","Medtr2g017630"
"269","Medtr2g017740"
"270","Medtr2g017760"
"271","Medtr2g018010"
"272","Medtr2g018105"
"273","Medtr2g018550"
"274","Medtr2g018570"
"275","Medtr2g018710"
"276","Medtr2g019080"
"277","Medtr2g019090"
"278","Medtr2g019100"
"279","Medtr2g019400"
"280","Medtr2g019950"
"281","Medtr2g020620"
"282","Medtr2g020750"
"283","Medtr2g021070"
"284","Medtr2g021248"
"285","Medtr2g021330"
"286","Medtr2g022240"
"287","Medtr2g024140"
"288","Medtr2g027360"
"289","Medtr2g027650"
"290","Medtr2g028480"
"291","Medtr2g028770"
"292","Medtr2g028790"
"293","Medtr2g028870"
"294","Medtr2g028940"
"295","Medtr2g029300"
"296","Medtr2g030630"
"297","Medtr2g031870"
"298","Medtr2g033460"
"299","Medtr2g035210"
"300","Medtr2g035810"
"301","Medtr2g035820"
"302","Medtr2g036060"
"303","Medtr2g036350"
"304","Medtr2g039910"
"305","Medtr2g040350"
"306","Medtr2g040410"
"307","Medtr2g040470"
"308","Medtr2g040910"
"309","Medtr2g040990"
"310","Medtr2g041690"
"311","Medtr2g042440"
"312","Medtr2g042900"
"313","Medtr2g042970"
"314","Medtr2g043020"
"315","Medtr2g043030"
"316","Medtr2g043040"
"317","Medtr2g043360"
"318","Medtr2g043740"
"319","Medtr2g044040"
"320","Medtr2g048300"
"321","Medtr2g048375"
"322","Medtr2g055760"
"323","Medtr2g058580"
"324","Medtr2g061460"
"325","Medtr2g062840"
"326","Medtr2g063480"
"327","Medtr2g063823"
"328","Medtr2g064450"
"329","Medtr2g064740"
"330","Medtr2g064880"
"331","Medtr2g064950"
"332","Medtr2g065730"
"333","Medtr2g067760"
"334","Medtr2g068690"
"335","Medtr2g069300"
"336","Medtr2g069550"
"337","Medtr2g070390"
"338","Medtr2g072600"
"339","Medtr2g073380"
"340","Medtr2g075470"
"341","Medtr2g078450"
"342","Medtr2g080030"
"343","Medtr2g081230"
"344","Medtr2g082310"
"345","Medtr2g083300"
"346","Medtr2g084200"
"347","Medtr2g084285"
"348","Medtr2g084340"
"349","Medtr2g084475"
"350","Medtr2g087295"
"351","Medtr2g087530"
"352","Medtr2g087880"
"353","Medtr2g088390"
"354","Medtr2g088770"
"355","Medtr2g089080"
"356","Medtr2g090285"
"357","Medtr2g090380"
"358","Medtr2g090640"
"359","Medtr2g090710"
"360","Medtr2g090770"
"361","Medtr2g091145"
"362","Medtr2g094160"
"363","Medtr2g094650"
"364","Medtr2g094910"
"365","Medtr2g095040"
"366","Medtr2g095180"
"367","Medtr2g095420"
"368","Medtr2g095880"
"369","Medtr2g096000"
"370","Medtr2g096180"
"371","Medtr2g097463"
"372","Medtr2g097910"
"373","Medtr2g098490"
"374","Medtr2g099560"
"375","Medtr2g099610"
"376","Medtr2g100670"
"377","Medtr2g100690"
"378","Medtr2g102090"
"379","Medtr2g103380"
"380","Medtr2g103950"
"381","Medtr2g104050"
"382","Medtr2g105760"
"383","Medtr2g105850"
"384","Medtr2g435530"
"385","Medtr2g435560"
"386","Medtr2g437050"
"387","Medtr2g437200"
"388","Medtr2g437390"
"389","Medtr2g450210"
"390","Medtr2g461020"
"391","Medtr2g461190"
"392","Medtr3g005710"
"393","Medtr3g006370"
"394","Medtr3g006760"
"395","Medtr3g009160"
"396","Medtr3g009270"
"397","Medtr3g009740"
"398","Medtr3g010290"
"399","Medtr3g011270"
"400","Medtr3g012240"
"401","Medtr3g012270"
"402","Medtr3g012490"
"403","Medtr3g013430"
"404","Medtr3g014030"
"405","Medtr3g014090"
"406","Medtr3g015080"
"407","Medtr3g015280"
"408","Medtr3g015377"
"409","Medtr3g017390"
"410","Medtr3g018770"
"411","Medtr3g019000"
"412","Medtr3g019070"
"413","Medtr3g020510"
"414","Medtr3g023160"
"415","Medtr3g023780"
"416","Medtr3g023830"
"417","Medtr3g025300"
"418","Medtr3g028240"
"419","Medtr3g029990"
"420","Medtr3g032390"
"421","Medtr3g033040"
"422","Medtr3g035960"
"423","Medtr3g041640"
"424","Medtr3g048940"
"425","Medtr3g051510"
"426","Medtr3g052700"
"427","Medtr3g053420"
"428","Medtr3g053510"
"429","Medtr3g053910"
"430","Medtr3g055380"
"431","Medtr3g055600"
"432","Medtr3g055690"
"433","Medtr3g055740"
"434","Medtr3g056705"
"435","Medtr3g058610"
"436","Medtr3g058880"
"437","Medtr3g058970"
"438","Medtr3g060730"
"439","Medtr3g061380"
"440","Medtr3g062610"
"441","Medtr3g063140"
"442","Medtr3g063170"
"443","Medtr3g063180"
"444","Medtr3g064097"
"445","Medtr3g064460"
"446","Medtr3g065345"
"447","Medtr3g065440"
"448","Medtr3g065820"
"449","Medtr3g067475"
"450","Medtr3g067670"
"451","Medtr3g067795"
"452","Medtr3g067935"
"453","Medtr3g069760"
"454","Medtr3g069990"
"455","Medtr3g070050"
"456","Medtr3g070590"
"457","Medtr3g071650"
"458","Medtr3g072160"
"459","Medtr3g072170"
"460","Medtr3g072215"
"461","Medtr3g072350"
"462","Medtr3g072610"
"463","Medtr3g072660"
"464","Medtr3g073320"
"465","Medtr3g073460"
"466","Medtr3g073620"
"467","Medtr3g073790"
"468","Medtr3g074620"
"469","Medtr3g075100"
"470","Medtr3g076540"
"471","Medtr3g076570"
"472","Medtr3g077440"
"473","Medtr3g077550"
"474","Medtr3g077950"
"475","Medtr3g079530"
"476","Medtr3g080070"
"477","Medtr3g080130"
"478","Medtr3g080170"
"479","Medtr3g080240"
"480","Medtr3g080400"
"481","Medtr3g080455"
"482","Medtr3g080470"
"483","Medtr3g080640"
"484","Medtr3g080760"
"485","Medtr3g081580"
"486","Medtr3g082210"
"487","Medtr3g082740"
"488","Medtr3g082830"
"489","Medtr3g083153"
"490","Medtr3g083500"
"491","Medtr3g083840"
"492","Medtr3g084170"
"493","Medtr3g085190"
"494","Medtr3g087330"
"495","Medtr3g087870"
"496","Medtr3g088110"
"497","Medtr3g088555"
"498","Medtr3g088665"
"499","Medtr3g088965"
"500","Medtr3g088975"
"501","Medtr3g089090"
"502","Medtr3g089100"
"503","Medtr3g089510"
"504","Medtr3g091040"
"505","Medtr3g091070"
"506","Medtr3g091270"
"507","Medtr3g092100"
"508","Medtr3g092440"
"509","Medtr3g093290"
"510","Medtr3g093520"
"511","Medtr3g093630"
"512","Medtr3g093780"
"513","Medtr3g094870"
"514","Medtr3g095340"
"515","Medtr3g095520"
"516","Medtr3g095680"
"517","Medtr3g095960"
"518","Medtr3g096670"
"519","Medtr3g098290"
"520","Medtr3g098560"
"521","Medtr3g098730"
"522","Medtr3g099370"
"523","Medtr3g099650"
"524","Medtr3g100060"
"525","Medtr3g100160"
"526","Medtr3g100390"
"527","Medtr3g100480"
"528","Medtr3g100600"
"529","Medtr3g100750"
"530","Medtr3g101700"
"531","Medtr3g101750"
"532","Medtr3g102830"
"533","Medtr3g102980"
"534","Medtr3g103350"
"535","Medtr3g105930"
"536","Medtr3g106750"
"537","Medtr3g106770"
"538","Medtr3g106840"
