"","x"
"1","Medtr0002s1060"
"2","Medtr0011s0280"
"3","Medtr0016s0170"
"4","Medtr0019s0110"
"5","Medtr0032s0050"
"6","Medtr0045s0070"
"7","Medtr0082s0160"
"8","Medtr0094s0010"
"9","Medtr0094s0110"
"10","Medtr0474s0020"
"11","Medtr0652s0010"
"12","Medtr0775s0020"
"13","Medtr1g023035"
"14","Medtr1g023800"
"15","Medtr1g026090"
"16","Medtr1g027570"
"17","Medtr1g029670"
"18","Medtr1g035690"
"19","Medtr1g036570"
"20","Medtr1g040420"
"21","Medtr1g040625"
"22","Medtr1g041690"
"23","Medtr1g051530"
"24","Medtr1g051570"
"25","Medtr1g052130"
"26","Medtr1g056530"
"27","Medtr1g062090"
"28","Medtr1g075340"
"29","Medtr1g076830"
"30","Medtr1g090807"
"31","Medtr1g090930"
"32","Medtr1g093770"
"33","Medtr1g093980"
"34","Medtr1g105880"
"35","Medtr1g106095"
"36","Medtr1g107285"
"37","Medtr1g110130"
"38","Medtr1g115580"
"39","Medtr1g115830"
"40","Medtr1g471050"
"41","Medtr2g005075"
"42","Medtr2g010470"
"43","Medtr2g012380"
"44","Medtr2g019320"
"45","Medtr2g020990"
"46","Medtr2g021920"
"47","Medtr2g023150"
"48","Medtr2g031270"
"49","Medtr2g035730"
"50","Medtr2g037790"
"51","Medtr2g044100"
"52","Medtr2g054650"
"53","Medtr2g068770"
"54","Medtr2g081930"
"55","Medtr2g083260"
"56","Medtr2g087390"
"57","Medtr2g088350"
"58","Medtr2g090245"
"59","Medtr2g095340"
"60","Medtr2g098340"
"61","Medtr2g099030"
"62","Medtr2g102470"
"63","Medtr2g102570"
"64","Medtr2g103420"
"65","Medtr2g103773"
"66","Medtr2g437610"
"67","Medtr2g438700"
"68","Medtr2g461820"
"69","Medtr3g005045"
"70","Medtr3g012420"
"71","Medtr3g013470"
"72","Medtr3g013770"
"73","Medtr3g028040"
"74","Medtr3g037470"
"75","Medtr3g054170"
"76","Medtr3g055390"
