"","x"
"1","Medtr0001s0560"
"2","Medtr0005s0230"
"3","Medtr0007s0080"
"4","Medtr0008s0280"
"5","Medtr0009s0380"
"6","Medtr0009s0500"
"7","Medtr0018s0240"
"8","Medtr0019s0210"
"9","Medtr0046s0180"
"10","Medtr0049s0080"
"11","Medtr0053s0030"
"12","Medtr0055s0050"
"13","Medtr0060s0100"
"14","Medtr0064s0160"
"15","Medtr0082s0180"
"16","Medtr0082s0250"
"17","Medtr0092s0060"
"18","Medtr0101s0020"
"19","Medtr0110s0010"
"20","Medtr0127s0040"
"21","Medtr0133s0030"
"22","Medtr0135s0080"
"23","Medtr0187s0030"
"24","Medtr0204s0040"
"25","Medtr0212s0050"
"26","Medtr0221s0060"
"27","Medtr0248s0030"
"28","Medtr0251s0050"
"29","Medtr0267s0070"
"30","Medtr0273s0030"
"31","Medtr0283s0050"
"32","Medtr0321s0030"
"33","Medtr0368s0040"
"34","Medtr0419s0040"
"35","Medtr0459s0020"
"36","Medtr0570s0040"
"37","Medtr0608s0010"
"38","Medtr0955s0020"
"39","Medtr0989s0020"
"40","Medtr1194s0010"
"41","Medtr1g007620"
"42","Medtr1g007840"
"43","Medtr1g012020"
"44","Medtr1g012740"
"45","Medtr1g012820"
"46","Medtr1g014240"
"47","Medtr1g014320"
"48","Medtr1g015140"
"49","Medtr1g016000"
"50","Medtr1g016290"
"51","Medtr1g016310"
"52","Medtr1g016540"
"53","Medtr1g016840"
"54","Medtr1g016890"
"55","Medtr1g017020"
"56","Medtr1g017840"
"57","Medtr1g017990"
"58","Medtr1g018580"
"59","Medtr1g019550"
"60","Medtr1g020060"
"61","Medtr1g021070"
"62","Medtr1g021110"
"63","Medtr1g021730"
"64","Medtr1g021820"
"65","Medtr1g022200"
"66","Medtr1g023210"
"67","Medtr1g023230"
"68","Medtr1g023730"
"69","Medtr1g023870"
"70","Medtr1g025250"
"71","Medtr1g025910"
"72","Medtr1g026075"
"73","Medtr1g026340"
"74","Medtr1g027520"
"75","Medtr1g029330"
"76","Medtr1g029420"
"77","Medtr1g030410"
"78","Medtr1g032010"
"79","Medtr1g032040"
"80","Medtr1g032740"
"81","Medtr1g033450"
"82","Medtr1g033590"
"83","Medtr1g036280"
"84","Medtr1g037470"
"85","Medtr1g037550"
"86","Medtr1g040915"
"87","Medtr1g041275"
"88","Medtr1g041595"
"89","Medtr1g043220"
"90","Medtr1g043400"
"91","Medtr1g044020"
"92","Medtr1g044135"
"93","Medtr1g047400"
"94","Medtr1g047640"
"95","Medtr1g050130"
"96","Medtr1g050670"
"97","Medtr1g050925"
"98","Medtr1g051185"
"99","Medtr1g051760"
"100","Medtr1g054070"
"101","Medtr1g054210"
"102","Medtr1g057790"
"103","Medtr1g060040"
"104","Medtr1g062690"
"105","Medtr1g062750"
"106","Medtr1g063100"
"107","Medtr1g064005"
"108","Medtr1g064390"
"109","Medtr1g066710"
"110","Medtr1g067190"
"111","Medtr1g067350"
"112","Medtr1g067400"
"113","Medtr1g067460"
"114","Medtr1g067550"
"115","Medtr1g067690"
"116","Medtr1g068945"
"117","Medtr1g069790"
"118","Medtr1g069805"
"119","Medtr1g073420"
"120","Medtr1g073480"
"121","Medtr1g074370"
"122","Medtr1g075200"
"123","Medtr1g075440"
"124","Medtr1g075650"
"125","Medtr1g078050"
"126","Medtr1g078490"
"127","Medtr1g080370"
"128","Medtr1g080620"
"129","Medtr1g081780"
"130","Medtr1g081790"
"131","Medtr1g081900"
"132","Medtr1g083350"
"133","Medtr1g085180"
"134","Medtr1g085600"
"135","Medtr1g088020"
"136","Medtr1g088910"
"137","Medtr1g088945"
"138","Medtr1g089570"
"139","Medtr1g090663"
"140","Medtr1g090697"
"141","Medtr1g090717"
"142","Medtr1g092420"
"143","Medtr1g093170"
"144","Medtr1g094830"
"145","Medtr1g094890"
"146","Medtr1g095850"
"147","Medtr1g096260"
"148","Medtr1g096430"
"149","Medtr1g098860"
"150","Medtr1g100623"
"151","Medtr1g100773"
"152","Medtr1g102740"
"153","Medtr1g103150"
"154","Medtr1g103290"
"155","Medtr1g103760"
"156","Medtr1g104590"
"157","Medtr1g105010"
"158","Medtr1g105640"
"159","Medtr1g105655"
"160","Medtr1g105715"
"161","Medtr1g105960"
"162","Medtr1g106000"
"163","Medtr1g106065"
"164","Medtr1g106785"
"165","Medtr1g107360"
"166","Medtr1g108270"
"167","Medtr1g108305"
"168","Medtr1g108780"
"169","Medtr1g109410"
"170","Medtr1g109620"
"171","Medtr1g110190"
"172","Medtr1g110550"
"173","Medtr1g111310"
"174","Medtr1g111540"
"175","Medtr1g111580"
"176","Medtr1g111870"
"177","Medtr1g112010"
"178","Medtr1g112160"
"179","Medtr1g113050"
"180","Medtr1g114570"
"181","Medtr1g115340"
"182","Medtr1g115400"
"183","Medtr1g117090"
"184","Medtr1g475250"
"185","Medtr1g492630"
"186","Medtr1g492640"
"187","Medtr1g492750"
"188","Medtr2g006910"
"189","Medtr2g008030"
"190","Medtr2g008290"
"191","Medtr2g008330"
"192","Medtr2g009070"
"193","Medtr2g009290"
"194","Medtr2g010730"
"195","Medtr2g012900"
"196","Medtr2g013535"
"197","Medtr2g014235"
"198","Medtr2g014840"
"199","Medtr2g015260"
"200","Medtr2g015530"
"201","Medtr2g015560"
"202","Medtr2g016590"
"203","Medtr2g016640"
"204","Medtr2g016760"
"205","Medtr2g017450"
"206","Medtr2g017630"
"207","Medtr2g017730"
"208","Medtr2g019780"
"209","Medtr2g020000"
"210","Medtr2g020660"
"211","Medtr2g020720"
"212","Medtr2g021248"
"213","Medtr2g021340"
"214","Medtr2g021480"
"215","Medtr2g021540"
"216","Medtr2g021800"
"217","Medtr2g021820"
"218","Medtr2g022080"
"219","Medtr2g022160"
"220","Medtr2g022240"
"221","Medtr2g022700"
"222","Medtr2g024140"
"223","Medtr2g025130"
"224","Medtr2g025520"
"225","Medtr2g026565"
"226","Medtr2g028030"
"227","Medtr2g028600"
"228","Medtr2g030430"
"229","Medtr2g032690"
"230","Medtr2g032870"
"231","Medtr2g033050"
"232","Medtr2g033080"
"233","Medtr2g034350"
"234","Medtr2g034470"
"235","Medtr2g035210"
"236","Medtr2g035840"
"237","Medtr2g036380"
"238","Medtr2g036820"
"239","Medtr2g038905"
"240","Medtr2g039320"
"241","Medtr2g039950"
