"","x"
"1","Medtr0002s0270"
"2","Medtr0002s1060"
"3","Medtr0002s1250"
"4","Medtr0004s0250"
"5","Medtr0005s0220"
"6","Medtr0006s0080"
"7","Medtr0014s0310"
"8","Medtr0014s0440"
"9","Medtr0082s0160"
"10","Medtr0082s0290"
"11","Medtr0109s0050"
"12","Medtr0137s0010"
"13","Medtr0147s0050"
"14","Medtr0150s0010"
"15","Medtr0173s0030"
"16","Medtr0294s0020"
"17","Medtr0361s0010"
"18","Medtr0428s0020"
"19","Medtr0428s0030"
"20","Medtr0459s0020"
"21","Medtr0598s0020"
"22","Medtr0881s0020"
"23","Medtr1091s0010"
"24","Medtr1113s0010"
"25","Medtr1457s0010"
"26","Medtr1g008170"
"27","Medtr1g009270"
"28","Medtr1g009613"
"29","Medtr1g014320"
"30","Medtr1g014720"
"31","Medtr1g015110"
"32","Medtr1g015990"
"33","Medtr1g016110"
"34","Medtr1g016750"
"35","Medtr1g017380"
"36","Medtr1g018930"
"37","Medtr1g019050"
"38","Medtr1g019545"
"39","Medtr1g019970"
"40","Medtr1g021230"
"41","Medtr1g021250"
"42","Medtr1g021350"
"43","Medtr1g021825"
"44","Medtr1g022075"
"45","Medtr1g022080"
"46","Medtr1g023180"
"47","Medtr1g024820"
"48","Medtr1g024830"
"49","Medtr1g025420"
"50","Medtr1g026560"
"51","Medtr1g027070"
"52","Medtr1g027180"
"53","Medtr1g027410"
"54","Medtr1g028280"
"55","Medtr1g028290"
"56","Medtr1g028360"
"57","Medtr1g028390"
"58","Medtr1g032720"
"59","Medtr1g033630"
"60","Medtr1g036510"
"61","Medtr1g038560"
"62","Medtr1g039030"
"63","Medtr1g041310"
"64","Medtr1g041555"
"65","Medtr1g043220"
"66","Medtr1g044130"
"67","Medtr1g046690"
"68","Medtr1g047370"
"69","Medtr1g049180"
"70","Medtr1g050542"
"71","Medtr1g051540"
"72","Medtr1g051825"
"73","Medtr1g052680"
"74","Medtr1g055250"
"75","Medtr1g055270"
"76","Medtr1g055295"
"77","Medtr1g056870"
"78","Medtr1g059270"
"79","Medtr1g059790"
"80","Medtr1g063240"
"81","Medtr1g066400"
"82","Medtr1g066750"
"83","Medtr1g066770"
"84","Medtr1g067380"
"85","Medtr1g068630"
"86","Medtr1g068875"
"87","Medtr1g068930"
