"","x"
"1","Medtr0197s0010"
"2","Medtr1g040500"
"3","Medtr1g050130"
"4","Medtr1g055165"
"5","Medtr1g062690"
"6","Medtr1g068945"
"7","Medtr1g079540"
"8","Medtr1g085600"
"9","Medtr1g094890"
"10","Medtr1g106000"
"11","Medtr2g009290"
"12","Medtr2g016590"
"13","Medtr2g028030"
"14","Medtr2g032870"
"15","Medtr2g062360"
"16","Medtr2g081350"
"17","Medtr2g435930"
"18","Medtr2g451420"
"19","Medtr3g006390"
"20","Medtr3g022600"
"21","Medtr3g058670"
"22","Medtr3g102450"
"23","Medtr3g110048"
"24","Medtr3g113850"
"25","Medtr3g435210"
"26","Medtr3g436100"
"27","Medtr3g462110"
"28","Medtr4g006320"
"29","Medtr4g036505"
"30","Medtr4g076570"
"31","Medtr4g078730"
"32","Medtr4g079600"
"33","Medtr4g105770"
"34","Medtr4g116380"
"35","Medtr4g117740"
"36","Medtr4g127570"
"37","Medtr5g011880"
"38","Medtr5g036290"
"39","Medtr5g036455"
"40","Medtr5g053935"
"41","Medtr5g055920"
"42","Medtr6g025055"
"43","Medtr6g074500"
"44","Medtr6g078410"
"45","Medtr6g079000"
"46","Medtr6g470950"
"47","Medtr7g011350"
"48","Medtr7g065690"
"49","Medtr7g113980"
"50","Medtr8g074750"
"51","Medtr8g102820"
"52","Medtr8g102910"
"53","Medtr8g103520"
