"","x"
"1","Medtr0002s1270"
"2","Medtr0003s0350"
"3","Medtr0006s0140"
"4","Medtr0007s0020"
"5","Medtr0018s0170"
"6","Medtr0022s0200"
"7","Medtr0047s0140"
"8","Medtr0064s0050"
"9","Medtr0067s0010"
"10","Medtr0082s0130"
"11","Medtr0084s0030"
"12","Medtr0086s0070"
"13","Medtr0160s0030"
"14","Medtr0223s0040"
"15","Medtr0286s0040"
"16","Medtr0381s0030"
"17","Medtr0443s0040"
"18","Medtr0468s0010"
"19","Medtr0491s0030"
"20","Medtr0685s0020"
"21","Medtr0891s0010"
"22","Medtr1g009310"
"23","Medtr1g009570"
"24","Medtr1g013280"
"25","Medtr1g013630"
"26","Medtr1g015073"
"27","Medtr1g015350"
"28","Medtr1g015520"
"29","Medtr1g015730"
"30","Medtr1g016830"
"31","Medtr1g019530"
"32","Medtr1g021845"
"33","Medtr1g026760"
"34","Medtr1g027820"
"35","Medtr1g027950"
"36","Medtr1g030660"
"37","Medtr1g031210"
"38","Medtr1g037700"
"39","Medtr1g041225"
"40","Medtr1g043400"
"41","Medtr1g046340"
"42","Medtr1g051110"
"43","Medtr1g051210"
"44","Medtr1g052880"
"45","Medtr1g054045"
"46","Medtr1g054185"
"47","Medtr1g055145"
"48","Medtr1g056370"
"49","Medtr1g060460"
"50","Medtr1g063960"
"51","Medtr1g066400"
"52","Medtr1g066930"
"53","Medtr1g069085"
"54","Medtr1g069675"
"55","Medtr1g070070"
"56","Medtr1g073350"
"57","Medtr1g073630"
"58","Medtr1g075690"
"59","Medtr1g077860"
"60","Medtr1g078410"
"61","Medtr1g083470"
"62","Medtr1g083490"
"63","Medtr1g085320"
"64","Medtr1g088920"
"65","Medtr1g089920"
"66","Medtr1g090370"
"67","Medtr1g092680"
"68","Medtr1g093960"
"69","Medtr1g093980"
"70","Medtr1g096600"
"71","Medtr1g097290"
"72","Medtr1g101500"
"73","Medtr1g102600"
"74","Medtr1g103190"
"75","Medtr1g103510"
"76","Medtr1g104690"
"77","Medtr1g105530"
"78","Medtr1g105910"
"79","Medtr1g106045"
"80","Medtr1g106608"
"81","Medtr1g107395"
"82","Medtr1g107410"
"83","Medtr1g109600"
"84","Medtr1g109650"
"85","Medtr1g111630"
"86","Medtr1g112720"
"87","Medtr1g115170"
"88","Medtr1g115250"
"89","Medtr1g115485"
"90","Medtr1g115890"
"91","Medtr1g115940"
"92","Medtr2g012460"
"93","Medtr2g016210"
"94","Medtr2g017440"
"95","Medtr2g018380"
"96","Medtr2g019610"
"97","Medtr2g019720"
"98","Medtr2g020450"
"99","Medtr2g022280"
"100","Medtr2g025440"
"101","Medtr2g027670"
"102","Medtr2g029210"
"103","Medtr2g038430"
"104","Medtr2g039300"
"105","Medtr2g039920"
"106","Medtr2g040650"
"107","Medtr2g040910"
"108","Medtr2g045090"
"109","Medtr2g048195"
"110","Medtr2g054750"
"111","Medtr2g063863"
"112","Medtr2g072640"
"113","Medtr2g075235"
"114","Medtr2g075680"
"115","Medtr2g076690"
"116","Medtr2g084675"
"117","Medtr2g089650"
"118","Medtr2g090425"
"119","Medtr2g090480"
"120","Medtr2g090795"
"121","Medtr2g090820"
"122","Medtr2g090890"
"123","Medtr2g097530"
"124","Medtr2g099030"
"125","Medtr2g101910"
"126","Medtr2g101970"
"127","Medtr2g102090"
"128","Medtr2g102480"
"129","Medtr2g103700"
"130","Medtr2g103773"
"131","Medtr2g104475"
"132","Medtr2g426020"
"133","Medtr2g437280"
"134","Medtr2g461230"
"135","Medtr3g005045"
"136","Medtr3g007970"
"137","Medtr3g009490"
"138","Medtr3g010390"
"139","Medtr3g011370"
"140","Medtr3g013660"
"141","Medtr3g014290"
"142","Medtr3g014360"
"143","Medtr3g015870"
"144","Medtr3g015873"
"145","Medtr3g020800"
"146","Medtr3g022140"
"147","Medtr3g025425"
"148","Medtr3g029720"
"149","Medtr3g031070"
"150","Medtr3g031400"
"151","Medtr3g036335"
"152","Medtr3g048740"
"153","Medtr3g049795"
"154","Medtr3g053710"
"155","Medtr3g053790"
"156","Medtr3g054170"
"157","Medtr3g055390"
"158","Medtr3g055420"
"159","Medtr3g058480"
"160","Medtr3g060240"
"161","Medtr3g061170"
"162","Medtr3g065200"
"163","Medtr3g067535"
"164","Medtr3g067875"
"165","Medtr3g069000"
"166","Medtr3g069800"
"167","Medtr3g077600"
"168","Medtr3g079560"
"169","Medtr3g079610"
"170","Medtr3g081390"
"171","Medtr3g084160"
"172","Medtr3g085705"
"173","Medtr3g086240"
"174","Medtr3g089005"
