"","x"
"1","Medtr0001s0010"
"2","Medtr0001s0070"
"3","Medtr0001s0100"
"4","Medtr0001s0190"
"5","Medtr0001s0200"
"6","Medtr0001s0260"
"7","Medtr0001s0380"
"8","Medtr0001s0480"
"9","Medtr0001s0500"
"10","Medtr0001s0510"
"11","Medtr0001s0580"
"12","Medtr0001s0700"
"13","Medtr0002s0030"
"14","Medtr0002s0040"
"15","Medtr0002s0050"
"16","Medtr0002s0070"
"17","Medtr0002s0100"
"18","Medtr0002s0110"
"19","Medtr0002s0120"
"20","Medtr0002s0140"
"21","Medtr0002s0150"
"22","Medtr0002s0160"
"23","Medtr0002s0170"
"24","Medtr0002s0180"
"25","Medtr0002s0200"
"26","Medtr0002s0210"
"27","Medtr0002s0250"
"28","Medtr0002s0260"
"29","Medtr0002s0280"
"30","Medtr0002s0300"
"31","Medtr0002s0310"
"32","Medtr0002s0330"
"33","Medtr0002s0350"
"34","Medtr0002s0360"
"35","Medtr0002s0380"
"36","Medtr0002s0390"
"37","Medtr0002s0420"
"38","Medtr0002s0440"
"39","Medtr0002s0510"
"40","Medtr0002s0530"
"41","Medtr0002s0540"
"42","Medtr0002s0550"
"43","Medtr0002s0580"
"44","Medtr0002s0590"
"45","Medtr0002s0630"
"46","Medtr0002s0650"
"47","Medtr0002s0660"
"48","Medtr0002s0670"
"49","Medtr0002s0680"
"50","Medtr0002s0690"
"51","Medtr0002s0700"
"52","Medtr0002s0730"
"53","Medtr0002s0740"
"54","Medtr0002s0750"
"55","Medtr0002s0760"
"56","Medtr0002s0770"
"57","Medtr0002s0780"
"58","Medtr0002s0790"
"59","Medtr0002s0800"
"60","Medtr0002s0860"
"61","Medtr0002s0870"
"62","Medtr0002s0880"
"63","Medtr0002s0960"
"64","Medtr0002s0990"
"65","Medtr0002s1180"
"66","Medtr0002s1220"
"67","Medtr0002s1240"
"68","Medtr0002s1260"
"69","Medtr0002s1280"
"70","Medtr0003s0010"
"71","Medtr0003s0070"
"72","Medtr0003s0080"
"73","Medtr0003s0130"
"74","Medtr0003s0160"
"75","Medtr0003s0180"
"76","Medtr0003s0190"
"77","Medtr0003s0210"
"78","Medtr0003s0250"
"79","Medtr0003s0260"
"80","Medtr0003s0280"
"81","Medtr0003s0290"
"82","Medtr0003s0350"
"83","Medtr0003s0390"
"84","Medtr0003s0410"
"85","Medtr0003s0430"
"86","Medtr0003s0460"
"87","Medtr0003s0530"
"88","Medtr0003s0650"
"89","Medtr0004s0190"
"90","Medtr0004s0260"
"91","Medtr0004s0300"
"92","Medtr0004s0350"
"93","Medtr0004s0360"
"94","Medtr0004s0450"
"95","Medtr0004s0530"
"96","Medtr0005s0070"
"97","Medtr0005s0140"
"98","Medtr0005s0150"
"99","Medtr0005s0240"
"100","Medtr0005s0250"
"101","Medtr0005s0260"
"102","Medtr0006s0020"
"103","Medtr0006s0180"
"104","Medtr0006s0210"
"105","Medtr0006s0260"
"106","Medtr0006s0290"
"107","Medtr0007s0010"
"108","Medtr0007s0020"
"109","Medtr0007s0030"
"110","Medtr0007s0040"
"111","Medtr0007s0070"
"112","Medtr0007s0150"
"113","Medtr0007s0160"
"114","Medtr0007s0250"
"115","Medtr0007s0290"
"116","Medtr0007s0310"
"117","Medtr0007s0320"
"118","Medtr0007s0410"
"119","Medtr0007s0440"
"120","Medtr0007s0450"
"121","Medtr0007s0480"
"122","Medtr0007s0520"
"123","Medtr0008s0030"
"124","Medtr0008s0060"
"125","Medtr0008s0110"
"126","Medtr0008s0120"
"127","Medtr0008s0130"
"128","Medtr0008s0160"
"129","Medtr0008s0170"
"130","Medtr0008s0180"
"131","Medtr0008s0210"
"132","Medtr0008s0230"
"133","Medtr0008s0310"
"134","Medtr0008s0340"
"135","Medtr0008s0430"
"136","Medtr0008s0460"
"137","Medtr0009s0040"
"138","Medtr0009s0150"
"139","Medtr0009s0270"
"140","Medtr0009s0290"
"141","Medtr0009s0340"
"142","Medtr0009s0350"
"143","Medtr0009s0490"
"144","Medtr0010s0110"
"145","Medtr0010s0130"
"146","Medtr0010s0190"
"147","Medtr0010s0200"
"148","Medtr0010s0270"
"149","Medtr0010s0290"
"150","Medtr0010s0310"
"151","Medtr0010s0320"
"152","Medtr0010s0350"
"153","Medtr0010s0360"
"154","Medtr0010s0370"
"155","Medtr0011s0100"
"156","Medtr0011s0210"
"157","Medtr0011s0270"
"158","Medtr0012s0070"
"159","Medtr0012s0140"
"160","Medtr0012s0160"
"161","Medtr0012s0170"
"162","Medtr0012s0220"
"163","Medtr0012s0240"
"164","Medtr0012s0280"
"165","Medtr0013s0060"
"166","Medtr0013s0070"
"167","Medtr0013s0080"
"168","Medtr0013s0130"
"169","Medtr0013s0190"
"170","Medtr0013s0270"
"171","Medtr0013s0290"
"172","Medtr0013s0330"
"173","Medtr0013s0400"
"174","Medtr0014s0010"
"175","Medtr0014s0110"
"176","Medtr0014s0120"
"177","Medtr0014s0140"
"178","Medtr0014s0150"
"179","Medtr0014s0220"
"180","Medtr0014s0350"
"181","Medtr0014s0390"
"182","Medtr0014s0410"
"183","Medtr0014s0420"
"184","Medtr0014s0490"
"185","Medtr0015s0020"
"186","Medtr0015s0100"
"187","Medtr0015s0120"
"188","Medtr0015s0160"
"189","Medtr0015s0170"
"190","Medtr0015s0230"
"191","Medtr0016s0010"
"192","Medtr0016s0150"
"193","Medtr0017s0080"
"194","Medtr0017s0090"
"195","Medtr0017s0160"
"196","Medtr0017s0190"
"197","Medtr0017s0230"
"198","Medtr0017s0240"
"199","Medtr0017s0270"
"200","Medtr0017s0290"
"201","Medtr0018s0050"
"202","Medtr0018s0300"
"203","Medtr0019s0040"
"204","Medtr0019s0060"
"205","Medtr0019s0080"
"206","Medtr0019s0110"
"207","Medtr0019s0130"
"208","Medtr0019s0150"
"209","Medtr0019s0170"
"210","Medtr0019s0270"
"211","Medtr0019s0290"
"212","Medtr0019s0330"
"213","Medtr0019s0340"
"214","Medtr0020s0050"
"215","Medtr0020s0100"
"216","Medtr0020s0150"
"217","Medtr0020s0170"
"218","Medtr0021s0190"
"219","Medtr0021s0200"
"220","Medtr0021s0240"
"221","Medtr0021s0250"
"222","Medtr0021s0270"
"223","Medtr0021s0280"
"224","Medtr0021s0380"
"225","Medtr0022s0020"
"226","Medtr0022s0330"
"227","Medtr0022s0370"
"228","Medtr0022s0450"
"229","Medtr0022s0460"
"230","Medtr0022s0480"
"231","Medtr0023s0130"
"232","Medtr0023s0160"
"233","Medtr0023s0210"
"234","Medtr0023s0240"
"235","Medtr0023s0260"
"236","Medtr0023s0280"
"237","Medtr0023s0340"
"238","Medtr0023s0370"
"239","Medtr0024s0040"
"240","Medtr0024s0090"
"241","Medtr0024s0100"
"242","Medtr0024s0130"
"243","Medtr0024s0140"
"244","Medtr0024s0150"
"245","Medtr0024s0160"
"246","Medtr0024s0170"
"247","Medtr0024s0180"
"248","Medtr0024s0190"
"249","Medtr0024s0250"
"250","Medtr0024s0300"
"251","Medtr0024s0340"
"252","Medtr0025s0030"
"253","Medtr0025s0050"
"254","Medtr0026s0190"
"255","Medtr0026s0220"
"256","Medtr0026s0230"
"257","Medtr0027s0030"
"258","Medtr0027s0040"
"259","Medtr0027s0100"
"260","Medtr0027s0120"
"261","Medtr0027s0130"
"262","Medtr0027s0140"
"263","Medtr0027s0260"
"264","Medtr0028s0020"
"265","Medtr0028s0030"
"266","Medtr0028s0170"
"267","Medtr0028s0180"
"268","Medtr0028s0210"
"269","Medtr0028s0230"
"270","Medtr0028s0240"
"271","Medtr0028s0290"
"272","Medtr0028s0320"
"273","Medtr0029s0020"
"274","Medtr0029s0040"
"275","Medtr0029s0050"
"276","Medtr0029s0090"
"277","Medtr0029s0100"
"278","Medtr0029s0120"
"279","Medtr0029s0130"
"280","Medtr0029s0140"
"281","Medtr0029s0160"
"282","Medtr0029s0180"
"283","Medtr0029s0220"
"284","Medtr0029s0230"
"285","Medtr0030s0030"
"286","Medtr0030s0040"
"287","Medtr0030s0050"
"288","Medtr0030s0060"
"289","Medtr0030s0070"
"290","Medtr0030s0080"
"291","Medtr0030s0090"
"292","Medtr0030s0110"
"293","Medtr0030s0120"
"294","Medtr0030s0130"
"295","Medtr0030s0140"
"296","Medtr0030s0150"
"297","Medtr0030s0160"
"298","Medtr0030s0170"
"299","Medtr0030s0190"
"300","Medtr0030s0200"
"301","Medtr0030s0260"
"302","Medtr0030s0270"
"303","Medtr0030s0280"
"304","Medtr0030s0290"
"305","Medtr0030s0310"
"306","Medtr0030s0320"
"307","Medtr0030s0330"
"308","Medtr0030s0340"
"309","Medtr0030s0360"
"310","Medtr0030s0370"
"311","Medtr0030s0380"
"312","Medtr0030s0390"
"313","Medtr0030s0400"
"314","Medtr0030s0420"
"315","Medtr0030s0430"
"316","Medtr0031s0030"
"317","Medtr0031s0050"
"318","Medtr0031s0120"
"319","Medtr0031s0140"
"320","Medtr0032s0020"
"321","Medtr0032s0090"
"322","Medtr0032s0100"
"323","Medtr0032s0120"
"324","Medtr0032s0170"
"325","Medtr0032s0190"
"326","Medtr0032s0260"
"327","Medtr0034s0100"
"328","Medtr0034s0110"
"329","Medtr0034s0120"
"330","Medtr0034s0130"
"331","Medtr0035s0050"
"332","Medtr0035s0070"
"333","Medtr0035s0100"
"334","Medtr0036s0020"
"335","Medtr0036s0090"
"336","Medtr0036s0110"
"337","Medtr0036s0130"
"338","Medtr0036s0160"
"339","Medtr0036s0310"
"340","Medtr0037s0010"
"341","Medtr0037s0020"
"342","Medtr0037s0030"
"343","Medtr0037s0160"
"344","Medtr0038s0010"
"345","Medtr0038s0030"
"346","Medtr0038s0040"
"347","Medtr0038s0050"
"348","Medtr0038s0070"
"349","Medtr0038s0110"
"350","Medtr0039s0040"
"351","Medtr0039s0050"
"352","Medtr0039s0060"
"353","Medtr0039s0090"
"354","Medtr0039s0180"
"355","Medtr0040s0030"
"356","Medtr0040s0040"
"357","Medtr0040s0060"
"358","Medtr0040s0150"
"359","Medtr0041s0050"
"360","Medtr0041s0060"
"361","Medtr0041s0080"
"362","Medtr0041s0110"
"363","Medtr0041s0120"
"364","Medtr0042s0040"
"365","Medtr0042s0070"
"366","Medtr0042s0100"
"367","Medtr0042s0120"
"368","Medtr0043s0030"
"369","Medtr0043s0040"
"370","Medtr0043s0050"
"371","Medtr0043s0060"
"372","Medtr0043s0140"
"373","Medtr0044s0040"
"374","Medtr0044s0050"
"375","Medtr0044s0090"
"376","Medtr0044s0120"
"377","Medtr0044s0130"
"378","Medtr0044s0150"
"379","Medtr0044s0160"
"380","Medtr0044s0190"
"381","Medtr0044s0250"
"382","Medtr0044s0290"
"383","Medtr0044s0300"
"384","Medtr0044s0310"
"385","Medtr0045s0010"
"386","Medtr0045s0060"
"387","Medtr0045s0100"
"388","Medtr0045s0120"
"389","Medtr0045s0160"
"390","Medtr0046s0040"
"391","Medtr0046s0060"
"392","Medtr0046s0080"
"393","Medtr0046s0090"
