"","x"
"1","Medtr0001s0490"
"2","Medtr0001s0660"
"3","Medtr0002s1250"
"4","Medtr0003s0170"
"5","Medtr0003s0480"
"6","Medtr0003s0590"
"7","Medtr0004s0220"
"8","Medtr0004s0230"
"9","Medtr0004s0480"
"10","Medtr0004s0490"
"11","Medtr0004s0510"
"12","Medtr0007s0060"
"13","Medtr0009s0020"
"14","Medtr0009s0330"
"15","Medtr0009s0390"
"16","Medtr0009s0410"
"17","Medtr0010s0210"
"18","Medtr0010s0220"
"19","Medtr0010s0400"
"20","Medtr0011s0300"
"21","Medtr0011s0330"
"22","Medtr0012s0090"
"23","Medtr0012s0100"
"24","Medtr0012s0110"
"25","Medtr0013s0100"
"26","Medtr0013s0120"
"27","Medtr0014s0210"
"28","Medtr0015s0110"
"29","Medtr0017s0100"
"30","Medtr0018s0260"
"31","Medtr0018s0290"
"32","Medtr0019s0160"
"33","Medtr0019s0180"
"34","Medtr0021s0140"
"35","Medtr0022s0300"
"36","Medtr0024s0020"
"37","Medtr0024s0060"
"38","Medtr0024s0220"
"39","Medtr0024s0240"
"40","Medtr0024s0330"
"41","Medtr0026s0010"
"42","Medtr0026s0160"
"43","Medtr0027s0200"
"44","Medtr0027s0220"
"45","Medtr0027s0250"
"46","Medtr0031s0060"
"47","Medtr0034s0060"
"48","Medtr0034s0190"
"49","Medtr0036s0040"
"50","Medtr0036s0210"
"51","Medtr0037s0060"
"52","Medtr0037s0250"
"53","Medtr0041s0030"
"54","Medtr0044s0180"
"55","Medtr0045s0110"
"56","Medtr0047s0040"
"57","Medtr0048s0220"
"58","Medtr0050s0160"
"59","Medtr0051s0090"
"60","Medtr0054s0090"
"61","Medtr0054s0140"
"62","Medtr0059s0170"
"63","Medtr0065s0100"
"64","Medtr0068s0080"
"65","Medtr0069s0020"
"66","Medtr0071s0100"
"67","Medtr0072s0040"
"68","Medtr0072s0050"
"69","Medtr0076s0010"
"70","Medtr0076s0020"
"71","Medtr0082s0290"
"72","Medtr0085s0010"
"73","Medtr0085s0020"
"74","Medtr0086s0060"
"75","Medtr0091s0080"
"76","Medtr0092s0100"
"77","Medtr0097s0060"
"78","Medtr0100s0170"
"79","Medtr0110s0050"
"80","Medtr0121s0010"
"81","Medtr0129s0050"
"82","Medtr0135s0080"
"83","Medtr0136s0060"
"84","Medtr0140s0050"
"85","Medtr0141s0020"
"86","Medtr0147s0070"
"87","Medtr0147s0080"
"88","Medtr0150s0010"
"89","Medtr0154s0010"
"90","Medtr0157s0070"
"91","Medtr0167s0060"
"92","Medtr0168s0100"
"93","Medtr0172s0010"
"94","Medtr0172s0050"
"95","Medtr0176s0050"
"96","Medtr0177s0060"
"97","Medtr0177s0070"
"98","Medtr0186s0030"
"99","Medtr0189s0010"
"100","Medtr0189s0050"
"101","Medtr0191s0020"
"102","Medtr0194s0040"
"103","Medtr0196s0020"
"104","Medtr0197s0070"
"105","Medtr0197s0100"
"106","Medtr0198s0030"
"107","Medtr0199s0040"
"108","Medtr0204s0010"
"109","Medtr0212s0080"
"110","Medtr0219s0020"
"111","Medtr0223s0010"
"112","Medtr0227s0010"
"113","Medtr0227s0020"
