"","x"
"1","Medtr0003s0690"
"2","Medtr0004s0440"
"3","Medtr0006s0160"
"4","Medtr0007s0140"
"5","Medtr0007s0390"
"6","Medtr0010s0050"
"7","Medtr0015s0030"
"8","Medtr0015s0060"
"9","Medtr0015s0090"
"10","Medtr0016s0170"
"11","Medtr0018s0220"
"12","Medtr0018s0310"
"13","Medtr0019s0120"
"14","Medtr0019s0210"
"15","Medtr0021s0120"
"16","Medtr0021s0160"
"17","Medtr0022s0360"
"18","Medtr0041s0130"
"19","Medtr0042s0130"
"20","Medtr0045s0060"
"21","Medtr0055s0140"
"22","Medtr0056s0160"
"23","Medtr0062s0020"
"24","Medtr0069s0080"
"25","Medtr0070s0020"
"26","Medtr0078s0190"
"27","Medtr0082s0090"
"28","Medtr0087s0050"
"29","Medtr0087s0070"
"30","Medtr0094s0110"
"31","Medtr0126s0080"
"32","Medtr0137s0040"
"33","Medtr0137s0060"
"34","Medtr0137s0070"
"35","Medtr0171s0010"
"36","Medtr0180s0080"
"37","Medtr0181s0060"
"38","Medtr0184s0010"
"39","Medtr0193s0090"
"40","Medtr0199s0020"
"41","Medtr0212s0070"
"42","Medtr0219s0050"
"43","Medtr0237s0070"
"44","Medtr0251s0050"
"45","Medtr0277s0020"
"46","Medtr0280s0040"
"47","Medtr0294s0020"
"48","Medtr0318s0020"
"49","Medtr0334s0010"
"50","Medtr0349s0040"
"51","Medtr0350s0010"
"52","Medtr0390s0010"
"53","Medtr0391s0020"
"54","Medtr0400s0010"
"55","Medtr0406s0030"
"56","Medtr0415s0020"
"57","Medtr0419s0040"
"58","Medtr0419s0050"
"59","Medtr0428s0030"
"60","Medtr0474s0020"
"61","Medtr0531s0020"
"62","Medtr0542s0020"
"63","Medtr0602s0010"
"64","Medtr0654s0010"
"65","Medtr0685s0030"
"66","Medtr0874s0020"
"67","Medtr1064s0010"
"68","Medtr1099s0010"
"69","Medtr1457s0010"
"70","Medtr1g007190"
"71","Medtr1g007810"
"72","Medtr1g007990"
"73","Medtr1g011320"
"74","Medtr1g012410"
"75","Medtr1g012510"
"76","Medtr1g013150"
"77","Medtr1g013670"
"78","Medtr1g015140"
"79","Medtr1g015960"
"80","Medtr1g015980"
"81","Medtr1g015990"
"82","Medtr1g017000"
"83","Medtr1g017500"
"84","Medtr1g017530"
"85","Medtr1g017570"
"86","Medtr1g018130"
"87","Medtr1g018610"
"88","Medtr1g018930"
"89","Medtr1g019030"
"90","Medtr1g019130"
"91","Medtr1g019670"
"92","Medtr1g019750"
"93","Medtr1g019940"
"94","Medtr1g021230"
"95","Medtr1g021610"
"96","Medtr1g021632"
"97","Medtr1g021635"
"98","Medtr1g021642"
"99","Medtr1g021875"
"100","Medtr1g022245"
"101","Medtr1g022250"
"102","Medtr1g022500"
"103","Medtr1g024145"
"104","Medtr1g024175"
"105","Medtr1g025200"
"106","Medtr1g025340"
"107","Medtr1g026140"
"108","Medtr1g026370"
"109","Medtr1g026940"
"110","Medtr1g026950"
"111","Medtr1g027030"
"112","Medtr1g027040"
"113","Medtr1g027050"
"114","Medtr1g027060"
"115","Medtr1g027070"
"116","Medtr1g027140"
"117","Medtr1g027150"
"118","Medtr1g027180"
"119","Medtr1g027250"
"120","Medtr1g027290"
"121","Medtr1g027460"
"122","Medtr1g027600"
"123","Medtr1g027660"
"124","Medtr1g027850"
"125","Medtr1g027880"
"126","Medtr1g027970"
"127","Medtr1g028070"
"128","Medtr1g028090"
"129","Medtr1g028100"
"130","Medtr1g028960"
"131","Medtr1g029190"
"132","Medtr1g029280"
"133","Medtr1g029440"
"134","Medtr1g029540"
"135","Medtr1g029720"
"136","Medtr1g030220"
"137","Medtr1g030262"
"138","Medtr1g030770"
"139","Medtr1g031320"
"140","Medtr1g032140"
"141","Medtr1g032740"
"142","Medtr1g033230"
"143","Medtr1g033610"
"144","Medtr1g033700"
"145","Medtr1g033850"
"146","Medtr1g033950"
"147","Medtr1g035690"
"148","Medtr1g036460"
"149","Medtr1g036490"
"150","Medtr1g036510"
"151","Medtr1g037520"
"152","Medtr1g037550"
"153","Medtr1g037730"
"154","Medtr1g040525"
"155","Medtr1g041475"
"156","Medtr1g041565"
"157","Medtr1g041595"
"158","Medtr1g041690"
"159","Medtr1g042800"
"160","Medtr1g043050"
"161","Medtr1g043320"
"162","Medtr1g043350"
"163","Medtr1g044135"
"164","Medtr1g044470"
"165","Medtr1g045040"
"166","Medtr1g045470"
"167","Medtr1g045550"
"168","Medtr1g045590"
"169","Medtr1g045610"
"170","Medtr1g046950"
"171","Medtr1g047010"
"172","Medtr1g047740"
"173","Medtr1g048360"
"174","Medtr1g048860"
"175","Medtr1g050700"
"176","Medtr1g051170"
"177","Medtr1g051215"
"178","Medtr1g051530"
"179","Medtr1g051760"
"180","Medtr1g052100"
"181","Medtr1g053970"
"182","Medtr1g054035"
"183","Medtr1g054055"
"184","Medtr1g054070"
"185","Medtr1g054305"
"186","Medtr1g056350"
"187","Medtr1g056550"
"188","Medtr1g056640"
"189","Medtr1g056840"
"190","Medtr1g056870"
"191","Medtr1g056880"
"192","Medtr1g056910"
"193","Medtr1g056920"
"194","Medtr1g057820"
"195","Medtr1g058230"
"196","Medtr1g059670"
"197","Medtr1g059720"
"198","Medtr1g059970"
"199","Medtr1g060500"
"200","Medtr1g060590"
