"","x"
"1","Medtr0036s0070"
"2","Medtr0043s0080"
"3","Medtr0144s0030"
"4","Medtr0205s0040"
"5","Medtr0886s0010"
"6","Medtr1g007580"
"7","Medtr1g009600"
"8","Medtr1g023770"
"9","Medtr1g028320"
"10","Medtr1g034250"
"11","Medtr1g035650"
"12","Medtr1g090640"
"13","Medtr1g099085"
"14","Medtr1g110380"
"15","Medtr1g116040"
"16","Medtr2g010015"
"17","Medtr2g061030"
"18","Medtr2g071870"
"19","Medtr2g101810"
"20","Medtr2g437120"
"21","Medtr3g022785"
"22","Medtr3g030355"
"23","Medtr3g047380"
"24","Medtr3g071680"
"25","Medtr3g072070"
"26","Medtr3g088670"
"27","Medtr3g091570"
"28","Medtr3g111620"
"29","Medtr3g116720"
"30","Medtr4g006040"
"31","Medtr4g006940"
"32","Medtr4g007690"
"33","Medtr4g021785"
"34","Medtr4g068300"
"35","Medtr4g072780"
"36","Medtr4g108260"
"37","Medtr4g117110"
"38","Medtr4g124420"
"39","Medtr4g133577"
"40","Medtr4g134880"
"41","Medtr5g007705"
"42","Medtr5g035230"
"43","Medtr5g035530"
"44","Medtr5g036460"
"45","Medtr5g058225"
"46","Medtr5g073660"
"47","Medtr5g087050"
"48","Medtr5g090980"
"49","Medtr6g014000"
"50","Medtr6g016315"
"51","Medtr6g027960"
"52","Medtr6g033820"
"53","Medtr6g042040"
"54","Medtr7g006080"
"55","Medtr7g007560"
"56","Medtr7g010300"
"57","Medtr7g026993"
"58","Medtr7g029090"
"59","Medtr7g056347"
"60","Medtr7g060080"
"61","Medtr7g076720"
"62","Medtr7g086930"
"63","Medtr7g089560"
"64","Medtr7g113230"
"65","Medtr7g115430"
"66","Medtr8g005285"
"67","Medtr8g011340"
"68","Medtr8g031550"
"69","Medtr8g032850"
"70","Medtr8g052170"
"71","Medtr8g078200"
"72","Medtr8g446430"
"73","Medtr8g465140"
