"","x"
"1","Medtr0001s0430"
"2","Medtr0001s0490"
"3","Medtr0001s0570"
"4","Medtr0001s0660"
"5","Medtr0002s0020"
"6","Medtr0002s0270"
"7","Medtr0002s1250"
"8","Medtr0003s0170"
"9","Medtr0003s0470"
"10","Medtr0003s0480"
"11","Medtr0003s0500"
"12","Medtr0003s0540"
"13","Medtr0003s0560"
"14","Medtr0003s0590"
"15","Medtr0003s0620"
"16","Medtr0003s0650"
"17","Medtr0003s0660"
"18","Medtr0004s0130"
"19","Medtr0004s0210"
"20","Medtr0004s0220"
"21","Medtr0004s0230"
"22","Medtr0004s0240"
"23","Medtr0004s0330"
"24","Medtr0004s0480"
"25","Medtr0004s0490"
"26","Medtr0004s0600"
"27","Medtr0005s0130"
"28","Medtr0006s0160"
"29","Medtr0006s0240"
"30","Medtr0007s0330"
"31","Medtr0007s0380"
"32","Medtr0008s0390"
"33","Medtr0008s0470"
"34","Medtr0009s0050"
"35","Medtr0009s0120"
"36","Medtr0009s0370"
"37","Medtr0009s0390"
"38","Medtr0009s0400"
"39","Medtr0009s0410"
"40","Medtr0010s0210"
"41","Medtr0010s0220"
"42","Medtr0010s0400"
"43","Medtr0011s0020"
"44","Medtr0011s0290"
"45","Medtr0011s0300"
"46","Medtr0011s0320"
"47","Medtr0011s0330"
"48","Medtr0012s0090"
"49","Medtr0012s0100"
"50","Medtr0012s0110"
"51","Medtr0013s0100"
"52","Medtr0013s0150"
"53","Medtr0013s0230"
"54","Medtr0014s0040"
"55","Medtr0014s0210"
"56","Medtr0014s0260"
"57","Medtr0014s0300"
"58","Medtr0014s0440"
"59","Medtr0015s0110"
"60","Medtr0015s0140"
"61","Medtr0016s0030"
"62","Medtr0016s0050"
"63","Medtr0018s0090"
"64","Medtr0018s0230"
"65","Medtr0018s0260"
"66","Medtr0018s0290"
"67","Medtr0018s0310"
"68","Medtr0019s0010"
"69","Medtr0019s0100"
"70","Medtr0019s0160"
"71","Medtr0019s0170"
"72","Medtr0019s0180"
"73","Medtr0019s0190"
"74","Medtr0020s0100"
"75","Medtr0021s0120"
"76","Medtr0022s0280"
"77","Medtr0022s0290"
"78","Medtr0022s0300"
"79","Medtr0022s0360"
"80","Medtr0024s0020"
"81","Medtr0024s0060"
"82","Medtr0024s0070"
"83","Medtr0024s0220"
"84","Medtr0024s0330"
"85","Medtr0025s0110"
"86","Medtr0026s0200"
"87","Medtr0027s0040"
"88","Medtr0027s0090"
"89","Medtr0027s0180"
"90","Medtr0027s0200"
"91","Medtr0027s0220"
"92","Medtr0031s0060"
"93","Medtr0031s0130"
"94","Medtr0032s0040"
"95","Medtr0032s0060"
"96","Medtr0034s0060"
"97","Medtr0036s0040"
"98","Medtr0036s0140"
"99","Medtr0036s0150"
"100","Medtr0036s0260"
"101","Medtr0036s0270"
"102","Medtr0036s0280"
"103","Medtr0036s0320"
"104","Medtr0037s0060"
"105","Medtr0041s0030"
"106","Medtr0042s0190"
"107","Medtr0042s0230"
"108","Medtr0043s0080"
"109","Medtr0044s0180"
"110","Medtr0045s0110"
"111","Medtr0045s0130"
"112","Medtr0049s0110"
"113","Medtr0050s0160"
"114","Medtr0050s0180"
"115","Medtr0050s0240"
"116","Medtr0051s0090"
"117","Medtr0051s0110"
"118","Medtr0052s0040"
"119","Medtr0052s0080"
"120","Medtr0054s0090"
"121","Medtr0055s0120"
"122","Medtr0057s0080"
"123","Medtr0057s0100"
"124","Medtr0057s0130"
"125","Medtr0059s0060"
"126","Medtr0059s0170"
"127","Medtr0062s0020"
"128","Medtr0063s0090"
"129","Medtr0065s0100"
"130","Medtr0066s0050"
"131","Medtr0067s0100"
"132","Medtr0068s0080"
"133","Medtr0070s0040"
"134","Medtr0070s0080"
"135","Medtr0071s0100"
"136","Medtr0072s0020"
"137","Medtr0072s0040"
"138","Medtr0076s0010"
"139","Medtr0076s0020"
"140","Medtr0077s0010"
"141","Medtr0082s0040"
"142","Medtr0082s0070"
"143","Medtr0082s0260"
"144","Medtr0082s0290"
"145","Medtr0083s0120"
"146","Medtr0085s0010"
"147","Medtr0085s0020"
"148","Medtr0086s0010"
"149","Medtr0089s0070"
"150","Medtr0089s0100"
"151","Medtr0091s0080"
"152","Medtr0092s0100"
"153","Medtr0095s0070"
"154","Medtr0097s0060"
"155","Medtr0100s0150"
"156","Medtr0100s0160"
"157","Medtr0100s0170"
"158","Medtr0101s0030"
"159","Medtr0103s0100"
"160","Medtr0110s0040"
"161","Medtr0110s0050"
"162","Medtr0110s0060"
"163","Medtr0117s0040"
"164","Medtr0118s0080"
"165","Medtr0121s0010"
"166","Medtr0123s0070"
"167","Medtr0128s0060"
"168","Medtr0136s0010"
"169","Medtr0136s0060"
"170","Medtr0137s0010"
"171","Medtr0137s0040"
"172","Medtr0141s0020"
"173","Medtr0147s0060"
"174","Medtr0147s0070"
"175","Medtr0147s0080"
"176","Medtr0148s0050"
"177","Medtr0148s0080"
"178","Medtr0150s0010"
"179","Medtr0151s0030"
"180","Medtr0152s0100"
"181","Medtr0155s0010"
"182","Medtr0157s0070"
"183","Medtr0161s0050"
"184","Medtr0165s0050"
"185","Medtr0167s0040"
"186","Medtr0167s0060"
"187","Medtr0168s0080"
"188","Medtr0168s0100"
"189","Medtr0168s0110"
"190","Medtr0168s0120"
"191","Medtr0172s0010"
"192","Medtr0172s0020"
"193","Medtr0172s0030"
"194","Medtr0172s0050"
"195","Medtr0173s0030"
"196","Medtr0175s0030"
"197","Medtr0176s0050"
"198","Medtr0178s0030"
"199","Medtr0180s0070"
"200","Medtr0186s0030"
"201","Medtr0189s0010"
"202","Medtr0189s0040"
"203","Medtr0189s0050"
"204","Medtr0190s0020"
"205","Medtr0194s0020"
"206","Medtr0194s0030"
"207","Medtr0194s0040"
"208","Medtr0194s0050"
"209","Medtr0196s0020"
"210","Medtr0197s0020"
"211","Medtr0197s0090"
"212","Medtr0197s0100"
"213","Medtr0198s0030"
"214","Medtr0199s0040"
"215","Medtr0200s0050"
"216","Medtr0202s0070"
"217","Medtr0204s0010"
"218","Medtr0204s0020"
"219","Medtr0206s0010"
"220","Medtr0209s0040"
"221","Medtr0212s0080"
"222","Medtr0219s0020"
"223","Medtr0221s0020"
"224","Medtr0223s0010"
"225","Medtr0227s0010"
"226","Medtr0227s0020"
"227","Medtr0227s0030"
"228","Medtr0230s0010"
"229","Medtr0232s0030"
"230","Medtr0236s0040"
"231","Medtr0242s0030"
"232","Medtr0246s0040"
"233","Medtr0249s0070"
"234","Medtr0260s0030"
"235","Medtr0262s0020"
"236","Medtr0262s0030"
"237","Medtr0268s0070"
"238","Medtr0268s0080"
"239","Medtr0271s0010"
"240","Medtr0271s0030"
"241","Medtr0275s0020"
"242","Medtr0275s0040"
"243","Medtr0276s0010"
"244","Medtr0276s0020"
"245","Medtr0276s0040"
"246","Medtr0276s0050"
"247","Medtr0277s0010"
"248","Medtr0277s0020"
"249","Medtr0279s0020"
"250","Medtr0279s0030"
"251","Medtr0286s0050"
"252","Medtr0288s0020"
"253","Medtr0288s0040"
"254","Medtr0295s0010"
"255","Medtr0305s0020"
"256","Medtr0308s0060"
"257","Medtr0311s0030"
"258","Medtr0316s0010"
"259","Medtr0331s0010"
"260","Medtr0332s0020"
"261","Medtr0332s0040"
"262","Medtr0339s0020"
"263","Medtr0340s0020"
"264","Medtr0340s0030"
"265","Medtr0349s0020"
"266","Medtr0349s0030"
"267","Medtr0368s0010"
"268","Medtr0370s0010"
"269","Medtr0380s0040"
"270","Medtr0384s0020"
"271","Medtr0392s0010"
"272","Medtr0393s0030"
"273","Medtr0405s0060"
"274","Medtr0417s0020"
