"","x"
"1","Medtr0006s0240"
"2","Medtr0007s0390"
"3","Medtr0009s0100"
"4","Medtr0018s0220"
"5","Medtr0019s0090"
"6","Medtr0020s0120"
"7","Medtr0021s0160"
"8","Medtr0029s0060"
"9","Medtr0045s0130"
"10","Medtr0057s0170"
"11","Medtr0065s0080"
"12","Medtr0069s0080"
"13","Medtr0078s0060"
"14","Medtr0085s0030"
"15","Medtr0087s0030"
"16","Medtr0097s0060"
"17","Medtr0110s0060"
"18","Medtr0137s0070"
"19","Medtr0146s0070"
"20","Medtr0147s0010"
"21","Medtr0152s0090"
"22","Medtr0168s0110"
"23","Medtr0184s0010"
"24","Medtr0189s0030"
"25","Medtr0206s0010"
"26","Medtr0214s0030"
"27","Medtr0221s0030"
"28","Medtr0237s0070"
"29","Medtr0257s0040"
"30","Medtr0383s0010"
"31","Medtr0415s0010"
"32","Medtr0419s0060"
"33","Medtr0794s0020"
"34","Medtr1325s0020"
"35","Medtr1g007360"
"36","Medtr1g007690"
"37","Medtr1g007920"
"38","Medtr1g008120"
"39","Medtr1g008670"
"40","Medtr1g008950"
"41","Medtr1g009230"
"42","Medtr1g009850"
"43","Medtr1g011600"
"44","Medtr1g011660"
"45","Medtr1g011680"
"46","Medtr1g011980"
"47","Medtr1g013560"
"48","Medtr1g014800"
"49","Medtr1g015275"
"50","Medtr1g015940"
"51","Medtr1g016760"
"52","Medtr1g017120"
"53","Medtr1g019520"
"54","Medtr1g019670"
"55","Medtr1g021390"
"56","Medtr1g021410"
"57","Medtr1g021895"
"58","Medtr1g021950"
"59","Medtr1g022070"
"60","Medtr1g022145"
"61","Medtr1g022420"
"62","Medtr1g024145"
"63","Medtr1g025780"
"64","Medtr1g027660"
"65","Medtr1g027970"
"66","Medtr1g028060"
"67","Medtr1g029660"
"68","Medtr1g029850"
"69","Medtr1g031930"
"70","Medtr1g033180"
"71","Medtr1g033620"
"72","Medtr1g033830"
"73","Medtr1g034040"
"74","Medtr1g035760"
"75","Medtr1g036390"
"76","Medtr1g037590"
"77","Medtr1g040635"
"78","Medtr1g040690"
"79","Medtr1g040730"
"80","Medtr1g041345"
"81","Medtr1g043030"
"82","Medtr1g043190"
"83","Medtr1g043410"
"84","Medtr1g045660"
"85","Medtr1g046790"
"86","Medtr1g046850"
"87","Medtr1g047550"
"88","Medtr1g047970"
"89","Medtr1g050145"
"90","Medtr1g051645"
"91","Medtr1g051685"
"92","Medtr1g052120"
"93","Medtr1g052260"
"94","Medtr1g052615"
"95","Medtr1g052770"
"96","Medtr1g053510"
"97","Medtr1g053570"
"98","Medtr1g053800"
"99","Medtr1g054050"
"100","Medtr1g054725"
"101","Medtr1g054855"
"102","Medtr1g055185"
"103","Medtr1g058280"
"104","Medtr1g060050"
"105","Medtr1g060680"
"106","Medtr1g061850"
"107","Medtr1g061940"
"108","Medtr1g064260"
"109","Medtr1g066980"
"110","Medtr1g067650"
"111","Medtr1g069600"
"112","Medtr1g070195"
"113","Medtr1g070240"
"114","Medtr1g071010"
"115","Medtr1g071530"
"116","Medtr1g072740"
"117","Medtr1g073160"
"118","Medtr1g073400"
"119","Medtr1g073730"
"120","Medtr1g073990"
"121","Medtr1g074250"
"122","Medtr1g074880"
"123","Medtr1g075760"
"124","Medtr1g075780"
"125","Medtr1g076890"
"126","Medtr1g078170"
"127","Medtr1g078370"
"128","Medtr1g079260"
"129","Medtr1g079470"
"130","Medtr1g079860"
"131","Medtr1g080890"
"132","Medtr1g081570"
"133","Medtr1g081620"
"134","Medtr1g082730"
"135","Medtr1g083600"
"136","Medtr1g084050"
"137","Medtr1g084120"
"138","Medtr1g085050"
"139","Medtr1g085440"
"140","Medtr1g085730"
"141","Medtr1g087370"
"142","Medtr1g087390"
"143","Medtr1g088840"
"144","Medtr1g088845"
"145","Medtr1g089160"
"146","Medtr1g090035"
"147","Medtr1g090330"
"148","Medtr1g090650"
"149","Medtr1g091930"
"150","Medtr1g092465"
"151","Medtr1g092630"
"152","Medtr1g093030"
"153","Medtr1g093670"
"154","Medtr1g094860"
"155","Medtr1g095540"
"156","Medtr1g096290"
"157","Medtr1g097450"
"158","Medtr1g098160"
"159","Medtr1g098890"
"160","Medtr1g099050"
"161","Medtr1g099470"
"162","Medtr1g099880"
"163","Medtr1g100220"
"164","Medtr1g100603"
"165","Medtr1g100763"
"166","Medtr1g100980"
"167","Medtr1g101400"
"168","Medtr1g101500"
"169","Medtr1g102035"
"170","Medtr1g103450"
"171","Medtr1g103620"
"172","Medtr1g103650"
"173","Medtr1g103690"
"174","Medtr1g104937"
"175","Medtr1g105940"
"176","Medtr1g106035"
"177","Medtr1g106608"
"178","Medtr1g106945"
"179","Medtr1g107330"
"180","Medtr1g108650"
"181","Medtr1g108790"
"182","Medtr1g109060"
"183","Medtr1g109240"
"184","Medtr1g109360"
"185","Medtr1g110690"
"186","Medtr1g111060"
"187","Medtr1g111120"
"188","Medtr1g112700"
"189","Medtr1g113700"
"190","Medtr1g115410"
"191","Medtr1g115860"
"192","Medtr1g116010"
"193","Medtr1g116540"
"194","Medtr1g492630"
"195","Medtr1g492840"
"196","Medtr1g492920"
"197","Medtr2177s0010"
"198","Medtr2g005810"
"199","Medtr2g006730"
"200","Medtr2g007610"
"201","Medtr2g009270"
"202","Medtr2g010100"
"203","Medtr2g010970"
"204","Medtr2g012420"
"205","Medtr2g012980"
"206","Medtr2g013950"
"207","Medtr2g014020"
"208","Medtr2g014320"
"209","Medtr2g014570"
"210","Medtr2g015750"
"211","Medtr2g015920"
"212","Medtr2g018820"
"213","Medtr2g018950"
"214","Medtr2g019350"
"215","Medtr2g019360"
"216","Medtr2g019820"
"217","Medtr2g020580"
"218","Medtr2g021030"
"219","Medtr2g021080"
"220","Medtr2g021130"
"221","Medtr2g022500"
"222","Medtr2g024090"
"223","Medtr2g025730"
"224","Medtr2g026600"
"225","Medtr2g028970"
"226","Medtr2g029800"
"227","Medtr2g030460"
"228","Medtr2g031640"
"229","Medtr2g031920"
"230","Medtr2g034495"
"231","Medtr2g035310"
"232","Medtr2g036500"
"233","Medtr2g037710"
"234","Medtr2g040265"
"235","Medtr2g040580"
"236","Medtr2g040780"
"237","Medtr2g041480"
"238","Medtr2g043710"
"239","Medtr2g047858"
"240","Medtr2g049090"
"241","Medtr2g058840"
"242","Medtr2g062220"
"243","Medtr2g062400"
"244","Medtr2g063777"
"245","Medtr2g063913"
"246","Medtr2g066830"
"247","Medtr2g067360"
"248","Medtr2g068730"
"249","Medtr2g070550"
"250","Medtr2g070580"
"251","Medtr2g071720"
"252","Medtr2g072520"
"253","Medtr2g072560"
"254","Medtr2g073060"
"255","Medtr2g075460"
"256","Medtr2g077990"
"257","Medtr2g078770"
"258","Medtr2g078810"
"259","Medtr2g080020"
"260","Medtr2g082640"
"261","Medtr2g083420"
"262","Medtr2g084195"
"263","Medtr2g084215"
"264","Medtr2g086520"
"265","Medtr2g086590"
"266","Medtr2g086650"
"267","Medtr2g087120"
"268","Medtr2g087985"
"269","Medtr2g088060"
"270","Medtr2g088430"
"271","Medtr2g089955"
"272","Medtr2g090030"
"273","Medtr2g091250"
"274","Medtr2g091325"
"275","Medtr2g093840"
"276","Medtr2g094130"
"277","Medtr2g094430"
"278","Medtr2g094960"
"279","Medtr2g096475"
"280","Medtr2g096790"
"281","Medtr2g098170"
"282","Medtr2g098710"
"283","Medtr2g099075"
"284","Medtr2g100380"
"285","Medtr2g101980"
"286","Medtr2g103550"
"287","Medtr2g103610"
"288","Medtr2g103650"
"289","Medtr2g103850"
"290","Medtr2g104770"
"291","Medtr2g104810"
"292","Medtr2g438180"
"293","Medtr2g438190"
"294","Medtr2g438510"
"295","Medtr2g450310"
"296","Medtr2g460600"
"297","Medtr2g461540"
"298","Medtr3g005490"
"299","Medtr3g007690"
"300","Medtr3g007740"
"301","Medtr3g007970"
"302","Medtr3g008090"
"303","Medtr3g008530"
"304","Medtr3g008700"
"305","Medtr3g009150"
"306","Medtr3g009190"
"307","Medtr3g009510"
"308","Medtr3g010520"
"309","Medtr3g011770"
"310","Medtr3g013470"
"311","Medtr3g015490"
"312","Medtr3g018920"
"313","Medtr3g019090"
"314","Medtr3g020420"
"315","Medtr3g022615"
"316","Medtr3g023270"
"317","Medtr3g024150"
"318","Medtr3g024200"
"319","Medtr3g025470"
"320","Medtr3g026310"
"321","Medtr3g026780"
"322","Medtr3g028700"
"323","Medtr3g029970"
"324","Medtr3g031200"
"325","Medtr3g033840"
"326","Medtr3g035480"
"327","Medtr3g040540"
"328","Medtr3g045650"
"329","Medtr3g052330"
"330","Medtr3g053200"
"331","Medtr3g053450"
"332","Medtr3g055090"
"333","Medtr3g055295"
"334","Medtr3g058480"
"335","Medtr3g058980"
"336","Medtr3g060200"
"337","Medtr3g062220"
"338","Medtr3g062230"
"339","Medtr3g062420"
"340","Medtr3g062895"
"341","Medtr3g063120"
"342","Medtr3g064115"
"343","Medtr3g064900"
"344","Medtr3g065050"
"345","Medtr3g067550"
"346","Medtr3g067815"
"347","Medtr3g067995"
"348","Medtr3g069825"
"349","Medtr3g070445"
"350","Medtr3g071100"
"351","Medtr3g071340"
"352","Medtr3g071760"
"353","Medtr3g072600"
"354","Medtr3g074130"
"355","Medtr3g075060"
"356","Medtr3g076590"
"357","Medtr3g077160"
"358","Medtr3g077360"
"359","Medtr3g077460"
"360","Medtr3g077730"
"361","Medtr3g077750"
"362","Medtr3g078380"
"363","Medtr3g078647"
"364","Medtr3g078820"
"365","Medtr3g079180"
"366","Medtr3g079190"
"367","Medtr3g079670"
"368","Medtr3g081040"
"369","Medtr3g081130"
"370","Medtr3g082970"
"371","Medtr3g083240"
"372","Medtr3g083920"
"373","Medtr3g084140"
"374","Medtr3g084520"
"375","Medtr3g085180"
"376","Medtr3g085370"
"377","Medtr3g085560"
"378","Medtr3g085580"
"379","Medtr3g085910"
"380","Medtr3g086160"
"381","Medtr3g086890"
"382","Medtr3g087260"
"383","Medtr3g087730"
"384","Medtr3g087910"
"385","Medtr3g088010"
"386","Medtr3g088560"
"387","Medtr3g088675"
"388","Medtr3g088940"
"389","Medtr3g089020"
"390","Medtr3g090020"
"391","Medtr3g093030"
"392","Medtr3g094030"
"393","Medtr3g094800"
"394","Medtr3g095210"
"395","Medtr3g095330"
"396","Medtr3g098590"
"397","Medtr3g099170"
"398","Medtr3g099940"
"399","Medtr3g101380"
"400","Medtr3g101740"
"401","Medtr3g103220"
"402","Medtr3g103400"
"403","Medtr3g104810"
"404","Medtr3g104940"
"405","Medtr3g106060"
"406","Medtr3g106630"
"407","Medtr3g107530"
"408","Medtr3g108080"
"409","Medtr3g108500"
"410","Medtr3g109000"
"411","Medtr3g110400"
"412","Medtr3g111440"
"413","Medtr3g113870"
"414","Medtr3g114150"
"415","Medtr3g115080"
"416","Medtr3g115090"
"417","Medtr3g116000"
"418","Medtr3g116270"
"419","Medtr3g117485"
"420","Medtr3g118100"
"421","Medtr3g118120"
"422","Medtr3g118190"
"423","Medtr3g408350"
"424","Medtr3g436320"
"425","Medtr3g449200"
"426","Medtr3g450480"
"427","Medtr3g450680"
"428","Medtr3g451630"
"429","Medtr3g455890"
"430","Medtr3g462290"
"431","Medtr3g462950"
"432","Medtr3g463820"
"433","Medtr3g464100"
"434","Medtr3g464190"
"435","Medtr3g464780"
"436","Medtr3g466670"
"437","Medtr3g466750"
"438","Medtr3g467130"
"439","Medtr3g467760"
"440","Medtr4g005140"
"441","Medtr4g007090"
"442","Medtr4g007400"
"443","Medtr4g009620"
"444","Medtr4g010100"
"445","Medtr4g011320"
"446","Medtr4g013325"
"447","Medtr4g014700"
"448","Medtr4g015080"
"449","Medtr4g015450"
"450","Medtr4g019560"
"451","Medtr4g020535"
"452","Medtr4g021030"
"453","Medtr4g021043"
"454","Medtr4g021400"
"455","Medtr4g023060"
"456","Medtr4g024735"
"457","Medtr4g027305"
"458","Medtr4g028090"
"459","Medtr4g028660"
"460","Medtr4g029210"
"461","Medtr4g029270"
"462","Medtr4g031670"
"463","Medtr4g035655"
"464","Medtr4g035920"
"465","Medtr4g035980"
"466","Medtr4g036005"
"467","Medtr4g036485"
"468","Medtr4g036680"
"469","Medtr4g036775"
"470","Medtr4g037560"
"471","Medtr4g044297"
"472","Medtr4g045807"
"473","Medtr4g045870"
"474","Medtr4g050000"
"475","Medtr4g051213"
"476","Medtr4g051330"
"477","Medtr4g051698"
"478","Medtr4g055130"
"479","Medtr4g057290"
"480","Medtr4g057845"
"481","Medtr4g059270"
"482","Medtr4g061370"
"483","Medtr4g062530"
"484","Medtr4g064820"
"485","Medtr4g065107"
"486","Medtr4g067020"
"487","Medtr4g067290"
"488","Medtr4g068570"
"489","Medtr4g068770"
"490","Medtr4g070080"
"491","Medtr4g070120"
"492","Medtr4g070490"
"493","Medtr4g070510"
"494","Medtr4g071870"
"495","Medtr4g072260"
"496","Medtr4g072660"
"497","Medtr4g073480"
"498","Medtr4g075230"
"499","Medtr4g075760"
"500","Medtr4g076630"
"501","Medtr4g076720"
"502","Medtr4g076760"
"503","Medtr4g078110"
"504","Medtr4g078130"
"505","Medtr4g078875"
"506","Medtr4g079270"
"507","Medtr4g079610"
"508","Medtr4g079720"
"509","Medtr4g080200"
"510","Medtr4g080720"
"511","Medtr4g081550"
"512","Medtr4g082050"
"513","Medtr4g082280"
"514","Medtr4g083490"
"515","Medtr4g084190"
"516","Medtr4g084270"
"517","Medtr4g086440"
"518","Medtr4g087140"
"519","Medtr4g087540"
"520","Medtr4g087925"
"521","Medtr4g088245"
"522","Medtr4g088680"
"523","Medtr4g089100"
"524","Medtr4g089170"
"525","Medtr4g090890"
"526","Medtr4g093140"
"527","Medtr4g094245"
"528","Medtr4g094250"
"529","Medtr4g094298"
"530","Medtr4g094578"
"531","Medtr4g094602"
"532","Medtr4g094820"
"533","Medtr4g094840"
"534","Medtr4g094860"
"535","Medtr4g094898"
"536","Medtr4g096660"
"537","Medtr4g097220"
"538","Medtr4g097950"
"539","Medtr4g098835"
"540","Medtr4g099150"
"541","Medtr4g099400"
"542","Medtr4g101300"
"543","Medtr4g101990"
"544","Medtr4g102240"
"545","Medtr4g102470"
"546","Medtr4g103785"
"547","Medtr4g104370"
"548","Medtr4g104690"
"549","Medtr4g104770"
"550","Medtr4g105200"
"551","Medtr4g106630"
"552","Medtr4g107820"
"553","Medtr4g109980"
"554","Medtr4g114090"
"555","Medtr4g115300"
"556","Medtr4g116070"
"557","Medtr4g116520"
"558","Medtr4g116910"
"559","Medtr4g116950"
"560","Medtr4g117870"
"561","Medtr4g118320"
"562","Medtr4g118580"
"563","Medtr4g119570"
"564","Medtr4g120410"
"565","Medtr4g122220"
"566","Medtr4g122260"
"567","Medtr4g122650"
"568","Medtr4g124390"
"569","Medtr4g124450"
"570","Medtr4g125320"
"571","Medtr4g129310"
"572","Medtr4g129330"
"573","Medtr4g130675"
"574","Medtr4g130900"
"575","Medtr4g132080"
"576","Medtr4g132185"
"577","Medtr4g132570"
"578","Medtr4g132730"
"579","Medtr4g132870"
"580","Medtr4g132960"
"581","Medtr4g133440"
"582","Medtr4g485560"
"583","Medtr5g004980"
"584","Medtr5g005270"
"585","Medtr5g005550"
"586","Medtr5g006360"
"587","Medtr5g008325"
"588","Medtr5g009310"
"589","Medtr5g009750"
"590","Medtr5g009790"
"591","Medtr5g010070"
"592","Medtr5g011260"
"593","Medtr5g012590"
"594","Medtr5g013580"
"595","Medtr5g013660"
"596","Medtr5g014340"
"597","Medtr5g015290"
"598","Medtr5g016480"
"599","Medtr5g016750"
"600","Medtr5g017710"
"601","Medtr5g018010"
"602","Medtr5g019790"
"603","Medtr5g021160"
"604","Medtr5g021340"
"605","Medtr5g022350"
"606","Medtr5g022560"
"607","Medtr5g022730"
"608","Medtr5g023330"
"609","Medtr5g023400"
"610","Medtr5g023530"
"611","Medtr5g024070"
"612","Medtr5g024880"
"613","Medtr5g025015"
"614","Medtr5g026860"
"615","Medtr5g027370"
"616","Medtr5g030710"
"617","Medtr5g030870"
"618","Medtr5g031250"
"619","Medtr5g031430"
"620","Medtr5g031500"
"621","Medtr5g031750"
"622","Medtr5g031830"
"623","Medtr5g032340"
"624","Medtr5g034980"
"625","Medtr5g035510"
"626","Medtr5g036230"
"627","Medtr5g038450"
"628","Medtr5g038520"
"629","Medtr5g039130"
"630","Medtr5g040040"
"631","Medtr5g040170"
"632","Medtr5g040190"
"633","Medtr5g040940"
"634","Medtr5g041090"
"635","Medtr5g041275"
"636","Medtr5g041750"
"637","Medtr5g043705"
"638","Medtr5g044260"
"639","Medtr5g045000"
"640","Medtr5g045590"
"641","Medtr5g054420"
"642","Medtr5g057080"
"643","Medtr5g057670"
"644","Medtr5g058860"
"645","Medtr5g059030"
"646","Medtr5g059890"
"647","Medtr5g062230"
"648","Medtr5g062700"
"649","Medtr5g062900"
"650","Medtr5g065550"
"651","Medtr5g066230"
"652","Medtr5g066770"
"653","Medtr5g067150"
"654","Medtr5g067430"
"655","Medtr5g068660"
"656","Medtr5g069010"
"657","Medtr5g070220"
"658","Medtr5g071090"
"659","Medtr5g072950"
"660","Medtr5g075380"
"661","Medtr5g076250"
"662","Medtr5g077110"
"663","Medtr5g077900"
"664","Medtr5g079540"
"665","Medtr5g080440"
"666","Medtr5g081870"
"667","Medtr5g082540"
"668","Medtr5g085770"
"669","Medtr5g085830"
"670","Medtr5g086660"
"671","Medtr5g087890"
"672","Medtr5g088300"
"673","Medtr5g089390"
"674","Medtr5g089915"
"675","Medtr5g090345"
"676","Medtr5g090460"
"677","Medtr5g091240"
"678","Medtr5g091610"
"679","Medtr5g091960"
"680","Medtr5g094960"
"681","Medtr5g095180"
"682","Medtr5g095310"
"683","Medtr5g095430"
