"","x"
"1","Medtr0003s0190"
"2","Medtr0024s0310"
"3","Medtr0036s0310"
"4","Medtr0065s0110"
"5","Medtr0082s0250"
"6","Medtr0181s0030"
"7","Medtr0189s0040"
"8","Medtr0212s0060"
"9","Medtr0221s0030"
"10","Medtr0258s0040"
"11","Medtr0268s0040"
"12","Medtr0394s0020"
"13","Medtr0415s0010"
"14","Medtr0462s0020"
"15","Medtr0536s0010"
"16","Medtr0929s0020"
"17","Medtr1840s0010"
"18","Medtr1g007195"
"19","Medtr1g007310"
"20","Medtr1g010230"
"21","Medtr1g012170"
"22","Medtr1g013760"
"23","Medtr1g016310"
"24","Medtr1g016820"
"25","Medtr1g017590"
"26","Medtr1g019005"
"27","Medtr1g021010"
"28","Medtr1g023790"
"29","Medtr1g026200"
"30","Medtr1g026710"
"31","Medtr1g026800"
"32","Medtr1g028220"
"33","Medtr1g029380"
"34","Medtr1g030680"
"35","Medtr1g031230"
"36","Medtr1g031740"
"37","Medtr1g032340"
"38","Medtr1g032590"
"39","Medtr1g032630"
"40","Medtr1g032880"
"41","Medtr1g033280"
"42","Medtr1g036870"
"43","Medtr1g037150"
"44","Medtr1g038430"
"45","Medtr1g039090"
"46","Medtr1g040063"
"47","Medtr1g042480"
"48","Medtr1g048600"
"49","Medtr1g051620"
"50","Medtr1g052260"
"51","Medtr1g053800"
"52","Medtr1g055415"
"53","Medtr1g056650"
"54","Medtr1g059640"
"55","Medtr1g063340"
"56","Medtr1g063400"
"57","Medtr1g064235"
"58","Medtr1g064630"
"59","Medtr1g066710"
"60","Medtr1g068820"
"61","Medtr1g070265"
"62","Medtr1g072400"
"63","Medtr1g072480"
"64","Medtr1g075360"
"65","Medtr1g078160"
"66","Medtr1g078370"
"67","Medtr1g079340"
"68","Medtr1g079375"
"69","Medtr1g079630"
"70","Medtr1g080050"
"71","Medtr1g080320"
"72","Medtr1g080620"
"73","Medtr1g081780"
"74","Medtr1g082475"
"75","Medtr1g082760"
"76","Medtr1g083640"
"77","Medtr1g085355"
"78","Medtr1g085480"
"79","Medtr1g086840"
"80","Medtr1g089005"
"81","Medtr1g090010"
"82","Medtr1g090707"
"83","Medtr1g095440"
"84","Medtr1g099430"
"85","Medtr1g101760"
"86","Medtr1g101900"
"87","Medtr1g102220"
"88","Medtr1g105460"
"89","Medtr1g105515"
"90","Medtr1g105600"
"91","Medtr1g107065"
"92","Medtr1g107185"
"93","Medtr1g107385"
"94","Medtr1g107580"
"95","Medtr1g109700"
"96","Medtr1g110230"
"97","Medtr1g111250"
"98","Medtr1g111580"
"99","Medtr1g112750"
"100","Medtr1g113020"
"101","Medtr1g114020"
"102","Medtr1g492930"
"103","Medtr2g005350"
"104","Medtr2g005960"
"105","Medtr2g006350"
"106","Medtr2g007630"
"107","Medtr2g008390"
"108","Medtr2g010190"
"109","Medtr2g010300"
"110","Medtr2g010840"
"111","Medtr2g011590"
"112","Medtr2g012550"
"113","Medtr2g015330"
"114","Medtr2g017945"
"115","Medtr2g018870"
"116","Medtr2g019350"
"117","Medtr2g020660"
"118","Medtr2g020850"
"119","Medtr2g022550"
"120","Medtr2g027820"
"121","Medtr2g031270"
"122","Medtr2g031430"
"123","Medtr2g036500"
"124","Medtr2g039280"
"125","Medtr2g040590"
"126","Medtr2g044630"
"127","Medtr2g044880"
"128","Medtr2g045245"
"129","Medtr2g048300"
"130","Medtr2g049740"
"131","Medtr2g054450"
"132","Medtr2g059320"
"133","Medtr2g060730"
"134","Medtr2g062380"
"135","Medtr2g062630"
"136","Medtr2g066040"
"137","Medtr2g068920"
"138","Medtr2g071720"
"139","Medtr2g071950"
"140","Medtr2g072930"
"141","Medtr2g075405"
"142","Medtr2g076900"
"143","Medtr2g078390"
"144","Medtr2g083770"
"145","Medtr2g084200"
"146","Medtr2g085115"
"147","Medtr2g086025"
"148","Medtr2g087560"
"149","Medtr2g088060"
"150","Medtr2g089520"
"151","Medtr2g090070"
"152","Medtr2g090575"
"153","Medtr2g090775"
"154","Medtr2g091370"
"155","Medtr2g094960"
"156","Medtr2g096910"
"157","Medtr2g097390"
"158","Medtr2g098790"
"159","Medtr2g099075"
"160","Medtr2g099410"
"161","Medtr2g099890"
"162","Medtr2g101950"
"163","Medtr2g103313"
"164","Medtr2g103360"
"165","Medtr2g103780"
"166","Medtr2g104770"
"167","Medtr2g104780"
"168","Medtr2g104980"
"169","Medtr2g436910"
"170","Medtr2g437050"
"171","Medtr2g437670"
"172","Medtr2g450270"
"173","Medtr2g450730"
"174","Medtr3g010920"
"175","Medtr3g011780"
"176","Medtr3g014060"
"177","Medtr3g022015"
"178","Medtr3g023410"
"179","Medtr3g025960"
"180","Medtr3g030970"
"181","Medtr3g031490"
"182","Medtr3g032750"
"183","Medtr3g035670"
"184","Medtr3g037490"
"185","Medtr3g044760"
"186","Medtr3g044810"
"187","Medtr3g046350"
"188","Medtr3g049440"
"189","Medtr3g051230"
"190","Medtr3g051320"
"191","Medtr3g051520"
"192","Medtr3g062180"
"193","Medtr3g064020"
"194","Medtr3g067830"
"195","Medtr3g071340"
"196","Medtr3g072490"
"197","Medtr3g072570"
"198","Medtr3g074400"
"199","Medtr3g079170"
"200","Medtr3g079180"
"201","Medtr3g079780"
"202","Medtr3g080280"
"203","Medtr3g080930"
"204","Medtr3g081080"
"205","Medtr3g083080"
"206","Medtr3g084960"
"207","Medtr3g094270"
"208","Medtr3g096290"
"209","Medtr3g098370"
"210","Medtr3g099060"
"211","Medtr3g099160"
"212","Medtr3g099165"
"213","Medtr3g099540"
"214","Medtr3g099620"
"215","Medtr3g099990"
"216","Medtr3g100190"
"217","Medtr3g101080"
"218","Medtr3g102180"
"219","Medtr3g104810"
"220","Medtr3g105090"
"221","Medtr3g107703"
"222","Medtr3g109080"
"223","Medtr3g112110"
"224","Medtr3g114060"
"225","Medtr3g114150"
"226","Medtr3g114450"
"227","Medtr3g116595"
"228","Medtr3g117420"
"229","Medtr3g117860"
"230","Medtr3g408390"
"231","Medtr3g434890"
"232","Medtr3g435310"
"233","Medtr3g436180"
"234","Medtr3g452980"
"235","Medtr3g461010"
"236","Medtr3g461510"
"237","Medtr3g463140"
"238","Medtr3g465390"
"239","Medtr3g465420"
"240","Medtr3g466750"
"241","Medtr3g479470"
"242","Medtr4g006000"
"243","Medtr4g007640"
"244","Medtr4g007940"
"245","Medtr4g011600"
"246","Medtr4g012390"
"247","Medtr4g013240"
"248","Medtr4g013390"
"249","Medtr4g014200"
"250","Medtr4g014210"
"251","Medtr4g014380"
"252","Medtr4g018820"
"253","Medtr4g018940"
"254","Medtr4g019550"
"255","Medtr4g020700"
"256","Medtr4g022880"
"257","Medtr4g023570"
"258","Medtr4g024595"
"259","Medtr4g029130"
"260","Medtr4g031200"
"261","Medtr4g032460"
"262","Medtr4g032845"
"263","Medtr4g034020"
"264","Medtr4g035220"
"265","Medtr4g035250"
"266","Medtr4g035655"
"267","Medtr4g037660"
"268","Medtr4g039657"
"269","Medtr4g045590"
"270","Medtr4g045807"
"271","Medtr4g046767"
"272","Medtr4g050410"
"273","Medtr4g051280"
"274","Medtr4g051618"
"275","Medtr4g051652"
"276","Medtr4g053250"
"277","Medtr4g053635"
"278","Medtr4g055040"
"279","Medtr4g058715"
"280","Medtr4g060910"
"281","Medtr4g062530"
"282","Medtr4g063440"
"283","Medtr4g064030"
"284","Medtr4g065440"
"285","Medtr4g068770"
"286","Medtr4g070800"
"287","Medtr4g073290"
"288","Medtr4g074970"
"289","Medtr4g078260"
"290","Medtr4g078495"
"291","Medtr4g079810"
"292","Medtr4g081490"
"293","Medtr4g082470"
"294","Medtr4g084050"
"295","Medtr4g084790"
"296","Medtr4g086130"
"297","Medtr4g087120"
"298","Medtr4g088255"
"299","Medtr4g091160"
"300","Medtr4g092390"
"301","Medtr4g093270"
"302","Medtr4g094060"
"303","Medtr4g094542"
"304","Medtr4g094632"
"305","Medtr4g094680"
"306","Medtr4g094745"
"307","Medtr4g096910"
"308","Medtr4g099310"
"309","Medtr4g099380"
"310","Medtr4g108180"
"311","Medtr4g108270"
"312","Medtr4g110020"
"313","Medtr4g111845"
"314","Medtr4g113680"
"315","Medtr4g115990"
"316","Medtr4g118650"
"317","Medtr4g119500"
"318","Medtr4g121070"
"319","Medtr4g121900"
"320","Medtr4g121940"
"321","Medtr4g122780"
"322","Medtr4g124005"
"323","Medtr4g125560"
"324","Medtr4g126200"
"325","Medtr4g127530"
"326","Medtr4g131110"
"327","Medtr4g131340"
"328","Medtr4g131680"
"329","Medtr4g131740"
"330","Medtr4g132220"
"331","Medtr4g133690"
"332","Medtr4g415070"
"333","Medtr5g004650"
"334","Medtr5g004940"
"335","Medtr5g005350"
"336","Medtr5g006030"
"337","Medtr5g006340"
"338","Medtr5g006520"
"339","Medtr5g007090"
"340","Medtr5g009560"
"341","Medtr5g010350"
"342","Medtr5g010840"
"343","Medtr5g011190"
"344","Medtr5g012390"
"345","Medtr5g012410"
"346","Medtr5g014930"
"347","Medtr5g014980"
"348","Medtr5g017300"
"349","Medtr5g018130"
"350","Medtr5g019960"
"351","Medtr5g020310"
"352","Medtr5g021250"
"353","Medtr5g024120"
"354","Medtr5g025860"
"355","Medtr5g025920"
"356","Medtr5g029670"
"357","Medtr5g033470"
"358","Medtr5g035170"
"359","Medtr5g035300"
"360","Medtr5g041080"
"361","Medtr5g041630"
"362","Medtr5g042115"
"363","Medtr5g043685"
"364","Medtr5g044020"
"365","Medtr5g049770"
"366","Medtr5g053270"
"367","Medtr5g055390"
"368","Medtr5g055667"
"369","Medtr5g056110"
"370","Medtr5g057070"
"371","Medtr5g057670"
"372","Medtr5g060460"
"373","Medtr5g063760"
"374","Medtr5g063930"
"375","Medtr5g065315"
"376","Medtr5g071700"
"377","Medtr5g071790"
"378","Medtr5g072540"
"379","Medtr5g072990"
"380","Medtr5g073820"
"381","Medtr5g076000"
"382","Medtr5g080090"
"383","Medtr5g080500"
"384","Medtr5g082460"
"385","Medtr5g084040"
"386","Medtr5g085195"
"387","Medtr5g090860"
"388","Medtr5g091070"
"389","Medtr5g091550"
"390","Medtr5g093640"
"391","Medtr5g095430"
"392","Medtr5g095460"
"393","Medtr5g095690"
"394","Medtr5g098670"
"395","Medtr5g098775"
"396","Medtr5g430440"
"397","Medtr5g464490"
"398","Medtr5g464720"
"399","Medtr5g464770"
"400","Medtr6g004380"
"401","Medtr6g004540"
"402","Medtr6g004710"
"403","Medtr6g004740"
"404","Medtr6g005080"
"405","Medtr6g006000"
"406","Medtr6g011790"
"407","Medtr6g013435"
"408","Medtr6g015620"
"409","Medtr6g015745"
"410","Medtr6g017320"
"411","Medtr6g018370"
"412","Medtr6g018660"
"413","Medtr6g018900"
"414","Medtr6g022070"
"415","Medtr6g022330"
"416","Medtr6g033715"
"417","Medtr6g034560"
"418","Medtr6g034870"
"419","Medtr6g034940"
"420","Medtr6g037370"
"421","Medtr6g043180"
"422","Medtr6g044740"
"423","Medtr6g045097"
"424","Medtr6g045187"
"425","Medtr6g046320"
"426","Medtr6g046583"
"427","Medtr6g048240"
"428","Medtr6g048490"
"429","Medtr6g048540"
"430","Medtr6g059330"
"431","Medtr6g059780"
"432","Medtr6g065170"
"433","Medtr6g071450"
"434","Medtr6g074480"
"435","Medtr6g074885"
"436","Medtr6g076110"
"437","Medtr6g078210"
"438","Medtr6g079270"
"439","Medtr6g080140"
"440","Medtr6g080450"
"441","Medtr6g081300"
"442","Medtr6g081940"
"443","Medtr6g082880"
"444","Medtr6g084040"
"445","Medtr6g086530"
"446","Medtr6g086815"
"447","Medtr6g087310"
"448","Medtr6g087660"
"449","Medtr6g087790"
"450","Medtr6g088300"
"451","Medtr6g091980"
"452","Medtr6g464540"
"453","Medtr6g464890"
"454","Medtr6g464960"
"455","Medtr6g466410"
"456","Medtr6g477900"
"457","Medtr6g488250"
"458","Medtr7g006590"
"459","Medtr7g006790"
"460","Medtr7g009845"
"461","Medtr7g011400"
"462","Medtr7g011465"
"463","Medtr7g011910"
"464","Medtr7g012330"
"465","Medtr7g012400"
"466","Medtr7g014360"
"467","Medtr7g021970"
"468","Medtr7g022050"
"469","Medtr7g022420"
"470","Medtr7g023775"
"471","Medtr7g024930"
"472","Medtr7g025190"
"473","Medtr7g027125"
"474","Medtr7g029330"
"475","Medtr7g029385"
"476","Medtr7g032380"
"477","Medtr7g033160"
"478","Medtr7g033400"
"479","Medtr7g034580"
"480","Medtr7g050810"
"481","Medtr7g053280"
"482","Medtr7g053310"
"483","Medtr7g056257"
"484","Medtr7g056290"
"485","Medtr7g056620"
"486","Medtr7g058840"
"487","Medtr7g058900"
"488","Medtr7g059810"
"489","Medtr7g062150"
"490","Medtr7g063890"
"491","Medtr7g067580"
"492","Medtr7g068520"
"493","Medtr7g069420"
"494","Medtr7g070300"
"495","Medtr7g071570"
"496","Medtr7g072630"
"497","Medtr7g073710"
"498","Medtr7g074410"
"499","Medtr7g075630"
"500","Medtr7g075700"
"501","Medtr7g076360"
"502","Medtr7g079640"
"503","Medtr7g079770"
"504","Medtr7g079860"
"505","Medtr7g085080"
"506","Medtr7g085470"
"507","Medtr7g086040"
"508","Medtr7g086820"
"509","Medtr7g086850"
"510","Medtr7g087170"
"511","Medtr7g088420"
"512","Medtr7g089950"
"513","Medtr7g090340"
"514","Medtr7g090350"
"515","Medtr7g092750"
"516","Medtr7g093015"
"517","Medtr7g094290"
"518","Medtr7g095270"
"519","Medtr7g095620"
"520","Medtr7g096850"
"521","Medtr7g098160"
"522","Medtr7g099030"
"523","Medtr7g103300"
"524","Medtr7g104540"
"525","Medtr7g108090"
"526","Medtr7g109740"
"527","Medtr7g109890"
"528","Medtr7g110990"
"529","Medtr7g111110"
"530","Medtr7g111990"
"531","Medtr7g112390"
"532","Medtr7g112730"
"533","Medtr7g113090"
"534","Medtr7g113970"
"535","Medtr7g114580"
"536","Medtr7g114670"
"537","Medtr7g114895"
"538","Medtr7g116725"
"539","Medtr7g116880"
"540","Medtr7g118230"
"541","Medtr7g446330"
"542","Medtr8g007520"
"543","Medtr8g010770"
"544","Medtr8g011730"
"545","Medtr8g020510"
"546","Medtr8g020965"
"547","Medtr8g022730"
"548","Medtr8g023700"
"549","Medtr8g023860"
"550","Medtr8g027100"
"551","Medtr8g027390"
"552","Medtr8g027395"
"553","Medtr8g027855"
"554","Medtr8g030990"
"555","Medtr8g031070"
"556","Medtr8g032050"
"557","Medtr8g041640"
"558","Medtr8g042490"
"559","Medtr8g044040"
"560","Medtr8g046010"
"561","Medtr8g046295"
"562","Medtr8g064320"
"563","Medtr8g066620"
"564","Medtr8g068150"
"565","Medtr8g069695"
"566","Medtr8g072290"
"567","Medtr8g073050"
"568","Medtr8g073195"
"569","Medtr8g079770"
"570","Medtr8g080150"
"571","Medtr8g083520"
"572","Medtr8g086580"
"573","Medtr8g087890"
"574","Medtr8g091915"
"575","Medtr8g091990"
"576","Medtr8g092050"
"577","Medtr8g092520"
"578","Medtr8g092730"
"579","Medtr8g095350"
"580","Medtr8g101590"
"581","Medtr8g102490"
"582","Medtr8g106020"
"583","Medtr8g433000"
"584","Medtr8g465310"
"585","Medtr8g467840"
"586","Medtr8g470560"
"587","Medtr8g479340"
