"","x"
"1","Medtr0002s1200"
"2","Medtr0002s1250"
"3","Medtr0003s0170"
"4","Medtr0003s0500"
"5","Medtr0004s0480"
"6","Medtr0012s0150"
"7","Medtr0022s0300"
"8","Medtr0031s0060"
"9","Medtr0052s0030"
"10","Medtr0094s0010"
"11","Medtr0157s0070"
"12","Medtr0232s0030"
"13","Medtr0268s0070"
"14","Medtr0722s0020"
"15","Medtr1g010220"
"16","Medtr1g010240"
"17","Medtr1g013430"
"18","Medtr1g019110"
"19","Medtr1g021390"
"20","Medtr1g021460"
"21","Medtr1g021995"
"22","Medtr1g022030"
"23","Medtr1g022290"
"24","Medtr1g023180"
"25","Medtr1g025500"
"26","Medtr1g025920"
"27","Medtr1g029520"
"28","Medtr1g029620"
"29","Medtr1g030290"
"30","Medtr1g031440"
"31","Medtr1g031530"
"32","Medtr1g031910"
"33","Medtr1g032340"
"34","Medtr1g036570"
"35","Medtr1g037020"
"36","Medtr1g039220"
"37","Medtr1g040625"
"38","Medtr1g043340"
"39","Medtr1g043400"
"40","Medtr1g047210"
"41","Medtr1g048720"
"42","Medtr1g049240"
"43","Medtr1g050640"
"44","Medtr1g051210"
"45","Medtr1g051570"
"46","Medtr1g052170"
"47","Medtr1g052475"
"48","Medtr1g053785"
"49","Medtr1g053910"
"50","Medtr1g054840"
"51","Medtr1g059280"
"52","Medtr1g066890"
"53","Medtr1g066930"
"54","Medtr1g069390"
"55","Medtr1g069640"
"56","Medtr1g070070"
"57","Medtr1g072280"
"58","Medtr1g073230"
"59","Medtr1g074190"
"60","Medtr1g076150"
"61","Medtr1g078190"
"62","Medtr1g080020"
"63","Medtr1g080040"
"64","Medtr1g082400"
"65","Medtr1g084920"
"66","Medtr1g086810"
"67","Medtr1g089130"
"68","Medtr1g090180"
"69","Medtr1g090650"
"70","Medtr1g090730"
"71","Medtr1g091010"
"72","Medtr1g092540"
"73","Medtr1g093150"
"74","Medtr1g093980"
"75","Medtr1g094155"
"76","Medtr1g094635"
"77","Medtr1g094730"
"78","Medtr1g095950"
"79","Medtr1g095970"
"80","Medtr1g097850"
"81","Medtr1g098690"
"82","Medtr1g100787"
"83","Medtr1g102430"
"84","Medtr1g104890"
"85","Medtr1g105600"
"86","Medtr1g106105"
"87","Medtr1g107380"
"88","Medtr1g107425"
"89","Medtr1g107575"
"90","Medtr1g108690"
"91","Medtr1g110130"
"92","Medtr1g110870"
"93","Medtr1g111480"
"94","Medtr1g114570"
"95","Medtr1g115285"
