"","x"
"1","Medtr0004s0210"
"2","Medtr0014s0440"
"3","Medtr0016s0040"
"4","Medtr0018s0240"
"5","Medtr0021s0370"
"6","Medtr0025s0110"
"7","Medtr0032s0030"
"8","Medtr0032s0070"
"9","Medtr0048s0110"
"10","Medtr0048s0140"
"11","Medtr0050s0180"
"12","Medtr0082s0050"
"13","Medtr0092s0090"
"14","Medtr0160s0040"
"15","Medtr0185s0010"
"16","Medtr0212s0040"
"17","Medtr0219s0130"
"18","Medtr0238s0050"
"19","Medtr0256s0050"
"20","Medtr0273s0030"
"21","Medtr0320s0040"
"22","Medtr0339s0020"
"23","Medtr0339s0030"
"24","Medtr0530s0020"
"25","Medtr0572s0010"
"26","Medtr0690s0010"
"27","Medtr1142s0010"
"28","Medtr1588s0010"
"29","Medtr1g004990"
"30","Medtr1g006590"
"31","Medtr1g006600"
"32","Medtr1g007600"
"33","Medtr1g008990"
"34","Medtr1g009840"
"35","Medtr1g009860"
"36","Medtr1g010250"
"37","Medtr1g011510"
"38","Medtr1g011540"
"39","Medtr1g011640"
"40","Medtr1g012335"
"41","Medtr1g012960"
"42","Medtr1g013680"
"43","Medtr1g013790"
"44","Medtr1g014240"
"45","Medtr1g014320"
"46","Medtr1g015165"
"47","Medtr1g015290"
"48","Medtr1g015920"
"49","Medtr1g016780"
"50","Medtr1g016950"
"51","Medtr1g018140"
"52","Medtr1g019040"
"53","Medtr1g019410"
"54","Medtr1g019970"
"55","Medtr1g022265"
"56","Medtr1g023720"
"57","Medtr1g024840"
"58","Medtr1g025550"
"59","Medtr1g026070"
"60","Medtr1g026820"
"61","Medtr1g027580"
"62","Medtr1g027830"
"63","Medtr1g028130"
"64","Medtr1g028300"
"65","Medtr1g028460"
"66","Medtr1g029670"
"67","Medtr1g030265"
"68","Medtr1g031220"
"69","Medtr1g031650"
"70","Medtr1g032220"
"71","Medtr1g032710"
"72","Medtr1g034260"
"73","Medtr1g035570"
"74","Medtr1g036830"
"75","Medtr1g037500"
"76","Medtr1g037820"
"77","Medtr1g039010"
"78","Medtr1g040195"
"79","Medtr1g041265"
"80","Medtr1g041410"
"81","Medtr1g041535"
"82","Medtr1g041575"
"83","Medtr1g043690"
"84","Medtr1g045140"
