"","x"
"1","Medtr0428s0040"
"2","Medtr1g012490"
"3","Medtr1g025560"
"4","Medtr1g026880"
"5","Medtr1g088230"
"6","Medtr1g115330"
"7","Medtr2g030210"
"8","Medtr2g044100"
"9","Medtr2g087292"
"10","Medtr2g099740"
"11","Medtr2g099810"
"12","Medtr2g104065"
"13","Medtr2g104220"
"14","Medtr3g005890"
"15","Medtr3g014240"
"16","Medtr3g023010"
"17","Medtr3g061085"
"18","Medtr3g067750"
"19","Medtr3g071790"
"20","Medtr3g113590"
"21","Medtr3g450510"
"22","Medtr4g008050"
"23","Medtr4g083315"
"24","Medtr4g084640"
"25","Medtr4g117950"
"26","Medtr4g122930"
"27","Medtr5g009840"
"28","Medtr5g030520"
"29","Medtr5g032580"
"30","Medtr5g033450"
"31","Medtr5g069980"
"32","Medtr5g070230"
"33","Medtr5g079050"
"34","Medtr5g095630"
"35","Medtr5g097215"
"36","Medtr6g023065"
"37","Medtr6g023955"
"38","Medtr6g033720"
"39","Medtr6g069105"
"40","Medtr6g083200"
"41","Medtr7g027890"
"42","Medtr7g053360"
"43","Medtr7g060560"
"44","Medtr7g063040"
"45","Medtr7g096660"
"46","Medtr7g107500"
"47","Medtr7g114190"
"48","Medtr8g011410"
"49","Medtr8g015190"
"50","Medtr8g021080"
"51","Medtr8g031990"
"52","Medtr8g042370"
"53","Medtr8g061110"
"54","Medtr8g070910"
"55","Medtr8g080200"
