"","x"
"1","Medtr0002s0020"
"2","Medtr0016s0030"
"3","Medtr0016s0060"
"4","Medtr0020s0120"
"5","Medtr0024s0260"
"6","Medtr0036s0240"
"7","Medtr0040s0140"
"8","Medtr0066s0040"
"9","Medtr0066s0050"
"10","Medtr0070s0040"
"11","Medtr0079s0070"
"12","Medtr0092s0070"
"13","Medtr0110s0040"
"14","Medtr0123s0070"
"15","Medtr0172s0030"
"16","Medtr0271s0070"
"17","Medtr0907s0020"
"18","Medtr1g006695"
"19","Medtr1g007380"
"20","Medtr1g007385"
"21","Medtr1g007880"
"22","Medtr1g008670"
"23","Medtr1g011630"
"24","Medtr1g013400"
"25","Medtr1g013450"
"26","Medtr1g016890"
"27","Medtr1g017400"
"28","Medtr1g017450"
"29","Medtr1g018030"
"30","Medtr1g018750"
"31","Medtr1g019110"
"32","Medtr1g021150"
"33","Medtr1g021895"
"34","Medtr1g021950"
"35","Medtr1g023210"
"36","Medtr1g023605"
"37","Medtr1g023730"
"38","Medtr1g026125"
"39","Medtr1g026910"
"40","Medtr1g028020"
"41","Medtr1g028720"
"42","Medtr1g028890"
"43","Medtr1g029620"
"44","Medtr1g029850"
"45","Medtr1g030268"
"46","Medtr1g030480"
"47","Medtr1g032720"
"48","Medtr1g033390"
"49","Medtr1g033840"
"50","Medtr1g034140"
"51","Medtr1g034180"
"52","Medtr1g035720"
"53","Medtr1g041155"
"54","Medtr1g041890"
"55","Medtr1g042160"
"56","Medtr1g044225"
"57","Medtr1g046620"
"58","Medtr1g048110"
"59","Medtr1g050140"
"60","Medtr1g050425"
"61","Medtr1g050458"
"62","Medtr1g050640"
"63","Medtr1g051245"
"64","Medtr1g052065"
"65","Medtr1g052175"
"66","Medtr1g052560"
"67","Medtr1g052770"
"68","Medtr1g053070"
"69","Medtr1g055425"
"70","Medtr1g057420"
"71","Medtr1g057650"
"72","Medtr1g057790"
"73","Medtr1g063110"
"74","Medtr1g064260"
"75","Medtr1g067400"
"76","Medtr1g068950"
"77","Medtr1g069140"
"78","Medtr1g069225"
"79","Medtr1g069495"
"80","Medtr1g069600"
"81","Medtr1g071800"
"82","Medtr1g071810"
"83","Medtr1g072310"
"84","Medtr1g073540"
"85","Medtr1g074880"
"86","Medtr1g075650"
"87","Medtr1g076170"
"88","Medtr1g076470"
"89","Medtr1g076920"
"90","Medtr1g077100"
"91","Medtr1g077550"
"92","Medtr1g077870"
"93","Medtr1g079200"
"94","Medtr1g079260"
"95","Medtr1g080910"
"96","Medtr1g080990"
"97","Medtr1g081665"
"98","Medtr1g081910"
"99","Medtr1g082810"
"100","Medtr1g082950"
"101","Medtr1g083340"
"102","Medtr1g083380"
"103","Medtr1g083395"
"104","Medtr1g083400"
"105","Medtr1g083440"
"106","Medtr1g083950"
"107","Medtr1g085500"
"108","Medtr1g087240"
"109","Medtr1g087500"
"110","Medtr1g087920"
"111","Medtr1g088875"
"112","Medtr1g090035"
"113","Medtr1g090180"
"114","Medtr1g090683"
"115","Medtr1g090803"
"116","Medtr1g090973"
"117","Medtr1g095875"
"118","Medtr1g095890"
"119","Medtr1g095950"
"120","Medtr1g096290"
