"","x"
"1","Medtr0002s0930"
"2","Medtr0003s0630"
"3","Medtr0005s0210"
"4","Medtr0006s0110"
"5","Medtr0014s0250"
"6","Medtr0019s0010"
"7","Medtr0019s0310"
"8","Medtr0024s0080"
"9","Medtr0024s0110"
"10","Medtr0041s0100"
"11","Medtr0047s0160"
"12","Medtr0055s0130"
"13","Medtr0064s0170"
"14","Medtr0137s0080"
"15","Medtr0147s0020"
"16","Medtr0148s0080"
"17","Medtr0165s0050"
"18","Medtr0170s0030"
"19","Medtr0181s0020"
"20","Medtr0211s0080"
"21","Medtr0393s0050"
"22","Medtr0603s0010"
"23","Medtr0693s0030"
"24","Medtr0804s0020"
"25","Medtr1g007020"
"26","Medtr1g007950"
"27","Medtr1g008300"
"28","Medtr1g008500"
"29","Medtr1g009450"
"30","Medtr1g011740"
"31","Medtr1g012330"
"32","Medtr1g013190"
"33","Medtr1g013430"
"34","Medtr1g018700"
"35","Medtr1g019265"
"36","Medtr1g023800"
"37","Medtr1g023830"
"38","Medtr1g025370"
"39","Medtr1g027870"
"40","Medtr1g029010"
"41","Medtr1g031060"
"42","Medtr1g031580"
"43","Medtr1g033730"
"44","Medtr1g033740"
"45","Medtr1g037300"
"46","Medtr1g039080"
"47","Medtr1g039400"
"48","Medtr1g041810"
"49","Medtr1g041815"
"50","Medtr1g044190"
"51","Medtr1g046480"
"52","Medtr1g046640"
"53","Medtr1g048130"
"54","Medtr1g050518"
"55","Medtr1g050550"
"56","Medtr1g051365"
"57","Medtr1g053625"
"58","Medtr1g058190"
"59","Medtr1g059990"
"60","Medtr1g060190"
"61","Medtr1g066620"
"62","Medtr1g067180"
"63","Medtr1g068835"
"64","Medtr1g069865"
"65","Medtr1g071213"
"66","Medtr1g071880"
"67","Medtr1g075700"
"68","Medtr1g076910"
"69","Medtr1g077140"
"70","Medtr1g077880"
"71","Medtr1g078390"
"72","Medtr1g079570"
"73","Medtr1g082515"
"74","Medtr1g084200"
"75","Medtr1g084840"
"76","Medtr1g086190"
"77","Medtr1g087400"
"78","Medtr1g088400"
"79","Medtr1g088860"
"80","Medtr1g090120"
"81","Medtr1g090430"
"82","Medtr1g092990"
"83","Medtr1g093095"
"84","Medtr1g093280"
"85","Medtr1g093780"
"86","Medtr1g094035"
"87","Medtr1g096030"
"88","Medtr1g097220"
"89","Medtr1g097530"
"90","Medtr1g099350"
"91","Medtr1g100345"
"92","Medtr1g100653"
"93","Medtr1g102780"
"94","Medtr1g104513"
"95","Medtr1g105150"
"96","Medtr1g107285"
"97","Medtr1g107370"
"98","Medtr1g110910"
"99","Medtr1g111260"
"100","Medtr1g111430"
"101","Medtr1g112610"
"102","Medtr1g115380"
"103","Medtr1g115580"
"104","Medtr1g115830"
"105","Medtr1g116120"
"106","Medtr1g475240"
"107","Medtr1g492790"
"108","Medtr2g006270"
"109","Medtr2g007460"
"110","Medtr2g013030"
"111","Medtr2g013500"
"112","Medtr2g014040"
"113","Medtr2g016270"
"114","Medtr2g017610"
"115","Medtr2g017700"
"116","Medtr2g017930"
"117","Medtr2g017935"
"118","Medtr2g019160"
"119","Medtr2g022080"
"120","Medtr2g022980"
"121","Medtr2g025040"
"122","Medtr2g025170"
"123","Medtr2g026110"
"124","Medtr2g026420"
"125","Medtr2g028190"
"126","Medtr2g029240"
"127","Medtr2g031710"
"128","Medtr2g032070"
"129","Medtr2g035050"
"130","Medtr2g037050"
"131","Medtr2g038270"
"132","Medtr2g040500"
"133","Medtr2g041450"
"134","Medtr2g045060"
"135","Medtr2g048635"
"136","Medtr2g049355"
"137","Medtr2g049710"
"138","Medtr2g055290"
"139","Medtr2g060033"
"140","Medtr2g062720"
"141","Medtr2g066790"
"142","Medtr2g067450"
"143","Medtr2g072160"
"144","Medtr2g072600"
"145","Medtr2g074990"
"146","Medtr2g076103"
"147","Medtr2g081225"
"148","Medtr2g081805"
"149","Medtr2g082060"
"150","Medtr2g082830"
"151","Medtr2g084420"
"152","Medtr2g086465"
"153","Medtr2g086620"
"154","Medtr2g088470"
"155","Medtr2g089905"
"156","Medtr2g090525"
"157","Medtr2g090605"
"158","Medtr2g090685"
"159","Medtr2g090905"
"160","Medtr2g091315"
"161","Medtr2g093720"
"162","Medtr2g094300"
"163","Medtr2g095210"
"164","Medtr2g095710"
"165","Medtr2g096350"
"166","Medtr2g096780"
"167","Medtr2g097830"
"168","Medtr2g097840"
"169","Medtr2g098590"
"170","Medtr2g099010"
"171","Medtr2g104560"
"172","Medtr2g104630"
"173","Medtr2g435670"
"174","Medtr2g435870"
"175","Medtr2g451270"
"176","Medtr2g451440"
"177","Medtr2g460640"
"178","Medtr2g461820"
"179","Medtr2g461920"
"180","Medtr3g005220"
"181","Medtr3g005530"
"182","Medtr3g009290"
"183","Medtr3g010277"
"184","Medtr3g011790"
"185","Medtr3g012070"
"186","Medtr3g012360"
"187","Medtr3g018710"
"188","Medtr3g020500"
"189","Medtr3g022830"
"190","Medtr3g024190"
"191","Medtr3g025970"
"192","Medtr3g026020"
"193","Medtr3g027295"
"194","Medtr3g034940"
"195","Medtr3g035335"
"196","Medtr3g035830"
"197","Medtr3g037450"
"198","Medtr3g040430"
"199","Medtr3g045010"
"200","Medtr3g045760"
"201","Medtr3g047950"
"202","Medtr3g048330"
"203","Medtr3g048590"
"204","Medtr3g052800"
"205","Medtr3g054130"
"206","Medtr3g055450"
"207","Medtr3g056625"
"208","Medtr3g056730"
"209","Medtr3g057870"
"210","Medtr3g061870"
"211","Medtr3g064250"
"212","Medtr3g064580"
"213","Medtr3g068090"
"214","Medtr3g070090"
"215","Medtr3g071425"
"216","Medtr3g071690"
"217","Medtr3g073770"
"218","Medtr3g074500"
"219","Medtr3g074960"
"220","Medtr3g078190"
"221","Medtr3g078320"
"222","Medtr3g080245"
"223","Medtr3g081240"
"224","Medtr3g082330"
"225","Medtr3g085210"
"226","Medtr3g088715"
"227","Medtr3g092690"
"228","Medtr3g093600"
"229","Medtr3g094080"
"230","Medtr3g094180"
"231","Medtr3g095050"
"232","Medtr3g095690"
"233","Medtr3g095890"
"234","Medtr3g096800"
"235","Medtr3g097270"
"236","Medtr3g103300"
"237","Medtr3g103980"
"238","Medtr3g104070"
"239","Medtr3g104820"
"240","Medtr3g105005"
"241","Medtr3g105330"
"242","Medtr3g106680"
"243","Medtr3g106840"
"244","Medtr3g107330"
"245","Medtr3g109930"
"246","Medtr3g110290"
"247","Medtr3g113040"
"248","Medtr3g115680"
"249","Medtr3g116705"
"250","Medtr3g117690"
"251","Medtr3g117760"
"252","Medtr3g408440"
"253","Medtr3g436850"
"254","Medtr3g452380"
"255","Medtr3g452770"
"256","Medtr3g453010"
"257","Medtr3g456070"
"258","Medtr3g462750"
"259","Medtr3g463470"
"260","Medtr3g465440"
"261","Medtr3g466150"
"262","Medtr3g466740"
"263","Medtr3g479620"
"264","Medtr4g006350"
"265","Medtr4g007730"
"266","Medtr4g007850"
"267","Medtr4g009260"
"268","Medtr4g012610"
"269","Medtr4g015680"
"270","Medtr4g017485"
"271","Medtr4g020740"
"272","Medtr4g022870"
"273","Medtr4g023210"
"274","Medtr4g023520"
"275","Medtr4g025970"
"276","Medtr4g025980"
"277","Medtr4g027870"
"278","Medtr4g029770"
"279","Medtr4g032995"
"280","Medtr4g033205"
"281","Medtr4g045977"
"282","Medtr4g048370"
"283","Medtr4g051560"
"284","Medtr4g051688"
"285","Medtr4g052240"
"286","Medtr4g055630"
"287","Medtr4g057825"
"288","Medtr4g063300"
"289","Medtr4g063680"
"290","Medtr4g063875"
"291","Medtr4g064963"
"292","Medtr4g065830"
"293","Medtr4g066150"
"294","Medtr4g068420"
"295","Medtr4g070500"
"296","Medtr4g072770"
"297","Medtr4g073450"
"298","Medtr4g074690"
"299","Medtr4g075333"
"300","Medtr4g076080"
"301","Medtr4g076610"
"302","Medtr4g076970"
"303","Medtr4g077140"
"304","Medtr4g077730"
"305","Medtr4g089025"
"306","Medtr4g089055"
"307","Medtr4g091440"
"308","Medtr4g095008"
"309","Medtr4g103840"
"310","Medtr4g104870"
"311","Medtr4g106720"
"312","Medtr4g110110"
"313","Medtr4g111975"
"314","Medtr4g112630"
"315","Medtr4g112840"
"316","Medtr4g113260"
"317","Medtr4g113390"
"318","Medtr4g115870"
"319","Medtr4g118840"
"320","Medtr4g122180"
"321","Medtr4g122200"
"322","Medtr4g122860"
"323","Medtr4g123490"
"324","Medtr4g126350"
"325","Medtr4g129065"
"326","Medtr4g129160"
"327","Medtr4g130260"
"328","Medtr4g132090"
"329","Medtr4g132363"
"330","Medtr4g133720"
"331","Medtr4g133942"
"332","Medtr4g134270"
"333","Medtr4g428420"
"334","Medtr4g465410"
"335","Medtr5g006900"
"336","Medtr5g008050"
"337","Medtr5g008750"
"338","Medtr5g009080"
"339","Medtr5g009180"
"340","Medtr5g009190"
"341","Medtr5g009200"
"342","Medtr5g010230"
"343","Medtr5g011010"
"344","Medtr5g013500"
"345","Medtr5g013940"
"346","Medtr5g014840"
"347","Medtr5g015780"
"348","Medtr5g015880"
"349","Medtr5g016530"
"350","Medtr5g018260"
"351","Medtr5g018980"
"352","Medtr5g019140"
"353","Medtr5g019920"
"354","Medtr5g019970"
"355","Medtr5g021610"
"356","Medtr5g024973"
"357","Medtr5g025030"
"358","Medtr5g025430"
"359","Medtr5g025820"
"360","Medtr5g027670"
"361","Medtr5g027980"
"362","Medtr5g028930"
"363","Medtr5g029430"
"364","Medtr5g029690"
"365","Medtr5g029850"
"366","Medtr5g031290"
"367","Medtr5g031300"
"368","Medtr5g031610"
"369","Medtr5g034060"
"370","Medtr5g036900"
"371","Medtr5g038600"
"372","Medtr5g043820"
"373","Medtr5g048010"
"374","Medtr5g048910"
"375","Medtr5g054310"
"376","Medtr5g054360"
"377","Medtr5g054920"
"378","Medtr5g054930"
"379","Medtr5g055200"
"380","Medtr5g056560"
"381","Medtr5g065970"
"382","Medtr5g066430"
"383","Medtr5g067400"
"384","Medtr5g067530"
"385","Medtr5g069080"
"386","Medtr5g070040"
"387","Medtr5g079220"
"388","Medtr5g082250"
"389","Medtr5g082580"
"390","Medtr5g084160"
"391","Medtr5g084320"
"392","Medtr5g084800"
"393","Medtr5g084870"
"394","Medtr5g085880"
"395","Medtr5g086120"
"396","Medtr5g086810"
"397","Medtr5g087580"
"398","Medtr5g087620"
"399","Medtr5g088000"
"400","Medtr5g088915"
"401","Medtr5g089220"
"402","Medtr5g090870"
"403","Medtr5g091980"
"404","Medtr5g093945"
"405","Medtr5g095050"
"406","Medtr5g095195"
"407","Medtr5g095835"
"408","Medtr5g097060"
"409","Medtr5g098610"
"410","Medtr5g099230"
"411","Medtr5g430510"
"412","Medtr6g004140"
"413","Medtr6g005630"
"414","Medtr6g007060"
"415","Medtr6g007995"
"416","Medtr6g008005"
"417","Medtr6g009260"
"418","Medtr6g009390"
"419","Medtr6g012110"
"420","Medtr6g012520"
"421","Medtr6g012980"
"422","Medtr6g013960"
"423","Medtr6g015160"
"424","Medtr6g015450"
"425","Medtr6g015675"
"426","Medtr6g018580"
"427","Medtr6g025610"
"428","Medtr6g026830"
"429","Medtr6g034915"
"430","Medtr6g038650"
"431","Medtr6g041950"
"432","Medtr6g042340"
"433","Medtr6g043600"
"434","Medtr6g043700"
"435","Medtr6g045553"
"436","Medtr6g055570"
"437","Medtr6g059770"
"438","Medtr6g066240"
"439","Medtr6g066280"
"440","Medtr6g072590"
"441","Medtr6g074670"
"442","Medtr6g079260"
"443","Medtr6g079460"
"444","Medtr6g080430"
"445","Medtr6g086485"
"446","Medtr6g088660"
"447","Medtr6g092140"
"448","Medtr6g092630"
"449","Medtr6g460480"
"450","Medtr6g463360"
"451","Medtr6g463400"
"452","Medtr6g464330"
"453","Medtr6g465530"
"454","Medtr6g488160"
"455","Medtr7g005920"
"456","Medtr7g007370"
"457","Medtr7g010000"
"458","Medtr7g010390"
"459","Medtr7g010900"
"460","Medtr7g011610"
"461","Medtr7g019010"
"462","Medtr7g026170"
"463","Medtr7g030010"
"464","Medtr7g033775"
"465","Medtr7g034035"
"466","Medtr7g034645"
"467","Medtr7g039630"
"468","Medtr7g055787"
"469","Medtr7g056663"
"470","Medtr7g058370"
"471","Medtr7g059260"
"472","Medtr7g060540"
"473","Medtr7g066900"
"474","Medtr7g068370"
"475","Medtr7g068420"
"476","Medtr7g068580"
"477","Medtr7g070150"
"478","Medtr7g070500"
"479","Medtr7g074460"
"480","Medtr7g076660"
"481","Medtr7g076710"
"482","Medtr7g076840"
"483","Medtr7g078370"
"484","Medtr7g078520"
"485","Medtr7g080980"
"486","Medtr7g081060"
"487","Medtr7g081490"
"488","Medtr7g081840"
"489","Medtr7g084350"
"490","Medtr7g085020"
"491","Medtr7g087610"
"492","Medtr7g089250"
"493","Medtr7g090840"
"494","Medtr7g090950"
"495","Medtr7g091010"
"496","Medtr7g093150"
"497","Medtr7g094080"
"498","Medtr7g096710"
"499","Medtr7g097090"
"500","Medtr7g098780"
"501","Medtr7g099000"
"502","Medtr7g099810"
"503","Medtr7g100630"
"504","Medtr7g101385"
"505","Medtr7g101950"
"506","Medtr7g105170"
"507","Medtr7g105590"
"508","Medtr7g106040"
"509","Medtr7g108910"
"510","Medtr7g109640"
"511","Medtr7g112330"
"512","Medtr7g113500"
"513","Medtr7g114400"
"514","Medtr7g114920"
"515","Medtr7g118070"
"516","Medtr7g451350"
"517","Medtr8g005125"
"518","Medtr8g005270"
"519","Medtr8g008820"
"520","Medtr8g009140"
"521","Medtr8g009590"
"522","Medtr8g009730"
"523","Medtr8g009840"
"524","Medtr8g010690"
"525","Medtr8g011880"
"526","Medtr8g013780"
"527","Medtr8g020490"
"528","Medtr8g027990"
"529","Medtr8g028005"
"530","Medtr8g032720"
"531","Medtr8g038100"
"532","Medtr8g040320"
"533","Medtr8g042690"
"534","Medtr8g058310"
"535","Medtr8g068580"
"536","Medtr8g069990"
"537","Medtr8g070840"
"538","Medtr8g070940"
"539","Medtr8g075380"
"540","Medtr8g077110"
"541","Medtr8g079700"
"542","Medtr8g080850"
"543","Medtr8g089540"
"544","Medtr8g091530"
"545","Medtr8g092960"
"546","Medtr8g095110"
"547","Medtr8g099295"
"548","Medtr8g099875"
"549","Medtr8g099880"
"550","Medtr8g100025"
"551","Medtr8g100090"
"552","Medtr8g100180"
"553","Medtr8g102170"
"554","Medtr8g103480"
"555","Medtr8g104250"
"556","Medtr8g105040"
"557","Medtr8g106210"
"558","Medtr8g463880"
"559","Medtr8g464080"
"560","Medtr8g464910"
"561","Medtr8g469670"
"562","Medtr8g469980"
"563","Medtr8g471120"
