"","x"
"1","Medtr0002s0890"
"2","Medtr0004s0440"
"3","Medtr0004s0650"
"4","Medtr0007s0220"
"5","Medtr0009s0080"
"6","Medtr0009s0240"
"7","Medtr0011s0310"
"8","Medtr0015s0130"
"9","Medtr0021s0360"
"10","Medtr0024s0320"
"11","Medtr0025s0060"
"12","Medtr0026s0160"
"13","Medtr0032s0080"
"14","Medtr0036s0010"
"15","Medtr0036s0250"
"16","Medtr0038s0080"
"17","Medtr0042s0130"
"18","Medtr0052s0100"
"19","Medtr0054s0080"
"20","Medtr0066s0040"
"21","Medtr0067s0070"
"22","Medtr0082s0060"
"23","Medtr0082s0120"
"24","Medtr0096s0020"
"25","Medtr0102s0060"
"26","Medtr0103s0010"
"27","Medtr0117s0080"
"28","Medtr0118s0070"
"29","Medtr0122s0020"
"30","Medtr0126s0070"
"31","Medtr0133s0020"
"32","Medtr0153s0070"
"33","Medtr0188s0020"
"34","Medtr0212s0040"
"35","Medtr0219s0130"
"36","Medtr0242s0020"
"37","Medtr0252s0060"
"38","Medtr0268s0020"
"39","Medtr0275s0010"
"40","Medtr0394s0020"
"41","Medtr0421s0010"
"42","Medtr0428s0040"
"43","Medtr0429s0020"
"44","Medtr0449s0030"
"45","Medtr0458s0010"
"46","Medtr0473s0030"
"47","Medtr0511s0020"
"48","Medtr0530s0020"
"49","Medtr0536s0010"
"50","Medtr0549s0020"
"51","Medtr0572s0010"
"52","Medtr0590s0010"
"53","Medtr0690s0010"
"54","Medtr0807s0020"
"55","Medtr0857s0010"
"56","Medtr0903s0010"
"57","Medtr1034s0010"
"58","Medtr1338s0010"
"59","Medtr1372s0010"
"60","Medtr1918s0010"
"61","Medtr1g006660"
"62","Medtr1g007195"
"63","Medtr1g008220"
"64","Medtr1g008230"
"65","Medtr1g008300"
"66","Medtr1g008620"
"67","Medtr1g008675"
"68","Medtr1g008700"
"69","Medtr1g008980"
"70","Medtr1g008990"
"71","Medtr1g009030"
"72","Medtr1g009180"
"73","Medtr1g009610"
"74","Medtr1g010300"
"75","Medtr1g011640"
"76","Medtr1g012160"
"77","Medtr1g012330"
"78","Medtr1g012710"
"79","Medtr1g012790"
"80","Medtr1g012840"
"81","Medtr1g013620"
"82","Medtr1g013700"
"83","Medtr1g013820"
"84","Medtr1g014060"
"85","Medtr1g014220"
"86","Medtr1g015020"
"87","Medtr1g015620"
"88","Medtr1g015730"
"89","Medtr1g015830"
"90","Medtr1g015890"
"91","Medtr1g015910"
"92","Medtr1g015970"
"93","Medtr1g015980"
"94","Medtr1g016120"
"95","Medtr1g016210"
"96","Medtr1g016620"
"97","Medtr1g017000"
"98","Medtr1g017170"
"99","Medtr1g017830"
"100","Medtr1g017900"
"101","Medtr1g018090"
"102","Medtr1g018205"
"103","Medtr1g018420"
"104","Medtr1g019040"
"105","Medtr1g019270"
"106","Medtr1g019490"
"107","Medtr1g019660"
"108","Medtr1g019740"
"109","Medtr1g019760"
"110","Medtr1g019800"
"111","Medtr1g021638"
"112","Medtr1g022005"
"113","Medtr1g022015"
"114","Medtr1g022060"
"115","Medtr1g022350"
"116","Medtr1g022445"
"117","Medtr1g022500"
"118","Medtr1g022950"
"119","Medtr1g023510"
"120","Medtr1g023605"
"121","Medtr1g023720"
"122","Medtr1g023770"
"123","Medtr1g023790"
"124","Medtr1g024125"
"125","Medtr1g025370"
"126","Medtr1g026072"
"127","Medtr1g026880"
"128","Medtr1g027490"
"129","Medtr1g027690"
"130","Medtr1g027710"
"131","Medtr1g028010"
"132","Medtr1g028250"
"133","Medtr1g028370"
"134","Medtr1g028610"
"135","Medtr1g028680"
"136","Medtr1g028710"
"137","Medtr1g029140"
"138","Medtr1g029150"
"139","Medtr1g029460"
"140","Medtr1g029610"
"141","Medtr1g029750"
"142","Medtr1g029800"
"143","Medtr1g030630"
"144","Medtr1g030740"
"145","Medtr1g030770"
"146","Medtr1g030840"
"147","Medtr1g031230"
"148","Medtr1g031280"
"149","Medtr1g031780"
"150","Medtr1g031880"
"151","Medtr1g032160"
"152","Medtr1g032600"
"153","Medtr1g033010"
"154","Medtr1g033040"
"155","Medtr1g033080"
"156","Medtr1g033100"
"157","Medtr1g033130"
"158","Medtr1g033340"
