"","x"
"1","Medtr0002s0890"
"2","Medtr0003s0620"
"3","Medtr0021s0130"
"4","Medtr0043s0080"
"5","Medtr0085s0020"
"6","Medtr0154s0040"
"7","Medtr0191s0020"
"8","Medtr0274s0020"
"9","Medtr0287s0050"
"10","Medtr0295s0010"
"11","Medtr0361s0030"
"12","Medtr0554s0020"
"13","Medtr0991s0010"
"14","Medtr1g007630"
"15","Medtr1g007640"
"16","Medtr1g007650"
"17","Medtr1g008350"
"18","Medtr1g015700"
"19","Medtr1g015930"
"20","Medtr1g024025"
"21","Medtr1g025870"
"22","Medtr1g027460"
"23","Medtr1g027500"
"24","Medtr1g031140"
"25","Medtr1g031150"
"26","Medtr1g031540"
"27","Medtr1g033550"
"28","Medtr1g033900"
"29","Medtr1g034350"
"30","Medtr1g035350"
"31","Medtr1g036290"
"32","Medtr1g036860"
"33","Medtr1g038270"
"34","Medtr1g038430"
"35","Medtr1g039090"
"36","Medtr1g040000"
"37","Medtr1g040083"
"38","Medtr1g043000"
"39","Medtr1g044560"
"40","Medtr1g044670"
"41","Medtr1g045900"
"42","Medtr1g046660"
"43","Medtr1g050720"
"44","Medtr1g052525"
"45","Medtr1g052610"
"46","Medtr1g052880"
"47","Medtr1g053260"
"48","Medtr1g059720"
"49","Medtr1g061080"
"50","Medtr1g064320"
"51","Medtr1g068740"
"52","Medtr1g069150"
"53","Medtr1g069255"
"54","Medtr1g069405"
"55","Medtr1g069410"
"56","Medtr1g069715"
"57","Medtr1g072470"
"58","Medtr1g072855"
"59","Medtr1g073660"
"60","Medtr1g075890"
"61","Medtr1g076290"
"62","Medtr1g077260"
"63","Medtr1g078280"
"64","Medtr1g079370"
"65","Medtr1g079450"
"66","Medtr1g081230"
"67","Medtr1g081625"
"68","Medtr1g082480"
"69","Medtr1g082580"
"70","Medtr1g083620"
"71","Medtr1g086070"
"72","Medtr1g087935"
"73","Medtr1g088040"
"74","Medtr1g089130"
"75","Medtr1g090300"
"76","Medtr1g090733"
"77","Medtr1g093800"
"78","Medtr1g093900"
"79","Medtr1g094145"
"80","Medtr1g094210"
"81","Medtr1g095630"
"82","Medtr1g096610"
"83","Medtr1g097250"
"84","Medtr1g097300"
"85","Medtr1g099600"
"86","Medtr1g100663"
"87","Medtr1g103500"
"88","Medtr1g104880"
"89","Medtr1g105075"
"90","Medtr1g107365"
"91","Medtr1g107525"
"92","Medtr1g109400"
"93","Medtr1g110380"
"94","Medtr1g112080"
"95","Medtr1g115255"
"96","Medtr1g116940"
"97","Medtr1g484840"
"98","Medtr1g492690"
"99","Medtr2g007860"
"100","Medtr2g007930"
"101","Medtr2g008050"
"102","Medtr2g008400"
"103","Medtr2g008620"
"104","Medtr2g010430"
"105","Medtr2g014170"
"106","Medtr2g014740"
"107","Medtr2g016170"
"108","Medtr2g016500"
"109","Medtr2g018340"
"110","Medtr2g020930"
"111","Medtr2g023860"
"112","Medtr2g025830"
"113","Medtr2g026140"
"114","Medtr2g028360"
"115","Medtr2g028450"
"116","Medtr2g033980"
"117","Medtr2g039930"
"118","Medtr2g039940"
"119","Medtr2g046160"
"120","Medtr2g049980"
"121","Medtr2g050170"
"122","Medtr2g058870"
"123","Medtr2g060050"
"124","Medtr2g061490"
"125","Medtr2g066123"
"126","Medtr2g067970"
"127","Medtr2g068800"
"128","Medtr2g069760"
"129","Medtr2g071870"
"130","Medtr2g072100"
"131","Medtr2g075060"
"132","Medtr2g078010"
"133","Medtr2g080100"
"134","Medtr2g087430"
"135","Medtr2g087740"
"136","Medtr2g094940"
"137","Medtr2g096560"
"138","Medtr2g096850"
"139","Medtr2g097480"
"140","Medtr2g098080"
"141","Medtr2g098230"
"142","Medtr2g098310"
"143","Medtr2g099110"
"144","Medtr2g099480"
"145","Medtr2g099870"
"146","Medtr2g099990"
"147","Medtr2g100450"
"148","Medtr2g101610"
"149","Medtr2g104040"
"150","Medtr2g104465"
"151","Medtr2g105430"
"152","Medtr2g426080"
"153","Medtr2g436410"
"154","Medtr2g438740"
"155","Medtr2g450710"
"156","Medtr3g007480"
"157","Medtr3g010430"
"158","Medtr3g010800"
"159","Medtr3g011940"
"160","Medtr3g021320"
"161","Medtr3g023230"
"162","Medtr3g023510"
"163","Medtr3g025460"
"164","Medtr3g027030"
"165","Medtr3g027200"
"166","Medtr3g030960"
"167","Medtr3g032340"
"168","Medtr3g033080"
"169","Medtr3g035660"
"170","Medtr3g047590"
"171","Medtr3g051110"
"172","Medtr3g051420"
"173","Medtr3g052970"
"174","Medtr3g053220"
"175","Medtr3g053400"
"176","Medtr3g054420"
"177","Medtr3g057900"
"178","Medtr3g058440"
"179","Medtr3g058500"
"180","Medtr3g058520"
"181","Medtr3g064490"
"182","Medtr3g065250"
"183","Medtr3g067270"
"184","Medtr3g067565"
"185","Medtr3g069000"
"186","Medtr3g069120"
"187","Medtr3g072630"
"188","Medtr3g072900"
"189","Medtr3g074890"
"190","Medtr3g075230"
"191","Medtr3g076560"
"192","Medtr3g077910"
"193","Medtr3g079610"
"194","Medtr3g079890"
"195","Medtr3g080555"
"196","Medtr3g083720"
"197","Medtr3g085395"
"198","Medtr3g085530"
"199","Medtr3g085840"
"200","Medtr3g086120"
"201","Medtr3g088480"
"202","Medtr3g090010"
"203","Medtr3g090430"
"204","Medtr3g090960"
"205","Medtr3g091350"
"206","Medtr3g092710"
"207","Medtr3g093140"
"208","Medtr3g093180"
"209","Medtr3g095730"
"210","Medtr3g096440"
"211","Medtr3g097320"
"212","Medtr3g097570"
"213","Medtr3g099680"
"214","Medtr3g100350"
"215","Medtr3g100910"
"216","Medtr3g102420"
"217","Medtr3g104620"
"218","Medtr3g106410"
"219","Medtr3g106485"
"220","Medtr3g107320"
"221","Medtr3g107510"
"222","Medtr3g108510"
"223","Medtr3g110055"
"224","Medtr3g110190"
"225","Medtr3g110640"
"226","Medtr3g110890"
"227","Medtr3g111290"
"228","Medtr3g112210"
"229","Medtr3g113860"
"230","Medtr3g115930"
"231","Medtr3g116450"
"232","Medtr3g117160"
"233","Medtr3g117420"
"234","Medtr3g118500"
"235","Medtr3g435250"
"236","Medtr3g449480"
"237","Medtr3g460810"
"238","Medtr3g463690"
"239","Medtr3g464370"
"240","Medtr3g464530"
"241","Medtr3g465390"
"242","Medtr3g465690"
"243","Medtr3g466400"
"244","Medtr4g011340"
"245","Medtr4g013245"
"246","Medtr4g013375"
"247","Medtr4g014540"
"248","Medtr4g014840"
"249","Medtr4g015260"
"250","Medtr4g017150"
"251","Medtr4g017240"
"252","Medtr4g017820"
"253","Medtr4g021270"
"254","Medtr4g021825"
"255","Medtr4g023630"
"256","Medtr4g026080"
"257","Medtr4g031160"
"258","Medtr4g031235"
"259","Medtr4g032370"
"260","Medtr4g035825"
"261","Medtr4g036605"
"262","Medtr4g036815"
"263","Medtr4g045707"
"264","Medtr4g048680"
"265","Medtr4g050150"
"266","Medtr4g057330"
"267","Medtr4g057565"
"268","Medtr4g059560"
"269","Medtr4g063040"
"270","Medtr4g064550"
"271","Medtr4g066100"
"272","Medtr4g066660"
"273","Medtr4g068380"
"274","Medtr4g068950"
"275","Medtr4g069430"
"276","Medtr4g069850"
"277","Medtr4g070550"
"278","Medtr4g070860"
"279","Medtr4g072370"
"280","Medtr4g073015"
"281","Medtr4g073970"
"282","Medtr4g074465"
"283","Medtr4g074580"
"284","Medtr4g077787"
"285","Medtr4g078160"
"286","Medtr4g078765"
"287","Medtr4g080360"
"288","Medtr4g081570"
"289","Medtr4g082265"
"290","Medtr4g082910"
"291","Medtr4g084840"
"292","Medtr4g084950"
"293","Medtr4g086130"
"294","Medtr4g086760"
"295","Medtr4g087120"
"296","Medtr4g087400"
"297","Medtr4g087740"
"298","Medtr4g088240"
"299","Medtr4g088585"
"300","Medtr4g092100"
"301","Medtr4g092440"
"302","Medtr4g092570"
"303","Medtr4g093250"
"304","Medtr4g093860"
"305","Medtr4g094090"
"306","Medtr4g094478"
"307","Medtr4g094600"
"308","Medtr4g095630"
"309","Medtr4g098940"
"310","Medtr4g100820"
"311","Medtr4g101820"
"312","Medtr4g102010"
"313","Medtr4g103830"
"314","Medtr4g104750"
"315","Medtr4g105140"
"316","Medtr4g106370"
"317","Medtr4g106660"
"318","Medtr4g108400"
"319","Medtr4g108850"
"320","Medtr4g108870"
"321","Medtr4g109550"
"322","Medtr4g112810"
"323","Medtr4g113620"
"324","Medtr4g113820"
"325","Medtr4g114100"
"326","Medtr4g114320"
"327","Medtr4g116023"
"328","Medtr4g117120"
"329","Medtr4g117510"
"330","Medtr4g119100"
"331","Medtr4g119580"
"332","Medtr4g120450"
"333","Medtr4g120880"
"334","Medtr4g122580"
"335","Medtr4g122750"
"336","Medtr4g123060"
"337","Medtr4g123593"
"338","Medtr4g124220"
"339","Medtr4g124850"
"340","Medtr4g125470"
"341","Medtr4g125510"
"342","Medtr4g127870"
"343","Medtr4g129560"
"344","Medtr4g130210"
"345","Medtr4g130980"
"346","Medtr4g131670"
"347","Medtr4g132380"
"348","Medtr4g133090"
"349","Medtr4g133540"
"350","Medtr4g133550"
"351","Medtr4g133730"
"352","Medtr4g134660"
"353","Medtr4g485550"
"354","Medtr5g004720"
"355","Medtr5g005670"
"356","Medtr5g005810"
"357","Medtr5g006345"
"358","Medtr5g008600"
"359","Medtr5g008860"
"360","Medtr5g012660"
"361","Medtr5g013285"
"362","Medtr5g015270"
"363","Medtr5g015460"
"364","Medtr5g015770"
"365","Medtr5g015790"
"366","Medtr5g018340"
"367","Medtr5g018510"
"368","Medtr5g018770"
"369","Medtr5g019590"
"370","Medtr5g019810"
"371","Medtr5g020070"
"372","Medtr5g020110"
"373","Medtr5g020300"
"374","Medtr5g020465"
"375","Medtr5g020810"
"376","Medtr5g021100"
"377","Medtr5g021110"
"378","Medtr5g022045"
"379","Medtr5g022270"
"380","Medtr5g022720"
"381","Medtr5g023650"
"382","Medtr5g024210"
"383","Medtr5g025940"
"384","Medtr5g026390"
"385","Medtr5g029940"
"386","Medtr5g033650"
"387","Medtr5g034360"
"388","Medtr5g035760"
"389","Medtr5g038560"
"390","Medtr5g039700"
"391","Medtr5g043620"
"392","Medtr5g044090"
"393","Medtr5g045490"
"394","Medtr5g054690"
"395","Medtr5g054770"
"396","Medtr5g055170"
"397","Medtr5g055310"
"398","Medtr5g067295"
"399","Medtr5g069580"
"400","Medtr5g070210"
"401","Medtr5g073250"
"402","Medtr5g073470"
"403","Medtr5g073660"
"404","Medtr5g074290"
"405","Medtr5g075580"
"406","Medtr5g076920"
"407","Medtr5g077280"
"408","Medtr5g077760"
"409","Medtr5g077930"
"410","Medtr5g081250"
"411","Medtr5g083970"
"412","Medtr5g084850"
"413","Medtr5g092160"
"414","Medtr5g093730"
"415","Medtr5g094520"
"416","Medtr5g095040"
"417","Medtr5g095490"
"418","Medtr5g097950"
"419","Medtr5g430430"
"420","Medtr5g464350"
"421","Medtr5g464490"
"422","Medtr6g004630"
"423","Medtr6g006775"
"424","Medtr6g007697"
"425","Medtr6g007737"
"426","Medtr6g008170"
"427","Medtr6g008820"
"428","Medtr6g009130"
"429","Medtr6g011060"
"430","Medtr6g011270"
"431","Medtr6g011330"
"432","Medtr6g011550"
"433","Medtr6g012420"
"434","Medtr6g016010"
"435","Medtr6g016430"
"436","Medtr6g018390"
"437","Medtr6g023070"
"438","Medtr6g023080"
"439","Medtr6g024240"
"440","Medtr6g033010"
"441","Medtr6g034880"
"442","Medtr6g035310"
"443","Medtr6g036570"
"444","Medtr6g037200"
"445","Medtr6g043180"
"446","Medtr6g046130"
"447","Medtr6g059760"
"448","Medtr6g059800"
"449","Medtr6g059810"
"450","Medtr6g059910"
"451","Medtr6g065530"
"452","Medtr6g071990"
"453","Medtr6g072020"
"454","Medtr6g072510"
"455","Medtr6g073013"
"456","Medtr6g079095"
"457","Medtr6g092715"
"458","Medtr6g452520"
"459","Medtr6g472240"
"460","Medtr6g472390"
"461","Medtr6g477870"
"462","Medtr7g005290"
"463","Medtr7g006080"
"464","Medtr7g006340"
"465","Medtr7g007560"
"466","Medtr7g007590"
"467","Medtr7g009710"
"468","Medtr7g009810"
"469","Medtr7g009845"
"470","Medtr7g011170"
"471","Medtr7g011345"
"472","Medtr7g011500"
"473","Medtr7g014360"
"474","Medtr7g015060"
"475","Medtr7g015420"
"476","Medtr7g015550"
"477","Medtr7g016100"
"478","Medtr7g023270"
"479","Medtr7g023760"
"480","Medtr7g026915"
"481","Medtr7g027020"
"482","Medtr7g027185"
"483","Medtr7g027300"
"484","Medtr7g028710"
"485","Medtr7g028940"
"486","Medtr7g031420"
"487","Medtr7g034395"
"488","Medtr7g035310"
"489","Medtr7g051967"
"490","Medtr7g055700"
"491","Medtr7g056817"
"492","Medtr7g060730"
"493","Medtr7g063030"
"494","Medtr7g063460"
"495","Medtr7g067080"
"496","Medtr7g068470"
"497","Medtr7g068620"
"498","Medtr7g068710"
"499","Medtr7g070300"
"500","Medtr7g075820"
"501","Medtr7g076665"
"502","Medtr7g079310"
"503","Medtr7g079970"
"504","Medtr7g080040"
"505","Medtr7g080260"
"506","Medtr7g080820"
"507","Medtr7g080950"
"508","Medtr7g085930"
"509","Medtr7g087500"
"510","Medtr7g087510"
"511","Medtr7g088990"
"512","Medtr7g089465"
"513","Medtr7g090370"
"514","Medtr7g090800"
