"","x"
"1","Medtr0097s0070"
"2","Medtr1157s0010"
"3","Medtr1g006975"
"4","Medtr1g010190"
"5","Medtr1g016410"
"6","Medtr1g021040"
"7","Medtr1g022080"
"8","Medtr1g023035"
"9","Medtr1g031140"
"10","Medtr1g034360"
"11","Medtr1g041085"
"12","Medtr1g047660"
"13","Medtr1g060240"
"14","Medtr1g060890"
"15","Medtr1g071450"
"16","Medtr1g071720"
"17","Medtr1g075380"
"18","Medtr1g077930"
"19","Medtr1g080330"
"20","Medtr1g082290"
"21","Medtr1g086600"
"22","Medtr1g090190"
"23","Medtr1g090280"
"24","Medtr1g092690"
"25","Medtr1g094830"
"26","Medtr1g095703"
"27","Medtr1g102500"
"28","Medtr1g106085"
"29","Medtr1g112460"
"30","Medtr1g115280"
"31","Medtr2g007620"
"32","Medtr2g008920"
"33","Medtr2g009450"
"34","Medtr2g010710"
"35","Medtr2g010720"
"36","Medtr2g012790"
"37","Medtr2g013720"
"38","Medtr2g016200"
"39","Medtr2g019250"
"40","Medtr2g033920"
"41","Medtr2g034760"
"42","Medtr2g035105"
"43","Medtr2g036380"
"44","Medtr2g044070"
"45","Medtr2g054380"
"46","Medtr2g062600"
"47","Medtr2g067310"
"48","Medtr2g073510"
"49","Medtr2g082370"
"50","Medtr2g087950"
"51","Medtr2g088020"
"52","Medtr2g089100"
"53","Medtr2g090165"
"54","Medtr2g105560"
"55","Medtr2g449770"
"56","Medtr3g008640"
"57","Medtr3g027795"
"58","Medtr3g039990"
"59","Medtr3g055710"
"60","Medtr3g066010"
"61","Medtr3g070400"
"62","Medtr3g074520"
"63","Medtr3g081500"
"64","Medtr3g086670"
"65","Medtr3g088705"
"66","Medtr3g089115"
"67","Medtr3g091830"
"68","Medtr3g094320"
"69","Medtr3g097000"
"70","Medtr3g099020"
"71","Medtr3g099200"
"72","Medtr3g102570"
"73","Medtr3g109340"
"74","Medtr3g114910"
"75","Medtr3g435540"
"76","Medtr3g450710"
"77","Medtr3g462960"
"78","Medtr3g462970"
"79","Medtr3g462980"
"80","Medtr3g463060"
"81","Medtr3g465010"
"82","Medtr3g467370"
"83","Medtr4g007570"
"84","Medtr4g008260"
"85","Medtr4g022320"
"86","Medtr4g029170"
"87","Medtr4g036845"
"88","Medtr4g049300"
"89","Medtr4g055110"
"90","Medtr4g057865"
"91","Medtr4g062340"
"92","Medtr4g069550"
"93","Medtr4g075110"
"94","Medtr4g080600"
"95","Medtr4g084520"
"96","Medtr4g087703"
"97","Medtr4g091610"
"98","Medtr4g096840"
"99","Medtr4g102890"
"100","Medtr4g107760"
"101","Medtr4g109760"
"102","Medtr4g113070"
"103","Medtr4g113370"
"104","Medtr4g116465"
"105","Medtr4g116540"
"106","Medtr4g116610"
"107","Medtr4g116860"
"108","Medtr4g122610"
"109","Medtr4g125390"
"110","Medtr4g131010"
"111","Medtr4g415290"
"112","Medtr5g005770"
"113","Medtr5g010635"
"114","Medtr5g014100"
"115","Medtr5g019010"
"116","Medtr5g027910"
"117","Medtr5g030975"
"118","Medtr5g038060"
"119","Medtr5g040430"
"120","Medtr5g045530"
"121","Medtr5g048090"
"122","Medtr5g064510"
"123","Medtr5g064530"
"124","Medtr5g068820"
"125","Medtr5g070010"
"126","Medtr5g075650"
"127","Medtr5g078210"
"128","Medtr5g082420"
"129","Medtr5g082910"
"130","Medtr5g083375"
"131","Medtr5g089820"
"132","Medtr5g090700"
"133","Medtr5g091090"
"134","Medtr6g005330"
"135","Medtr6g005340"
"136","Medtr6g008800"
"137","Medtr6g009097"
"138","Medtr6g023790"
"139","Medtr6g026820"
"140","Medtr6g036640"
"141","Medtr6g047610"
"142","Medtr6g071040"
"143","Medtr6g072780"
"144","Medtr6g082870"
"145","Medtr6g083210"
"146","Medtr6g084550"
"147","Medtr6g471740"
"148","Medtr7g009960"
"149","Medtr7g012350"
"150","Medtr7g013680"
"151","Medtr7g023360"
"152","Medtr7g029025"
"153","Medtr7g031310"
"154","Medtr7g050415"
"155","Medtr7g063540"
"156","Medtr7g066580"
"157","Medtr7g066600"
"158","Medtr7g067330"
"159","Medtr7g070290"
"160","Medtr7g077180"
"161","Medtr7g079010"
"162","Medtr7g083740"
"163","Medtr7g085930"
"164","Medtr7g090310"
"165","Medtr7g090970"
"166","Medtr7g093040"
"167","Medtr7g095250"
"168","Medtr7g095380"
"169","Medtr7g098370"
"170","Medtr7g108920"
"171","Medtr7g114530"
"172","Medtr7g118150"
"173","Medtr7g118170"
"174","Medtr7g427690"
"175","Medtr8g005960"
"176","Medtr8g010450"
"177","Medtr8g010540"
"178","Medtr8g016120"
"179","Medtr8g020560"
"180","Medtr8g027745"
"181","Medtr8g028380"
"182","Medtr8g028465"
"183","Medtr8g030590"
"184","Medtr8g030880"
"185","Medtr8g035680"
"186","Medtr8g037780"
"187","Medtr8g042170"
"188","Medtr8g072550"
"189","Medtr8g079050"
"190","Medtr8g080050"
"191","Medtr8g089300"
"192","Medtr8g089420"
"193","Medtr8g094740"
"194","Medtr8g096970"
"195","Medtr8g097280"
"196","Medtr8g099925"
"197","Medtr8g102240"
"198","Medtr8g105910"
"199","Medtr8g105970"
"200","Medtr8g107740"
"201","Medtr8g447290"
"202","Medtr8g465930"
