"","x"
"1","Medtr0001s0120"
"2","Medtr0001s0430"
"3","Medtr0001s0570"
"4","Medtr0002s0020"
"5","Medtr0002s0270"
"6","Medtr0003s0470"
"7","Medtr0003s0480"
"8","Medtr0003s0540"
"9","Medtr0003s0560"
"10","Medtr0003s0620"
"11","Medtr0003s0650"
"12","Medtr0003s0660"
"13","Medtr0004s0130"
"14","Medtr0004s0240"
"15","Medtr0004s0330"
"16","Medtr0004s0490"
"17","Medtr0004s0600"
"18","Medtr0005s0130"
"19","Medtr0006s0080"
"20","Medtr0006s0230"
"21","Medtr0006s0240"
"22","Medtr0006s0250"
"23","Medtr0007s0060"
"24","Medtr0007s0330"
"25","Medtr0007s0380"
"26","Medtr0009s0050"
"27","Medtr0009s0120"
"28","Medtr0009s0370"
"29","Medtr0009s0400"
"30","Medtr0009s0410"
"31","Medtr0011s0290"
"32","Medtr0012s0110"
"33","Medtr0013s0150"
"34","Medtr0013s0230"
"35","Medtr0014s0040"
"36","Medtr0014s0180"
"37","Medtr0014s0300"
"38","Medtr0015s0110"
"39","Medtr0015s0130"
"40","Medtr0015s0140"
"41","Medtr0018s0090"
"42","Medtr0018s0260"
"43","Medtr0018s0320"
"44","Medtr0019s0100"
"45","Medtr0019s0170"
"46","Medtr0019s0190"
"47","Medtr0020s0020"
"48","Medtr0020s0100"
"49","Medtr0020s0130"
"50","Medtr0022s0280"
"51","Medtr0022s0290"
"52","Medtr0022s0360"
"53","Medtr0024s0010"
"54","Medtr0024s0020"
"55","Medtr0024s0060"
"56","Medtr0026s0010"
"57","Medtr0026s0200"
"58","Medtr0027s0040"
"59","Medtr0027s0090"
"60","Medtr0027s0180"
"61","Medtr0027s0200"
"62","Medtr0027s0230"
"63","Medtr0028s0090"
"64","Medtr0031s0130"
"65","Medtr0032s0040"
"66","Medtr0034s0060"
"67","Medtr0036s0110"
"68","Medtr0036s0140"
"69","Medtr0036s0150"
"70","Medtr0036s0260"
"71","Medtr0036s0270"
"72","Medtr0036s0320"
"73","Medtr0041s0030"
"74","Medtr0042s0190"
"75","Medtr0045s0070"
"76","Medtr0045s0080"
"77","Medtr0045s0130"
"78","Medtr0047s0090"
"79","Medtr0049s0110"
"80","Medtr0050s0160"
"81","Medtr0050s0180"
"82","Medtr0051s0110"
"83","Medtr0052s0040"
"84","Medtr0053s0020"
"85","Medtr0053s0030"
"86","Medtr0055s0030"
"87","Medtr0055s0140"
"88","Medtr0057s0080"
"89","Medtr0057s0100"
"90","Medtr0057s0130"
"91","Medtr0057s0200"
"92","Medtr0058s0010"
"93","Medtr0059s0060"
"94","Medtr0062s0020"
"95","Medtr0066s0050"
"96","Medtr0067s0100"
"97","Medtr0069s0020"
"98","Medtr0069s0080"
"99","Medtr0070s0040"
"100","Medtr0070s0080"
"101","Medtr0072s0020"
"102","Medtr0072s0040"
"103","Medtr0082s0040"
"104","Medtr0082s0140"
"105","Medtr0082s0160"
"106","Medtr0082s0260"
"107","Medtr0082s0290"
"108","Medtr0086s0010"
"109","Medtr0087s0090"
"110","Medtr0089s0070"
"111","Medtr0089s0100"
"112","Medtr0092s0070"
"113","Medtr0095s0070"
"114","Medtr0100s0150"
"115","Medtr0100s0160"
"116","Medtr0101s0020"
"117","Medtr0101s0030"
"118","Medtr0103s0100"
"119","Medtr0110s0040"
"120","Medtr0110s0060"
"121","Medtr0116s0090"
"122","Medtr0117s0040"
"123","Medtr0118s0080"
"124","Medtr0123s0070"
"125","Medtr0128s0060"
"126","Medtr0133s0020"
"127","Medtr0133s0030"
"128","Medtr0136s0010"
"129","Medtr0136s0060"
"130","Medtr0137s0040"
"131","Medtr0137s0070"
"132","Medtr0140s0050"
"133","Medtr0147s0030"
"134","Medtr0147s0060"
"135","Medtr0147s0080"
"136","Medtr0148s0080"
"137","Medtr0151s0030"
"138","Medtr0152s0100"
"139","Medtr0153s0030"
"140","Medtr0153s0060"
"141","Medtr0155s0010"
"142","Medtr0161s0050"
"143","Medtr0167s0040"
"144","Medtr0168s0080"
"145","Medtr0168s0100"
"146","Medtr0168s0110"
"147","Medtr0170s0020"
"148","Medtr0172s0010"
"149","Medtr0172s0030"
"150","Medtr0172s0050"
"151","Medtr0173s0030"
"152","Medtr0175s0030"
"153","Medtr0177s0080"
"154","Medtr0178s0030"
"155","Medtr0180s0050"
"156","Medtr0180s0070"
"157","Medtr0180s0080"
"158","Medtr0186s0030"
"159","Medtr0190s0020"
"160","Medtr0194s0020"
"161","Medtr0194s0040"
"162","Medtr0197s0020"
"163","Medtr0197s0040"
"164","Medtr0197s0090"
"165","Medtr0198s0030"
"166","Medtr0200s0050"
"167","Medtr0202s0060"
"168","Medtr0204s0020"
"169","Medtr0206s0010"
"170","Medtr0209s0040"
"171","Medtr0221s0020"
"172","Medtr0221s0060"
"173","Medtr0230s0010"
"174","Medtr0236s0040"
"175","Medtr0242s0030"
"176","Medtr0246s0040"
"177","Medtr0249s0070"
"178","Medtr0260s0030"
"179","Medtr0262s0020"
"180","Medtr0262s0030"
"181","Medtr0271s0030"
"182","Medtr0275s0010"
"183","Medtr0275s0020"
"184","Medtr0275s0040"
"185","Medtr0276s0010"
"186","Medtr0276s0040"
"187","Medtr0276s0050"
"188","Medtr0277s0010"
"189","Medtr0277s0020"
"190","Medtr0288s0020"
"191","Medtr0295s0010"
"192","Medtr0308s0010"
"193","Medtr0308s0060"
"194","Medtr0311s0030"
"195","Medtr0318s0020"
"196","Medtr0325s0020"
"197","Medtr0331s0010"
"198","Medtr0332s0010"
"199","Medtr0332s0020"
"200","Medtr0332s0040"
"201","Medtr0339s0020"
"202","Medtr0340s0020"
"203","Medtr0340s0030"
"204","Medtr0360s0010"
"205","Medtr0361s0030"
"206","Medtr0366s0020"
"207","Medtr0383s0010"
"208","Medtr0384s0020"
"209","Medtr0392s0010"
"210","Medtr0393s0030"
"211","Medtr0405s0060"
"212","Medtr0415s0020"
"213","Medtr0417s0020"
"214","Medtr0419s0020"
"215","Medtr0425s0020"
"216","Medtr0438s0020"
"217","Medtr0449s0040"
"218","Medtr0466s0010"
"219","Medtr0475s0020"
"220","Medtr0475s0040"
"221","Medtr0478s0010"
"222","Medtr0481s0010"
"223","Medtr0484s0010"
"224","Medtr0493s0010"
"225","Medtr0493s0020"
"226","Medtr0511s0010"
"227","Medtr0511s0020"
"228","Medtr0542s0020"
"229","Medtr0551s0020"
"230","Medtr0554s0020"
"231","Medtr0565s0010"
"232","Medtr0572s0010"
"233","Medtr0590s0010"
